Time,Portland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Nurkić vs. B. Adebayo (K. Lowry gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,Turnover by K. Lowry (bad pass; steal by J. Hart),,1,0,0,0,16.0
11:38.0,A. Simons makes 3-pt jump shot from 23 ft (assist by J. Hart),3-0, ,,1,0,3,-3,22.0
11:20.0, ,3-0,J. Butler misses 2-pt layup from 3 ft,,1,0,3,-3,40.0
11:18.0,Defensive rebound by J. Nurkić,3-0, ,,1,0,3,-3,42.0
11:11.0,J. Grant makes 2-pt dunk from 2 ft (assist by D. Lillard),5-0, ,,1,0,5,-5,49.0
10:53.0, ,5-0,J. Butler misses 2-pt layup from 2 ft,,1,0,5,-5,67.0
10:50.0,Defensive rebound by J. Nurkić,5-0, ,,1,0,5,-5,70.0
10:43.0,J. Grant misses 3-pt jump shot from 23 ft,5-0, ,,1,0,5,-5,77.0
10:43.0,Offensive rebound by Team,5-0, ,,1,0,5,-5,77.0
10:43.0,Away from play foul by K. Lowry (drawn by J. Grant),5-0, ,,1,0,5,-5,77.0
10:43.0,D. Lillard makes free throw 1 of 1,6-0, ,,1,0,6,-6,77.0
10:41.0,A. Simons misses 2-pt layup from 2 ft,6-0, ,,1,0,6,-6,79.0
10:40.0, ,6-0,Defensive rebound by J. Butler,,1,0,6,-6,80.0
10:31.0, ,6-3,K. Lowry makes 3-pt jump shot from 25 ft (assist by J. Butler),,1,3,6,-3,89.0
10:09.0,Personal foul by J. Butler (drawn by D. Lillard),6-3, ,,1,3,6,-3,111.0
9:59.0,J. Grant makes 2-pt layup from 1 ft (assist by A. Simons),8-3, ,,1,3,8,-5,121.0
9:36.0, ,8-3,C. Martin misses 3-pt jump shot from 25 ft,,1,3,8,-5,144.0
9:34.0,Defensive rebound by J. Nurkić,8-3, ,,1,3,8,-5,146.0
9:28.0,Shooting foul by M. Strus (drawn by J. Nurkić),8-3, ,,1,3,8,-5,152.0
9:28.0,J. Nurkić makes free throw 1 of 2,9-3, ,,1,3,9,-6,152.0
9:28.0,J. Nurkić makes free throw 2 of 2,10-3, ,,1,3,10,-7,152.0
9:15.0, ,10-6,K. Lowry makes 3-pt jump shot from 24 ft (assist by C. Martin),,1,6,10,-4,165.0
9:02.0,Turnover by J. Hart (traveling),10-6, ,,1,6,10,-4,178.0
8:53.0, ,10-8,J. Butler makes 2-pt layup from 2 ft,,1,8,10,-2,187.0
8:43.0,A. Simons misses 3-pt jump shot from 26 ft,10-8, ,,1,8,10,-2,197.0
8:40.0, ,10-8,Defensive rebound by J. Butler,,1,8,10,-2,200.0
8:32.0, ,10-8,Shooting foul by J. Hart (drawn by J. Butler),,1,8,10,-2,208.0
8:32.0, ,10-9,J. Butler makes free throw 1 of 2,,1,9,10,-1,208.0
8:32.0,J. Winslow enters the game for A. Simons,10-9, ,,1,9,10,-1,208.0
8:32.0, ,10-10,J. Butler makes free throw 2 of 2,Tie,1,10,10,0,208.0
8:09.0,J. Grant misses 2-pt layup from 2 ft,10-10, ,,1,10,10,0,231.0
8:06.0, ,10-10,Defensive rebound by K. Lowry,,1,10,10,0,234.0
8:01.0, ,10-10,B. Adebayo misses 2-pt layup from 2 ft,,1,10,10,0,239.0
7:58.0,Defensive rebound by J. Hart,10-10, ,,1,10,10,0,242.0
7:55.0,Turnover by J. Hart (bad pass),10-10, ,,1,10,10,0,245.0
7:41.0, ,10-10,J. Butler misses 2-pt layup from 2 ft,,1,10,10,0,259.0
7:37.0, ,10-10,Offensive rebound by C. Martin,,1,10,10,0,263.0
7:37.0, ,10-12,C. Martin makes 2-pt layup at rim,Lead change,1,12,10,2,263.0
7:32.0,D. Lillard misses 3-pt jump shot from 26 ft,10-12, ,,1,12,10,2,268.0
7:29.0, ,10-12,Defensive rebound by K. Lowry,,1,12,10,2,271.0
7:14.0, ,10-15,M. Strus makes 3-pt jump shot from 24 ft (assist by K. Lowry),,1,15,10,5,286.0
6:55.0,J. Grant makes 3-pt jump shot from 27 ft (assist by J. Nurkić),13-15, ,,1,15,13,2,305.0
6:44.0, ,13-15,M. Strus misses 3-pt jump shot from 24 ft,,1,15,13,2,316.0
6:40.0,Defensive rebound by J. Hart,13-15, ,,1,15,13,2,320.0
6:26.0,J. Grant makes 3-pt jump shot from 23 ft (assist by J. Hart),16-15, ,Lead change,1,15,16,-1,334.0
6:06.0, ,16-15,M. Strus misses 3-pt jump shot from 26 ft,,1,15,16,-1,354.0
6:03.0, ,16-15,Offensive rebound by B. Adebayo,,1,15,16,-1,357.0
6:00.0, ,16-15,C. Martin misses 3-pt jump shot from 26 ft,,1,15,16,-1,360.0
5:58.0,Defensive rebound by J. Hart,16-15, ,,1,15,16,-1,362.0
5:50.0,J. Grant misses 2-pt layup from 1 ft,16-15, ,,1,15,16,-1,370.0
5:48.0, ,16-15,Defensive rebound by K. Lowry,,1,15,16,-1,372.0
5:34.0, ,16-17,B. Adebayo makes 2-pt jump shot from 10 ft (assist by K. Lowry),Lead change,1,17,16,1,386.0
5:20.0,Shooting foul by M. Strus (drawn by D. Lillard),16-17, ,,1,17,16,1,400.0
5:20.0, ,16-17,Miami full timeout,,1,17,16,1,400.0
5:20.0, ,16-17,D. Dedmon enters the game for B. Adebayo,,1,17,16,1,400.0
5:20.0, ,16-17,D. Robinson enters the game for K. Lowry,,1,17,16,1,400.0
5:20.0, ,16-17,G. Vincent enters the game for M. Strus,,1,17,16,1,400.0
5:20.0,D. Lillard makes free throw 1 of 2,17-17, ,Tie,1,17,17,0,400.0
5:20.0,D. Lillard makes free throw 2 of 2,18-17, ,Lead change,1,17,18,-1,400.0
4:57.0, ,18-17,J. Butler misses 2-pt layup from 1 ft,,1,17,18,-1,423.0
4:55.0,Defensive rebound by J. Grant,18-17, ,,1,17,18,-1,425.0
4:50.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by J. Grant),21-17, ,,1,17,21,-4,430.0
4:26.0, ,21-17,D. Dedmon misses 2-pt layup from 4 ft (block by J. Grant),,1,17,21,-4,454.0
4:23.0,Defensive rebound by J. Grant,21-17, ,,1,17,21,-4,457.0
4:09.0,J. Nurkić misses 3-pt jump shot from 24 ft,21-17, ,,1,17,21,-4,471.0
4:06.0, ,21-17,Defensive rebound by J. Butler,,1,17,21,-4,474.0
4:01.0, ,21-17,D. Robinson misses 3-pt jump shot from 25 ft,,1,17,21,-4,479.0
3:56.0,Defensive rebound by J. Hart,21-17, ,,1,17,21,-4,484.0
3:50.0,Turnover by J. Nurkić (bad pass; steal by G. Vincent),21-17, ,,1,17,21,-4,490.0
3:46.0, ,21-20,G. Vincent makes 3-pt jump shot from 27 ft,,1,20,21,-1,494.0
3:33.0,D. Lillard misses 3-pt jump shot from 28 ft,21-20, ,,1,20,21,-1,507.0
3:31.0, ,21-20,Defensive rebound by D. Dedmon,,1,20,21,-1,509.0
3:13.0, ,21-20,C. Martin misses 3-pt jump shot from 24 ft,,1,20,21,-1,527.0
3:11.0,Defensive rebound by J. Nurkić,21-20, ,,1,20,21,-1,529.0
2:57.0,Violation by Team (kicked ball),21-20, ,,1,20,21,-1,543.0
2:57.0,Portland full timeout,21-20, ,,1,20,21,-1,543.0
2:57.0,D. Eubanks enters the game for J. Hart,21-20, ,,1,20,21,-1,543.0
2:57.0,N. Little enters the game for D. Lillard,21-20, ,,1,20,21,-1,543.0
2:57.0,A. Simons enters the game for J. Nurkić,21-20, ,,1,20,21,-1,543.0
2:35.0, ,21-22,J. Butler makes 2-pt jump shot from 1 ft,Lead change,1,22,21,1,565.0
2:13.0,N. Little makes 3-pt jump shot from 24 ft (assist by J. Grant),24-22, ,Lead change,1,22,24,-2,587.0
1:59.0, ,24-25,G. Vincent makes 3-pt jump shot from 26 ft (assist by D. Dedmon),Lead change,1,25,24,1,601.0
1:44.0,A. Simons misses 3-pt jump shot from 26 ft,24-25, ,,1,25,24,1,616.0
1:40.0, ,24-25,Defensive rebound by D. Dedmon,,1,25,24,1,620.0
1:27.0, ,24-28,G. Vincent makes 3-pt jump shot from 26 ft (assist by J. Butler),,1,28,24,4,633.0
1:05.0,J. Winslow makes 2-pt layup from 1 ft,26-28, ,,1,28,26,2,655.0
0:47.0, ,26-28,Turnover by J. Butler (bad pass; steal by J. Winslow),,1,28,26,2,673.0
0:42.0,A. Simons misses 2-pt layup from 2 ft (block by G. Vincent),26-28, ,,1,28,26,2,678.0
0:39.0, ,26-28,Defensive rebound by D. Robinson,,1,28,26,2,681.0
0:39.0, ,26-28,Offensive foul by J. Butler (drawn by J. Grant),,1,28,26,2,681.0
0:39.0, ,26-28,Turnover by J. Butler (offensive foul),,1,28,26,2,681.0
0:39.0,T. Watford enters the game for J. Grant,26-28, ,,1,28,26,2,681.0
0:39.0, ,26-28,K. Lowry enters the game for J. Butler,,1,28,26,2,681.0
0:39.0, ,26-28,M. Strus enters the game for C. Martin,,1,28,26,2,681.0
0:29.0,J. Winslow misses 3-pt jump shot from 24 ft,26-28, ,,1,28,26,2,691.0
0:27.0, ,26-28,Defensive rebound by D. Robinson,,1,28,26,2,693.0
0:22.0, ,26-28,Turnover by G. Vincent (bad pass; steal by D. Eubanks),,1,28,26,2,698.0
0:00.0,A. Simons makes 2-pt jump shot from 4 ft,28-28, ,Tie,1,28,28,0,720.0
0:00.0,End of 1st quarter,28-28,,,1,28,28,0,720.0
12:00.0,Start of 2nd quarter,28-28,,,2,28,28,0,720.0
11:36.0,N. Little misses 3-pt jump shot from 28 ft,28-28, ,,2,28,28,0,744.0
11:31.0,Offensive rebound by S. Sharpe,28-28, ,,2,28,28,0,749.0
11:27.0,S. Sharpe makes 2-pt jump shot from 19 ft,30-28, ,Lead change,2,28,30,-2,753.0
11:13.0, ,30-30,M. Strus makes 2-pt layup from 2 ft (assist by B. Adebayo),Tie,2,30,30,0,767.0
10:56.0,T. Watford makes 2-pt jump shot from 8 ft (assist by A. Simons),32-30, ,,2,30,32,-2,784.0
10:39.0, ,32-33,D. Robinson makes 3-pt jump shot from 31 ft (assist by K. Lowry),Lead change,2,33,32,1,801.0
10:14.0,A. Simons misses 3-pt jump shot from 28 ft,32-33, ,,2,33,32,1,826.0
10:09.0, ,32-33,Defensive rebound by K. Lowry,,2,33,32,1,831.0
9:57.0, ,32-36,D. Robinson makes 3-pt jump shot from 25 ft (assist by M. Strus),,2,36,32,4,843.0
9:36.0,Turnover by S. Sharpe (lost ball; steal by M. Strus),32-36, ,,2,36,32,4,864.0
9:33.0, ,32-39,K. Lowry makes 3-pt jump shot from 25 ft (assist by M. Strus),,2,39,32,7,867.0
9:33.0,Portland full timeout,32-39, ,,2,39,32,7,867.0
9:33.0,J. Hart enters the game for N. Little,32-39, ,,2,39,32,7,867.0
9:33.0,D. Lillard enters the game for A. Simons,32-39, ,,2,39,32,7,867.0
9:11.0,Def 3 sec tech foul by Team,32-39, ,,2,39,32,7,889.0
9:11.0,D. Lillard makes technical free throw,33-39, ,,2,39,33,6,889.0
8:58.0,Offensive foul by J. Hart (drawn by D. Robinson),33-39, ,,2,39,33,6,902.0
8:58.0,Turnover by J. Hart (offensive foul),33-39, ,,2,39,33,6,902.0
8:39.0, ,33-41,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Vincent),,2,41,33,8,921.0
8:24.0,J. Hart misses 3-pt jump shot from 26 ft,33-41, ,,2,41,33,8,936.0
8:21.0,Offensive rebound by T. Watford,33-41, ,,2,41,33,8,939.0
8:15.0,S. Sharpe makes 3-pt jump shot from 24 ft (assist by T. Watford),36-41, ,,2,41,36,5,945.0
8:00.0, ,36-41,Personal foul by D. Lillard (drawn by D. Robinson),,2,41,36,5,960.0
8:00.0, ,36-41,Technical foul by K. Lowry,,2,41,36,5,960.0
8:00.0,D. Lillard makes technical free throw,37-41, ,,2,41,37,4,960.0
8:00.0,J. Grant enters the game for D. Eubanks,37-41, ,,2,41,37,4,960.0
8:00.0,J. Nurkić enters the game for T. Watford,37-41, ,,2,41,37,4,960.0
7:52.0, ,37-43,G. Vincent makes 2-pt jump shot from 10 ft (assist by D. Robinson),,2,43,37,6,968.0
7:52.0, ,37-43,Shooting foul by D. Lillard (drawn by G. Vincent),,2,43,37,6,968.0
7:52.0, ,37-43,G. Vincent misses free throw 1 of 1,,2,43,37,6,968.0
7:51.0,Defensive rebound by J. Nurkić,37-43, ,,2,43,37,6,969.0
7:51.0,Personal foul by M. Strus (drawn by J. Nurkić),37-43, ,,2,43,37,6,969.0
7:51.0, ,37-43,C. Martin enters the game for M. Strus,,2,43,37,6,969.0
7:27.0,Turnover by Team (shot clock),37-43, ,,2,43,37,6,993.0
7:18.0, ,37-43,G. Vincent misses 3-pt jump shot from 25 ft,,2,43,37,6,1002.0
7:14.0,Defensive rebound by D. Lillard,37-43, ,,2,43,37,6,1006.0
7:03.0,Turnover by D. Lillard (bad pass; steal by G. Vincent),37-43, ,,2,43,37,6,1017.0
6:55.0, ,37-43,D. Robinson misses 3-pt jump shot from 26 ft,,2,43,37,6,1025.0
6:51.0,Defensive rebound by J. Nurkić,37-43, ,,2,43,37,6,1029.0
6:46.0,J. Grant makes 3-pt jump shot from 25 ft (assist by J. Hart),40-43, ,,2,43,40,3,1034.0
6:34.0, ,40-43,B. Adebayo misses 2-pt layup from 1 ft,,2,43,40,3,1046.0
6:29.0, ,40-43,Offensive rebound by B. Adebayo,,2,43,40,3,1051.0
