Time,Toronto,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Koloko vs. B. Adebayo (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-0,Turnover by B. Adebayo (bad pass; steal by P. Siakam),,1,0,0,0,20.0
11:34.0,P. Siakam makes 2-pt layup from 7 ft,2-0, ,,1,0,2,-2,26.0
11:21.0, ,2-0,Turnover by B. Adebayo (bad pass),,1,0,2,-2,39.0
11:07.0,F. VanVleet misses 2-pt jump shot from 8 ft,2-0, ,,1,0,2,-2,53.0
11:03.0,Offensive rebound by F. VanVleet,2-0, ,,1,0,2,-2,57.0
10:53.0,F. VanVleet makes 2-pt layup from 1 ft,4-0, ,,1,0,4,-4,67.0
10:29.0, ,4-2,T. Herro makes 2-pt layup from 5 ft,,1,2,4,-2,91.0
10:13.0,P. Siakam misses 2-pt jump shot from 9 ft,4-2, ,,1,2,4,-2,107.0
10:09.0, ,4-2,Defensive rebound by T. Herro,,1,2,4,-2,111.0
10:01.0, ,4-4,T. Herro makes 2-pt jump shot from 10 ft,Tie,1,4,4,0,119.0
9:47.0,G. Trent makes 2-pt layup from 8 ft,6-4, ,,1,4,6,-2,133.0
9:40.0, ,6-4,Personal foul by C. Koloko (drawn by B. Adebayo),,1,4,6,-2,140.0
9:33.0, ,6-6,B. Adebayo makes 2-pt jump shot from 16 ft (assist by M. Strus),Tie,1,6,6,0,147.0
9:15.0,C. Koloko makes 2-pt jump shot from 9 ft (assist by F. VanVleet),8-6, ,,1,6,8,-2,165.0
9:05.0, ,8-8,M. Strus makes 2-pt layup from 2 ft (assist by B. Adebayo),Tie,1,8,8,0,175.0
8:52.0,G. Trent misses 3-pt jump shot from 26 ft,8-8, ,,1,8,8,0,188.0
8:49.0, ,8-8,Defensive rebound by T. Herro,,1,8,8,0,191.0
8:35.0, ,8-8,B. Adebayo misses 2-pt jump shot from 12 ft,,1,8,8,0,205.0
8:30.0,Defensive rebound by P. Siakam,8-8, ,,1,8,8,0,210.0
8:27.0,Offensive foul by O. Anunoby (drawn by K. Lowry),8-8, ,,1,8,8,0,213.0
8:27.0,Turnover by O. Anunoby (offensive foul),8-8, ,,1,8,8,0,213.0
8:15.0, ,8-8,K. Lowry misses 3-pt jump shot from 27 ft,,1,8,8,0,225.0
8:10.0,Defensive rebound by O. Anunoby,8-8, ,,1,8,8,0,230.0
8:03.0,F. VanVleet makes 2-pt jump shot from 9 ft,10-8, ,,1,8,10,-2,237.0
7:48.0, ,10-11,J. Butler makes 3-pt jump shot from 23 ft (assist by B. Adebayo),Lead change,1,11,10,1,252.0
7:21.0,F. VanVleet misses 2-pt jump shot from 16 ft,10-11, ,,1,11,10,1,279.0
7:17.0, ,10-11,Defensive rebound by J. Butler,,1,11,10,1,283.0
7:04.0, ,10-11,M. Strus misses 3-pt jump shot from 24 ft,,1,11,10,1,296.0
7:02.0,Defensive rebound by O. Anunoby,10-11, ,,1,11,10,1,298.0
6:59.0,P. Siakam makes 2-pt layup from 4 ft (assist by F. VanVleet),12-11, ,Lead change,1,11,12,-1,301.0
6:50.0, ,12-13,T. Herro makes 2-pt layup from 4 ft (assist by J. Butler),Lead change,1,13,12,1,310.0
6:50.0, ,12-13,Shooting foul by G. Trent (drawn by T. Herro),,1,13,12,1,310.0
