Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. N. Vučević (K. Love gains possession),0-0,,,1,0,0,0,0.0
11:43.0,Turnover by B. Adebayo (bad pass; steal by D. DeRozan),0-0, ,,1,0,0,0,17.0
11:31.0, ,0-0,D. DeRozan misses 2-pt jump shot from 15 ft,,1,0,0,0,29.0
11:31.0,Defensive rebound by Team,0-0, ,,1,0,0,0,29.0
11:23.0,T. Herro misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,37.0
11:19.0, ,0-0,Defensive rebound by P. Beverley,,1,0,0,0,41.0
11:10.0, ,0-2,Z. LaVine makes 2-pt layup at rim (assist by P. Beverley),,1,0,2,-2,50.0
10:57.0,K. Love makes 3-pt jump shot from 26 ft (assist by T. Herro),3-2, ,Lead change,1,3,2,1,63.0
10:32.0, ,3-2,P. Beverley misses 3-pt jump shot from 23 ft,,1,3,2,1,88.0
10:29.0,Defensive rebound by J. Butler,3-2, ,,1,3,2,1,91.0
10:20.0,K. Love misses 3-pt jump shot from 26 ft,3-2, ,,1,3,2,1,100.0
10:17.0, ,3-2,Defensive rebound by N. Vučević,,1,3,2,1,103.0
10:04.0, ,3-2,N. Vučević misses 2-pt jump shot from 6 ft,,1,3,2,1,116.0
10:02.0,Defensive rebound by T. Herro,3-2, ,,1,3,2,1,118.0
9:55.0,Turnover by T. Herro (step out of bounds),3-2, ,,1,3,2,1,125.0
9:41.0, ,3-2,Z. LaVine misses 3-pt jump shot from 24 ft,,1,3,2,1,139.0
9:39.0,Defensive rebound by T. Herro,3-2, ,,1,3,2,1,141.0
9:28.0,G. Vincent misses 3-pt jump shot from 23 ft,3-2, ,,1,3,2,1,152.0
9:26.0, ,3-2,Defensive rebound by N. Vučević,,1,3,2,1,154.0
9:12.0, ,3-4,Z. LaVine makes 2-pt layup from 2 ft (assist by A. Caruso),Lead change,1,3,4,-1,168.0
8:59.0,T. Herro misses 3-pt jump shot from 27 ft,3-4, ,,1,3,4,-1,181.0
8:55.0, ,3-4,Defensive rebound by N. Vučević,,1,3,4,-1,185.0
8:44.0, ,3-4,Z. LaVine misses 3-pt jump shot from 25 ft,,1,3,4,-1,196.0
8:42.0,Defensive rebound by G. Vincent,3-4, ,,1,3,4,-1,198.0
8:33.0,Shooting foul by Z. LaVine (drawn by J. Butler),3-4, ,,1,3,4,-1,207.0
8:33.0,J. Butler misses free throw 1 of 2,3-4, ,,1,3,4,-1,207.0
8:33.0,Offensive rebound by Team,3-4, ,,1,3,4,-1,207.0
8:33.0,J. Butler makes free throw 2 of 2,4-4, ,Tie,1,4,4,0,207.0
8:21.0, ,4-6,D. DeRozan makes 2-pt jump shot from 16 ft (assist by P. Beverley),,1,4,6,-2,219.0
8:13.0,T. Herro makes 3-pt jump shot from 27 ft (assist by B. Adebayo),7-6, ,Lead change,1,7,6,1,227.0
7:50.0, ,7-6,P. Beverley misses 3-pt jump shot from 26 ft,,1,7,6,1,250.0
7:47.0, ,7-6,Offensive rebound by Z. LaVine,,1,7,6,1,253.0
7:44.0, ,7-9,A. Caruso makes 3-pt jump shot from 24 ft (assist by Z. LaVine),Lead change,1,7,9,-2,256.0
7:28.0,K. Love misses 3-pt jump shot from 27 ft,7-9, ,,1,7,9,-2,272.0
7:24.0, ,7-9,Defensive rebound by D. DeRozan,,1,7,9,-2,276.0
7:08.0, ,7-9,A. Caruso misses 3-pt jump shot from 25 ft,,1,7,9,-2,292.0
7:06.0, ,7-9,Offensive rebound by Team,,1,7,9,-2,294.0
7:06.0,Loose ball foul by T. Herro (drawn by P. Beverley),7-9, ,,1,7,9,-2,294.0
7:06.0, ,7-9,Chicago full timeout,,1,7,9,-2,294.0
7:06.0, ,7-9,P. Williams enters the game for A. Caruso,,1,7,9,-2,294.0
7:00.0, ,7-9,Personal foul by J. Butler (drawn by D. DeRozan),,1,7,9,-2,300.0
6:44.0, ,7-9,P. Williams misses 3-pt jump shot from 25 ft,,1,7,9,-2,316.0
6:40.0,Defensive rebound by T. Herro,7-9, ,,1,7,9,-2,320.0
6:30.0,T. Herro makes 2-pt layup from 1 ft (assist by K. Love),9-9, ,Tie,1,9,9,0,330.0
6:11.0, ,9-11,D. DeRozan makes 2-pt jump shot from 17 ft,,1,9,11,-2,349.0
5:57.0,J. Butler makes 2-pt jump shot from 12 ft (assist by K. Love),11-11, ,Tie,1,11,11,0,363.0
5:57.0,M. Strus enters the game for B. Adebayo,11-11, ,,1,11,11,0,363.0
5:57.0,O. Yurtseven enters the game for T. Herro,11-11, ,,1,11,11,0,363.0
5:57.0, ,11-11,A. Dosunmu enters the game for P. Beverley,,1,11,11,0,363.0
5:57.0, ,11-11,C. White enters the game for D. DeRozan,,1,11,11,0,363.0
5:31.0, ,11-13,N. Vučević makes 2-pt hook shot from 5 ft (assist by C. White),,1,11,13,-2,389.0
5:16.0,J. Butler makes 2-pt layup from 2 ft,13-13, ,Tie,1,13,13,0,404.0
5:01.0, ,13-13,A. Dosunmu misses 2-pt jump shot from 9 ft,,1,13,13,0,419.0
4:59.0,Defensive rebound by K. Love,13-13, ,,1,13,13,0,421.0
4:45.0,Turnover by O. Yurtseven (lost ball; steal by A. Dosunmu),13-13, ,,1,13,13,0,435.0
4:41.0, ,13-15,A. Dosunmu makes 2-pt layup from 1 ft (assist by Z. LaVine),,1,13,15,-2,439.0
4:19.0,G. Vincent misses 2-pt jump shot from 14 ft,13-15, ,,1,13,15,-2,461.0
4:17.0, ,13-15,Defensive rebound by C. White,,1,13,15,-2,463.0
4:12.0, ,13-17,Z. LaVine makes 2-pt layup from 2 ft (assist by A. Dosunmu),,1,13,17,-4,468.0
4:11.0,Miami full timeout,13-17, ,,1,13,17,-4,469.0
3:50.0,J. Butler misses 2-pt jump shot from 17 ft,13-17, ,,1,13,17,-4,490.0
3:47.0,Offensive rebound by Team,13-17, ,,1,13,17,-4,493.0
3:47.0,C. Martin enters the game for K. Love,13-17, ,,1,13,17,-4,493.0
3:45.0,M. Strus misses 3-pt jump shot from 24 ft,13-17, ,,1,13,17,-4,495.0
3:43.0,Offensive rebound by J. Butler,13-17, ,,1,13,17,-4,497.0
3:43.0,Shooting foul by N. Vučević (drawn by J. Butler),13-17, ,,1,13,17,-4,497.0
3:43.0,J. Butler makes free throw 1 of 2,14-17, ,,1,14,17,-3,497.0
3:43.0,V. Oladipo enters the game for G. Vincent,14-17, ,,1,14,17,-3,497.0
3:43.0,J. Butler misses free throw 2 of 2,14-17, ,,1,14,17,-3,497.0
3:40.0, ,14-17,Defensive rebound by N. Vučević,,1,14,17,-3,500.0
3:30.0, ,14-19,N. Vučević makes 2-pt jump shot from 14 ft (assist by A. Dosunmu),,1,14,19,-5,510.0
3:05.0,J. Butler misses 2-pt layup from 1 ft,14-19, ,,1,14,19,-5,535.0
3:03.0, ,14-19,Defensive rebound by Z. LaVine,,1,14,19,-5,537.0
2:58.0, ,14-22,C. White makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,1,14,22,-8,542.0
2:36.0,O. Yurtseven misses 3-pt jump shot from 23 ft,14-22, ,,1,14,22,-8,564.0
2:35.0,Offensive rebound by Team,14-22, ,,1,14,22,-8,565.0
