Time,Phoenix,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Ayton vs. B. Adebayo (C. Martin gains possession),0-0,,,1,0,0,0,0.0
11:34.0, ,0-3,C. Martin makes 3-pt jump shot from 23 ft (assist by K. Lowry),,1,3,0,3,26.0
11:21.0,M. Bridges misses 2-pt jump shot from 9 ft,0-3, ,,1,3,0,3,39.0
11:17.0, ,0-3,Defensive rebound by B. Adebayo,,1,3,0,3,43.0
11:12.0, ,0-3,Turnover by B. Adebayo (lost ball; steal by M. Bridges),,1,3,0,3,48.0
11:08.0,M. Bridges misses 2-pt layup from 2 ft,0-3, ,,1,3,0,3,52.0
11:03.0, ,0-3,Defensive rebound by J. Butler,,1,3,0,3,57.0
10:56.0, ,0-5,J. Butler makes 2-pt layup from 4 ft,,1,5,0,5,64.0
10:42.0,D. Ayton makes 2-pt jump shot from 3 ft (assist by D. Booker),2-5, ,,1,5,2,3,78.0
10:27.0, ,2-5,M. Strus misses 2-pt jump shot from 7 ft,,1,5,2,3,93.0
10:21.0, ,2-5,Offensive rebound by M. Strus,,1,5,2,3,99.0
10:20.0, ,2-8,J. Butler makes 3-pt jump shot from 25 ft (assist by C. Martin),,1,8,2,6,100.0
10:09.0,Turnover by D. Booker (bad pass; steal by K. Lowry),2-8, ,,1,8,2,6,111.0
10:00.0, ,2-10,B. Adebayo makes 2-pt hook shot from 6 ft (assist by J. Butler),,1,10,2,8,120.0
9:50.0,T. Craig makes 3-pt jump shot from 23 ft (assist by D. Booker),5-10, ,,1,10,5,5,130.0
9:39.0, ,5-10,Shooting foul by M. Bridges (drawn by J. Butler),,1,10,5,5,141.0
9:39.0, ,5-11,J. Butler makes free throw 1 of 2,,1,11,5,6,141.0
9:39.0, ,5-12,J. Butler makes free throw 2 of 2,,1,12,5,7,141.0
9:23.0,Personal foul by M. Strus (drawn by C. Payne),5-12, ,,1,12,5,7,157.0
9:13.0,M. Bridges makes 2-pt jump shot from 15 ft,7-12, ,,1,12,7,5,167.0
8:53.0, ,7-12,K. Lowry misses 2-pt layup from 4 ft (block by T. Craig),,1,12,7,5,187.0
8:50.0, ,7-12,Offensive rebound by B. Adebayo,,1,12,7,5,190.0
8:49.0, ,7-14,B. Adebayo makes 2-pt layup from 3 ft,,1,14,7,7,191.0
8:38.0,D. Booker makes 3-pt jump shot from 26 ft,10-14, ,,1,14,10,4,202.0
8:20.0, ,10-14,B. Adebayo misses 2-pt jump shot from 13 ft,,1,14,10,4,220.0
8:17.0,Defensive rebound by D. Ayton,10-14, ,,1,14,10,4,223.0
8:02.0,M. Bridges misses 2-pt jump shot from 11 ft,10-14, ,,1,14,10,4,238.0
7:58.0,Offensive rebound by T. Craig,10-14, ,,1,14,10,4,242.0
7:56.0,T. Craig misses 2-pt jump shot from 12 ft,10-14, ,,1,14,10,4,244.0
7:56.0, ,10-14,Defensive rebound by B. Adebayo,,1,14,10,4,244.0
7:50.0, ,10-14,Turnover by K. Lowry (bad pass; steal by D. Booker),,1,14,10,4,250.0
7:44.0,T. Craig misses 2-pt layup from 2 ft,10-14, ,,1,14,10,4,256.0
7:41.0,Offensive rebound by T. Craig,10-14, ,,1,14,10,4,259.0
7:39.0,T. Craig makes 2-pt layup from 6 ft,12-14, ,,1,14,12,2,261.0
7:15.0, ,12-14,K. Lowry misses 2-pt jump shot from 22 ft,,1,14,12,2,285.0
7:14.0,Defensive rebound by D. Ayton,12-14, ,,1,14,12,2,286.0
7:12.0,Turnover by C. Payne (bad pass; steal by M. Strus),12-14, ,,1,14,12,2,288.0
7:10.0, ,12-14,Turnover by M. Strus (bad pass; steal by T. Craig),,1,14,12,2,290.0
7:03.0,T. Craig misses 3-pt jump shot from 26 ft,12-14, ,,1,14,12,2,297.0
7:02.0, ,12-14,Defensive rebound by K. Lowry,,1,14,12,2,298.0
6:53.0, ,12-17,C. Martin makes 3-pt jump shot from 26 ft (assist by K. Lowry),,1,17,12,5,307.0
6:36.0,C. Payne misses 2-pt jump shot from 6 ft,12-17, ,,1,17,12,5,324.0
6:35.0, ,12-17,Defensive rebound by Team,,1,17,12,5,325.0
6:35.0,Loose ball foul by T. Craig (drawn by K. Lowry),12-17, ,,1,17,12,5,325.0
6:35.0, ,12-17,Miami full timeout,,1,17,12,5,325.0
6:22.0, ,12-17,M. Strus misses 3-pt jump shot from 23 ft,,1,17,12,5,338.0
6:19.0,Defensive rebound by C. Payne,12-17, ,,1,17,12,5,341.0
6:03.0,D. Ayton makes 2-pt hook shot from 6 ft (assist by C. Payne),14-17, ,,1,17,14,3,357.0
5:44.0, ,14-17,Personal foul by T. Craig (drawn by M. Strus),,1,17,14,3,376.0
5:44.0,D. Lee enters the game for T. Craig,14-17, ,,1,17,14,3,376.0
5:44.0, ,14-17,D. Robinson enters the game for J. Butler,,1,17,14,3,376.0
5:44.0, ,14-17,G. Vincent enters the game for M. Strus,,1,17,14,3,376.0
5:31.0, ,14-17,K. Lowry misses 2-pt jump shot from 19 ft,,1,17,14,3,389.0
5:27.0,Defensive rebound by D. Booker,14-17, ,,1,17,14,3,393.0
5:19.0,D. Lee makes 3-pt jump shot from 23 ft (assist by C. Payne),17-17, ,Tie,1,17,17,0,401.0
5:09.0, ,17-20,D. Robinson makes 3-pt jump shot from 24 ft (assist by K. Lowry),,1,20,17,3,411.0
4:58.0,C. Payne misses 2-pt jump shot from 11 ft,17-20, ,,1,20,17,3,422.0
4:55.0, ,17-20,Defensive rebound by K. Lowry,,1,20,17,3,425.0
4:45.0, ,17-20,Turnover by D. Robinson (bad pass; steal by D. Ayton),,1,20,17,3,435.0
4:42.0,D. Booker misses 3-pt jump shot from 23 ft,17-20, ,,1,20,17,3,438.0
4:39.0,Offensive rebound by D. Ayton,17-20, ,,1,20,17,3,441.0
4:36.0,D. Ayton makes 2-pt layup from 2 ft,19-20, ,,1,20,19,1,444.0
4:16.0, ,19-23,C. Martin makes 3-pt jump shot from 23 ft (assist by K. Lowry),,1,23,19,4,464.0
3:52.0,D. Booker makes 2-pt jump shot from 10 ft,21-23, ,,1,23,21,2,488.0
3:44.0, ,21-23,Shooting foul by D. Ayton (drawn by B. Adebayo),,1,23,21,2,496.0
3:44.0, ,21-24,B. Adebayo makes free throw 1 of 2,,1,24,21,3,496.0
3:44.0,D. Washington enters the game for C. Payne,21-24, ,,1,24,21,3,496.0
3:44.0, ,21-25,B. Adebayo makes free throw 2 of 2,,1,25,21,4,496.0
3:27.0,D. Booker makes 2-pt jump shot from 9 ft,23-25, ,,1,25,23,2,513.0
3:01.0, ,23-28,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Lowry),,1,28,23,5,539.0
2:41.0,D. Washington makes 3-pt jump shot from 26 ft (assist by D. Ayton),26-28, ,,1,28,26,2,559.0
2:27.0, ,26-31,G. Vincent makes 3-pt jump shot from 26 ft,,1,31,26,5,573.0
2:17.0,Phoenix full timeout,26-31, ,,1,31,26,5,583.0
2:17.0,Def 3 sec tech foul by Team,26-31, ,,1,31,26,5,583.0
2:17.0,J. Landale enters the game for D. Ayton,26-31, ,,1,31,26,5,583.0
2:17.0,J. Okogie enters the game for M. Bridges,26-31, ,,1,31,26,5,583.0
2:17.0, ,26-31,J. Butler enters the game for B. Adebayo,,1,31,26,5,583.0
2:17.0, ,26-31,D. Dedmon enters the game for K. Lowry,,1,31,26,5,583.0
2:17.0, ,26-31,M. Strus enters the game for C. Martin,,1,31,26,5,583.0
2:17.0,D. Booker misses technical free throw,26-31, ,,1,31,26,5,583.0
2:17.0,Offensive rebound by Team,26-31, ,,1,31,26,5,583.0
2:11.0,D. Booker misses 2-pt layup from 2 ft,26-31, ,,1,31,26,5,589.0
2:07.0,Offensive rebound by D. Booker,26-31, ,,1,31,26,5,593.0
2:07.0,D. Booker misses 2-pt layup from 1 ft,26-31, ,,1,31,26,5,593.0
2:07.0, ,26-31,Defensive rebound by G. Vincent,,1,31,26,5,593.0
2:02.0, ,26-31,D. Robinson misses 3-pt jump shot from 23 ft,,1,31,26,5,598.0
1:59.0, ,26-31,Offensive rebound by J. Butler,,1,31,26,5,601.0
1:55.0, ,26-31,M. Strus misses 2-pt layup from 3 ft,,1,31,26,5,605.0
1:52.0, ,26-31,Offensive rebound by D. Dedmon,,1,31,26,5,608.0
1:47.0, ,26-31,Turnover by Team (shot clock),,1,31,26,5,613.0
1:39.0,D. Lee makes 3-pt jump shot from 24 ft (assist by D. Washington),29-31, ,,1,31,29,2,621.0
1:17.0, ,29-33,D. Dedmon makes 2-pt jump shot from 12 ft (assist by G. Vincent),,1,33,29,4,643.0
0:57.0,D. Booker misses 2-pt jump shot from 17 ft,29-33, ,,1,33,29,4,663.0
0:54.0, ,29-33,Defensive rebound by G. Vincent,,1,33,29,4,666.0
0:50.0, ,29-33,D. Dedmon misses 3-pt jump shot from 27 ft,,1,33,29,4,670.0
0:45.0,Defensive rebound by D. Booker,29-33, ,,1,33,29,4,675.0
0:32.0,Turnover by D. Lee (traveling),29-33, ,,1,33,29,4,688.0
0:22.0, ,29-33,Personal foul by D. Lee (drawn by D. Robinson),,1,33,29,4,698.0
0:22.0, ,29-34,D. Robinson makes free throw 1 of 2,,1,34,29,5,698.0
0:22.0,M. Bridges enters the game for J. Okogie,29-34, ,,1,34,29,5,698.0
0:22.0, ,29-34,C. Martin enters the game for M. Strus,,1,34,29,5,698.0
0:22.0, ,29-35,D. Robinson makes free throw 2 of 2,,1,35,29,6,698.0
0:01.0,M. Bridges makes 2-pt layup from 2 ft (assist by D. Washington),31-35, ,,1,35,31,4,719.0
0:00.0,End of 1st quarter,31-35,,,1,35,31,4,720.0
12:00.0,Start of 2nd quarter,31-35,,,2,35,31,4,720.0
11:43.0,D. Lee misses 3-pt jump shot from 26 ft,31-35, ,,2,35,31,4,737.0
11:40.0,Offensive rebound by J. Landale,31-35, ,,2,35,31,4,740.0
11:33.0,D. Washington misses 2-pt hook shot from 8 ft,31-35, ,,2,35,31,4,747.0
11:28.0, ,31-35,Defensive rebound by J. Butler,,2,35,31,4,752.0
11:18.0, ,31-35,Turnover by M. Strus (bad pass; steal by J. Okogie),,2,35,31,4,762.0
11:14.0,D. Washington makes 2-pt layup from 1 ft (assist by J. Okogie),33-35, ,,2,35,33,2,766.0
10:48.0, ,33-35,G. Vincent misses 3-pt jump shot from 27 ft,,2,35,33,2,792.0
10:44.0,Defensive rebound by M. Bridges,33-35, ,,2,35,33,2,796.0
10:38.0,J. Landale misses 2-pt layup from 3 ft,33-35, ,,2,35,33,2,802.0
10:36.0, ,33-35,Defensive rebound by G. Vincent,,2,35,33,2,804.0
10:29.0, ,33-35,D. Dedmon misses 2-pt jump shot from 9 ft,,2,35,33,2,811.0
10:25.0,Defensive rebound by J. Okogie,33-35, ,,2,35,33,2,815.0
10:15.0,D. Washington makes 3-pt jump shot from 24 ft,36-35, ,Lead change,2,35,36,-1,825.0
9:47.0, ,36-35,G. Vincent misses 2-pt jump shot from 7 ft,,2,35,36,-1,853.0
9:46.0, ,36-35,Offensive rebound by D. Dedmon,,2,35,36,-1,854.0
9:44.0, ,36-37,D. Dedmon makes 2-pt layup from 3 ft,Lead change,2,37,36,1,856.0
9:33.0,J. Landale misses 3-pt jump shot from 25 ft,36-37, ,,2,37,36,1,867.0
9:30.0, ,36-37,Defensive rebound by G. Vincent,,2,37,36,1,870.0
9:19.0, ,36-39,D. Robinson makes 2-pt jump shot from 7 ft (assist by J. Butler),,2,39,36,3,881.0
9:05.0,D. Washington makes 2-pt jump shot from 14 ft,38-39, ,,2,39,38,1,895.0
8:56.0, ,38-41,J. Butler makes 2-pt layup from 2 ft (assist by G. Vincent),,2,41,38,3,904.0
8:56.0, ,38-41,Shooting foul by J. Okogie (drawn by J. Butler),,2,41,38,3,904.0
8:56.0, ,38-42,J. Butler makes free throw 1 of 1,,2,42,38,4,904.0
8:44.0,D. Washington makes 3-pt jump shot from 25 ft,41-42, ,,2,42,41,1,916.0
8:24.0, ,41-42,M. Strus misses 3-pt jump shot from 26 ft,,2,42,41,1,936.0
8:21.0, ,41-42,Offensive rebound by J. Butler,,2,42,41,1,939.0
8:20.0, ,41-42,J. Butler misses 2-pt layup from 2 ft,,2,42,41,1,940.0
8:16.0,Defensive rebound by J. Landale,41-42, ,,2,42,41,1,944.0
8:06.0,M. Bridges misses 3-pt jump shot from 23 ft,41-42, ,,2,42,41,1,954.0
8:03.0, ,41-42,Defensive rebound by J. Butler,,2,42,41,1,957.0
7:53.0, ,41-42,Turnover by D. Robinson (bad pass; steal by D. Lee),,2,42,41,1,967.0
7:49.0,D. Washington makes 3-pt jump shot from 26 ft (assist by D. Lee),44-42, ,Lead change,2,42,44,-2,971.0
7:47.0, ,44-42,Miami full timeout,,2,42,44,-2,973.0
7:47.0,D. Ayton enters the game for J. Landale,44-42, ,,2,42,44,-2,973.0
7:47.0, ,44-42,B. Adebayo enters the game for J. Butler,,2,42,44,-2,973.0
7:47.0, ,44-42,K. Lowry enters the game for D. Dedmon,,2,42,44,-2,973.0
7:47.0, ,44-42,C. Martin enters the game for M. Strus,,2,42,44,-2,973.0
7:40.0, ,44-42,D. Robinson misses 3-pt jump shot from 27 ft,,2,42,44,-2,980.0
7:38.0,Defensive rebound by D. Lee,44-42, ,,2,42,44,-2,982.0
7:38.0,C. Payne enters the game for J. Okogie,44-42, ,,2,42,44,-2,982.0
7:16.0,D. Washington misses 3-pt jump shot from 26 ft (block by C. Martin),44-42, ,,2,42,44,-2,1004.0
7:14.0,Offensive rebound by Team,44-42, ,,2,42,44,-2,1006.0
7:13.0,Turnover by Team (shot clock),44-42, ,,2,42,44,-2,1007.0
7:02.0, ,44-42,K. Lowry misses 3-pt jump shot from 26 ft,,2,42,44,-2,1018.0
6:55.0,Defensive rebound by M. Bridges,44-42, ,,2,42,44,-2,1025.0
6:52.0,C. Payne makes 3-pt jump shot from 26 ft,47-42, ,,2,42,47,-5,1028.0
6:39.0, ,47-44,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Vincent),,2,44,47,-3,1041.0
6:28.0,C. Payne misses 2-pt jump shot from 9 ft,47-44, ,,2,44,47,-3,1052.0
6:28.0, ,47-44,Defensive rebound by Team,,2,44,47,-3,1052.0
6:28.0,T. Craig enters the game for D. Lee,47-44, ,,2,44,47,-3,1052.0
6:10.0, ,47-47,G. Vincent makes 3-pt jump shot from 26 ft (assist by K. Lowry),Tie,2,47,47,0,1070.0
5:56.0,M. Bridges makes 2-pt jump shot from 10 ft,49-47, ,,2,47,49,-2,1084.0
5:48.0, ,49-47,B. Adebayo misses 3-pt jump shot from 26 ft,,2,47,49,-2,1092.0
5:44.0,Defensive rebound by T. Craig,49-47, ,,2,47,49,-2,1096.0
5:34.0,Turnover by T. Craig (bad pass),49-47, ,,2,47,49,-2,1106.0
5:34.0,D. Booker enters the game for D. Washington,49-47, ,,2,47,49,-2,1106.0
5:20.0, ,49-47,Turnover by G. Vincent (traveling),,2,47,49,-2,1120.0
5:11.0,D. Ayton misses 3-pt jump shot from 25 ft,49-47, ,,2,47,49,-2,1129.0
5:07.0, ,49-47,Defensive rebound by B. Adebayo,,2,47,49,-2,1133.0
5:01.0, ,49-47,B. Adebayo misses 2-pt jump shot from 8 ft,,2,47,49,-2,1139.0
4:57.0,Defensive rebound by C. Payne,49-47, ,,2,47,49,-2,1143.0
4:44.0,Turnover by D. Ayton (3 sec),49-47, ,,2,47,49,-2,1156.0
