Time,Cleveland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. C. Capela (D. Mitchell gains possession),0-0,,,1,0,0,0,0.0
11:43.0,J. Allen makes 2-pt jump shot from 10 ft (assist by M. Strus),2-0, ,,1,0,2,-2,17.0
11:29.0, ,2-0,D. Murray misses 2-pt jump shot from 11 ft,,1,0,2,-2,31.0
11:27.0,Defensive rebound by I. Okoro,2-0, ,,1,0,2,-2,33.0
11:24.0,M. Strus makes 2-pt layup from 2 ft (assist by I. Okoro),4-0, ,,1,0,4,-4,36.0
11:03.0, ,4-0,J. Johnson misses 2-pt jump shot from 10 ft,,1,0,4,-4,57.0
11:00.0,Defensive rebound by J. Allen,4-0, ,,1,0,4,-4,60.0
10:57.0,I. Okoro makes 2-pt layup from 1 ft (assist by M. Strus),6-0, ,,1,0,6,-6,63.0
10:43.0, ,6-0,Turnover by T. Young (bad pass),,1,0,6,-6,77.0
10:30.0,M. Strus misses 3-pt jump shot from 25 ft,6-0, ,,1,0,6,-6,90.0
10:27.0, ,6-0,Defensive rebound by J. Johnson,,1,0,6,-6,93.0
10:19.0, ,6-0,Turnover by D. Murray (bad pass; steal by J. Allen),,1,0,6,-6,101.0
10:11.0,J. Allen misses 2-pt dunk from 1 ft (block by J. Johnson),6-0, ,,1,0,6,-6,109.0
10:10.0,Offensive rebound by D. Wade,6-0, ,,1,0,6,-6,110.0
10:10.0,D. Wade makes 2-pt layup at rim,8-0, ,,1,0,8,-8,110.0
10:10.0, ,8-0,Atlanta full timeout,,1,0,8,-8,110.0
9:47.0, ,8-0,S. Bey misses 3-pt jump shot from 23 ft,,1,0,8,-8,133.0
9:43.0,Defensive rebound by J. Allen,8-0, ,,1,0,8,-8,137.0
9:35.0,M. Strus misses 2-pt layup from 1 ft (block by C. Capela),8-0, ,,1,0,8,-8,145.0
9:32.0, ,8-0,Defensive rebound by S. Bey,,1,0,8,-8,148.0
9:28.0, ,8-0,Personal foul by I. Okoro (drawn by C. Capela),,1,0,8,-8,152.0
9:28.0,Cleveland full timeout,8-0, ,,1,0,8,-8,152.0
9:25.0, ,8-0,D. Murray misses 3-pt jump shot from 23 ft,,1,0,8,-8,155.0
9:22.0,Defensive rebound by J. Allen,8-0, ,,1,0,8,-8,158.0
