Time,Atlanta,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:53.0, ,97-100,T. Harris enters the game for M. Morris,,4,97,100,-3,2347.0
8:41.0, ,97-100,Offensive foul by M. Bamba (drawn by T. Forrest),,4,97,100,-3,2359.0
8:41.0, ,97-100,Turnover by M. Bamba (offensive foul),,4,97,100,-3,2359.0
8:32.0, ,97-100,Technical foul by P. Beverley,,4,97,100,-3,2368.0
8:32.0,D. Murray makes technical free throw,98-100, ,,4,98,100,-2,2368.0
8:23.0,T. Forrest misses 2-pt jump shot from 12 ft,98-100, ,,4,98,100,-2,2377.0
8:23.0, ,98-100,Defensive rebound by Team,,4,98,100,-2,2377.0
8:23.0,Loose ball foul by C. Capela (drawn by M. Bamba),98-100, ,,4,98,100,-2,2377.0
8:23.0,B. Bogdanović enters the game for C. Capela,98-100, ,,4,98,100,-2,2377.0
8:23.0,O. Okongwu enters the game for T. Forrest,98-100, ,,4,98,100,-2,2377.0
8:07.0, ,98-102,T. Maxey makes 2-pt layup from 2 ft,,4,98,102,-4,2393.0
7:53.0,Turnover by D. Hunter (step out of bounds),98-102, ,,4,98,102,-4,2407.0
7:33.0, ,98-102,T. Harris misses 2-pt jump shot from 14 ft,,4,98,102,-4,2427.0
7:29.0, ,98-102,Offensive rebound by M. Bamba,,4,98,102,-4,2431.0
7:29.0, ,98-102,M. Bamba misses 2-pt layup from 1 ft,,4,98,102,-4,2431.0
7:29.0,Defensive rebound by O. Okongwu,98-102, ,,4,98,102,-4,2431.0
7:12.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),101-102, ,,4,101,102,-1,2448.0
6:55.0, ,101-104,T. Maxey makes 2-pt jump shot from 22 ft,,4,101,104,-3,2465.0
6:41.0,Shooting foul by T. Maxey (drawn by B. Bogdanović),101-104, ,,4,101,104,-3,2479.0
6:41.0,B. Bogdanović makes free throw 1 of 3,102-104, ,,4,102,104,-2,2479.0
6:41.0,B. Bogdanović makes free throw 2 of 3,103-104, ,,4,103,104,-1,2479.0
6:41.0,C. Capela enters the game for O. Okongwu,103-104, ,,4,103,104,-1,2479.0
6:41.0, ,103-104,N. Batum enters the game for M. Bamba,,4,103,104,-1,2479.0
6:41.0, ,103-104,J. Embiid enters the game for P. Beverley,,4,103,104,-1,2479.0
6:41.0, ,103-104,D. Melton enters the game for K. Oubre,,4,103,104,-1,2479.0
6:41.0,B. Bogdanović makes free throw 3 of 3,104-104, ,Tie,4,104,104,0,2479.0
6:20.0, ,104-104,J. Embiid misses 2-pt jump shot from 20 ft,,4,104,104,0,2500.0
6:17.0,Defensive rebound by B. Bogdanović,104-104, ,,4,104,104,0,2503.0
6:09.0,Turnover by C. Capela (traveling),104-104, ,,4,104,104,0,2511.0
5:56.0, ,104-104,D. Melton misses 3-pt jump shot from 25 ft,,4,104,104,0,2524.0
5:53.0,Defensive rebound by C. Capela,104-104, ,,4,104,104,0,2527.0
5:37.0,S. Bey makes 2-pt layup from 2 ft,106-104, ,Lead change,4,106,104,2,2543.0
5:37.0,Shooting foul by T. Harris (drawn by S. Bey),106-104, ,,4,106,104,2,2543.0
5:37.0,S. Bey makes free throw 1 of 1,107-104, ,,4,107,104,3,2543.0
5:23.0, ,107-106,J. Embiid makes 2-pt layup from 3 ft (assist by T. Maxey),,4,107,106,1,2557.0
5:03.0,Shooting foul by T. Maxey (drawn by C. Capela),107-106, ,,4,107,106,1,2577.0
5:03.0,C. Capela makes free throw 1 of 2,108-106, ,,4,108,106,2,2577.0
5:03.0,C. Capela makes free throw 2 of 2,109-106, ,,4,109,106,3,2577.0
4:45.0, ,109-106,Turnover by J. Embiid (out of bounds lost ball),,4,109,106,3,2595.0
4:34.0,Turnover by B. Bogdanović (bad pass; steal by T. Maxey),109-106, ,,4,109,106,3,2606.0
4:33.0, ,109-106,Personal foul by B. Bogdanović (drawn by T. Maxey),,4,109,106,3,2607.0
4:33.0, ,109-107,T. Maxey makes free throw 1 of 1,,4,109,107,2,2607.0
4:17.0, ,109-107,J. Embiid misses 2-pt jump shot from 20 ft,,4,109,107,2,2623.0
4:13.0,Defensive rebound by B. Bogdanović,109-107, ,,4,109,107,2,2627.0
4:00.0,C. Capela misses 2-pt layup from 1 ft (block by J. Embiid),109-107, ,,4,109,107,2,2640.0
3:57.0,Offensive rebound by C. Capela,109-107, ,,4,109,107,2,2643.0
3:53.0,Turnover by D. Murray (out of bounds lost ball),109-107, ,,4,109,107,2,2647.0
3:42.0, ,109-107,T. Maxey misses 2-pt layup from 2 ft,,4,109,107,2,2658.0
3:41.0,Defensive rebound by C. Capela,109-107, ,,4,109,107,2,2659.0
3:38.0,S. Bey misses 3-pt jump shot from 25 ft,109-107, ,,4,109,107,2,2662.0
3:31.0,Offensive rebound by D. Murray,109-107, ,,4,109,107,2,2669.0
3:31.0,D. Murray misses 2-pt layup at rim (block by J. Embiid),109-107, ,,4,109,107,2,2669.0
3:31.0,Offensive rebound by C. Capela,109-107, ,,4,109,107,2,2669.0
3:31.0,C. Capela misses 2-pt layup at rim,109-107, ,,4,109,107,2,2669.0
3:31.0, ,109-107,Defensive rebound by J. Embiid,,4,109,107,2,2669.0
3:31.0, ,109-107,Personal take foul by D. Murray (drawn by J. Embiid),,4,109,107,2,2669.0
3:31.0, ,109-108,J. Embiid makes free throw 1 of 2,,4,109,108,1,2669.0
3:31.0, ,109-108,K. Oubre enters the game for T. Maxey,,4,109,108,1,2669.0
3:31.0, ,109-109,J. Embiid makes free throw 2 of 2,Tie,4,109,109,0,2669.0
3:18.0,Turnover by B. Bogdanović (lost ball; steal by D. Melton),109-109, ,,4,109,109,0,2682.0
3:15.0, ,109-111,D. Melton makes 2-pt dunk from 2 ft (assist by N. Batum),Lead change,4,109,111,-2,2685.0
3:15.0,Atlanta full timeout,109-111, ,,4,109,111,-2,2685.0
2:50.0,D. Hunter misses 2-pt jump shot from 13 ft,109-111, ,,4,109,111,-2,2710.0
2:47.0, ,109-111,Defensive rebound by K. Oubre,,4,109,111,-2,2713.0
2:31.0, ,109-113,J. Embiid makes 2-pt jump shot from 18 ft (assist by N. Batum),,4,109,113,-4,2729.0
2:31.0, ,109-113,T. Maxey enters the game for N. Batum,,4,109,113,-4,2729.0
2:08.0,S. Bey misses 3-pt jump shot from 23 ft,109-113, ,,4,109,113,-4,2752.0
2:05.0, ,109-113,Defensive rebound by J. Embiid,,4,109,113,-4,2755.0
1:51.0, ,109-113,Shooting foul by C. Capela (drawn by J. Embiid),,4,109,113,-4,2769.0
1:51.0, ,109-114,J. Embiid makes free throw 1 of 2,,4,109,114,-5,2769.0
1:51.0, ,109-115,J. Embiid makes free throw 2 of 2,,4,109,115,-6,2769.0
1:42.0,D. Murray misses 3-pt jump shot from 26 ft,109-115, ,,4,109,115,-6,2778.0
1:39.0, ,109-115,Defensive rebound by D. Melton,,4,109,115,-6,2781.0
1:22.0, ,109-118,T. Maxey makes 3-pt jump shot from 27 ft (assist by D. Melton),,4,109,118,-9,2798.0
1:20.0,Atlanta full timeout,109-118, ,,4,109,118,-9,2800.0
1:15.0,B. Bogdanović misses 3-pt jump shot from 26 ft,109-118, ,,4,109,118,-9,2805.0
1:14.0, ,109-118,Defensive rebound by Team,,4,109,118,-9,2806.0
1:04.0, ,109-118,Personal foul by S. Bey (drawn by D. Melton),,4,109,118,-9,2816.0
1:04.0, ,109-118,D. Melton misses free throw 1 of 2,,4,109,118,-9,2816.0
1:04.0, ,109-118,Offensive rebound by Team,,4,109,118,-9,2816.0
1:04.0, ,109-119,D. Melton makes free throw 2 of 2,,4,109,119,-10,2816.0
0:58.0,Turnover by D. Murray (lost ball; steal by K. Oubre),109-119, ,,4,109,119,-10,2822.0
0:55.0, ,109-121,D. Melton makes 2-pt dunk from 1 ft (assist by T. Harris),,4,109,121,-12,2825.0
0:48.0,B. Bogdanović misses 3-pt jump shot from 27 ft (block by T. Maxey),109-121, ,,4,109,121,-12,2832.0
0:45.0,Offensive rebound by C. Capela,109-121, ,,4,109,121,-12,2835.0
0:45.0,C. Capela misses 2-pt layup from 9 ft,109-121, ,,4,109,121,-12,2835.0
0:44.0,C. Capela makes 2-pt jump shot from 5 ft,111-121, ,,4,111,121,-10,2836.0
0:43.0, ,111-121,Personal take foul by B. Bogdanović (drawn by T. Maxey),,4,111,121,-10,2837.0
0:43.0, ,111-122,T. Maxey makes free throw 1 of 2,,4,111,122,-11,2837.0
0:43.0, ,111-122,N. Batum enters the game for J. Embiid,,4,111,122,-11,2837.0
0:43.0, ,111-123,T. Maxey makes free throw 2 of 2,,4,111,123,-12,2837.0
0:37.0,D. Murray makes 3-pt jump shot from 29 ft,114-123, ,,4,114,123,-9,2843.0
0:35.0, ,114-123,Personal take foul by B. Bogdanović (drawn by T. Maxey),,4,114,123,-9,2845.0
0:35.0, ,114-124,T. Maxey makes free throw 1 of 2,,4,114,124,-10,2845.0
0:35.0, ,114-125,T. Maxey makes free throw 2 of 2,,4,114,125,-11,2845.0
0:30.0,D. Murray misses 3-pt jump shot from 29 ft,114-125, ,,4,114,125,-11,2850.0
0:26.0, ,114-125,Defensive rebound by T. Maxey,,4,114,125,-11,2854.0
0:05.0, ,114-125,Turnover by Team (shot clock),,4,114,125,-11,2875.0
0:00.0,End of 4th quarter,114-125,,,4,114,125,-11,2880.0
