Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:12.0, ,13-10,J. Smith misses 3-pt jump shot from 25 ft,,1,13,10,3,228.0
8:09.0, ,13-10,Offensive rebound by J. Smith,,1,13,10,3,231.0
8:00.0, ,13-10,Shooting foul by D. Murray (drawn by J. Smith),,1,13,10,3,240.0
8:00.0, ,13-11,J. Smith makes free throw 1 of 2,,1,13,11,2,240.0
8:00.0, ,13-12,J. Smith makes free throw 2 of 2,,1,13,12,1,240.0
7:43.0,D. Hunter makes 2-pt jump shot from 7 ft (assist by T. Young),15-12, ,,1,15,12,3,257.0
7:29.0, ,15-12,A. Sengun misses 2-pt jump shot from 5 ft,,1,15,12,3,271.0
7:27.0,Defensive rebound by T. Young,15-12, ,,1,15,12,3,273.0
7:20.0,D. Hunter misses 3-pt jump shot from 25 ft,15-12, ,,1,15,12,3,280.0
7:18.0,Offensive rebound by C. Capela,15-12, ,,1,15,12,3,282.0
7:17.0,Shooting foul by A. Sengun (drawn by C. Capela),15-12, ,,1,15,12,3,283.0
7:17.0,C. Capela makes free throw 1 of 2,16-12, ,,1,16,12,4,283.0
7:17.0,C. Capela makes free throw 2 of 2,17-12, ,,1,17,12,5,283.0
7:03.0, ,17-14,J. Smith makes 2-pt dunk from 2 ft (assist by A. Sengun),,1,17,14,3,297.0
6:47.0,T. Young makes 3-pt jump shot from 25 ft,20-14, ,,1,20,14,6,313.0
6:47.0,Shooting foul by D. Brooks (drawn by T. Young),20-14, ,,1,20,14,6,313.0
6:47.0, ,20-14,Houston full timeout,,1,20,14,6,313.0
