Time,Minnesota,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:48.0,S. Milton enters the game for K. Towns,29-28, ,,1,28,29,-1,552.0
2:48.0, ,29-28,A. Griffin enters the game for C. Capela,,1,28,29,-1,552.0
2:48.0, ,29-28,O. Okongwu enters the game for D. Hunter,,1,28,29,-1,552.0
2:48.0, ,29-28,T. Young enters the game for D. Murray,,1,28,29,-1,552.0
2:33.0,A. Edwards makes 2-pt layup from 2 ft,31-28, ,,1,28,31,-3,567.0
2:27.0, ,31-28,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,28,31,-3,573.0
2:27.0,Defensive rebound by A. Edwards,31-28, ,,1,28,31,-3,573.0
2:12.0,K. Anderson makes 2-pt layup at rim (assist by S. Milton),33-28, ,,1,28,33,-5,588.0
1:48.0, ,33-31,S. Bey makes 3-pt jump shot from 24 ft (assist by A. Griffin),,1,31,33,-2,612.0
1:29.0,A. Edwards makes 3-pt jump shot from 26 ft,36-31, ,,1,31,36,-5,631.0
1:18.0, ,36-33,T. Young makes 2-pt jump shot from 5 ft,,1,33,36,-3,642.0
1:01.0,N. Reid makes 3-pt jump shot from 26 ft (assist by N. Alexander-Walker),39-33, ,,1,33,39,-6,659.0
0:50.0, ,39-35,S. Bey makes 2-pt layup from 4 ft,,1,35,39,-4,670.0
0:34.0,A. Edwards makes 3-pt jump shot from 25 ft,42-35, ,,1,35,42,-7,686.0
0:30.0, ,42-35,Personal foul by A. Edwards (drawn by T. Young),,1,35,42,-7,690.0
0:14.0, ,42-35,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,35,42,-7,706.0
0:12.0,Defensive rebound by Team,42-35, ,,1,35,42,-7,708.0
0:00.0,N. Alexander-Walker misses 3-pt jump shot from 24 ft,42-35, ,,1,35,42,-7,720.0
0:00.0,Offensive rebound by Team,42-35, ,,1,35,42,-7,720.0
0:00.0,End of 1st quarter,42-35,,,1,35,42,-7,720.0
12:00.0,Start of 2nd quarter,42-35,,,2,35,42,-7,720.0
11:44.0,Turnover by N. Alexander-Walker (out of bounds lost ball),42-35, ,,2,35,42,-7,736.0
11:28.0, ,42-35,Shooting foul by N. Reid (drawn by O. Okongwu),,2,35,42,-7,752.0
11:28.0, ,42-36,O. Okongwu makes free throw 1 of 2,,2,36,42,-6,752.0
11:28.0, ,42-37,O. Okongwu makes free throw 2 of 2,,2,37,42,-5,752.0
11:14.0,S. Milton misses 2-pt jump shot from 11 ft,42-37, ,,2,37,42,-5,766.0
11:13.0,Offensive rebound by R. Gobert,42-37, ,,2,37,42,-5,767.0
11:12.0,R. Gobert misses 2-pt dunk at rim,42-37, ,,2,37,42,-5,768.0
11:11.0, ,42-37,Defensive rebound by S. Bey,,2,37,42,-5,769.0
11:11.0, ,42-37,Personal foul by S. Milton (drawn by S. Bey),,2,37,42,-5,769.0
11:11.0,Technical foul by R. Gobert,42-37, ,,2,37,42,-5,769.0
11:11.0, ,42-38,T. Young makes technical free throw,,2,38,42,-4,769.0
11:00.0, ,42-38,T. Young misses 2-pt jump shot from 11 ft,,2,38,42,-4,780.0
10:56.0,Defensive rebound by R. Gobert,42-38, ,,2,38,42,-4,784.0
10:52.0,Shooting foul by B. Bogdanović (drawn by N. Alexander-Walker),42-38, ,,2,38,42,-4,788.0
10:52.0,N. Alexander-Walker misses free throw 1 of 2,42-38, ,,2,38,42,-4,788.0
10:52.0,Offensive rebound by Team,42-38, ,,2,38,42,-4,788.0
10:52.0,M. Conley enters the game for K. Anderson,42-38, ,,2,38,42,-4,788.0
10:52.0,N. Alexander-Walker misses free throw 2 of 2,42-38, ,,2,38,42,-4,788.0
10:49.0, ,42-38,Defensive rebound by J. Johnson,,2,38,42,-4,791.0
10:43.0, ,42-38,Personal foul by M. Conley (drawn by T. Young),,2,38,42,-4,797.0
10:43.0,J. McDaniels enters the game for N. Alexander-Walker,42-38, ,,2,38,42,-4,797.0
10:39.0, ,42-38,Personal foul by J. McDaniels (drawn by T. Young),,2,38,42,-4,801.0
10:31.0, ,42-38,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,38,42,-4,809.0
10:28.0,Defensive rebound by J. McDaniels,42-38, ,,2,38,42,-4,812.0
10:19.0,N. Reid makes 2-pt layup from 2 ft (assist by J. McDaniels),44-38, ,,2,38,44,-6,821.0
9:59.0, ,44-38,S. Bey misses 2-pt layup from 2 ft,,2,38,44,-6,841.0
9:57.0,Defensive rebound by S. Milton,44-38, ,,2,38,44,-6,843.0
9:54.0,S. Milton makes 2-pt layup from 2 ft,46-38, ,,2,38,46,-8,846.0
9:40.0, ,46-41,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Young),,2,41,46,-5,860.0
9:15.0,R. Gobert misses 2-pt layup from 1 ft,46-41, ,,2,41,46,-5,885.0
9:15.0,Offensive rebound by R. Gobert,46-41, ,,2,41,46,-5,885.0
9:12.0,R. Gobert makes 2-pt dunk at rim,48-41, ,,2,41,48,-7,888.0
9:12.0,Technical foul by R. Gobert,48-41, ,,2,41,48,-7,888.0
9:12.0, ,48-42,T. Young makes technical free throw,,2,42,48,-6,888.0
9:01.0, ,48-42,Offensive foul by T. Young (drawn by J. McDaniels),,2,42,48,-6,899.0
9:01.0, ,48-42,Turnover by T. Young (offensive foul),,2,42,48,-6,899.0
8:49.0,Shooting foul by J. Johnson (drawn by R. Gobert),48-42, ,,2,42,48,-6,911.0
8:49.0,R. Gobert makes free throw 1 of 2,49-42, ,,2,42,49,-7,911.0
8:49.0,K. Towns enters the game for N. Reid,49-42, ,,2,42,49,-7,911.0
8:49.0,R. Gobert makes free throw 2 of 2,50-42, ,,2,42,50,-8,911.0
8:35.0, ,50-42,T. Young misses 2-pt jump shot from 12 ft,,2,42,50,-8,925.0
8:31.0,Defensive rebound by K. Towns,50-42, ,,2,42,50,-8,929.0
8:24.0,K. Towns makes 2-pt dunk from 1 ft (assist by R. Gobert),52-42, ,,2,42,52,-10,936.0
8:24.0, ,52-42,Atlanta full timeout,,2,42,52,-10,936.0
8:24.0, ,52-42,C. Capela enters the game for J. Johnson,,2,42,52,-10,936.0
8:24.0, ,52-42,D. Hunter enters the game for O. Okongwu,,2,42,52,-10,936.0
8:24.0, ,52-42,D. Murray enters the game for T. Young,,2,42,52,-10,936.0
8:12.0, ,52-42,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,42,52,-10,948.0
8:09.0,Defensive rebound by R. Gobert,52-42, ,,2,42,52,-10,951.0
7:49.0,K. Towns makes 2-pt jump shot from 4 ft,54-42, ,,2,42,54,-12,971.0
7:28.0, ,54-42,Turnover by B. Bogdanović (bad pass; steal by R. Gobert),,2,42,54,-12,992.0
7:22.0,S. Milton makes 2-pt jump shot from 3 ft,56-42, ,,2,42,56,-14,998.0
7:05.0, ,56-45,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),,2,45,56,-11,1015.0
6:53.0,S. Milton makes 3-pt jump shot from 23 ft (assist by J. McDaniels),59-45, ,,2,45,59,-14,1027.0
6:29.0, ,59-47,D. Murray makes 2-pt jump shot from 19 ft (assist by S. Bey),,2,47,59,-12,1051.0
6:16.0,Personal foul by S. Bey (drawn by K. Towns),59-47, ,,2,47,59,-12,1064.0
6:16.0,K. Anderson enters the game for M. Conley,59-47, ,,2,47,59,-12,1064.0
6:16.0,A. Edwards enters the game for J. McDaniels,59-47, ,,2,47,59,-12,1064.0
6:16.0, ,59-47,T. Young enters the game for B. Bogdanović,,2,47,59,-12,1064.0
6:08.0,R. Gobert makes 2-pt dunk from 1 ft (assist by K. Anderson),61-47, ,,2,47,61,-14,1072.0
6:08.0,Shooting foul by C. Capela (drawn by R. Gobert),61-47, ,,2,47,61,-14,1072.0
6:08.0,R. Gobert misses free throw 1 of 1,61-47, ,,2,47,61,-14,1072.0
6:06.0, ,61-47,Defensive rebound by S. Bey,,2,47,61,-14,1074.0
5:56.0, ,61-50,S. Bey makes 3-pt jump shot from 25 ft (assist by T. Young),,2,50,61,-11,1084.0
5:31.0,K. Anderson makes 2-pt jump shot from 5 ft,63-50, ,,2,50,63,-13,1109.0
5:10.0, ,63-50,Turnover by C. Capela (lost ball; steal by K. Anderson),,2,50,63,-13,1130.0
4:57.0,K. Towns makes 2-pt hook shot from 11 ft (assist by K. Anderson),65-50, ,,2,50,65,-15,1143.0
4:56.0, ,65-50,Atlanta full timeout,,2,50,65,-15,1144.0
4:34.0, ,65-50,D. Murray misses 2-pt jump shot from 3 ft,,2,50,65,-15,1166.0
4:30.0, ,65-50,Offensive rebound by C. Capela,,2,50,65,-15,1170.0
4:30.0, ,65-50,C. Capela misses 2-pt layup at rim,,2,50,65,-15,1170.0
4:29.0,Defensive rebound by R. Gobert,65-50, ,,2,50,65,-15,1171.0
4:22.0,A. Edwards makes 2-pt layup from 3 ft,67-50, ,,2,50,67,-17,1178.0
4:13.0, ,67-50,Shooting foul by R. Gobert (drawn by C. Capela),,2,50,67,-17,1187.0
4:13.0, ,67-51,C. Capela makes free throw 1 of 2,,2,51,67,-16,1187.0
4:13.0, ,67-51,J. Johnson enters the game for S. Bey,,2,51,67,-16,1187.0
4:13.0, ,67-52,C. Capela makes free throw 2 of 2,,2,52,67,-15,1187.0
3:57.0,Turnover by A. Edwards (bad pass; steal by D. Murray),67-52, ,,2,52,67,-15,1203.0
3:53.0, ,67-54,D. Hunter makes 2-pt dunk from 2 ft (assist by D. Murray),,2,54,67,-13,1207.0
3:31.0,K. Towns misses 2-pt jump shot from 6 ft (block by C. Capela),67-54, ,,2,54,67,-13,1229.0
3:28.0, ,67-54,Defensive rebound by D. Murray,,2,54,67,-13,1232.0
3:27.0, ,67-54,T. Young misses 3-pt jump shot from 25 ft,,2,54,67,-13,1233.0
3:23.0,Defensive rebound by A. Edwards,67-54, ,,2,54,67,-13,1237.0
3:18.0,S. Milton makes 3-pt jump shot from 26 ft (assist by K. Anderson),70-54, ,,2,54,70,-16,1242.0
3:02.0, ,70-54,C. Capela misses 2-pt hook shot from 5 ft (block by R. Gobert),,2,54,70,-16,1258.0
2:59.0,Defensive rebound by A. Edwards,70-54, ,,2,54,70,-16,1261.0
2:54.0,A. Edwards makes 2-pt jump shot from 14 ft,72-54, ,,2,54,72,-18,1266.0
2:40.0, ,72-54,D. Murray misses 2-pt jump shot from 16 ft,,2,54,72,-18,1280.0
2:38.0,Defensive rebound by K. Towns,72-54, ,,2,54,72,-18,1282.0
2:38.0,M. Conley enters the game for R. Gobert,72-54, ,,2,54,72,-18,1282.0
