Time,Minnesota,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:34.0, ,96-86,Shooting foul by N. Alexander-Walker (drawn by D. Murray),,3,86,96,-10,2006.0
2:34.0, ,96-86,Atlanta full timeout,,3,86,96,-10,2006.0
2:34.0, ,96-86,J. Johnson enters the game for D. Hunter,,3,86,96,-10,2006.0
2:34.0, ,96-87,D. Murray makes free throw 1 of 2,,3,87,96,-9,2006.0
2:34.0, ,96-88,D. Murray makes free throw 2 of 2,,3,88,96,-8,2006.0
2:20.0,K. Towns misses 2-pt layup from 3 ft,96-88, ,,3,88,96,-8,2020.0
2:16.0, ,96-88,Defensive rebound by O. Okongwu,,3,88,96,-8,2024.0
2:09.0, ,96-88,Turnover by S. Bey (step out of bounds),,3,88,96,-8,2031.0
2:09.0,Minnesota full timeout,96-88, ,,3,88,96,-8,2031.0
2:09.0,R. Gobert enters the game for K. Towns,96-88, ,,3,88,96,-8,2031.0
1:57.0,Shooting foul by O. Okongwu (drawn by R. Gobert),96-88, ,,3,88,96,-8,2043.0
1:57.0,R. Gobert misses free throw 1 of 2,96-88, ,,3,88,96,-8,2043.0
1:57.0,Offensive rebound by Team,96-88, ,,3,88,96,-8,2043.0
1:57.0,R. Gobert makes free throw 2 of 2,97-88, ,,3,88,97,-9,2043.0
1:45.0, ,97-88,Personal foul by A. Edwards (drawn by D. Murray),,3,88,97,-9,2055.0
1:45.0, ,97-89,D. Murray makes free throw 1 of 2,,3,89,97,-8,2055.0
1:45.0, ,97-90,D. Murray makes free throw 2 of 2,,3,90,97,-7,2055.0
1:25.0,N. Alexander-Walker misses 3-pt jump shot from 23 ft,97-90, ,,3,90,97,-7,2075.0
1:21.0, ,97-90,Defensive rebound by D. Murray,,3,90,97,-7,2079.0
1:14.0, ,97-93,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,93,97,-4,2086.0
0:58.0,A. Edwards misses 2-pt layup from 2 ft,97-93, ,,3,93,97,-4,2102.0
0:55.0,Offensive rebound by R. Gobert,97-93, ,,3,93,97,-4,2105.0
0:48.0,Personal foul by S. Bey (drawn by R. Gobert),97-93, ,,3,93,97,-4,2112.0
0:48.0,R. Gobert misses free throw 1 of 2,97-93, ,,3,93,97,-4,2112.0
0:48.0,Offensive rebound by Team,97-93, ,,3,93,97,-4,2112.0
0:48.0,S. Milton enters the game for A. Edwards,97-93, ,,3,93,97,-4,2112.0
0:48.0,R. Gobert makes free throw 2 of 2,98-93, ,,3,93,98,-5,2112.0
0:33.0, ,98-95,D. Murray makes 2-pt jump shot from 18 ft,,3,95,98,-3,2127.0
0:17.0,S. Milton misses 2-pt jump shot from 5 ft,98-95, ,,3,95,98,-3,2143.0
0:14.0, ,98-95,Defensive rebound by S. Bey,,3,95,98,-3,2146.0
0:04.0, ,98-98,D. Murray makes 3-pt jump shot from 26 ft,Tie,3,98,98,0,2156.0
0:00.0,End of 3rd quarter,98-98,,,3,98,98,0,2160.0
12:00.0,Start of 4th quarter,98-98,,,4,98,98,0,2160.0
11:40.0, ,98-98,T. Young misses 3-pt jump shot from 25 ft,,4,98,98,0,2180.0
11:36.0,Defensive rebound by R. Gobert,98-98, ,,4,98,98,0,2184.0
11:16.0,J. McDaniels misses 2-pt layup from 1 ft,98-98, ,,4,98,98,0,2204.0
11:15.0,Offensive rebound by R. Gobert,98-98, ,,4,98,98,0,2205.0
11:14.0,Turnover by Team (shot clock),98-98, ,,4,98,98,0,2206.0
11:07.0, ,98-100,D. Murray makes 2-pt layup from 1 ft (assist by T. Young),Lead change,4,100,98,2,2213.0
10:43.0,S. Milton misses 2-pt jump shot from 8 ft (block by S. Bey),98-100, ,,4,100,98,2,2237.0
10:42.0,Offensive rebound by Team,98-100, ,,4,100,98,2,2238.0
10:37.0,N. Reid misses 2-pt jump shot from 11 ft (block by J. Johnson),98-100, ,,4,100,98,2,2243.0
10:36.0,Offensive rebound by Team,98-100, ,,4,100,98,2,2244.0
10:36.0,Turnover by Team (shot clock),98-100, ,,4,100,98,2,2244.0
10:26.0, ,98-102,T. Young makes 2-pt jump shot from 14 ft,,4,102,98,4,2254.0
10:09.0,S. Milton misses 2-pt jump shot from 8 ft,98-102, ,,4,102,98,4,2271.0
10:04.0, ,98-102,Defensive rebound by O. Okongwu,,4,102,98,4,2276.0
9:57.0, ,98-104,D. Murray makes 2-pt layup from 2 ft (assist by T. Young),,4,104,98,6,2283.0
9:43.0,M. Conley misses 3-pt jump shot from 25 ft,98-104, ,,4,104,98,6,2297.0
9:40.0, ,98-104,Defensive rebound by S. Bey,,4,104,98,6,2300.0
9:30.0, ,98-107,T. Young makes 3-pt jump shot from 26 ft,,4,107,98,9,2310.0
9:30.0,Minnesota full timeout,98-107, ,,4,107,98,9,2310.0
9:30.0,A. Edwards enters the game for S. Milton,98-107, ,,4,107,98,9,2310.0
9:30.0,K. Towns enters the game for N. Reid,98-107, ,,4,107,98,9,2310.0
9:13.0,J. McDaniels makes 2-pt jump shot from 18 ft (assist by M. Conley),100-107, ,,4,107,100,7,2327.0
8:56.0, ,100-109,D. Murray makes 2-pt jump shot from 19 ft,,4,109,100,9,2344.0
8:39.0,K. Towns misses 2-pt jump shot from 10 ft,100-109, ,,4,109,100,9,2361.0
8:38.0, ,100-109,Defensive rebound by Team,,4,109,100,9,2362.0
8:23.0, ,100-109,T. Young misses 2-pt layup from 1 ft,,4,109,100,9,2377.0
8:19.0, ,100-109,Offensive rebound by O. Okongwu,,4,109,100,9,2381.0
8:19.0, ,100-111,O. Okongwu makes 2-pt layup at rim,,4,111,100,11,2381.0
8:03.0,M. Conley misses 3-pt jump shot from 25 ft,100-111, ,,4,111,100,11,2397.0
7:59.0, ,100-111,Defensive rebound by O. Okongwu,,4,111,100,11,2401.0
7:43.0, ,100-113,O. Okongwu makes 2-pt dunk at rim (assist by J. Johnson),,4,113,100,13,2417.0
7:25.0,K. Towns misses 3-pt jump shot from 25 ft,100-113, ,,4,113,100,13,2435.0
7:22.0, ,100-113,Defensive rebound by S. Bey,,4,113,100,13,2438.0
7:00.0, ,100-113,T. Young misses 2-pt jump shot from 18 ft,,4,113,100,13,2460.0
6:57.0,Defensive rebound by R. Gobert,100-113, ,,4,113,100,13,2463.0
6:43.0,Offensive foul by A. Edwards (drawn by T. Young),100-113, ,,4,113,100,13,2477.0
6:43.0,Turnover by A. Edwards (offensive foul),100-113, ,,4,113,100,13,2477.0
6:43.0,K. Anderson enters the game for M. Conley,100-113, ,,4,113,100,13,2477.0
6:43.0,N. Reid enters the game for R. Gobert,100-113, ,,4,113,100,13,2477.0
6:43.0, ,100-113,D. Hunter enters the game for S. Bey,,4,113,100,13,2477.0
6:31.0, ,100-113,D. Murray misses 2-pt layup from 5 ft (block by K. Anderson),,4,113,100,13,2489.0
6:30.0, ,100-113,Offensive rebound by Team,,4,113,100,13,2490.0
6:21.0, ,100-113,T. Young misses 2-pt jump shot from 14 ft (block by J. McDaniels),,4,113,100,13,2499.0
6:16.0,Defensive rebound by K. Towns,100-113, ,,4,113,100,13,2504.0
6:11.0,A. Edwards makes 2-pt layup from 1 ft (assist by K. Towns),102-113, ,,4,113,102,11,2509.0
5:54.0, ,102-113,D. Murray misses 3-pt jump shot from 25 ft,,4,113,102,11,2526.0
5:53.0,Defensive rebound by A. Edwards,102-113, ,,4,113,102,11,2527.0
5:43.0,A. Edwards makes 2-pt layup from 1 ft,104-113, ,,4,113,104,9,2537.0
5:43.0, ,104-113,Atlanta full timeout,,4,113,104,9,2537.0
5:43.0, ,104-113,B. Bogdanović enters the game for D. Murray,,4,113,104,9,2537.0
5:22.0, ,104-113,B. Bogdanović misses 3-pt jump shot from 34 ft,,4,113,104,9,2558.0
5:18.0,Defensive rebound by K. Towns,104-113, ,,4,113,104,9,2562.0
5:08.0,K. Towns misses 3-pt jump shot from 26 ft,104-113, ,,4,113,104,9,2572.0
5:05.0, ,104-113,Defensive rebound by J. Johnson,,4,113,104,9,2575.0
4:57.0, ,104-113,T. Young misses 3-pt jump shot from 26 ft,,4,113,104,9,2583.0
4:55.0,Defensive rebound by A. Edwards,104-113, ,,4,113,104,9,2585.0
4:48.0,Turnover by A. Edwards (lost ball; steal by B. Bogdanović),104-113, ,,4,113,104,9,2592.0
4:45.0, ,104-113,B. Bogdanović misses 2-pt layup from 1 ft,,4,113,104,9,2595.0
4:40.0, ,104-113,Offensive rebound by O. Okongwu,,4,113,104,9,2600.0
4:40.0, ,104-115,O. Okongwu makes 2-pt dunk at rim,,4,115,104,11,2600.0
4:40.0,Minnesota full timeout,104-115, ,,4,115,104,11,2600.0
4:40.0,M. Conley enters the game for J. McDaniels,104-115, ,,4,115,104,11,2600.0
4:40.0, ,104-115,D. Murray enters the game for B. Bogdanović,,4,115,104,11,2600.0
4:31.0,N. Reid misses 2-pt layup from 4 ft,104-115, ,,4,115,104,11,2609.0
4:27.0, ,104-115,Defensive rebound by J. Johnson,,4,115,104,11,2613.0
4:15.0, ,104-115,Shooting foul by K. Towns (drawn by O. Okongwu),,4,115,104,11,2625.0
4:15.0, ,104-116,O. Okongwu makes free throw 1 of 2,,4,116,104,12,2625.0
4:15.0, ,104-117,O. Okongwu makes free throw 2 of 2,,4,117,104,13,2625.0
4:02.0,Turnover by A. Edwards (bad pass; steal by D. Murray),104-117, ,,4,117,104,13,2638.0
3:58.0, ,104-119,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,4,119,104,15,2642.0
3:57.0, ,104-119,Violation by Team (delay of game),,4,119,104,15,2643.0
3:43.0,A. Edwards misses 3-pt jump shot from 25 ft,104-119, ,,4,119,104,15,2657.0
3:39.0, ,104-119,Defensive rebound by D. Hunter,,4,119,104,15,2661.0
3:27.0, ,104-121,T. Young makes 2-pt layup from 2 ft (assist by O. Okongwu),,4,121,104,17,2673.0
3:13.0,A. Edwards makes 2-pt layup from 4 ft,106-121, ,,4,121,106,15,2687.0
2:51.0, ,106-123,D. Murray makes 2-pt jump shot from 5 ft,,4,123,106,17,2709.0
2:40.0,Turnover by N. Reid (bad pass; steal by T. Young),106-123, ,,4,123,106,17,2720.0
2:36.0, ,106-123,T. Young misses 3-pt jump shot from 25 ft,,4,123,106,17,2724.0
2:33.0,Defensive rebound by N. Reid,106-123, ,,4,123,106,17,2727.0
2:25.0,M. Conley misses 3-pt jump shot from 22 ft,106-123, ,,4,123,106,17,2735.0
2:21.0, ,106-123,Defensive rebound by D. Murray,,4,123,106,17,2739.0
2:01.0, ,106-123,Turnover by J. Johnson (bad pass),,4,123,106,17,2759.0
2:01.0,S. Milton enters the game for M. Conley,106-123, ,,4,123,106,17,2759.0
1:52.0,N. Reid misses 3-pt jump shot from 25 ft,106-123, ,,4,123,106,17,2768.0
1:50.0,Offensive rebound by K. Anderson,106-123, ,,4,123,106,17,2770.0
1:49.0,Turnover by S. Milton (bad pass; steal by J. Johnson),106-123, ,,4,123,106,17,2771.0
1:47.0, ,106-125,J. Johnson makes 2-pt dunk from 1 ft,,4,125,106,19,2773.0
1:39.0,K. Towns makes 3-pt jump shot from 25 ft (assist by K. Anderson),109-125, ,,4,125,109,16,2781.0
1:27.0, ,109-125,T. Young misses 3-pt jump shot from 26 ft,,4,125,109,16,2793.0
1:24.0,Defensive rebound by K. Towns,109-125, ,,4,125,109,16,2796.0
1:15.0,K. Anderson misses 3-pt jump shot from 25 ft,109-125, ,,4,125,109,16,2805.0
1:12.0, ,109-125,Defensive rebound by O. Okongwu,,4,125,109,16,2808.0
1:11.0, ,109-127,D. Hunter makes 2-pt dunk at rim (assist by O. Okongwu),,4,127,109,18,2809.0
1:11.0,Minnesota full timeout,109-127, ,,4,127,109,18,2809.0
1:11.0,N. Alexander-Walker enters the game for K. Anderson,109-127, ,,4,127,109,18,2809.0
1:11.0,L. Garza enters the game for A. Edwards,109-127, ,,4,127,109,18,2809.0
1:11.0,J. McLaughlin enters the game for S. Milton,109-127, ,,4,127,109,18,2809.0
1:11.0,J. Minott enters the game for N. Reid,109-127, ,,4,127,109,18,2809.0
1:11.0,D. Nix enters the game for K. Towns,109-127, ,,4,127,109,18,2809.0
1:11.0, ,109-127,B. Bogdanović enters the game for D. Hunter,,4,127,109,18,2809.0
1:11.0, ,109-127,K. Bufkin enters the game for J. Johnson,,4,127,109,18,2809.0
1:11.0, ,109-127,B. Fernando enters the game for D. Murray,,4,127,109,18,2809.0
1:11.0, ,109-127,A. Griffin enters the game for O. Okongwu,,4,127,109,18,2809.0
1:11.0, ,109-127,M. Gueye enters the game for T. Young,,4,127,109,18,2809.0
1:04.0,L. Garza makes 2-pt jump shot from 6 ft (assist by N. Alexander-Walker),111-127, ,,4,127,111,16,2816.0
0:52.0, ,111-127,K. Bufkin misses 2-pt layup from 8 ft (block by J. McLaughlin),,4,127,111,16,2828.0
0:52.0, ,111-127,Offensive rebound by Team,,4,127,111,16,2828.0
0:45.0, ,111-127,B. Bogdanović misses 2-pt jump shot from 12 ft,,4,127,111,16,2835.0
0:42.0,Defensive rebound by L. Garza,111-127, ,,4,127,111,16,2838.0
0:29.0,J. Minott makes 2-pt layup from 1 ft,113-127, ,,4,127,113,14,2851.0
0:05.0, ,113-127,Turnover by Team (shot clock),,4,127,113,14,2875.0
0:00.0,End of 4th quarter,113-127,,,4,127,113,14,2880.0
