Time,Atlanta,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. N. Claxton (D. Schröder gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-0,D. Schröder misses 3-pt jump shot from 23 ft,,1,0,0,0,21.0
11:36.0, ,0-0,Offensive rebound by M. Bridges,,1,0,0,0,24.0
11:32.0, ,0-0,Turnover by D. Schröder (bad pass; steal by D. Murray),,1,0,0,0,28.0
11:18.0,S. Bey misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,42.0
11:16.0, ,0-0,Defensive rebound by C. Johnson,,1,0,0,0,44.0
11:03.0, ,0-2,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by C. Johnson),,1,0,2,-2,57.0
10:46.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by D. Murray),3-2, ,Lead change,1,3,2,1,74.0
10:37.0, ,3-2,M. Bridges misses 3-pt jump shot from 27 ft,,1,3,2,1,83.0
10:35.0,Defensive rebound by J. Johnson,3-2, ,,1,3,2,1,85.0
10:28.0,D. Murray makes 2-pt jump shot from 13 ft,5-2, ,,1,5,2,3,92.0
10:10.0, ,5-2,Turnover by D. Schröder (bad pass; steal by D. Murray),,1,5,2,3,110.0
9:59.0,D. Murray makes 2-pt jump shot from 5 ft,7-2, ,,1,7,2,5,121.0
9:59.0, ,7-2,Brooklyn full timeout,,1,7,2,5,121.0
9:49.0, ,7-2,C. Johnson misses 3-pt jump shot from 28 ft,,1,7,2,5,131.0
9:45.0,Defensive rebound by C. Capela,7-2, ,,1,7,2,5,135.0
9:41.0,D. Murray misses 3-pt jump shot from 26 ft,7-2, ,,1,7,2,5,139.0
9:37.0, ,7-2,Defensive rebound by N. Claxton,,1,7,2,5,143.0
9:30.0, ,7-5,C. Johnson makes 3-pt jump shot from 29 ft (assist by D. Schröder),,1,7,5,2,150.0
9:13.0,C. Capela misses 2-pt hook shot from 5 ft,7-5, ,,1,7,5,2,167.0
9:12.0,Offensive rebound by C. Capela,7-5, ,,1,7,5,2,168.0
9:11.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Capela),10-5, ,,1,10,5,5,169.0
8:54.0, ,10-7,M. Bridges makes 2-pt jump shot from 8 ft,,1,10,7,3,186.0
8:37.0,Shooting foul by D. Schröder (drawn by C. Capela),10-7, ,,1,10,7,3,203.0
8:37.0,C. Capela misses free throw 1 of 2,10-7, ,,1,10,7,3,203.0
8:37.0,Offensive rebound by Team,10-7, ,,1,10,7,3,203.0
8:37.0,C. Capela makes free throw 2 of 2,11-7, ,,1,11,7,4,203.0
8:15.0, ,11-7,D. Schröder misses 2-pt jump shot from 18 ft,,1,11,7,4,225.0
8:13.0, ,11-7,Offensive rebound by D. Finney-Smith,,1,11,7,4,227.0
8:11.0, ,11-7,D. Finney-Smith misses 3-pt jump shot from 27 ft,,1,11,7,4,229.0
8:09.0,Defensive rebound by C. Capela,11-7, ,,1,11,7,4,231.0
8:06.0,B. Bogdanović misses 2-pt layup from 4 ft (block by D. Schröder),11-7, ,,1,11,7,4,234.0
8:06.0, ,11-7,Defensive rebound by Team,,1,11,7,4,234.0
7:51.0, ,11-7,Offensive foul by D. Finney-Smith (drawn by C. Capela),,1,11,7,4,249.0
7:51.0, ,11-7,Turnover by D. Finney-Smith (offensive foul),,1,11,7,4,249.0
