Time,Atlanta,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. B. Lopez (G. Antetokounmpo gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-0,B. Lopez misses 3-pt jump shot from 26 ft,,1,0,0,0,18.0
11:39.0, ,0-0,Offensive rebound by G. Antetokounmpo,,1,0,0,0,21.0
11:33.0, ,0-0,Turnover by M. Beasley (bad pass; steal by D. Murray),,1,0,0,0,27.0
11:29.0,Turnover by D. Murray (bad pass; steal by M. Beasley),0-0, ,,1,0,0,0,31.0
11:26.0, ,0-0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by C. Capela),,1,0,0,0,34.0
11:24.0,Defensive rebound by D. Murray,0-0, ,,1,0,0,0,36.0
11:05.0,D. Murray makes 2-pt jump shot from 18 ft (assist by T. Young),2-0, ,,1,2,0,2,55.0
10:46.0, ,2-0,B. Lopez misses 2-pt jump shot from 7 ft,,1,2,0,2,74.0
10:43.0,Defensive rebound by D. Murray,2-0, ,,1,2,0,2,77.0
10:36.0,Turnover by T. Young (bad pass; steal by K. Middleton),2-0, ,,1,2,0,2,84.0
10:29.0, ,2-3,D. Lillard makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),Lead change,1,2,3,-1,91.0
10:13.0,D. Murray makes 3-pt jump shot from 24 ft (assist by C. Capela),5-3, ,Lead change,1,5,3,2,107.0
9:59.0, ,5-6,K. Middleton makes 3-pt jump shot from 28 ft (assist by D. Lillard),Lead change,1,5,6,-1,121.0
9:48.0,C. Capela misses 2-pt layup from 6 ft (block by B. Lopez),5-6, ,,1,5,6,-1,132.0
9:47.0,Offensive rebound by C. Capela,5-6, ,,1,5,6,-1,133.0
9:47.0,Shooting foul by B. Lopez (drawn by C. Capela),5-6, ,,1,5,6,-1,133.0
9:47.0,C. Capela makes free throw 1 of 2,6-6, ,Tie,1,6,6,0,133.0
9:47.0,C. Capela makes free throw 2 of 2,7-6, ,Lead change,1,7,6,1,133.0
9:29.0, ,7-6,M. Beasley misses 2-pt jump shot from 14 ft,,1,7,6,1,151.0
9:25.0,Defensive rebound by S. Bey,7-6, ,,1,7,6,1,155.0
9:22.0,D. Hunter makes 2-pt jump shot from 16 ft (assist by T. Young),9-6, ,,1,9,6,3,158.0
9:22.0,Shooting foul by D. Lillard (drawn by D. Hunter),9-6, ,,1,9,6,3,158.0
9:22.0,D. Hunter makes free throw 1 of 1,10-6, ,,1,10,6,4,158.0
9:08.0, ,10-8,B. Lopez makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,1,10,8,2,172.0
8:53.0,T. Young makes 2-pt jump shot from 13 ft (assist by C. Capela),12-8, ,,1,12,8,4,187.0
8:45.0, ,12-10,K. Middleton makes 2-pt jump shot from 13 ft,,1,12,10,2,195.0
