Time,Denver,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:30.0, ,105-88,Personal foul by P. Watson (drawn by S. Bey),,4,88,105,-17,2250.0
10:24.0, ,105-88,Personal foul by P. Watson (drawn by O. Okongwu),,4,88,105,-17,2256.0
10:15.0,Violation by Team (kicked ball),105-88, ,,4,88,105,-17,2265.0
10:08.0, ,105-88,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,88,105,-17,2272.0
10:03.0,Defensive rebound by Z. Nnaji,105-88, ,,4,88,105,-17,2277.0
9:55.0,R. Jackson makes 3-pt jump shot from 25 ft (assist by J. Strawther),108-88, ,,4,88,108,-20,2285.0
9:42.0, ,108-90,O. Okongwu makes 2-pt layup from 2 ft (assist by B. Bogdanović),,4,90,108,-18,2298.0
9:42.0, ,108-90,Shooting foul by C. Braun (drawn by O. Okongwu),,4,90,108,-18,2298.0
9:42.0, ,108-91,O. Okongwu makes free throw 1 of 1,,4,91,108,-17,2298.0
9:32.0,Turnover by R. Jackson (bad pass; steal by W. Matthews),108-91, ,,4,91,108,-17,2308.0
9:25.0, ,108-91,Personal foul by Z. Nnaji (drawn by B. Bogdanović),,4,91,108,-17,2315.0
9:13.0, ,108-91,Shooting foul by J. Strawther (drawn by S. Bey),,4,91,108,-17,2327.0
9:13.0, ,108-92,S. Bey makes free throw 1 of 2,,4,92,108,-16,2327.0
9:13.0, ,108-93,S. Bey makes free throw 2 of 2,,4,93,108,-15,2327.0
9:03.0,R. Jackson makes 2-pt layup from 2 ft,110-93, ,,4,93,110,-17,2337.0
8:46.0, ,110-95,D. Murray makes 2-pt layup from 4 ft,,4,95,110,-15,2354.0
8:32.0,C. Braun misses 2-pt jump shot from 5 ft,110-95, ,,4,95,110,-15,2368.0
8:29.0, ,110-95,Defensive rebound by O. Okongwu,,4,95,110,-15,2371.0
8:23.0, ,110-95,D. Murray misses 2-pt jump shot from 10 ft,,4,95,110,-15,2377.0
8:20.0, ,110-95,Offensive rebound by D. Murray,,4,95,110,-15,2380.0
8:19.0, ,110-95,W. Matthews misses 3-pt jump shot from 25 ft,,4,95,110,-15,2381.0
8:15.0, ,110-95,Offensive rebound by W. Matthews,,4,95,110,-15,2385.0
8:14.0, ,110-95,W. Matthews misses 3-pt jump shot from 26 ft,,4,95,110,-15,2386.0
8:11.0,Defensive rebound by Z. Nnaji,110-95, ,,4,95,110,-15,2389.0
8:11.0,Denver full timeout,110-95, ,,4,95,110,-15,2389.0
8:11.0,N. Jokić enters the game for C. Braun,110-95, ,,4,95,110,-15,2389.0
8:11.0,J. Murray enters the game for R. Jackson,110-95, ,,4,95,110,-15,2389.0
8:11.0,M. Porter enters the game for Z. Nnaji,110-95, ,,4,95,110,-15,2389.0
8:11.0, ,110-95,C. Capela enters the game for W. Matthews,,4,95,110,-15,2389.0
7:56.0,M. Porter misses 3-pt jump shot from 23 ft,110-95, ,,4,95,110,-15,2404.0
7:53.0, ,110-95,Defensive rebound by B. Bogdanović,,4,95,110,-15,2407.0
7:42.0, ,110-95,Turnover by D. Murray (bad pass; steal by J. Strawther),,4,95,110,-15,2418.0
7:42.0,Personal foul by S. Bey (drawn by J. Strawther),110-95, ,,4,95,110,-15,2418.0
7:32.0,J. Murray makes 2-pt layup from 1 ft,112-95, ,,4,95,112,-17,2428.0
7:17.0, ,112-95,B. Bogdanović misses 3-pt jump shot from 24 ft,,4,95,112,-17,2443.0
7:15.0, ,112-95,Offensive rebound by O. Okongwu,,4,95,112,-17,2445.0
7:12.0, ,112-97,C. Capela makes 2-pt dunk at rim (assist by O. Okongwu),,4,97,112,-15,2448.0
6:52.0,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Porter),115-97, ,,4,97,115,-18,2468.0
6:40.0, ,115-97,D. Murray misses 3-pt jump shot from 26 ft,,4,97,115,-18,2480.0
6:36.0, ,115-97,Offensive rebound by D. Murray,,4,97,115,-18,2484.0
6:32.0, ,115-99,B. Bogdanović makes 2-pt jump shot from 4 ft (assist by S. Bey),,4,99,115,-16,2488.0
6:09.0,J. Murray misses 3-pt jump shot from 27 ft,115-99, ,,4,99,115,-16,2511.0
6:07.0, ,115-99,Defensive rebound by S. Bey,,4,99,115,-16,2513.0
6:00.0, ,115-102,D. Murray makes 3-pt jump shot from 25 ft,,4,102,115,-13,2520.0
5:39.0,J. Strawther misses 3-pt jump shot from 26 ft,115-102, ,,4,102,115,-13,2541.0
5:36.0, ,115-102,Defensive rebound by O. Okongwu,,4,102,115,-13,2544.0
5:23.0, ,115-104,D. Murray makes 2-pt jump shot from 20 ft,,4,104,115,-11,2557.0
5:06.0,J. Strawther misses 3-pt jump shot from 23 ft,115-104, ,,4,104,115,-11,2574.0
5:03.0,Offensive rebound by P. Watson,115-104, ,,4,104,115,-11,2577.0
4:55.0,J. Murray makes 3-pt jump shot from 26 ft,118-104, ,,4,104,118,-14,2585.0
4:35.0, ,118-104,Shooting foul by M. Porter (drawn by B. Bogdanović),,4,104,118,-14,2605.0
4:35.0, ,118-105,B. Bogdanović makes free throw 1 of 2,,4,105,118,-13,2605.0
4:35.0,K. Caldwell-Pope enters the game for J. Strawther,118-105, ,,4,105,118,-13,2605.0
4:35.0,A. Gordon enters the game for P. Watson,118-105, ,,4,105,118,-13,2605.0
4:35.0, ,118-106,B. Bogdanović makes free throw 2 of 2,,4,106,118,-12,2605.0
4:17.0,N. Jokić makes 2-pt jump shot from 12 ft,120-106, ,,4,106,120,-14,2623.0
4:17.0,Shooting foul by C. Capela (drawn by N. Jokić),120-106, ,,4,106,120,-14,2623.0
4:17.0,N. Jokić makes free throw 1 of 1,121-106, ,,4,106,121,-15,2623.0
4:03.0, ,121-106,O. Okongwu misses 2-pt layup from 1 ft,,4,106,121,-15,2637.0
4:02.0, ,121-106,Offensive rebound by C. Capela,,4,106,121,-15,2638.0
4:01.0, ,121-108,C. Capela makes 2-pt layup at rim,,4,108,121,-13,2639.0
3:39.0,Shooting foul by B. Bogdanović (drawn by N. Jokić),121-108, ,,4,108,121,-13,2661.0
3:39.0,N. Jokić misses free throw 1 of 2,121-108, ,,4,108,121,-13,2661.0
3:39.0,Offensive rebound by Team,121-108, ,,4,108,121,-13,2661.0
3:39.0,N. Jokić makes free throw 2 of 2,122-108, ,,4,108,122,-14,2661.0
3:29.0, ,122-108,D. Murray misses 2-pt jump shot from 17 ft,,4,108,122,-14,2671.0
3:26.0, ,122-108,Offensive rebound by D. Murray,,4,108,122,-14,2674.0
3:26.0, ,122-108,Shooting foul by N. Jokić (drawn by C. Capela),,4,108,122,-14,2674.0
3:26.0, ,122-109,C. Capela makes free throw 1 of 2,,4,109,122,-13,2674.0
3:26.0, ,122-110,C. Capela makes free throw 2 of 2,,4,110,122,-12,2674.0
3:08.0,M. Porter misses 3-pt jump shot from 23 ft,122-110, ,,4,110,122,-12,2692.0
3:04.0,Offensive rebound by A. Gordon,122-110, ,,4,110,122,-12,2696.0
2:55.0,A. Gordon misses 2-pt jump shot from 14 ft,122-110, ,,4,110,122,-12,2705.0
2:51.0, ,122-110,Defensive rebound by C. Capela,,4,110,122,-12,2709.0
2:43.0, ,122-110,C. Capela misses 2-pt dunk from 2 ft (block by N. Jokić),,4,110,122,-12,2717.0
2:41.0,Defensive rebound by J. Murray,122-110, ,,4,110,122,-12,2719.0
2:40.0,Turnover by J. Murray (bad pass),122-110, ,,4,110,122,-12,2720.0
2:40.0, ,122-110,Atlanta full timeout,,4,110,122,-12,2720.0
2:27.0, ,122-112,D. Murray makes 2-pt jump shot from 18 ft,,4,112,122,-10,2733.0
2:12.0,Personal foul by B. Bogdanović (drawn by J. Murray),122-112, ,,4,112,122,-10,2748.0
2:02.0,Denver full timeout,122-112, ,,4,112,122,-10,2758.0
1:56.0,Turnover by J. Murray (lost ball; steal by C. Capela),122-112, ,,4,112,122,-10,2764.0
1:52.0, ,122-115,B. Bogdanović makes 3-pt jump shot from 25 ft,,4,115,122,-7,2768.0
1:45.0,Personal foul by C. Capela (drawn by N. Jokić),122-115, ,,4,115,122,-7,2775.0
1:45.0,N. Jokić makes free throw 1 of 2,123-115, ,,4,115,123,-8,2775.0
1:45.0,N. Jokić makes free throw 2 of 2,124-115, ,,4,115,124,-9,2775.0
1:39.0, ,124-115,D. Murray misses 3-pt jump shot from 26 ft,,4,115,124,-9,2781.0
1:34.0,Defensive rebound by A. Gordon,124-115, ,,4,115,124,-9,2786.0
1:17.0,M. Porter misses 2-pt jump shot from 6 ft,124-115, ,,4,115,124,-9,2803.0
1:15.0,Offensive rebound by A. Gordon,124-115, ,,4,115,124,-9,2805.0
1:05.0,Turnover by J. Murray (bad pass; steal by B. Bogdanović),124-115, ,,4,115,124,-9,2815.0
1:01.0, ,124-118,B. Bogdanović makes 3-pt jump shot from 26 ft,,4,118,124,-6,2819.0
0:53.0,Personal foul by B. Bogdanović (drawn by K. Caldwell-Pope),124-118, ,,4,118,124,-6,2827.0
0:53.0,K. Caldwell-Pope makes free throw 1 of 2,125-118, ,,4,118,125,-7,2827.0
0:53.0,P. Watson enters the game for M. Porter,125-118, ,,4,118,125,-7,2827.0
0:53.0,K. Caldwell-Pope makes free throw 2 of 2,126-118, ,,4,118,126,-8,2827.0
0:44.0, ,126-118,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,118,126,-8,2836.0
0:40.0, ,126-118,Offensive rebound by C. Capela,,4,118,126,-8,2840.0
0:39.0, ,126-121,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by C. Capela),,4,121,126,-5,2841.0
0:32.0,Turnover by N. Jokić (out of bounds lost ball),126-121, ,,4,121,126,-5,2848.0
0:32.0, ,126-121,Atlanta full timeout,,4,121,126,-5,2848.0
0:30.0, ,126-121,Shooting foul by J. Murray (drawn by S. Bey),,4,121,126,-5,2850.0
0:30.0, ,126-122,S. Bey makes free throw 1 of 2,,4,122,126,-4,2850.0
0:30.0, ,126-122,S. Bey misses free throw 2 of 2,,4,122,126,-4,2850.0
0:30.0,Defensive rebound by Team,126-122, ,,4,122,126,-4,2850.0
0:30.0,M. Porter enters the game for P. Watson,126-122, ,,4,122,126,-4,2850.0
0:28.0, ,126-122,Atlanta full timeout,,4,122,126,-4,2852.0
0:28.0,P. Watson enters the game for M. Porter,126-122, ,,4,122,126,-4,2852.0
0:28.0, ,126-122,Instant Replay (Challenge: Ruling Stands),,4,122,126,-4,2852.0
0:28.0,R. Jackson enters the game for A. Gordon,126-122, ,,4,122,126,-4,2852.0
0:28.0,M. Porter enters the game for P. Watson,126-122, ,,4,122,126,-4,2852.0
0:22.0,Personal take foul by O. Okongwu (drawn by N. Jokić),126-122, ,,4,122,126,-4,2858.0
0:22.0,N. Jokić makes free throw 1 of 2,127-122, ,,4,122,127,-5,2858.0
0:22.0,A. Gordon enters the game for R. Jackson,127-122, ,,4,122,127,-5,2858.0
0:22.0,P. Watson enters the game for M. Porter,127-122, ,,4,122,127,-5,2858.0
0:22.0,N. Jokić makes free throw 2 of 2,128-122, ,,4,122,128,-6,2858.0
0:15.0, ,128-122,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,122,128,-6,2865.0
0:11.0, ,128-122,Offensive rebound by D. Murray,,4,122,128,-6,2869.0
0:09.0, ,128-122,B. Bogdanović misses 3-pt jump shot from 24 ft,,4,122,128,-6,2871.0
0:06.0,Defensive rebound by A. Gordon,128-122, ,,4,122,128,-6,2874.0
0:03.0,Personal take foul by S. Bey (drawn by A. Gordon),128-122, ,,4,122,128,-6,2877.0
0:03.0,A. Gordon misses free throw 1 of 2,128-122, ,,4,122,128,-6,2877.0
0:03.0,Offensive rebound by Team,128-122, ,,4,122,128,-6,2877.0
0:03.0,A. Gordon makes free throw 2 of 2,129-122, ,,4,122,129,-7,2877.0
0:00.0,End of 4th quarter,129-122,,,4,122,129,-7,2880.0
