Time,Atlanta,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. G. Bitadze (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:46.0,T. Young misses 2-pt jump shot from 12 ft,0-0, ,,1,0,0,0,14.0
11:42.0, ,0-0,Defensive rebound by F. Wagner,,1,0,0,0,18.0
11:39.0, ,0-0,Turnover by F. Wagner (bad pass; steal by T. Young),,1,0,0,0,21.0
11:32.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by T. Young),3-0, ,,1,3,0,3,28.0
11:13.0, ,3-2,G. Bitadze makes 2-pt dunk at rim (assist by F. Wagner),,1,3,2,1,47.0
10:48.0,D. Murray makes 3-pt jump shot from 25 ft (assist by C. Capela),6-2, ,,1,6,2,4,72.0
10:38.0, ,6-2,Personal foul by J. Johnson (drawn by P. Banchero),,1,6,2,4,82.0
10:26.0, ,6-5,P. Banchero makes 3-pt jump shot from 26 ft,,1,6,5,1,94.0
10:06.0,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),9-5, ,,1,9,5,4,114.0
9:53.0, ,9-5,M. Fultz misses 2-pt layup from 7 ft,,1,9,5,4,127.0
9:50.0,Defensive rebound by J. Johnson,9-5, ,,1,9,5,4,130.0
9:44.0,D. Murray misses 3-pt jump shot from 27 ft,9-5, ,,1,9,5,4,136.0
9:41.0, ,9-5,Defensive rebound by G. Bitadze,,1,9,5,4,139.0
9:27.0, ,9-5,F. Wagner misses 2-pt jump shot from 12 ft,,1,9,5,4,153.0
9:23.0,Defensive rebound by C. Capela,9-5, ,,1,9,5,4,157.0
9:21.0,J. Johnson makes 2-pt dunk at rim (assist by T. Young),11-5, ,,1,11,5,6,159.0
9:07.0, ,11-5,Turnover by P. Banchero (bad pass; steal by D. Hunter),,1,11,5,6,173.0
9:03.0,D. Hunter makes 2-pt layup from 2 ft,13-5, ,,1,13,5,8,177.0
9:03.0,Shooting foul by F. Wagner (drawn by D. Hunter),13-5, ,,1,13,5,8,177.0
9:03.0,D. Hunter misses free throw 1 of 1,13-5, ,,1,13,5,8,177.0
9:00.0, ,13-5,Defensive rebound by P. Banchero,,1,13,5,8,180.0
8:52.0, ,13-5,Turnover by P. Banchero (bad pass; steal by D. Murray),,1,13,5,8,188.0
8:47.0,J. Johnson misses 3-pt jump shot from 25 ft,13-5, ,,1,13,5,8,193.0
8:43.0, ,13-5,Defensive rebound by J. Suggs,,1,13,5,8,197.0
8:31.0, ,13-5,M. Fultz misses 2-pt jump shot from 15 ft,,1,13,5,8,209.0
8:28.0,Defensive rebound by J. Johnson,13-5, ,,1,13,5,8,212.0
8:25.0,Turnover by J. Johnson (bad pass; steal by J. Suggs),13-5, ,,1,13,5,8,215.0
8:19.0, ,13-7,P. Banchero makes 2-pt dunk from 1 ft,,1,13,7,6,221.0
8:07.0,Flagrant foul type 1 by P. Banchero (drawn by J. Johnson),13-7, ,,1,13,7,6,233.0
8:07.0,Instant Replay (Request: Ruling Stands),13-7, ,,1,13,7,6,233.0
8:07.0,J. Johnson makes flagrant free throw 1 of 2,14-7, ,,1,14,7,7,233.0
8:07.0,J. Johnson makes flagrant free throw 2 of 2,15-7, ,,1,15,7,8,233.0
7:58.0,T. Young makes 3-pt jump shot from 25 ft,18-7, ,,1,18,7,11,242.0
7:44.0, ,18-7,F. Wagner misses 2-pt layup from 3 ft (block by D. Hunter),,1,18,7,11,256.0
7:40.0,Defensive rebound by J. Johnson,18-7, ,,1,18,7,11,260.0
7:35.0,Turnover by J. Johnson (bad pass; steal by J. Suggs),18-7, ,,1,18,7,11,265.0
7:28.0, ,18-7,Shooting foul by J. Johnson (drawn by G. Bitadze),,1,18,7,11,272.0
7:28.0, ,18-8,G. Bitadze makes free throw 1 of 2,,1,18,8,10,272.0
7:28.0, ,18-9,G. Bitadze makes free throw 2 of 2,,1,18,9,9,272.0
7:22.0,Turnover by T. Young (bad pass; steal by J. Suggs),18-9, ,,1,18,9,9,278.0
7:19.0, ,18-9,Offensive foul by G. Bitadze (drawn by J. Johnson),,1,18,9,9,281.0
7:19.0, ,18-9,Turnover by G. Bitadze (offensive foul),,1,18,9,9,281.0
7:06.0,D. Hunter misses 3-pt jump shot from 27 ft,18-9, ,,1,18,9,9,294.0
7:02.0, ,18-9,Defensive rebound by J. Suggs,,1,18,9,9,298.0
7:01.0, ,18-9,Turnover by J. Suggs (bad pass),,1,18,9,9,299.0
7:01.0, ,18-9,J. Ingles enters the game for F. Wagner,,1,18,9,9,299.0
6:48.0,Turnover by D. Murray (bad pass; steal by J. Ingles),18-9, ,,1,18,9,9,312.0
6:39.0, ,18-11,G. Bitadze makes 2-pt layup from 2 ft (assist by J. Ingles),,1,18,11,7,321.0
6:21.0,D. Hunter misses 3-pt jump shot from 25 ft,18-11, ,,1,18,11,7,339.0
