Time,Atlanta,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:35.0,G. Mathews enters the game for C. Capela,70-87, ,,3,70,87,-17,1765.0
6:35.0,O. Okongwu enters the game for J. Johnson,70-87, ,,3,70,87,-17,1765.0
6:21.0,D. Hunter misses 2-pt hook shot from 4 ft,70-87, ,,3,70,87,-17,1779.0
6:18.0, ,70-87,Defensive rebound by L. James,,3,70,87,-17,1782.0
6:08.0, ,70-87,A. Reaves misses 2-pt jump shot from 8 ft,,3,70,87,-17,1792.0
6:05.0,Defensive rebound by O. Okongwu,70-87, ,,3,70,87,-17,1795.0
5:56.0,D. Murray misses 2-pt layup from 3 ft,70-87, ,,3,70,87,-17,1804.0
5:54.0, ,70-87,Defensive rebound by L. James,,3,70,87,-17,1806.0
5:51.0, ,70-87,Shooting foul by G. Mathews (drawn by L. James),,3,70,87,-17,1809.0
5:51.0, ,70-88,L. James makes free throw 1 of 2,,3,70,88,-18,1809.0
5:51.0, ,70-88,S. Dinwiddie enters the game for D. Russell,,3,70,88,-18,1809.0
5:51.0, ,70-89,L. James makes free throw 2 of 2,,3,70,89,-19,1809.0
5:42.0,D. Murray misses 3-pt jump shot from 26 ft,70-89, ,,3,70,89,-19,1818.0
5:38.0, ,70-89,Defensive rebound by A. Reaves,,3,70,89,-19,1822.0
5:29.0, ,70-91,A. Davis makes 2-pt dunk from 3 ft (assist by A. Reaves),,3,70,91,-21,1831.0
5:12.0,D. Hunter makes 2-pt jump shot from 19 ft (assist by D. Murray),72-91, ,,3,72,91,-19,1848.0
4:49.0, ,72-93,A. Reaves makes 2-pt jump shot from 6 ft (assist by L. James),,3,72,93,-21,1871.0
4:25.0,V. Krejci makes 2-pt jump shot from 14 ft (assist by D. Hunter),74-93, ,,3,74,93,-19,1895.0
4:25.0,W. Matthews enters the game for V. Krejci,74-93, ,,3,74,93,-19,1895.0
4:25.0, ,74-93,M. Christie enters the game for R. Hachimura,,3,74,93,-19,1895.0
4:25.0, ,74-93,T. Prince enters the game for L. James,,3,74,93,-19,1895.0
4:03.0, ,74-93,Shooting foul by W. Matthews (drawn by A. Reaves),,3,74,93,-19,1917.0
4:03.0, ,74-94,A. Reaves makes free throw 1 of 2,,3,74,94,-20,1917.0
4:03.0, ,74-95,A. Reaves makes free throw 2 of 2,,3,74,95,-21,1917.0
3:52.0,D. Hunter misses 3-pt jump shot from 23 ft,74-95, ,,3,74,95,-21,1928.0
3:49.0, ,74-95,Defensive rebound by A. Davis,,3,74,95,-21,1931.0
