Time,Atlanta,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:46.0, ,20-22,Shooting foul by D. Murray (drawn by D. Russell),,1,20,22,-2,374.0
5:46.0, ,20-23,D. Russell makes free throw 1 of 2,,1,20,23,-3,374.0
5:46.0,D. Hunter enters the game for C. Capela,20-23, ,,1,20,23,-3,374.0
5:46.0,O. Okongwu enters the game for J. Johnson,20-23, ,,1,20,23,-3,374.0
5:46.0, ,20-24,D. Russell makes free throw 2 of 2,,1,20,24,-4,374.0
5:36.0,D. Hunter makes 2-pt hook shot from 3 ft (assist by D. Murray),22-24, ,,1,22,24,-2,384.0
5:20.0, ,22-24,A. Davis misses 2-pt hook shot from 6 ft,,1,22,24,-2,400.0
5:18.0,Defensive rebound by O. Okongwu,22-24, ,,1,22,24,-2,402.0
5:14.0,Personal foul by A. Reaves (drawn by D. Murray),22-24, ,,1,22,24,-2,406.0
5:14.0,T. Forrest enters the game for V. Krejci,22-24, ,,1,22,24,-2,406.0
5:14.0, ,22-24,S. Dinwiddie enters the game for D. Russell,,1,22,24,-2,406.0
4:59.0,D. Murray misses 3-pt jump shot from 29 ft,22-24, ,,1,22,24,-2,421.0
4:55.0, ,22-24,Defensive rebound by L. James,,1,22,24,-2,425.0
4:46.0, ,22-26,L. James makes 2-pt hook shot from 5 ft,,1,22,26,-4,434.0
4:36.0,Personal foul by R. Hachimura (drawn by D. Hunter),22-26, ,,1,22,26,-4,444.0
4:36.0, ,22-26,M. Christie enters the game for R. Hachimura,,1,22,26,-4,444.0
4:36.0, ,22-26,T. Prince enters the game for L. James,,1,22,26,-4,444.0
4:36.0, ,22-26,Violation by Team (delay of game),,1,22,26,-4,444.0
4:25.0,G. Mathews misses 3-pt jump shot from 24 ft,22-26, ,,1,22,26,-4,455.0
4:22.0, ,22-26,Defensive rebound by T. Prince,,1,22,26,-4,458.0
4:03.0, ,22-29,M. Christie makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,1,22,29,-7,477.0
3:45.0,D. Murray misses 2-pt jump shot from 9 ft,22-29, ,,1,22,29,-7,495.0
3:41.0, ,22-29,Defensive rebound by A. Davis,,1,22,29,-7,499.0
3:28.0, ,22-31,A. Davis makes 2-pt jump shot from 8 ft (assist by T. Prince),,1,22,31,-9,512.0
3:15.0,Turnover by D. Murray (bad pass; steal by A. Davis),22-31, ,,1,22,31,-9,525.0
3:12.0, ,22-31,Personal foul by G. Mathews (drawn by M. Christie),,1,22,31,-9,528.0
3:12.0, ,22-31,M. Christie misses free throw 1 of 2,,1,22,31,-9,528.0
3:12.0, ,22-31,Offensive rebound by Team,,1,22,31,-9,528.0
3:12.0, ,22-32,M. Christie makes free throw 2 of 2,,1,22,32,-10,528.0
2:58.0,D. Hunter misses 2-pt layup from 2 ft (block by T. Prince),22-32, ,,1,22,32,-10,542.0
2:55.0, ,22-32,Defensive rebound by T. Prince,,1,22,32,-10,545.0
2:52.0, ,22-32,Turnover by T. Prince (lost ball; steal by O. Okongwu),,1,22,32,-10,548.0
2:41.0,G. Mathews misses 3-pt jump shot from 26 ft,22-32, ,,1,22,32,-10,559.0
2:37.0, ,22-32,Defensive rebound by A. Davis,,1,22,32,-10,563.0
2:20.0, ,22-32,A. Davis misses 2-pt jump shot from 11 ft,,1,22,32,-10,580.0
2:18.0,Defensive rebound by D. Murray,22-32, ,,1,22,32,-10,582.0
2:13.0,T. Forrest makes 2-pt layup from 3 ft (assist by D. Murray),24-32, ,,1,24,32,-8,587.0
1:49.0, ,24-34,M. Christie makes 2-pt dunk from 1 ft (assist by A. Reaves),,1,24,34,-10,611.0
1:35.0,O. Okongwu makes 2-pt hook shot from 7 ft (assist by D. Murray),26-34, ,,1,26,34,-8,625.0
1:08.0, ,26-34,T. Prince misses 3-pt jump shot from 23 ft (block by D. Hunter),,1,26,34,-8,652.0
1:04.0,Defensive rebound by T. Forrest,26-34, ,,1,26,34,-8,656.0
1:00.0,D. Murray makes 2-pt jump shot from 9 ft (assist by T. Forrest),28-34, ,,1,28,34,-6,660.0
0:42.0, ,28-36,A. Davis makes 2-pt jump shot from 17 ft,,1,28,36,-8,678.0
0:34.0,D. Murray misses 3-pt jump shot from 26 ft,28-36, ,,1,28,36,-8,686.0
0:30.0, ,28-36,Defensive rebound by A. Reaves,,1,28,36,-8,690.0
0:16.0, ,28-38,A. Reaves makes 2-pt layup from 4 ft,,1,28,38,-10,704.0
0:03.0,O. Okongwu misses 3-pt jump shot from 24 ft,28-38, ,,1,28,38,-10,717.0
0:03.0, ,28-38,Defensive rebound by T. Prince,,1,28,38,-10,717.0
0:00.0, ,28-38,A. Reaves misses 3-pt jump shot from 43 ft,,1,28,38,-10,720.0
0:00.0, ,28-38,Offensive rebound by Team,,1,28,38,-10,720.0
0:00.0,End of 1st quarter,28-38,,,1,28,38,-10,720.0
12:00.0,Start of 2nd quarter,28-38,,,2,28,38,-10,720.0
11:49.0,O. Okongwu makes 3-pt jump shot from 23 ft (assist by T. Forrest),31-38, ,,2,31,38,-7,731.0
11:33.0, ,31-38,Shooting foul by D. Hunter (drawn by J. Hayes),,2,31,38,-7,747.0
11:33.0, ,31-38,J. Hayes misses free throw 1 of 2,,2,31,38,-7,747.0
11:33.0, ,31-38,Offensive rebound by Team,,2,31,38,-7,747.0
11:33.0, ,31-39,J. Hayes makes free throw 2 of 2,,2,31,39,-8,747.0
11:14.0,J. Johnson misses 3-pt jump shot from 25 ft,31-39, ,,2,31,39,-8,766.0
11:12.0, ,31-39,Defensive rebound by M. Christie,,2,31,39,-8,768.0
10:51.0, ,31-39,M. Christie misses 3-pt jump shot from 28 ft,,2,31,39,-8,789.0
10:48.0,Defensive rebound by J. Johnson,31-39, ,,2,31,39,-8,792.0
10:40.0,J. Johnson makes 2-pt dunk from 4 ft (assist by O. Okongwu),33-39, ,,2,33,39,-6,800.0
10:15.0, ,33-42,M. Christie makes 3-pt jump shot from 23 ft (assist by D. Russell),,2,33,42,-9,825.0
10:02.0,J. Johnson makes 2-pt dunk from 3 ft (assist by T. Forrest),35-42, ,,2,35,42,-7,838.0
9:47.0, ,35-45,L. James makes 3-pt jump shot from 31 ft (assist by D. Russell),,2,35,45,-10,853.0
9:30.0,B. Bogdanović makes 2-pt jump shot from 14 ft (assist by O. Okongwu),37-45, ,,2,37,45,-8,870.0
9:10.0, ,37-45,L. James misses 3-pt jump shot from 26 ft,,2,37,45,-8,890.0
9:07.0,Defensive rebound by B. Bogdanović,37-45, ,,2,37,45,-8,893.0
9:02.0,Shooting foul by J. Hayes (drawn by B. Bogdanović),37-45, ,,2,37,45,-8,898.0
9:02.0,B. Bogdanović makes free throw 1 of 2,38-45, ,,2,38,45,-7,898.0
9:02.0,B. Fernando enters the game for O. Okongwu,38-45, ,,2,38,45,-7,898.0
9:02.0,B. Bogdanović makes free throw 2 of 2,39-45, ,,2,39,45,-6,898.0
8:42.0, ,39-45,D. Russell misses 2-pt jump shot from 5 ft (block by B. Fernando),,2,39,45,-6,918.0
8:38.0,Defensive rebound by J. Johnson,39-45, ,,2,39,45,-6,922.0
8:36.0,J. Johnson makes 2-pt layup from 2 ft,41-45, ,,2,41,45,-4,924.0
8:36.0, ,41-45,LA Lakers full timeout,,2,41,45,-4,924.0
8:36.0, ,41-45,R. Hachimura enters the game for T. Prince,,2,41,45,-4,924.0
8:13.0, ,41-45,L. James misses 3-pt jump shot from 26 ft,,2,41,45,-4,947.0
8:10.0,Defensive rebound by D. Hunter,41-45, ,,2,41,45,-4,950.0
8:06.0,D. Hunter misses 3-pt jump shot from 26 ft,41-45, ,,2,41,45,-4,954.0
8:01.0, ,41-45,Defensive rebound by D. Russell,,2,41,45,-4,959.0
7:57.0, ,41-45,D. Russell misses 2-pt layup from 3 ft,,2,41,45,-4,963.0
7:54.0,Defensive rebound by B. Fernando,41-45, ,,2,41,45,-4,966.0
7:43.0,J. Johnson misses 3-pt jump shot from 27 ft,41-45, ,,2,41,45,-4,977.0
7:40.0, ,41-45,Defensive rebound by R. Hachimura,,2,41,45,-4,980.0
7:30.0, ,41-48,D. Russell makes 3-pt jump shot from 27 ft (assist by L. James),,2,41,48,-7,990.0
7:13.0,Personal foul by M. Christie (drawn by D. Hunter),41-48, ,,2,41,48,-7,1007.0
7:13.0,G. Mathews enters the game for B. Bogdanović,41-48, ,,2,41,48,-7,1007.0
7:13.0,D. Murray enters the game for T. Forrest,41-48, ,,2,41,48,-7,1007.0
7:13.0, ,41-48,A. Davis enters the game for M. Christie,,2,41,48,-7,1007.0
7:13.0, ,41-48,A. Reaves enters the game for J. Hayes,,2,41,48,-7,1007.0
7:02.0,D. Hunter makes 2-pt jump shot from 10 ft (assist by J. Johnson),43-48, ,,2,43,48,-5,1018.0
6:57.0, ,43-48,Shooting foul by B. Fernando (drawn by D. Russell),,2,43,48,-5,1023.0
6:57.0, ,43-49,D. Russell makes free throw 1 of 2,,2,43,49,-6,1023.0
6:57.0, ,43-50,D. Russell makes free throw 2 of 2,,2,43,50,-7,1023.0
6:47.0,D. Hunter misses 3-pt jump shot from 27 ft,43-50, ,,2,43,50,-7,1033.0
6:43.0, ,43-50,Defensive rebound by R. Hachimura,,2,43,50,-7,1037.0
6:38.0, ,43-52,L. James makes 2-pt layup from 4 ft (assist by D. Russell),,2,43,52,-9,1042.0
6:33.0,Turnover by B. Fernando (bad pass; steal by A. Reaves),43-52, ,,2,43,52,-9,1047.0
6:33.0, ,43-54,L. James makes 2-pt dunk from 3 ft (assist by A. Reaves),,2,43,54,-11,1047.0
6:33.0,Atlanta full timeout,43-54, ,,2,43,54,-11,1047.0
6:33.0,C. Capela enters the game for B. Fernando,43-54, ,,2,43,54,-11,1047.0
6:33.0,V. Krejci enters the game for D. Hunter,43-54, ,,2,43,54,-11,1047.0
6:11.0,J. Johnson makes 2-pt dunk from 1 ft (assist by G. Mathews),45-54, ,,2,45,54,-9,1069.0
5:53.0, ,45-57,D. Russell makes 3-pt jump shot from 27 ft (assist by L. James),,2,45,57,-12,1087.0
5:38.0,J. Johnson misses 3-pt jump shot from 26 ft,45-57, ,,2,45,57,-12,1102.0
5:35.0, ,45-57,Defensive rebound by A. Davis,,2,45,57,-12,1105.0
5:25.0, ,45-57,Def 3 sec tech foul by Team,,2,45,57,-12,1115.0
5:25.0, ,45-58,A. Reaves makes technical free throw,,2,45,58,-13,1115.0
5:25.0,B. Bogdanović enters the game for G. Mathews,45-58, ,,2,45,58,-13,1115.0
5:16.0, ,45-58,Turnover by L. James (bad pass; steal by C. Capela),,2,45,58,-13,1124.0
5:02.0,C. Capela misses 2-pt layup from 2 ft,45-58, ,,2,45,58,-13,1138.0
5:00.0, ,45-58,Defensive rebound by R. Hachimura,,2,45,58,-13,1140.0
4:57.0, ,45-60,D. Russell makes 2-pt jump shot from 6 ft,,2,45,60,-15,1143.0
4:57.0, ,45-60,Shooting foul by B. Bogdanović (drawn by D. Russell),,2,45,60,-15,1143.0
4:57.0, ,45-61,D. Russell makes free throw 1 of 1,,2,45,61,-16,1143.0
4:46.0,D. Murray makes 2-pt jump shot from 17 ft,47-61, ,,2,47,61,-14,1154.0
4:29.0, ,47-64,R. Hachimura makes 3-pt jump shot from 23 ft (assist by L. James),,2,47,64,-17,1171.0
4:09.0,C. Capela makes 2-pt dunk from 3 ft (assist by J. Johnson),49-64, ,,2,49,64,-15,1191.0
3:45.0, ,49-64,A. Reaves misses 2-pt jump shot from 13 ft,,2,49,64,-15,1215.0
3:41.0, ,49-64,Offensive rebound by A. Davis,,2,49,64,-15,1219.0
3:41.0, ,49-66,A. Davis makes 2-pt dunk at rim,,2,49,66,-17,1219.0
3:27.0,V. Krejci makes 3-pt jump shot from 26 ft (assist by J. Johnson),52-66, ,,2,52,66,-14,1233.0
3:17.0, ,52-66,Personal foul by J. Johnson (drawn by L. James),,2,52,66,-14,1243.0
3:17.0, ,52-66,LA Lakers full timeout,,2,52,66,-14,1243.0
3:17.0,D. Hunter enters the game for V. Krejci,52-66, ,,2,52,66,-14,1243.0
3:17.0, ,52-66,S. Dinwiddie enters the game for L. James,,2,52,66,-14,1243.0
3:10.0, ,52-68,R. Hachimura makes 2-pt layup from 2 ft (assist by D. Russell),,2,52,68,-16,1250.0
2:55.0,D. Murray misses 3-pt jump shot from 25 ft,52-68, ,,2,52,68,-16,1265.0
2:51.0, ,52-68,Defensive rebound by A. Reaves,,2,52,68,-16,1269.0
2:44.0, ,52-68,R. Hachimura misses 2-pt layup from 4 ft (block by C. Capela),,2,52,68,-16,1276.0
2:38.0,Defensive rebound by J. Johnson,52-68, ,,2,52,68,-16,1282.0
2:36.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Hunter),55-68, ,,2,55,68,-13,1284.0
2:22.0, ,55-70,R. Hachimura makes 2-pt dunk from 3 ft (assist by A. Davis),,2,55,70,-15,1298.0
2:10.0,D. Hunter misses 2-pt jump shot from 9 ft,55-70, ,,2,55,70,-15,1310.0
2:05.0, ,55-70,Defensive rebound by A. Davis,,2,55,70,-15,1315.0
1:58.0, ,55-70,A. Reaves misses 3-pt jump shot from 30 ft,,2,55,70,-15,1322.0
1:53.0,Defensive rebound by C. Capela,55-70, ,,2,55,70,-15,1327.0
1:49.0,D. Hunter misses 3-pt jump shot from 25 ft,55-70, ,,2,55,70,-15,1331.0
1:45.0, ,55-70,Defensive rebound by A. Davis,,2,55,70,-15,1335.0
1:40.0, ,55-73,S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by R. Hachimura),,2,55,73,-18,1340.0
1:26.0,Shooting foul by R. Hachimura (drawn by B. Bogdanović),55-73, ,,2,55,73,-18,1354.0
1:26.0,B. Bogdanović makes free throw 1 of 2,56-73, ,,2,56,73,-17,1354.0
1:26.0, ,56-73,L. James enters the game for R. Hachimura,,2,56,73,-17,1354.0
1:26.0,B. Bogdanović makes free throw 2 of 2,57-73, ,,2,57,73,-16,1354.0
1:19.0, ,57-73,A. Davis misses 2-pt layup from 6 ft,,2,57,73,-16,1361.0
1:16.0,Defensive rebound by C. Capela,57-73, ,,2,57,73,-16,1364.0
