Time,Atlanta,Score,LA Clippers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:59.0, ,6-5,Defensive rebound by T. Mann,,1,6,5,1,181.0
8:45.0, ,6-5,J. Harden misses 2-pt jump shot from 8 ft (block by V. Krejci),,1,6,5,1,195.0
8:43.0,Defensive rebound by J. Johnson,6-5, ,,1,6,5,1,197.0
8:40.0,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray),8-5, ,,1,8,5,3,200.0
8:15.0, ,8-5,P. George misses 2-pt layup from 4 ft,,1,8,5,3,225.0
8:13.0,Defensive rebound by C. Capela,8-5, ,,1,8,5,3,227.0
8:05.0,V. Krejci misses 2-pt jump shot from 9 ft,8-5, ,,1,8,5,3,235.0
8:03.0,Offensive rebound by C. Capela,8-5, ,,1,8,5,3,237.0
8:01.0,J. Johnson makes 3-pt jump shot from 23 ft (assist by C. Capela),11-5, ,,1,11,5,6,239.0
7:46.0, ,11-7,K. Leonard makes 2-pt layup from 2 ft (assist by J. Harden),,1,11,7,4,254.0
7:31.0,J. Johnson misses 2-pt jump shot from 7 ft,11-7, ,,1,11,7,4,269.0
7:30.0,Offensive rebound by C. Capela,11-7, ,,1,11,7,4,270.0
7:28.0,C. Capela misses 2-pt layup from 1 ft,11-7, ,,1,11,7,4,272.0
7:28.0, ,11-7,Defensive rebound by K. Leonard,,1,11,7,4,272.0
7:13.0, ,11-7,K. Leonard misses 3-pt jump shot from 27 ft,,1,11,7,4,287.0
7:11.0, ,11-7,Offensive rebound by I. Zubac,,1,11,7,4,289.0
7:04.0, ,11-7,Shooting foul by V. Krejci (drawn by I. Zubac),,1,11,7,4,296.0
7:04.0, ,11-8,I. Zubac makes free throw 1 of 2,,1,11,8,3,296.0
7:04.0, ,11-9,I. Zubac makes free throw 2 of 2,,1,11,9,2,296.0
6:53.0,Turnover by C. Capela (bad pass; steal by T. Mann),11-9, ,,1,11,9,2,307.0
6:36.0, ,11-12,K. Leonard makes 3-pt jump shot from 24 ft (assist by J. Harden),Lead change,1,11,12,-1,324.0
6:19.0,D. Murray makes 2-pt jump shot from 11 ft,13-12, ,Lead change,1,13,12,1,341.0
6:03.0, ,13-12,P. George misses 2-pt jump shot from 18 ft,,1,13,12,1,357.0
6:01.0,Defensive rebound by J. Johnson,13-12, ,,1,13,12,1,359.0
5:56.0,D. Murray makes 3-pt jump shot from 28 ft (assist by J. Johnson),16-12, ,,1,16,12,4,364.0
5:56.0, ,16-12,LA Clippers full timeout,,1,16,12,4,364.0
5:56.0,B. Fernando enters the game for B. Bogdanović,16-12, ,,1,16,12,4,364.0
