Time,Cleveland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:37.0,S. Merrill misses 3-pt jump shot from 22 ft,75-82, ,,3,82,75,7,1943.0
3:35.0,Offensive rebound by Team,75-82, ,,3,82,75,7,1945.0
3:35.0,D. Wade enters the game for I. Okoro,75-82, ,,3,82,75,7,1945.0
3:35.0,Away from play foul by G. Mathews (drawn by S. Merrill),75-82, ,,3,82,75,7,1945.0
3:35.0,S. Merrill makes free throw 1 of 1,76-82, ,,3,82,76,6,1945.0
3:30.0,Personal foul by D. Hunter (drawn by C. LeVert),76-82, ,,3,82,76,6,1950.0
3:30.0,C. LeVert makes free throw 1 of 2,77-82, ,,3,82,77,5,1950.0
3:30.0, ,77-82,B. Bogdanović enters the game for G. Mathews,,3,82,77,5,1950.0
3:30.0,C. LeVert misses free throw 2 of 2,77-82, ,,3,82,77,5,1950.0
3:28.0, ,77-82,Defensive rebound by S. Bey,,3,82,77,5,1952.0
3:16.0, ,77-82,D. Murray misses 2-pt jump shot from 6 ft,,3,82,77,5,1964.0
3:12.0,Defensive rebound by S. Merrill,77-82, ,,3,82,77,5,1968.0
3:08.0,S. Merrill misses 3-pt jump shot from 26 ft,77-82, ,,3,82,77,5,1972.0
3:01.0,Offensive rebound by J. Allen,77-82, ,,3,82,77,5,1979.0
3:01.0,J. Allen makes 2-pt dunk at rim,79-82, ,,3,82,79,3,1979.0
2:47.0, ,79-82,Shooting foul by D. Garland (drawn by B. Bogdanović),,3,82,79,3,1993.0
2:47.0, ,79-83,B. Bogdanović makes free throw 1 of 2,,3,83,79,4,1993.0
2:47.0,C. Porter enters the game for D. Garland,79-83, ,,3,83,79,4,1993.0
2:47.0, ,79-83,T. Forrest enters the game for D. Murray,,3,83,79,4,1993.0
2:47.0, ,79-84,B. Bogdanović makes free throw 2 of 2,,3,84,79,5,1993.0
2:32.0,Shooting foul by T. Forrest (drawn by J. Allen),79-84, ,,3,84,79,5,2008.0
2:32.0,J. Allen misses free throw 1 of 2,79-84, ,,3,84,79,5,2008.0
2:32.0,Offensive rebound by Team,79-84, ,,3,84,79,5,2008.0
2:32.0,J. Allen makes free throw 2 of 2,80-84, ,,3,84,80,4,2008.0
2:18.0, ,80-84,D. Hunter misses 3-pt jump shot from 23 ft,,3,84,80,4,2022.0
2:15.0,Defensive rebound by D. Wade,80-84, ,,3,84,80,4,2025.0
2:10.0,J. Allen makes 2-pt layup from 2 ft (assist by C. LeVert),82-84, ,,3,84,82,2,2030.0
2:10.0,Shooting foul by D. Hunter (drawn by J. Allen),82-84, ,,3,84,82,2,2030.0
2:10.0,J. Allen makes free throw 1 of 1,83-84, ,,3,84,83,1,2030.0
1:55.0, ,83-87,B. Bogdanović makes 3-pt jump shot from 24 ft,,3,87,83,4,2045.0
1:38.0,C. LeVert misses 3-pt jump shot from 25 ft,83-87, ,,3,87,83,4,2062.0
1:36.0, ,83-87,Defensive rebound by Team,,3,87,83,4,2064.0
1:21.0, ,83-87,D. Hunter misses 3-pt jump shot from 25 ft,,3,87,83,4,2079.0
1:18.0,Defensive rebound by C. LeVert,83-87, ,,3,87,83,4,2082.0
1:12.0,C. Porter makes 2-pt dunk from 1 ft (assist by C. LeVert),85-87, ,,3,87,85,2,2088.0
1:12.0,Shooting foul by B. Fernando (drawn by C. Porter),85-87, ,,3,87,85,2,2088.0
1:12.0,C. Porter makes free throw 1 of 1,86-87, ,,3,87,86,1,2088.0
0:49.0, ,86-87,B. Bogdanović misses 3-pt jump shot from 24 ft,,3,87,86,1,2111.0
0:48.0, ,86-87,Offensive rebound by Team,,3,87,86,1,2112.0
0:48.0, ,86-87,Turnover by Team (shot clock),,3,87,86,1,2112.0
0:24.0,C. LeVert makes 3-pt jump shot from 24 ft (assist by S. Merrill),89-87, ,Lead change,3,87,89,-2,2136.0
0:00.0, ,89-87,Turnover by Team (shot clock),,3,87,89,-2,2160.0
0:00.0,End of 3rd quarter,89-87,,,3,87,89,-2,2160.0
12:00.0,Start of 4th quarter,89-87,,,4,87,89,-2,2160.0
11:50.0,Turnover by C. LeVert (bad pass),89-87, ,,4,87,89,-2,2170.0
11:28.0, ,89-89,T. Forrest makes 2-pt jump shot from 11 ft (assist by B. Bogdanović),Tie,4,89,89,0,2192.0
11:15.0,S. Merrill misses 3-pt jump shot from 25 ft,89-89, ,,4,89,89,0,2205.0
11:13.0,Offensive rebound by C. Porter,89-89, ,,4,89,89,0,2207.0
11:02.0,C. LeVert misses 3-pt jump shot from 25 ft,89-89, ,,4,89,89,0,2218.0
10:59.0, ,89-89,Defensive rebound by B. Fernando,,4,89,89,0,2221.0
10:50.0, ,89-89,Turnover by D. Murray (lost ball; steal by C. Porter),,4,89,89,0,2230.0
10:46.0,C. LeVert misses 2-pt layup from 1 ft (block by B. Fernando),89-89, ,,4,89,89,0,2234.0
10:43.0, ,89-89,Defensive rebound by B. Bogdanović,,4,89,89,0,2237.0
10:41.0, ,89-89,Shooting foul by D. Jones (drawn by B. Bogdanović),,4,89,89,0,2239.0
10:41.0, ,89-90,B. Bogdanović makes free throw 1 of 2,Lead change,4,90,89,1,2239.0
10:41.0, ,89-90,S. Bey enters the game for D. Hunter,,4,90,89,1,2239.0
10:41.0, ,89-91,B. Bogdanović makes free throw 2 of 2,,4,91,89,2,2239.0
10:23.0,C. Porter makes 2-pt jump shot from 21 ft,91-91, ,Tie,4,91,91,0,2257.0
10:02.0, ,91-93,D. Murray makes 2-pt jump shot from 12 ft,,4,93,91,2,2278.0
9:46.0,C. Porter makes 2-pt jump shot from 5 ft,93-93, ,Tie,4,93,93,0,2294.0
9:32.0, ,93-93,D. Murray misses 2-pt jump shot from 18 ft,,4,93,93,0,2308.0
9:30.0,Defensive rebound by S. Merrill,93-93, ,,4,93,93,0,2310.0
9:23.0,S. Merrill misses 3-pt jump shot from 26 ft,93-93, ,,4,93,93,0,2317.0
9:19.0, ,93-93,Defensive rebound by T. Forrest,,4,93,93,0,2321.0
9:07.0, ,93-93,Turnover by S. Bey (out of bounds lost ball),,4,93,93,0,2333.0
9:07.0,I. Okoro enters the game for S. Merrill,93-93, ,,4,93,93,0,2333.0
9:07.0, ,93-93,G. Mathews enters the game for B. Bogdanović,,4,93,93,0,2333.0
8:52.0,Turnover by C. LeVert (bad pass; steal by S. Bey),93-93, ,,4,93,93,0,2348.0
8:46.0, ,93-93,D. Murray misses 2-pt layup from 2 ft (block by D. Jones),,4,93,93,0,2354.0
8:41.0,Defensive rebound by I. Okoro,93-93, ,,4,93,93,0,2359.0
8:31.0,C. Porter misses 2-pt jump shot from 11 ft,93-93, ,,4,93,93,0,2369.0
8:27.0, ,93-93,Defensive rebound by B. Fernando,,4,93,93,0,2373.0
8:15.0, ,93-93,S. Bey misses 3-pt jump shot from 26 ft,,4,93,93,0,2385.0
8:12.0, ,93-93,Offensive rebound by T. Forrest,,4,93,93,0,2388.0
8:03.0, ,93-95,B. Fernando makes 2-pt dunk from 1 ft (assist by D. Murray),,4,95,93,2,2397.0
7:41.0,C. Porter misses 3-pt jump shot from 25 ft,93-95, ,,4,95,93,2,2419.0
7:38.0,Offensive rebound by D. Jones,93-95, ,,4,95,93,2,2422.0
7:36.0,Cleveland full timeout,93-95, ,,4,95,93,2,2424.0
7:36.0,J. Allen enters the game for D. Jones,93-95, ,,4,95,93,2,2424.0
7:36.0,D. Garland enters the game for C. Porter,93-95, ,,4,95,93,2,2424.0
7:36.0,G. Niang enters the game for D. Wade,93-95, ,,4,95,93,2,2424.0
7:36.0, ,93-95,B. Bogdanović enters the game for T. Forrest,,4,95,93,2,2424.0
7:28.0,I. Okoro misses 2-pt layup from 1 ft,93-95, ,,4,95,93,2,2432.0
7:25.0,Offensive rebound by J. Allen,93-95, ,,4,95,93,2,2435.0
7:21.0,I. Okoro misses 3-pt jump shot from 23 ft,93-95, ,,4,95,93,2,2439.0
7:21.0, ,93-95,Defensive rebound by D. Murray,,4,95,93,2,2439.0
7:01.0, ,93-95,D. Murray misses 3-pt jump shot from 23 ft,,4,95,93,2,2459.0
6:58.0,Defensive rebound by J. Allen,93-95, ,,4,95,93,2,2462.0
6:49.0,D. Garland misses 3-pt jump shot from 26 ft,93-95, ,,4,95,93,2,2471.0
6:47.0,Offensive rebound by J. Allen,93-95, ,,4,95,93,2,2473.0
6:44.0,C. LeVert misses 3-pt jump shot from 26 ft,93-95, ,,4,95,93,2,2476.0
6:40.0, ,93-95,Defensive rebound by B. Fernando,,4,95,93,2,2480.0
6:28.0, ,93-95,S. Bey misses 3-pt jump shot from 25 ft,,4,95,93,2,2492.0
6:26.0,Defensive rebound by C. LeVert,93-95, ,,4,95,93,2,2494.0
6:10.0,Turnover by G. Niang (lost ball; steal by B. Fernando),93-95, ,,4,95,93,2,2510.0
6:06.0, ,93-97,S. Bey makes 2-pt layup from 1 ft,,4,97,93,4,2514.0
5:51.0,J. Allen misses 2-pt layup from 2 ft,93-97, ,,4,97,93,4,2529.0
5:48.0, ,93-97,Defensive rebound by B. Fernando,,4,97,93,4,2532.0
5:44.0,Cleveland full timeout,93-97, ,,4,97,93,4,2536.0
5:44.0,Instant Replay (Challenge: Ruling Stands),93-97, ,,4,97,93,4,2536.0
5:44.0, ,93-97,Technical foul by S. Bey,,4,97,93,4,2536.0
5:44.0,D. Garland misses technical free throw,93-97, ,,4,97,93,4,2536.0
5:44.0, ,93-97,Defensive rebound by Team,,4,97,93,4,2536.0
5:44.0, ,93-97,S. Bey misses 3-pt jump shot from 27 ft,,4,97,93,4,2536.0
5:44.0,Defensive rebound by Team,93-97, ,,4,97,93,4,2536.0
5:44.0,Jump ball: J. Allen vs. B. Fernando (D. Garland gains possession),93-97,,,4,97,93,4,2536.0
5:29.0,I. Okoro misses 3-pt jump shot from 26 ft,93-97, ,,4,97,93,4,2551.0
5:25.0, ,93-97,Defensive rebound by B. Fernando,,4,97,93,4,2555.0
5:05.0, ,93-100,S. Bey makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,4,100,93,7,2575.0
4:50.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Garland),95-100, ,,4,100,95,5,2590.0
4:49.0, ,95-100,Atlanta full timeout,,4,100,95,5,2591.0
4:49.0, ,95-100,C. Capela enters the game for B. Fernando,,4,100,95,5,2591.0
4:49.0, ,95-100,D. Hunter enters the game for G. Mathews,,4,100,95,5,2591.0
4:31.0, ,95-100,D. Murray misses 2-pt jump shot from 11 ft,,4,100,95,5,2609.0
4:26.0, ,95-100,Offensive rebound by C. Capela,,4,100,95,5,2614.0
4:26.0, ,95-100,C. Capela misses 2-pt layup at rim,,4,100,95,5,2614.0
4:25.0,Defensive rebound by J. Allen,95-100, ,,4,100,95,5,2615.0
4:09.0,G. Niang makes 2-pt jump shot from 9 ft (assist by C. LeVert),97-100, ,,4,100,97,3,2631.0
3:47.0, ,97-102,B. Bogdanović makes 2-pt layup from 1 ft,,4,102,97,5,2653.0
3:33.0,G. Niang makes 2-pt layup from 1 ft (assist by D. Garland),99-102, ,,4,102,99,3,2667.0
3:13.0, ,99-105,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Hunter),,4,105,99,6,2687.0
2:59.0,C. LeVert misses 3-pt jump shot from 26 ft,99-105, ,,4,105,99,6,2701.0
2:55.0, ,99-105,Defensive rebound by C. Capela,,4,105,99,6,2705.0
2:43.0, ,99-105,D. Murray misses 3-pt jump shot from 25 ft,,4,105,99,6,2717.0
2:37.0, ,99-105,Offensive rebound by S. Bey,,4,105,99,6,2723.0
2:32.0, ,99-105,Turnover by D. Hunter (bad pass; steal by I. Okoro),,4,105,99,6,2728.0
2:29.0,I. Okoro makes 2-pt dunk from 1 ft,101-105, ,,4,105,101,4,2731.0
2:10.0, ,101-108,S. Bey makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,4,108,101,7,2750.0
1:45.0,D. Garland misses 3-pt jump shot from 35 ft,101-108, ,,4,108,101,7,2775.0
1:42.0, ,101-108,Defensive rebound by C. Capela,,4,108,101,7,2778.0
1:21.0, ,101-110,S. Bey makes 2-pt layup at rim (assist by C. Capela),,4,110,101,9,2799.0
1:13.0,C. LeVert misses 2-pt layup from 1 ft,101-110, ,,4,110,101,9,2807.0
1:10.0, ,101-110,Defensive rebound by C. Capela,,4,110,101,9,2810.0
0:56.0, ,101-110,Turnover by D. Murray (out of bounds lost ball),,4,110,101,9,2824.0
0:47.0,Turnover by D. Garland (bad pass; steal by B. Bogdanović),101-110, ,,4,110,101,9,2833.0
0:36.0, ,101-112,D. Hunter makes 2-pt jump shot from 3 ft (assist by B. Bogdanović),,4,112,101,11,2844.0
0:30.0,D. Garland misses 3-pt jump shot from 27 ft,101-112, ,,4,112,101,11,2850.0
0:27.0, ,101-112,Defensive rebound by S. Bey,,4,112,101,11,2853.0
0:08.0, ,101-112,Turnover by B. Bogdanović (bad pass; steal by G. Niang),,4,112,101,11,2872.0
0:00.0,End of 4th quarter,101-112,,,4,112,101,11,2880.0
