Time,Cleveland,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:06.0, ,12-15,B. Fernando enters the game for C. Capela,,1,15,12,3,354.0
6:06.0, ,12-15,D. Hunter enters the game for J. Johnson,,1,15,12,3,354.0
6:02.0,D. Garland misses 3-pt jump shot from 26 ft,12-15, ,,1,15,12,3,358.0
5:57.0, ,12-15,Defensive rebound by S. Bey,,1,15,12,3,363.0
5:41.0, ,12-15,D. Hunter misses 3-pt jump shot from 24 ft,,1,15,12,3,379.0
5:39.0,Defensive rebound by J. Allen,12-15, ,,1,15,12,3,381.0
5:26.0,I. Okoro makes 2-pt layup from 3 ft,14-15, ,,1,15,14,1,394.0
5:15.0, ,14-15,B. Fernando misses 2-pt layup from 3 ft,,1,15,14,1,405.0
5:12.0,Defensive rebound by J. Allen,14-15, ,,1,15,14,1,408.0
5:09.0,C. LeVert misses 3-pt jump shot from 25 ft,14-15, ,,1,15,14,1,411.0
5:08.0,Offensive rebound by Team,14-15, ,,1,15,14,1,412.0
5:04.0,D. Garland misses 3-pt jump shot from 24 ft,14-15, ,,1,15,14,1,416.0
5:01.0, ,14-15,Defensive rebound by B. Fernando,,1,15,14,1,419.0
4:53.0, ,14-15,Shooting foul by G. Niang (drawn by B. Fernando),,1,15,14,1,427.0
4:53.0, ,14-16,B. Fernando makes free throw 1 of 2,,1,16,14,2,427.0
4:53.0,D. Wade enters the game for G. Niang,14-16, ,,1,16,14,2,427.0
4:53.0, ,14-16,B. Fernando misses free throw 2 of 2,,1,16,14,2,427.0
4:51.0,Defensive rebound by J. Allen,14-16, ,,1,16,14,2,429.0
4:35.0,Turnover by C. LeVert (lost ball; steal by D. Hunter),14-16, ,,1,16,14,2,445.0
4:31.0, ,14-18,D. Murray makes 2-pt dunk from 1 ft,,1,18,14,4,449.0
4:17.0,D. Garland makes 3-pt jump shot from 25 ft,17-18, ,,1,18,17,1,463.0
3:58.0, ,17-20,B. Fernando makes 2-pt layup from 3 ft (assist by D. Hunter),,1,20,17,3,482.0
3:45.0,Shooting foul by D. Murray (drawn by J. Allen),17-20, ,,1,20,17,3,495.0
3:45.0,J. Allen makes free throw 1 of 2,18-20, ,,1,20,18,2,495.0
3:45.0,C. Porter enters the game for D. Garland,18-20, ,,1,20,18,2,495.0
3:45.0,J. Allen makes free throw 2 of 2,19-20, ,,1,20,19,1,495.0
3:36.0, ,19-20,Personal foul by C. LeVert (drawn by D. Hunter),,1,20,19,1,504.0
3:29.0, ,19-20,D. Hunter misses 2-pt layup from 1 ft (block by J. Allen),,1,20,19,1,511.0
3:26.0,Defensive rebound by D. Wade,19-20, ,,1,20,19,1,514.0
3:23.0,D. Wade makes 3-pt jump shot from 25 ft (assist by C. Porter),22-20, ,Lead change,1,20,22,-2,517.0
3:06.0, ,22-20,D. Murray misses 2-pt jump shot from 10 ft,,1,20,22,-2,534.0
3:03.0,Defensive rebound by J. Allen,22-20, ,,1,20,22,-2,537.0
2:51.0,C. Porter makes 2-pt layup from 2 ft,24-20, ,,1,20,24,-4,549.0
2:29.0, ,24-20,Shooting foul by D. Wade (drawn by S. Bey),,1,20,24,-4,571.0
2:29.0,Cleveland full timeout,24-20, ,,1,20,24,-4,571.0
2:29.0,D. Jones enters the game for J. Allen,24-20, ,,1,20,24,-4,571.0
2:29.0,S. Merrill enters the game for I. Okoro,24-20, ,,1,20,24,-4,571.0
2:29.0, ,24-20,B. Bogdanović enters the game for G. Mathews,,1,20,24,-4,571.0
2:29.0, ,24-20,T. Forrest enters the game for D. Murray,,1,20,24,-4,571.0
2:29.0, ,24-21,S. Bey makes free throw 1 of 2,,1,21,24,-3,571.0
2:29.0, ,24-22,S. Bey makes free throw 2 of 2,,1,22,24,-2,571.0
2:12.0,D. Wade misses 3-pt jump shot from 24 ft,24-22, ,,1,22,24,-2,588.0
2:11.0,Offensive rebound by Team,24-22, ,,1,22,24,-2,589.0
2:11.0, ,24-22,J. Johnson enters the game for S. Bey,,1,22,24,-2,589.0
2:07.0,C. LeVert makes 2-pt layup from 2 ft (assist by C. Porter),26-22, ,,1,22,26,-4,593.0
1:43.0, ,26-25,D. Hunter makes 3-pt jump shot from 24 ft (assist by B. Fernando),,1,25,26,-1,617.0
1:26.0,C. Porter makes 2-pt jump shot from 21 ft,28-25, ,,1,25,28,-3,634.0
1:13.0, ,28-25,Personal foul by S. Merrill (drawn by B. Bogdanović),,1,25,28,-3,647.0
1:11.0, ,28-28,D. Hunter makes 3-pt jump shot from 23 ft (assist by J. Johnson),Tie,1,28,28,0,649.0
1:00.0,S. Merrill misses 3-pt jump shot from 25 ft,28-28, ,,1,28,28,0,660.0
0:58.0, ,28-28,Defensive rebound by J. Johnson,,1,28,28,0,662.0
0:43.0, ,28-28,T. Forrest misses 2-pt jump shot from 4 ft,,1,28,28,0,677.0
0:41.0,Defensive rebound by D. Wade,28-28, ,,1,28,28,0,679.0
0:30.0,Turnover by C. Porter (step out of bounds),28-28, ,,1,28,28,0,690.0
0:11.0, ,28-31,J. Johnson makes 3-pt jump shot from 25 ft (assist by T. Forrest),Lead change,1,31,28,3,709.0
0:00.0,C. LeVert misses 2-pt jump shot from 12 ft,28-31, ,,1,31,28,3,720.0
0:00.0,Offensive rebound by Team,28-31, ,,1,31,28,3,720.0
0:00.0,End of 1st quarter,28-31,,,1,31,28,3,720.0
12:00.0,Start of 2nd quarter,28-31,,,2,31,28,3,720.0
11:44.0, ,28-31,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,31,28,3,736.0
11:40.0,Defensive rebound by C. Porter,28-31, ,,2,31,28,3,740.0
11:28.0,S. Merrill misses 3-pt jump shot from 25 ft,28-31, ,,2,31,28,3,752.0
11:24.0,Offensive rebound by C. Porter,28-31, ,,2,31,28,3,756.0
11:23.0,C. Porter makes 2-pt layup from 1 ft,30-31, ,,2,31,30,1,757.0
11:06.0, ,30-31,D. Hunter misses 2-pt jump shot from 8 ft,,2,31,30,1,774.0
11:03.0,Defensive rebound by D. Jones,30-31, ,,2,31,30,1,777.0
11:00.0,S. Merrill misses 3-pt jump shot from 26 ft,30-31, ,,2,31,30,1,780.0
10:57.0, ,30-31,Defensive rebound by J. Johnson,,2,31,30,1,783.0
10:46.0, ,30-33,J. Johnson makes 2-pt jump shot from 6 ft,,2,33,30,3,794.0
10:32.0,C. LeVert misses 2-pt layup from 2 ft,30-33, ,,2,33,30,3,808.0
10:29.0, ,30-33,Defensive rebound by B. Fernando,,2,33,30,3,811.0
10:24.0, ,30-35,T. Forrest makes 2-pt layup from 1 ft,,2,35,30,5,816.0
10:08.0,D. Wade misses 3-pt jump shot from 25 ft,30-35, ,,2,35,30,5,832.0
10:06.0, ,30-35,Defensive rebound by J. Johnson,,2,35,30,5,834.0
10:00.0, ,30-35,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,35,30,5,840.0
9:57.0,Defensive rebound by C. Porter,30-35, ,,2,35,30,5,843.0
9:44.0,D. Jones makes 2-pt dunk at rim (assist by S. Merrill),32-35, ,,2,35,32,3,856.0
9:23.0, ,32-35,B. Fernando misses 2-pt dunk at rim,,2,35,32,3,877.0
9:22.0,Defensive rebound by Team,32-35, ,,2,35,32,3,878.0
9:22.0, ,32-35,Loose ball foul by D. Hunter (drawn by C. LeVert),,2,35,32,3,878.0
9:04.0,S. Merrill misses 3-pt jump shot from 24 ft,32-35, ,,2,35,32,3,896.0
9:01.0, ,32-35,Defensive rebound by D. Hunter,,2,35,32,3,899.0
8:47.0, ,32-35,J. Johnson misses 2-pt jump shot from 8 ft,,2,35,32,3,913.0
8:43.0, ,32-35,Offensive rebound by B. Fernando,,2,35,32,3,917.0
8:41.0, ,32-35,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,35,32,3,919.0
8:38.0,Defensive rebound by D. Wade,32-35, ,,2,35,32,3,922.0
8:33.0,D. Wade misses 3-pt jump shot from 25 ft (block by J. Johnson),32-35, ,,2,35,32,3,927.0
8:30.0, ,32-35,Defensive rebound by T. Forrest,,2,35,32,3,930.0
8:25.0, ,32-37,T. Forrest makes 2-pt jump shot from 8 ft,,2,37,32,5,935.0
8:00.0,Shooting foul by B. Fernando (drawn by D. Wade),32-37, ,,2,37,32,5,960.0
8:00.0,D. Wade makes free throw 1 of 2,33-37, ,,2,37,33,4,960.0
8:00.0,J. Allen enters the game for D. Jones,33-37, ,,2,37,33,4,960.0
