Time,Atlanta,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. D. Gafford (J. Johnson gains possession),0-0,,,1,0,0,0,0.0
11:40.0,D. Murray misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,20.0
11:36.0, ,0-0,Defensive rebound by K. Kuzma,,1,0,0,0,24.0
11:29.0, ,0-0,C. Kispert misses 3-pt jump shot from 26 ft,,1,0,0,0,31.0
11:25.0,Defensive rebound by D. Murray,0-0, ,,1,0,0,0,35.0
11:19.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Murray),3-0, ,,1,3,0,3,41.0
10:56.0, ,3-2,D. Avdija makes 2-pt layup from 2 ft (assist by K. Kuzma),,1,3,2,1,64.0
10:37.0,C. Capela makes 2-pt hook shot from 7 ft (assist by D. Murray),5-2, ,,1,5,2,3,83.0
10:28.0, ,5-4,D. Gafford makes 2-pt dunk from 2 ft (assist by T. Jones),,1,5,4,1,92.0
10:15.0,D. Murray misses 2-pt layup from 3 ft,5-4, ,,1,5,4,1,105.0
10:12.0, ,5-4,Defensive rebound by D. Gafford,,1,5,4,1,108.0
10:08.0, ,5-4,Turnover by K. Kuzma (bad pass; steal by D. Murray),,1,5,4,1,112.0
10:02.0,C. Capela makes 2-pt layup from 2 ft (assist by D. Murray),7-4, ,,1,7,4,3,118.0
9:47.0, ,7-4,T. Jones misses 3-pt jump shot from 27 ft (block by J. Johnson),,1,7,4,3,133.0
9:43.0,Defensive rebound by T. Young,7-4, ,,1,7,4,3,137.0
9:37.0,D. Murray misses 2-pt jump shot from 17 ft,7-4, ,,1,7,4,3,143.0
9:35.0, ,7-4,Defensive rebound by C. Kispert,,1,7,4,3,145.0
9:22.0, ,7-4,Turnover by K. Kuzma (bad pass; steal by T. Young),,1,7,4,3,158.0
9:17.0,J. Johnson makes 2-pt jump shot from 8 ft (assist by T. Young),9-4, ,,1,9,4,5,163.0
8:54.0, ,9-4,C. Kispert misses 2-pt layup from 5 ft,,1,9,4,5,186.0
8:51.0,Defensive rebound by T. Young,9-4, ,,1,9,4,5,189.0
8:50.0,T. Young misses 3-pt jump shot from 30 ft,9-4, ,,1,9,4,5,190.0
8:46.0,Offensive rebound by C. Capela,9-4, ,,1,9,4,5,194.0
8:45.0,C. Capela misses 2-pt layup from 3 ft (block by D. Gafford),9-4, ,,1,9,4,5,195.0
8:45.0,Offensive rebound by J. Johnson,9-4, ,,1,9,4,5,195.0
8:39.0,D. Murray misses 3-pt jump shot from 28 ft,9-4, ,,1,9,4,5,201.0
8:37.0, ,9-4,Defensive rebound by D. Avdija,,1,9,4,5,203.0
8:28.0, ,9-6,K. Kuzma makes 2-pt hook shot from 8 ft,,1,9,6,3,212.0
8:22.0,Shooting foul by D. Gafford (drawn by D. Hunter),9-6, ,,1,9,6,3,218.0
8:22.0,D. Hunter makes free throw 1 of 2,10-6, ,,1,10,6,4,218.0
8:22.0,D. Hunter makes free throw 2 of 2,11-6, ,,1,11,6,5,218.0
8:06.0, ,11-6,K. Kuzma misses 3-pt jump shot from 28 ft,,1,11,6,5,234.0
8:04.0,Defensive rebound by Team,11-6, ,,1,11,6,5,236.0
7:51.0,D. Hunter makes 2-pt layup from 6 ft (assist by D. Murray),13-6, ,,1,13,6,7,249.0
7:51.0,Shooting foul by D. Gafford (drawn by D. Hunter),13-6, ,,1,13,6,7,249.0
7:51.0,D. Hunter makes free throw 1 of 1,14-6, ,,1,14,6,8,249.0
7:41.0, ,14-6,K. Kuzma misses 2-pt jump shot from 8 ft,,1,14,6,8,259.0
7:38.0,Defensive rebound by T. Young,14-6, ,,1,14,6,8,262.0
7:27.0,T. Young makes 3-pt jump shot from 31 ft,17-6, ,,1,17,6,11,273.0
7:26.0, ,17-6,Washington full timeout,,1,17,6,11,274.0
7:12.0, ,17-9,K. Kuzma makes 3-pt jump shot from 24 ft (assist by T. Jones),,1,17,9,8,288.0
6:58.0,D. Hunter makes 2-pt jump shot from 20 ft (assist by J. Johnson),19-9, ,,1,19,9,10,302.0
6:46.0, ,19-11,C. Kispert makes 2-pt jump shot from 7 ft (assist by T. Jones),,1,19,11,8,314.0
6:30.0,D. Murray makes 2-pt jump shot from 8 ft,21-11, ,,1,21,11,10,330.0
6:19.0, ,21-13,D. Gafford makes 2-pt dunk from 2 ft (assist by K. Kuzma),,1,21,13,8,341.0
6:09.0,Turnover by D. Hunter (traveling),21-13, ,,1,21,13,8,351.0
6:09.0,B. Bogdanović enters the game for T. Young,21-13, ,,1,21,13,8,351.0
6:09.0, ,21-13,B. Coulibaly enters the game for D. Avdija,,1,21,13,8,351.0
5:59.0, ,21-13,Shooting foul by B. Bogdanović (drawn by C. Kispert),,1,21,13,8,361.0
5:59.0, ,21-14,C. Kispert makes free throw 1 of 3,,1,21,14,7,361.0
5:59.0, ,21-15,C. Kispert makes free throw 2 of 3,,1,21,15,6,361.0
5:59.0,S. Bey enters the game for C. Capela,21-15, ,,1,21,15,6,361.0
5:59.0,O. Okongwu enters the game for J. Johnson,21-15, ,,1,21,15,6,361.0
5:59.0, ,21-15,M. Muscala enters the game for D. Gafford,,1,21,15,6,361.0
5:59.0, ,21-16,C. Kispert makes free throw 3 of 3,,1,21,16,5,361.0
5:47.0,S. Bey misses 2-pt layup from 3 ft (block by M. Muscala),21-16, ,,1,21,16,5,373.0
5:44.0, ,21-16,Defensive rebound by M. Muscala,,1,21,16,5,376.0
5:41.0, ,21-16,T. Jones misses 3-pt jump shot from 27 ft,,1,21,16,5,379.0
5:37.0,Defensive rebound by S. Bey,21-16, ,,1,21,16,5,383.0
5:31.0,D. Murray makes 2-pt layup from 4 ft,23-16, ,,1,23,16,7,389.0
5:21.0, ,23-19,B. Coulibaly makes 3-pt jump shot from 27 ft (assist by K. Kuzma),,1,23,19,4,399.0
5:08.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Murray),26-19, ,,1,26,19,7,412.0
4:53.0, ,26-19,T. Jones misses 3-pt jump shot from 29 ft,,1,26,19,7,427.0
4:51.0,Defensive rebound by O. Okongwu,26-19, ,,1,26,19,7,429.0
4:43.0,S. Bey misses 3-pt jump shot from 27 ft,26-19, ,,1,26,19,7,437.0
4:39.0, ,26-19,Defensive rebound by K. Kuzma,,1,26,19,7,441.0
4:23.0, ,26-21,B. Coulibaly makes 2-pt jump shot from 8 ft (assist by C. Kispert),,1,26,21,5,457.0
4:02.0,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by D. Murray),28-21, ,,1,28,21,7,478.0
3:52.0, ,28-21,Personal foul by D. Hunter (drawn by C. Kispert),,1,28,21,7,488.0
3:52.0,W. Matthews enters the game for D. Hunter,28-21, ,,1,28,21,7,488.0
3:52.0, ,28-21,D. Avdija enters the game for T. Jones,,1,28,21,7,488.0
3:52.0, ,28-21,L. Shamet enters the game for K. Kuzma,,1,28,21,7,488.0
3:46.0, ,28-21,C. Kispert misses 3-pt jump shot from 30 ft,,1,28,21,7,494.0
3:42.0,Defensive rebound by O. Okongwu,28-21, ,,1,28,21,7,498.0
3:34.0,D. Murray makes 2-pt jump shot from 9 ft,30-21, ,,1,30,21,9,506.0
3:11.0, ,30-21,D. Avdija misses 3-pt jump shot from 24 ft,,1,30,21,9,529.0
3:07.0,Defensive rebound by S. Bey,30-21, ,,1,30,21,9,533.0
3:00.0,S. Bey misses 3-pt jump shot from 27 ft,30-21, ,,1,30,21,9,540.0
2:58.0, ,30-21,Defensive rebound by D. Avdija,,1,30,21,9,542.0
2:41.0, ,30-23,L. Shamet makes 2-pt layup from 4 ft (assist by M. Muscala),,1,30,23,7,559.0
2:20.0,D. Murray misses 3-pt jump shot from 27 ft,30-23, ,,1,30,23,7,580.0
2:17.0, ,30-23,Defensive rebound by L. Shamet,,1,30,23,7,583.0
2:12.0, ,30-23,Turnover by B. Coulibaly (bad pass; steal by D. Murray),,1,30,23,7,588.0
2:05.0,Shooting foul by D. Avdija (drawn by D. Murray),30-23, ,,1,30,23,7,595.0
2:05.0,Atlanta full timeout,30-23, ,,1,30,23,7,595.0
2:05.0, ,30-23,J. Davis enters the game for C. Kispert,,1,30,23,7,595.0
2:05.0,D. Murray makes free throw 1 of 2,31-23, ,,1,31,23,8,595.0
2:05.0,D. Murray makes free throw 2 of 2,32-23, ,,1,32,23,9,595.0
1:55.0, ,32-26,M. Muscala makes 3-pt jump shot from 27 ft (assist by D. Avdija),,1,32,26,6,605.0
1:34.0,B. Bogdanović misses 2-pt layup from 10 ft (block by M. Muscala),32-26, ,,1,32,26,6,626.0
1:33.0, ,32-26,Defensive rebound by M. Muscala,,1,32,26,6,627.0
1:33.0, ,32-26,Personal foul by B. Bogdanović (drawn by M. Muscala),,1,32,26,6,627.0
1:33.0,T. Young enters the game for D. Murray,32-26, ,,1,32,26,6,627.0
1:16.0, ,32-26,D. Avdija misses 2-pt jump shot from 6 ft,,1,32,26,6,644.0
1:13.0,Defensive rebound by O. Okongwu,32-26, ,,1,32,26,6,647.0
1:06.0,O. Okongwu makes 2-pt dunk from 2 ft (assist by T. Young),34-26, ,,1,34,26,8,654.0
0:44.0, ,34-26,Def 3 sec tech foul by Team,,1,34,26,8,676.0
0:44.0, ,34-27,D. Avdija makes technical free throw,,1,34,27,7,676.0
0:38.0, ,34-27,D. Avdija misses 2-pt layup from 8 ft,,1,34,27,7,682.0
0:35.0,Defensive rebound by T. Young,34-27, ,,1,34,27,7,685.0
0:32.0,Personal foul by D. Avdija (drawn by O. Okongwu),34-27, ,,1,34,27,7,688.0
0:27.0,T. Young misses 3-pt jump shot from 27 ft,34-27, ,,1,34,27,7,693.0
0:24.0, ,34-27,Defensive rebound by M. Muscala,,1,34,27,7,696.0
0:03.0, ,34-30,L. Shamet makes 3-pt jump shot from 28 ft (assist by M. Muscala),,1,34,30,4,717.0
0:00.0,End of 1st quarter,34-30,,,1,34,30,4,720.0
12:00.0,Start of 2nd quarter,34-30,,,2,34,30,4,720.0
11:46.0, ,34-33,L. Shamet makes 3-pt jump shot from 27 ft (assist by D. Avdija),,2,34,33,1,734.0
11:18.0,J. Johnson misses 3-pt jump shot from 28 ft,34-33, ,,2,34,33,1,762.0
11:16.0,Offensive rebound by O. Okongwu,34-33, ,,2,34,33,1,764.0
11:15.0,O. Okongwu makes 2-pt layup from 2 ft,36-33, ,,2,36,33,3,765.0
10:59.0, ,36-33,Turnover by D. Avdija (lost ball; steal by J. Johnson),,2,36,33,3,781.0
10:56.0,J. Johnson makes 2-pt dunk from 2 ft (assist by O. Okongwu),38-33, ,,2,38,33,5,784.0
10:41.0, ,38-36,D. Avdija makes 3-pt jump shot from 26 ft (assist by L. Shamet),,2,38,36,2,799.0
10:34.0,Personal foul by B. Coulibaly (drawn by T. Young),38-36, ,,2,38,36,2,806.0
10:34.0, ,38-36,K. Kuzma enters the game for J. Davis,,2,38,36,2,806.0
10:27.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by T. Young),41-36, ,,2,41,36,5,813.0
10:03.0, ,41-36,D. Avdija misses 3-pt jump shot from 25 ft,,2,41,36,5,837.0
10:00.0,Defensive rebound by S. Bey,41-36, ,,2,41,36,5,840.0
9:51.0,S. Bey misses 2-pt layup from 1 ft,41-36, ,,2,41,36,5,849.0
9:48.0, ,41-36,Defensive rebound by K. Kuzma,,2,41,36,5,852.0
9:44.0, ,41-36,L. Shamet misses 3-pt jump shot from 24 ft,,2,41,36,5,856.0
9:41.0, ,41-36,Offensive rebound by D. Avdija,,2,41,36,5,859.0
9:38.0, ,41-36,Turnover by K. Kuzma (lost ball; steal by J. Johnson),,2,41,36,5,862.0
9:35.0,Shooting foul by K. Kuzma (drawn by J. Johnson),41-36, ,,2,41,36,5,865.0
9:35.0,J. Johnson misses free throw 1 of 2,41-36, ,,2,41,36,5,865.0
9:35.0,Offensive rebound by Team,41-36, ,,2,41,36,5,865.0
9:35.0, ,41-36,C. Kispert enters the game for D. Avdija,,2,41,36,5,865.0
9:35.0,J. Johnson makes free throw 2 of 2,42-36, ,,2,42,36,6,865.0
9:33.0, ,42-36,Personal take foul by O. Okongwu (drawn by L. Shamet),,2,42,36,6,867.0
9:33.0,D. Hunter enters the game for J. Johnson,42-36, ,,2,42,36,6,867.0
9:22.0, ,42-36,Turnover by L. Shamet (bad pass),,2,42,36,6,878.0
9:14.0,D. Hunter makes 3-pt jump shot from 27 ft (assist by T. Young),45-36, ,,2,45,36,9,886.0
9:14.0, ,45-36,T. Jones enters the game for L. Shamet,,2,45,36,9,886.0
8:51.0, ,45-36,C. Kispert misses 3-pt jump shot from 25 ft,,2,45,36,9,909.0
8:47.0,Defensive rebound by T. Young,45-36, ,,2,45,36,9,913.0
8:42.0,S. Bey misses 3-pt jump shot from 23 ft,45-36, ,,2,45,36,9,918.0
8:41.0,Offensive rebound by S. Bey,45-36, ,,2,45,36,9,919.0
