Time,Detroit,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. C. Capela (B. Bogdanović gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-0,D. Hunter misses 2-pt jump shot from 21 ft,,1,0,0,0,23.0
11:31.0,Defensive rebound by T. Evbuomwan,0-0, ,,1,0,0,0,29.0
11:22.0,M. Sasser misses 2-pt jump shot from 16 ft,0-0, ,,1,0,0,0,38.0
11:18.0, ,0-0,Defensive rebound by C. Capela,,1,0,0,0,42.0
11:13.0, ,0-0,Shooting foul by M. Sasser (drawn by J. Johnson),,1,0,0,0,47.0
11:13.0, ,0-0,J. Johnson misses free throw 1 of 2,,1,0,0,0,47.0
11:13.0, ,0-0,Offensive rebound by Team,,1,0,0,0,47.0
11:13.0, ,0-1,J. Johnson makes free throw 2 of 2,,1,1,0,1,47.0
11:00.0,Turnover by M. Sasser (bad pass; steal by D. Murray),0-1, ,,1,1,0,1,60.0
10:56.0, ,0-3,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray),,1,3,0,3,64.0
10:45.0,J. Duren makes 2-pt layup from 1 ft (assist by M. Sasser),2-3, ,,1,3,2,1,75.0
10:32.0, ,2-5,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray),,1,5,2,3,88.0
10:23.0,J. Duren misses 2-pt jump shot from 18 ft,2-5, ,,1,5,2,3,97.0
10:20.0, ,2-5,Defensive rebound by D. Hunter,,1,5,2,3,100.0
10:08.0, ,2-5,C. Capela misses 2-pt layup from 1 ft,,1,5,2,3,112.0
10:07.0, ,2-5,Offensive rebound by C. Capela,,1,5,2,3,113.0
10:06.0, ,2-7,C. Capela makes 2-pt layup at rim,,1,7,2,5,114.0
9:49.0,M. Sasser misses 2-pt jump shot from 11 ft,2-7, ,,1,7,2,5,131.0
9:47.0, ,2-7,Defensive rebound by C. Capela,,1,7,2,5,133.0
9:38.0, ,2-9,D. Hunter makes 2-pt jump shot from 22 ft,,1,9,2,7,142.0
9:26.0,T. Brown misses 3-pt jump shot from 25 ft (block by B. Bogdanović),2-9, ,,1,9,2,7,154.0
9:23.0, ,2-9,Defensive rebound by J. Johnson,,1,9,2,7,157.0
9:17.0, ,2-9,D. Murray misses 2-pt jump shot from 14 ft,,1,9,2,7,163.0
9:14.0,Defensive rebound by T. Evbuomwan,2-9, ,,1,9,2,7,166.0
9:07.0,M. Sasser misses 3-pt jump shot from 23 ft,2-9, ,,1,9,2,7,173.0
9:01.0,Offensive rebound by J. Duren,2-9, ,,1,9,2,7,179.0
9:01.0,J. Duren misses 2-pt layup at rim,2-9, ,,1,9,2,7,179.0
9:00.0, ,2-9,Defensive rebound by D. Hunter,,1,9,2,7,180.0
8:58.0, ,2-9,Turnover by D. Hunter (bad pass),,1,9,2,7,182.0
8:42.0,J. Duren makes 2-pt hook shot from 9 ft (assist by J. Ivey),4-9, ,,1,9,4,5,198.0
8:18.0, ,4-9,J. Johnson misses 2-pt jump shot from 11 ft,,1,9,4,5,222.0
8:13.0,Defensive rebound by J. Duren,4-9, ,,1,9,4,5,227.0
8:09.0,T. Evbuomwan misses 3-pt jump shot from 23 ft,4-9, ,,1,9,4,5,231.0
8:04.0,Offensive rebound by J. Duren,4-9, ,,1,9,4,5,236.0
8:03.0,J. Duren misses 2-pt hook shot from 4 ft,4-9, ,,1,9,4,5,237.0
8:01.0, ,4-9,Defensive rebound by D. Hunter,,1,9,4,5,239.0
7:55.0, ,4-11,C. Capela makes 2-pt hook shot from 4 ft (assist by J. Johnson),,1,11,4,7,245.0
7:54.0,Detroit full timeout,4-11, ,,1,11,4,7,246.0
7:54.0,C. Metu enters the game for T. Brown,4-11, ,,1,11,4,7,246.0
7:42.0,M. Sasser misses 3-pt jump shot from 25 ft,4-11, ,,1,11,4,7,258.0
7:39.0, ,4-11,Defensive rebound by J. Johnson,,1,11,4,7,261.0
7:36.0, ,4-13,D. Hunter makes 2-pt layup from 1 ft (assist by J. Johnson),,1,13,4,9,264.0
7:24.0,Turnover by M. Sasser (bad pass; steal by B. Bogdanović),4-13, ,,1,13,4,9,276.0
7:18.0, ,4-13,Turnover by J. Johnson (bad pass; steal by J. Duren),,1,13,4,9,282.0
7:08.0,J. Ivey misses 2-pt layup from 3 ft (block by B. Bogdanović),4-13, ,,1,13,4,9,292.0
7:04.0, ,4-13,Defensive rebound by C. Capela,,1,13,4,9,296.0
7:02.0, ,4-13,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,13,4,9,298.0
6:57.0,Defensive rebound by T. Evbuomwan,4-13, ,,1,13,4,9,303.0
6:48.0,J. Duren misses 2-pt layup from 1 ft,4-13, ,,1,13,4,9,312.0
6:44.0,Offensive rebound by C. Metu,4-13, ,,1,13,4,9,316.0
6:44.0,C. Metu makes 2-pt layup at rim,6-13, ,,1,13,6,7,316.0
6:32.0, ,6-15,B. Bogdanović makes 2-pt jump shot from 8 ft (assist by C. Capela),,1,15,6,9,328.0
6:19.0,Turnover by J. Duren (lost ball; steal by J. Johnson),6-15, ,,1,15,6,9,341.0
6:11.0, ,6-15,D. Hunter misses 3-pt jump shot from 26 ft,,1,15,6,9,349.0
6:08.0,Defensive rebound by T. Evbuomwan,6-15, ,,1,15,6,9,352.0
5:53.0,J. Ivey misses 2-pt jump shot from 7 ft,6-15, ,,1,15,6,9,367.0
5:50.0, ,6-15,Defensive rebound by C. Capela,,1,15,6,9,370.0
5:41.0, ,6-15,Turnover by D. Hunter (bad pass; steal by C. Metu),,1,15,6,9,379.0
5:38.0,Shooting foul by B. Bogdanović (drawn by J. Ivey),6-15, ,,1,15,6,9,382.0
5:38.0,J. Ivey makes free throw 1 of 2,7-15, ,,1,15,7,8,382.0
5:38.0,T. Brown enters the game for T. Evbuomwan,7-15, ,,1,15,7,8,382.0
5:38.0,M. Flynn enters the game for M. Sasser,7-15, ,,1,15,7,8,382.0
5:38.0, ,7-15,B. Fernando enters the game for B. Bogdanović,,1,15,7,8,382.0
5:38.0, ,7-15,V. Krejci enters the game for C. Capela,,1,15,7,8,382.0
5:38.0, ,7-15,G. Mathews enters the game for J. Johnson,,1,15,7,8,382.0
5:38.0,J. Ivey misses free throw 2 of 2,7-15, ,,1,15,7,8,382.0
5:35.0, ,7-15,Defensive rebound by B. Fernando,,1,15,7,8,385.0
