Time,Orlando,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: G. Bitadze vs. C. Capela (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:35.0, ,0-0,D. Murray misses 3-pt jump shot from 24 ft (block by C. Okeke),,1,0,0,0,25.0
11:32.0,Defensive rebound by P. Banchero,0-0, ,,1,0,0,0,28.0
11:12.0,P. Banchero misses 2-pt jump shot from 12 ft,0-0, ,,1,0,0,0,48.0
11:11.0,Offensive rebound by Team,0-0, ,,1,0,0,0,49.0
10:58.0,P. Banchero makes 2-pt layup at rim,2-0, ,,1,0,2,-2,62.0
10:47.0, ,2-0,Shooting foul by P. Banchero (drawn by J. Johnson),,1,0,2,-2,73.0
10:47.0, ,2-1,J. Johnson makes free throw 1 of 2,,1,1,2,-1,73.0
10:47.0, ,2-2,J. Johnson makes free throw 2 of 2,Tie,1,2,2,0,73.0
10:38.0,Personal foul by S. Bey (drawn by G. Bitadze),2-2, ,,1,2,2,0,82.0
10:27.0,P. Banchero makes 2-pt jump shot from 6 ft,4-2, ,,1,2,4,-2,93.0
10:10.0, ,4-4,C. Capela makes 2-pt layup from 1 ft (assist by D. Murray),Tie,1,4,4,0,110.0
9:59.0,Turnover by J. Suggs (step out of bounds),4-4, ,,1,4,4,0,121.0
9:50.0, ,4-4,Shooting foul by C. Houstan (drawn by S. Bey),,1,4,4,0,130.0
9:50.0, ,4-5,S. Bey makes free throw 1 of 2,Lead change,1,5,4,1,130.0
9:50.0, ,4-6,S. Bey makes free throw 2 of 2,,1,6,4,2,130.0
9:40.0,J. Suggs makes 2-pt layup from 1 ft,6-6, ,Tie,1,6,6,0,140.0
9:24.0, ,6-6,Turnover by J. Johnson (step out of bounds),,1,6,6,0,156.0
9:11.0,P. Banchero misses 2-pt layup from 1 ft,6-6, ,,1,6,6,0,169.0
9:09.0, ,6-6,Defensive rebound by J. Johnson,,1,6,6,0,171.0
8:53.0, ,6-6,Turnover by T. Young (lost ball; steal by P. Banchero),,1,6,6,0,187.0
8:47.0,C. Houstan misses 3-pt jump shot from 26 ft,6-6, ,,1,6,6,0,193.0
8:44.0, ,6-6,Defensive rebound by J. Johnson,,1,6,6,0,196.0
8:39.0, ,6-6,Turnover by J. Johnson (bad pass; steal by C. Houstan),,1,6,6,0,201.0
8:35.0,C. Houstan misses 3-pt jump shot from 23 ft,6-6, ,,1,6,6,0,205.0
8:31.0,Offensive rebound by C. Okeke,6-6, ,,1,6,6,0,209.0
8:26.0,C. Houstan misses 3-pt jump shot from 23 ft,6-6, ,,1,6,6,0,214.0
8:26.0,Offensive rebound by G. Bitadze,6-6, ,,1,6,6,0,214.0
8:22.0,G. Bitadze makes 2-pt layup from 2 ft,8-6, ,Lead change,1,6,8,-2,218.0
8:02.0, ,8-8,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),Tie,1,8,8,0,238.0
7:42.0,P. Banchero misses 2-pt jump shot from 13 ft,8-8, ,,1,8,8,0,258.0
7:39.0, ,8-8,Defensive rebound by D. Murray,,1,8,8,0,261.0
7:28.0, ,8-8,S. Bey misses 3-pt jump shot from 26 ft (block by G. Bitadze),,1,8,8,0,272.0
7:25.0,Defensive rebound by P. Banchero,8-8, ,,1,8,8,0,275.0
7:16.0,C. Houstan misses 3-pt jump shot from 23 ft,8-8, ,,1,8,8,0,284.0
7:12.0,Offensive rebound by G. Bitadze,8-8, ,,1,8,8,0,288.0
7:11.0,J. Suggs makes 3-pt jump shot from 25 ft (assist by G. Bitadze),11-8, ,,1,8,11,-3,289.0
6:55.0, ,11-8,Turnover by T. Young (bad pass; steal by G. Bitadze),,1,8,11,-3,305.0
6:48.0,P. Banchero makes 2-pt jump shot from 9 ft,13-8, ,,1,8,13,-5,312.0
6:48.0, ,13-8,Atlanta full timeout,,1,8,13,-5,312.0
6:48.0, ,13-8,B. Bogdanović enters the game for J. Johnson,,1,8,13,-5,312.0
6:48.0, ,13-8,O. Okongwu enters the game for T. Young,,1,8,13,-5,312.0
6:33.0, ,13-8,D. Murray misses 2-pt jump shot from 16 ft,,1,8,13,-5,327.0
6:26.0,Defensive rebound by C. Okeke,13-8, ,,1,8,13,-5,334.0
6:17.0,Turnover by J. Suggs (bad pass; steal by D. Murray),13-8, ,,1,8,13,-5,343.0
6:14.0, ,13-10,D. Murray makes 2-pt layup from 1 ft,,1,10,13,-3,346.0
5:49.0,G. Bitadze misses 2-pt hook shot from 8 ft,13-10, ,,1,10,13,-3,371.0
5:46.0, ,13-10,Defensive rebound by O. Okongwu,,1,10,13,-3,374.0
5:44.0, ,13-13,S. Bey makes 3-pt jump shot from 25 ft (assist by D. Murray),Tie,1,13,13,0,376.0
5:21.0,G. Bitadze misses 3-pt jump shot from 26 ft,13-13, ,,1,13,13,0,399.0
5:18.0,Offensive rebound by C. Houstan,13-13, ,,1,13,13,0,402.0
5:15.0,C. Okeke misses 3-pt jump shot from 25 ft,13-13, ,,1,13,13,0,405.0
5:12.0,Offensive rebound by G. Bitadze,13-13, ,,1,13,13,0,408.0
5:09.0,G. Bitadze makes 2-pt hook shot from 3 ft,15-13, ,,1,13,15,-2,411.0
4:55.0, ,15-13,O. Okongwu misses 3-pt jump shot from 23 ft,,1,13,15,-2,425.0
4:47.0,Defensive rebound by C. Okeke,15-13, ,,1,13,15,-2,433.0
4:42.0,J. Suggs makes 2-pt jump shot from 6 ft,17-13, ,,1,13,17,-4,438.0
4:26.0, ,17-13,O. Okongwu misses 2-pt layup from 6 ft (block by G. Bitadze),,1,13,17,-4,454.0
4:23.0,Defensive rebound by C. Okeke,17-13, ,,1,13,17,-4,457.0
4:11.0,C. Okeke makes 2-pt dunk at rim (assist by P. Banchero),19-13, ,,1,13,19,-6,469.0
3:57.0, ,19-15,D. Murray makes 2-pt jump shot from 12 ft,,1,15,19,-4,483.0
3:57.0, ,19-15,Shooting foul by G. Bitadze (drawn by D. Murray),,1,15,19,-4,483.0
3:57.0,M. Fultz enters the game for C. Houstan,19-15, ,,1,15,19,-4,483.0
3:57.0,J. Ingles enters the game for J. Suggs,19-15, ,,1,15,19,-4,483.0
3:57.0, ,19-15,J. Johnson enters the game for S. Bey,,1,15,19,-4,483.0
3:57.0, ,19-15,G. Mathews enters the game for C. Capela,,1,15,19,-4,483.0
3:57.0, ,19-16,D. Murray makes free throw 1 of 1,,1,16,19,-3,483.0
3:45.0,P. Banchero misses 3-pt jump shot from 26 ft,19-16, ,,1,16,19,-3,495.0
3:42.0, ,19-16,Defensive rebound by G. Mathews,,1,16,19,-3,498.0
3:33.0, ,19-18,D. Murray makes 2-pt layup from 2 ft,,1,18,19,-1,507.0
3:24.0,Turnover by M. Fultz (bad pass; steal by J. Johnson),19-18, ,,1,18,19,-1,516.0
3:19.0, ,19-18,J. Johnson misses 2-pt layup from 1 ft,,1,18,19,-1,521.0
3:17.0, ,19-18,Offensive rebound by G. Mathews,,1,18,19,-1,523.0
3:15.0, ,19-18,Turnover by G. Mathews (bad pass; steal by M. Fultz),,1,18,19,-1,525.0
3:12.0,Turnover by G. Bitadze (bad pass; steal by B. Bogdanović),19-18, ,,1,18,19,-1,528.0
3:08.0, ,19-18,D. Murray misses 3-pt jump shot from 23 ft,,1,18,19,-1,532.0
3:07.0, ,19-18,Offensive rebound by B. Bogdanović,,1,18,19,-1,533.0
3:07.0, ,19-20,B. Bogdanović makes 2-pt layup at rim,Lead change,1,20,19,1,533.0
3:07.0,Orlando full timeout,19-20, ,,1,20,19,1,533.0
3:07.0,C. Anthony enters the game for G. Bitadze,19-20, ,,1,20,19,1,533.0
3:07.0,W. Carter enters the game for C. Okeke,19-20, ,,1,20,19,1,533.0
3:07.0, ,19-20,T. Young enters the game for D. Murray,,1,20,19,1,533.0
2:54.0,Shooting foul by O. Okongwu (drawn by P. Banchero),19-20, ,,1,20,19,1,546.0
2:54.0, ,19-20,Atlanta full timeout,,1,20,19,1,546.0
2:54.0, ,19-20,Instant Replay (Challenge: Ruling Stands),,1,20,19,1,546.0
2:54.0,P. Banchero makes free throw 1 of 2,20-20, ,Tie,1,20,20,0,546.0
2:54.0,P. Banchero misses free throw 2 of 2,20-20, ,,1,20,20,0,546.0
