Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. J. Allen (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:44.0,C. Capela misses 2-pt layup from 1 ft,0-0, ,,1,0,0,0,16.0
11:41.0, ,0-0,Defensive rebound by J. Allen,,1,0,0,0,19.0
11:37.0, ,0-0,D. Mitchell misses 2-pt jump shot from 12 ft,,1,0,0,0,23.0
11:34.0,Defensive rebound by D. Hunter,0-0, ,,1,0,0,0,26.0
11:30.0,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),3-0, ,,1,3,0,3,30.0
11:15.0, ,3-0,Turnover by D. Mitchell (bad pass; steal by C. Capela),,1,3,0,3,45.0
11:11.0,C. Capela misses 2-pt layup from 2 ft,3-0, ,,1,3,0,3,49.0
11:06.0, ,3-0,Defensive rebound by D. Mitchell,,1,3,0,3,54.0
11:00.0, ,3-2,D. Garland makes 2-pt layup from 1 ft,,1,3,2,1,60.0
10:41.0,D. Hunter misses 3-pt jump shot from 26 ft,3-2, ,,1,3,2,1,79.0
10:38.0, ,3-2,Defensive rebound by D. Mitchell,,1,3,2,1,82.0
10:36.0, ,3-2,Turnover by D. Mitchell (lost ball; steal by S. Bey),,1,3,2,1,84.0
10:32.0,D. Murray misses 3-pt jump shot from 25 ft,3-2, ,,1,3,2,1,88.0
10:28.0, ,3-2,Defensive rebound by D. Garland,,1,3,2,1,92.0
10:25.0, ,3-4,J. Allen makes 2-pt dunk from 1 ft (assist by D. Garland),Lead change,1,3,4,-1,95.0
10:07.0,D. Hunter makes 2-pt jump shot from 10 ft,5-4, ,Lead change,1,5,4,1,113.0
9:55.0, ,5-4,D. Mitchell misses 3-pt jump shot from 28 ft,,1,5,4,1,125.0
9:52.0,Defensive rebound by D. Murray,5-4, ,,1,5,4,1,128.0
9:40.0,T. Young misses 2-pt jump shot from 19 ft,5-4, ,,1,5,4,1,140.0
9:38.0,Offensive rebound by C. Capela,5-4, ,,1,5,4,1,142.0
9:37.0,Shooting foul by J. Allen (drawn by C. Capela),5-4, ,,1,5,4,1,143.0
9:37.0,C. Capela makes free throw 1 of 2,6-4, ,,1,6,4,2,143.0
9:37.0,C. Capela makes free throw 2 of 2,7-4, ,,1,7,4,3,143.0
9:23.0, ,7-6,J. Allen makes 2-pt dunk from 1 ft (assist by D. Garland),,1,7,6,1,157.0
9:17.0,Shooting foul by E. Mobley (drawn by D. Hunter),7-6, ,,1,7,6,1,163.0
