Time,Atlanta,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:48.0, ,79-79,D. Green makes 2-pt layup from 5 ft (assist by D. Šarić),Tie,3,79,79,0,1752.0
6:33.0,C. Capela misses 2-pt layup from 7 ft (block by D. Green),79-79, ,,3,79,79,0,1767.0
6:33.0,Offensive rebound by Team,79-79, ,,3,79,79,0,1767.0
6:33.0,G. Mathews enters the game for B. Bogdanović,79-79, ,,3,79,79,0,1767.0
6:33.0,P. Mills enters the game for J. Johnson,79-79, ,,3,79,79,0,1767.0
6:24.0,C. Capela misses 2-pt hook shot from 8 ft,79-79, ,,3,79,79,0,1776.0
6:22.0,Offensive rebound by C. Capela,79-79, ,,3,79,79,0,1778.0
6:20.0,Turnover by P. Mills (bad pass; steal by D. Šarić),79-79, ,,3,79,79,0,1780.0
6:12.0, ,79-79,Personal foul by G. Mathews (drawn by K. Thompson),,3,79,79,0,1788.0
6:12.0,O. Okongwu enters the game for C. Capela,79-79, ,,3,79,79,0,1788.0
6:12.0, ,79-79,J. Kuminga enters the game for D. Šarić,,3,79,79,0,1788.0
6:12.0, ,79-79,B. Podziemski enters the game for K. Thompson,,3,79,79,0,1788.0
6:08.0, ,79-82,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),Lead change,3,79,82,-3,1792.0
5:47.0,D. Murray misses 2-pt layup from 4 ft (block by A. Wiggins),79-82, ,,3,79,82,-3,1813.0
5:46.0, ,79-82,Defensive rebound by D. Green,,3,79,82,-3,1814.0
5:38.0, ,79-82,S. Curry misses 2-pt layup from 6 ft,,3,79,82,-3,1822.0
5:34.0,Defensive rebound by D. Murray,79-82, ,,3,79,82,-3,1826.0
5:33.0,D. Murray misses 2-pt layup from 5 ft,79-82, ,,3,79,82,-3,1827.0
5:31.0,Offensive rebound by O. Okongwu,79-82, ,,3,79,82,-3,1829.0
5:29.0,O. Okongwu makes 2-pt layup from 3 ft,81-82, ,,3,81,82,-1,1831.0
5:11.0, ,81-82,D. Green misses 3-pt jump shot from 23 ft,,3,81,82,-1,1849.0
5:08.0,Defensive rebound by D. Murray,81-82, ,,3,81,82,-1,1852.0
5:01.0,Shooting foul by S. Curry (drawn by G. Mathews),81-82, ,,3,81,82,-1,1859.0
5:01.0,G. Mathews misses free throw 1 of 2,81-82, ,,3,81,82,-1,1859.0
5:01.0,Offensive rebound by Team,81-82, ,,3,81,82,-1,1859.0
5:01.0,G. Mathews makes free throw 2 of 2,82-82, ,Tie,3,82,82,0,1859.0
4:52.0, ,82-82,Shooting foul by D. Murray (drawn by S. Curry),,3,82,82,0,1868.0
4:52.0, ,82-83,S. Curry makes free throw 1 of 2,,3,82,83,-1,1868.0
4:52.0, ,82-84,S. Curry makes free throw 2 of 2,,3,82,84,-2,1868.0
4:36.0,P. Mills misses 2-pt jump shot from 19 ft,82-84, ,,3,82,84,-2,1884.0
4:32.0, ,82-84,Defensive rebound by A. Wiggins,,3,82,84,-2,1888.0
4:24.0, ,82-84,B. Podziemski misses 2-pt layup from 5 ft,,3,82,84,-2,1896.0
4:20.0, ,82-84,Offensive rebound by A. Wiggins,,3,82,84,-2,1900.0
4:20.0, ,82-86,A. Wiggins makes 2-pt layup at rim,,3,82,86,-4,1900.0
4:10.0,G. Mathews misses 3-pt jump shot from 22 ft,82-86, ,,3,82,86,-4,1910.0
4:07.0, ,82-86,Defensive rebound by D. Green,,3,82,86,-4,1913.0
4:07.0,J. Johnson enters the game for S. Bey,82-86, ,,3,82,86,-4,1913.0
3:43.0, ,82-88,S. Curry makes 2-pt jump shot from 19 ft,,3,82,88,-6,1937.0
3:27.0,D. Murray makes 3-pt jump shot from 27 ft (assist by G. Mathews),85-88, ,,3,85,88,-3,1953.0
3:15.0, ,85-88,Shooting foul by J. Johnson (drawn by S. Curry),,3,85,88,-3,1965.0
3:15.0, ,85-89,S. Curry makes free throw 1 of 2,,3,85,89,-4,1965.0
3:15.0, ,85-89,C. Joseph enters the game for A. Wiggins,,3,85,89,-4,1965.0
3:15.0, ,85-90,S. Curry makes free throw 2 of 2,,3,85,90,-5,1965.0
3:04.0,Personal foul by C. Joseph (drawn by D. Murray),85-90, ,,3,85,90,-5,1976.0
3:04.0,D. Murray makes free throw 1 of 2,86-90, ,,3,86,90,-4,1976.0
3:04.0, ,86-90,K. Thompson enters the game for S. Curry,,3,86,90,-4,1976.0
3:04.0,D. Murray makes free throw 2 of 2,87-90, ,,3,87,90,-3,1976.0
2:47.0, ,87-92,J. Kuminga makes 2-pt jump shot from 14 ft (assist by B. Podziemski),,3,87,92,-5,1993.0
2:35.0,D. Murray misses 3-pt jump shot from 28 ft,87-92, ,,3,87,92,-5,2005.0
2:31.0, ,87-92,Defensive rebound by B. Podziemski,,3,87,92,-5,2009.0
2:22.0, ,87-94,C. Joseph makes 2-pt layup from 4 ft (assist by K. Thompson),,3,87,94,-7,2018.0
2:22.0,Atlanta full timeout,87-94, ,,3,87,94,-7,2018.0
2:22.0,B. Bogdanović enters the game for P. Mills,87-94, ,,3,87,94,-7,2018.0
2:22.0,T. Forrest enters the game for D. Murray,87-94, ,,3,87,94,-7,2018.0
1:59.0,Turnover by T. Forrest (bad pass),87-94, ,,3,87,94,-7,2041.0
1:42.0, ,87-97,C. Joseph makes 3-pt jump shot from 25 ft (assist by J. Kuminga),,3,87,97,-10,2058.0
1:23.0,G. Mathews makes 2-pt jump shot from 20 ft (assist by T. Forrest),89-97, ,,3,89,97,-8,2077.0
1:15.0, ,89-97,Shooting foul by G. Mathews (drawn by K. Thompson),,3,89,97,-8,2085.0
1:15.0, ,89-98,K. Thompson makes free throw 1 of 2,,3,89,98,-9,2085.0
1:15.0, ,89-99,K. Thompson makes free throw 2 of 2,,3,89,99,-10,2085.0
0:58.0,B. Bogdanović makes 3-pt jump shot from 31 ft (assist by T. Forrest),92-99, ,,3,92,99,-7,2102.0
0:51.0, ,92-99,Turnover by D. Green (bad pass),,3,92,99,-7,2109.0
0:45.0,Turnover by G. Mathews (bad pass; steal by J. Kuminga),92-99, ,,3,92,99,-7,2115.0
0:40.0, ,92-101,K. Thompson makes 2-pt layup from 6 ft (assist by J. Kuminga),,3,92,101,-9,2120.0
0:24.0,B. Bogdanović misses 3-pt jump shot from 27 ft,92-101, ,,3,92,101,-9,2136.0
0:20.0, ,92-101,Defensive rebound by J. Kuminga,,3,92,101,-9,2140.0
0:02.0, ,92-101,Turnover by J. Kuminga (lost ball; steal by T. Forrest),,3,92,101,-9,2158.0
0:00.0,End of 3rd quarter,92-101,,,3,92,101,-9,2160.0
12:00.0,Start of 4th quarter,92-101,,,4,92,101,-9,2160.0
11:45.0, ,92-103,J. Kuminga makes 2-pt jump shot from 10 ft,,4,92,103,-11,2175.0
11:45.0, ,92-103,Shooting foul by T. Forrest (drawn by J. Kuminga),,4,92,103,-11,2175.0
11:45.0, ,92-103,J. Kuminga misses free throw 1 of 1,,4,92,103,-11,2175.0
11:42.0,Defensive rebound by J. Johnson,92-103, ,,4,92,103,-11,2178.0
11:26.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by T. Forrest),94-103, ,,4,94,103,-9,2194.0
11:07.0, ,94-105,K. Thompson makes 2-pt jump shot from 15 ft,,4,94,105,-11,2213.0
10:47.0,J. Johnson makes 2-pt dunk from 2 ft (assist by B. Bogdanović),96-105, ,,4,96,105,-9,2233.0
10:30.0, ,96-105,T. Jackson-Davis misses 2-pt layup from 6 ft (block by O. Okongwu),,4,96,105,-9,2250.0
10:28.0, ,96-105,Offensive rebound by T. Jackson-Davis,,4,96,105,-9,2252.0
10:26.0, ,96-107,T. Jackson-Davis makes 2-pt dunk at rim,,4,96,107,-11,2254.0
10:05.0,P. Mills misses 3-pt jump shot from 27 ft,96-107, ,,4,96,107,-11,2275.0
10:02.0, ,96-107,Defensive rebound by T. Jackson-Davis,,4,96,107,-11,2278.0
9:52.0, ,96-107,K. Thompson misses 2-pt jump shot from 11 ft,,4,96,107,-11,2288.0
9:48.0,Defensive rebound by O. Okongwu,96-107, ,,4,96,107,-11,2292.0
9:40.0,O. Okongwu makes 2-pt dunk from 5 ft (assist by B. Bogdanović),98-107, ,,4,98,107,-9,2300.0
9:19.0, ,98-109,J. Kuminga makes 2-pt layup from 3 ft,,4,98,109,-11,2321.0
9:11.0,Turnover by P. Mills (bad pass; steal by J. Kuminga),98-109, ,,4,98,109,-11,2329.0
9:08.0, ,98-111,J. Kuminga makes 2-pt dunk from 3 ft,,4,98,111,-13,2332.0
9:08.0,Atlanta full timeout,98-111, ,,4,98,111,-13,2332.0
9:08.0,D. Murray enters the game for T. Forrest,98-111, ,,4,98,111,-13,2332.0
8:55.0,B. Bogdanović misses 3-pt jump shot from 26 ft,98-111, ,,4,98,111,-13,2345.0
8:52.0, ,98-111,Defensive rebound by K. Thompson,,4,98,111,-13,2348.0
8:42.0, ,98-113,K. Thompson makes 2-pt jump shot from 11 ft,,4,98,113,-15,2358.0
8:29.0,J. Johnson misses 3-pt jump shot from 27 ft,98-113, ,,4,98,113,-15,2371.0
8:27.0, ,98-113,Defensive rebound by J. Kuminga,,4,98,113,-15,2373.0
8:18.0, ,98-113,K. Thompson misses 3-pt jump shot from 27 ft,,4,98,113,-15,2382.0
8:15.0,Defensive rebound by J. Johnson,98-113, ,,4,98,113,-15,2385.0
8:07.0,D. Murray makes 2-pt layup from 3 ft (assist by J. Johnson),100-113, ,,4,100,113,-13,2393.0
7:55.0, ,100-113,Offensive foul by K. Thompson (drawn by J. Johnson),,4,100,113,-13,2405.0
7:55.0, ,100-113,Turnover by K. Thompson (offensive foul),,4,100,113,-13,2405.0
7:55.0,S. Bey enters the game for P. Mills,100-113, ,,4,100,113,-13,2405.0
7:55.0, ,100-113,S. Curry enters the game for B. Podziemski,,4,100,113,-13,2405.0
7:39.0,B. Bogdanović misses 3-pt jump shot from 22 ft,100-113, ,,4,100,113,-13,2421.0
7:36.0, ,100-113,Defensive rebound by S. Curry,,4,100,113,-13,2424.0
7:31.0, ,100-115,J. Kuminga makes 2-pt layup from 4 ft (assist by S. Curry),,4,100,115,-15,2429.0
7:31.0, ,100-115,Shooting foul by J. Johnson (drawn by J. Kuminga),,4,100,115,-15,2429.0
7:31.0,C. Capela enters the game for B. Bogdanović,100-115, ,,4,100,115,-15,2429.0
7:31.0,G. Mathews enters the game for J. Johnson,100-115, ,,4,100,115,-15,2429.0
7:31.0, ,100-115,A. Wiggins enters the game for K. Thompson,,4,100,115,-15,2429.0
7:31.0, ,100-116,J. Kuminga makes free throw 1 of 1,,4,100,116,-16,2429.0
7:22.0,C. Capela makes 2-pt layup from 4 ft (assist by D. Murray),102-116, ,,4,102,116,-14,2438.0
7:22.0,Shooting foul by S. Curry (drawn by C. Capela),102-116, ,,4,102,116,-14,2438.0
7:22.0, ,102-116,Golden State full timeout,,4,102,116,-14,2438.0
7:22.0,C. Capela misses free throw 1 of 1,102-116, ,,4,102,116,-14,2438.0
7:20.0, ,102-116,Defensive rebound by C. Joseph,,4,102,116,-14,2440.0
7:00.0, ,102-119,C. Joseph makes 3-pt jump shot from 26 ft (assist by S. Curry),,4,102,119,-17,2460.0
6:41.0,S. Bey makes 2-pt layup from 5 ft (assist by D. Murray),104-119, ,,4,104,119,-15,2479.0
6:28.0, ,104-119,Shooting foul by O. Okongwu (drawn by T. Jackson-Davis),,4,104,119,-15,2492.0
6:28.0, ,104-119,T. Jackson-Davis misses free throw 1 of 2,,4,104,119,-15,2492.0
6:28.0, ,104-119,Offensive rebound by Team,,4,104,119,-15,2492.0
6:28.0, ,104-119,T. Jackson-Davis misses free throw 2 of 2,,4,104,119,-15,2492.0
6:25.0,Defensive rebound by S. Bey,104-119, ,,4,104,119,-15,2495.0
6:04.0,G. Mathews misses 3-pt jump shot from 27 ft,104-119, ,,4,104,119,-15,2516.0
6:00.0, ,104-119,Defensive rebound by J. Kuminga,,4,104,119,-15,2520.0
5:49.0, ,104-121,S. Curry makes 2-pt layup from 3 ft,,4,104,121,-17,2531.0
5:49.0,Violation by Team (def goaltending),104-121, ,,4,104,121,-17,2531.0
5:33.0,S. Bey misses 2-pt jump shot from 7 ft (block by T. Jackson-Davis),104-121, ,,4,104,121,-17,2547.0
5:33.0, ,104-121,Defensive rebound by Team,,4,104,121,-17,2547.0
5:33.0, ,104-121,Golden State full timeout,,4,104,121,-17,2547.0
5:33.0, ,104-121,Instant Replay (Challenge: Ruling Stands),,4,104,121,-17,2547.0
5:33.0,B. Bogdanović enters the game for G. Mathews,104-121, ,,4,104,121,-17,2547.0
5:33.0,J. Johnson enters the game for O. Okongwu,104-121, ,,4,104,121,-17,2547.0
5:33.0, ,104-121,D. Green enters the game for T. Jackson-Davis,,4,104,121,-17,2547.0
5:33.0, ,104-121,B. Podziemski enters the game for C. Joseph,,4,104,121,-17,2547.0
5:23.0, ,104-124,S. Curry makes 3-pt jump shot from 29 ft,,4,104,124,-20,2557.0
5:06.0,Shooting foul by D. Green (drawn by C. Capela),104-124, ,,4,104,124,-20,2574.0
5:06.0,C. Capela misses free throw 1 of 2,104-124, ,,4,104,124,-20,2574.0
5:06.0,Offensive rebound by Team,104-124, ,,4,104,124,-20,2574.0
5:06.0,C. Capela makes free throw 2 of 2,105-124, ,,4,105,124,-19,2574.0
4:54.0, ,105-126,D. Green makes 2-pt layup from 6 ft (assist by S. Curry),,4,105,126,-21,2586.0
4:44.0,D. Murray misses 2-pt jump shot from 13 ft,105-126, ,,4,105,126,-21,2596.0
4:42.0,Offensive rebound by D. Murray,105-126, ,,4,105,126,-21,2598.0
4:41.0,D. Murray misses 2-pt layup from 8 ft,105-126, ,,4,105,126,-21,2599.0
4:38.0,Offensive rebound by D. Murray,105-126, ,,4,105,126,-21,2602.0
4:35.0,D. Murray makes 2-pt layup from 3 ft,107-126, ,,4,107,126,-19,2605.0
4:12.0, ,107-126,A. Wiggins misses 3-pt jump shot from 24 ft,,4,107,126,-19,2628.0
4:09.0,Defensive rebound by J. Johnson,107-126, ,,4,107,126,-19,2631.0
4:05.0,Shooting foul by J. Kuminga (drawn by D. Murray),107-126, ,,4,107,126,-19,2635.0
4:05.0,D. Murray makes free throw 1 of 2,108-126, ,,4,108,126,-18,2635.0
4:05.0,D. Murray makes free throw 2 of 2,109-126, ,,4,109,126,-17,2635.0
3:53.0, ,109-128,A. Wiggins makes 2-pt layup from 4 ft,,4,109,128,-19,2647.0
3:41.0,Shooting foul by A. Wiggins (drawn by J. Johnson),109-128, ,,4,109,128,-19,2659.0
3:41.0, ,109-128,Golden State full timeout,,4,109,128,-19,2659.0
3:41.0, ,109-128,Instant Replay (Challenge: Stands),,4,109,128,-19,2659.0
3:41.0,J. Johnson makes free throw 1 of 2,110-128, ,,4,110,128,-18,2659.0
3:41.0,J. Johnson misses free throw 2 of 2,110-128, ,,4,110,128,-18,2659.0
3:39.0, ,110-128,Defensive rebound by J. Kuminga,,4,110,128,-18,2661.0
3:22.0, ,110-130,J. Kuminga makes 2-pt jump shot from 7 ft (assist by B. Podziemski),,4,110,130,-20,2678.0
3:02.0,S. Bey misses 3-pt jump shot from 28 ft,110-130, ,,4,110,130,-20,2698.0
2:58.0, ,110-130,Defensive rebound by A. Wiggins,,4,110,130,-20,2702.0
2:54.0, ,110-130,Golden State full timeout,,4,110,130,-20,2706.0
2:54.0,T. Forrest enters the game for S. Bey,110-130, ,,4,110,130,-20,2706.0
2:54.0,S. Lundy enters the game for B. Bogdanović,110-130, ,,4,110,130,-20,2706.0
2:54.0,G. Mathews enters the game for C. Capela,110-130, ,,4,110,130,-20,2706.0
2:54.0,P. Mills enters the game for J. Johnson,110-130, ,,4,110,130,-20,2706.0
2:54.0,O. Okongwu enters the game for D. Murray,110-130, ,,4,110,130,-20,2706.0
2:54.0, ,110-130,T. Jackson-Davis enters the game for S. Curry,,4,110,130,-20,2706.0
2:54.0, ,110-130,C. Joseph enters the game for D. Green,,4,110,130,-20,2706.0
2:54.0, ,110-130,L. Quinones enters the game for J. Kuminga,,4,110,130,-20,2706.0
2:54.0, ,110-130,J. Robinson enters the game for B. Podziemski,,4,110,130,-20,2706.0
2:54.0, ,110-130,G. Santos enters the game for A. Wiggins,,4,110,130,-20,2706.0
2:46.0, ,110-130,J. Robinson misses 2-pt layup from 6 ft,,4,110,130,-20,2714.0
2:44.0, ,110-130,Offensive rebound by T. Jackson-Davis,,4,110,130,-20,2716.0
2:43.0, ,110-130,T. Jackson-Davis misses 2-pt layup at rim,,4,110,130,-20,2717.0
2:39.0, ,110-130,Offensive rebound by G. Santos,,4,110,130,-20,2721.0
2:32.0, ,110-130,L. Quinones misses 3-pt jump shot from 26 ft,,4,110,130,-20,2728.0
2:28.0,Defensive rebound by S. Lundy,110-130, ,,4,110,130,-20,2732.0
2:17.0,P. Mills makes 2-pt jump shot from 18 ft (assist by O. Okongwu),112-130, ,,4,112,130,-18,2743.0
1:58.0, ,112-130,J. Robinson misses 3-pt jump shot from 26 ft,,4,112,130,-18,2762.0
1:56.0, ,112-130,Offensive rebound by L. Quinones,,4,112,130,-18,2764.0
1:56.0, ,112-130,Turnover by L. Quinones (step out of bounds),,4,112,130,-18,2764.0
1:56.0,A. Griffin enters the game for O. Okongwu,112-130, ,,4,112,130,-18,2764.0
1:41.0,P. Mills misses 2-pt jump shot from 9 ft,112-130, ,,4,112,130,-18,2779.0
1:38.0, ,112-130,Defensive rebound by L. Quinones,,4,112,130,-18,2782.0
1:23.0, ,112-132,T. Jackson-Davis makes 2-pt dunk from 3 ft (assist by J. Robinson),,4,112,132,-20,2797.0
1:14.0,A. Griffin misses 3-pt jump shot from 28 ft,112-132, ,,4,112,132,-20,2806.0
1:11.0, ,112-132,Defensive rebound by T. Jackson-Davis,,4,112,132,-20,2809.0
1:01.0, ,112-132,G. Santos misses 2-pt layup from 4 ft,,4,112,132,-20,2819.0
0:58.0,Defensive rebound by S. Lundy,112-132, ,,4,112,132,-20,2822.0
0:51.0,S. Lundy misses 2-pt layup from 6 ft (block by T. Jackson-Davis),112-132, ,,4,112,132,-20,2829.0
0:50.0, ,112-132,Defensive rebound by L. Quinones,,4,112,132,-20,2830.0
0:33.0, ,112-134,L. Quinones makes 2-pt layup from 4 ft (assist by C. Joseph),,4,112,134,-22,2847.0
0:23.0,A. Griffin misses 3-pt jump shot from 23 ft,112-134, ,,4,112,134,-22,2857.0
0:19.0, ,112-134,Defensive rebound by T. Jackson-Davis,,4,112,134,-22,2861.0
0:00.0,End of 4th quarter,112-134,,,4,112,134,-22,2880.0
