Time,Atlanta,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:04.0, ,22-22,Turnover by D. Green (bad pass; steal by J. Johnson),,1,22,22,0,536.0
2:59.0,P. Mills makes 3-pt jump shot from 24 ft (assist by D. Murray),25-22, ,Lead change,1,25,22,3,541.0
2:47.0, ,25-25,S. Curry makes 3-pt jump shot from 27 ft,Tie,1,25,25,0,553.0
2:27.0,J. Johnson misses 2-pt jump shot from 6 ft (block by J. Kuminga),25-25, ,,1,25,25,0,573.0
2:25.0, ,25-25,Defensive rebound by S. Curry,,1,25,25,0,575.0
2:18.0, ,25-27,D. Green makes 2-pt layup from 3 ft (assist by S. Curry),Lead change,1,25,27,-2,582.0
2:18.0,Atlanta full timeout,25-27, ,,1,25,27,-2,582.0
2:18.0,B. Bogdanović enters the game for P. Mills,25-27, ,,1,25,27,-2,582.0
2:18.0,T. Forrest enters the game for D. Murray,25-27, ,,1,25,27,-2,582.0
2:18.0, ,25-27,K. Thompson enters the game for S. Curry,,1,25,27,-2,582.0
2:02.0,G. Mathews misses 3-pt jump shot from 26 ft,25-27, ,,1,25,27,-2,598.0
1:59.0, ,25-27,Defensive rebound by J. Kuminga,,1,25,27,-2,601.0
1:52.0, ,25-29,J. Kuminga makes 2-pt layup from 4 ft,,1,25,29,-4,608.0
1:38.0,G. Mathews misses 3-pt jump shot from 26 ft,25-29, ,,1,25,29,-4,622.0
1:35.0, ,25-29,Defensive rebound by D. Green,,1,25,29,-4,625.0
1:28.0, ,25-32,K. Thompson makes 3-pt jump shot from 22 ft,,1,25,32,-7,632.0
1:10.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by T. Forrest),28-32, ,,1,28,32,-4,650.0
0:52.0, ,28-35,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),,1,28,35,-7,668.0
0:41.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by T. Forrest),31-35, ,,1,31,35,-4,679.0
0:26.0, ,31-35,Def 3 sec tech foul by Team,,1,31,35,-4,694.0
0:26.0, ,31-36,K. Thompson makes technical free throw,,1,31,36,-5,694.0
0:18.0, ,31-38,B. Podziemski makes 2-pt layup from 3 ft,,1,31,38,-7,702.0
0:05.0,Personal foul by D. Green (drawn by T. Forrest),31-38, ,,1,31,38,-7,715.0
0:05.0, ,31-38,A. Wiggins enters the game for K. Thompson,,1,31,38,-7,715.0
0:01.0,Turnover by O. Okongwu (lost ball; steal by D. Green),31-38, ,,1,31,38,-7,719.0
0:00.0,End of 1st quarter,31-38,,,1,31,38,-7,720.0
12:00.0,Start of 2nd quarter,31-38,,,2,31,38,-7,720.0
11:39.0,T. Forrest misses 2-pt jump shot from 8 ft,31-38, ,,2,31,38,-7,741.0
11:36.0, ,31-38,Defensive rebound by B. Podziemski,,2,31,38,-7,744.0
11:32.0, ,31-38,Shooting foul by B. Bogdanović (drawn by J. Kuminga),,2,31,38,-7,748.0
11:32.0, ,31-39,J. Kuminga makes free throw 1 of 2,,2,31,39,-8,748.0
11:32.0, ,31-39,J. Kuminga misses free throw 2 of 2,,2,31,39,-8,748.0
11:30.0,Defensive rebound by O. Okongwu,31-39, ,,2,31,39,-8,750.0
11:15.0,J. Johnson misses 3-pt jump shot from 27 ft,31-39, ,,2,31,39,-8,765.0
11:12.0, ,31-39,Defensive rebound by J. Kuminga,,2,31,39,-8,768.0
11:07.0, ,31-41,B. Podziemski makes 2-pt jump shot from 10 ft,,2,31,41,-10,773.0
10:54.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by J. Johnson),33-41, ,,2,33,41,-8,786.0
10:54.0,Shooting foul by T. Jackson-Davis (drawn by B. Bogdanović),33-41, ,,2,33,41,-8,786.0
10:54.0,B. Bogdanović makes free throw 1 of 1,34-41, ,,2,34,41,-7,786.0
10:36.0, ,34-43,B. Podziemski makes 2-pt hook shot from 8 ft (assist by T. Jackson-Davis),,2,34,43,-9,804.0
10:22.0,P. Mills makes 3-pt jump shot from 23 ft (assist by J. Johnson),37-43, ,,2,37,43,-6,818.0
10:02.0, ,37-45,J. Kuminga makes 2-pt layup from 4 ft,,2,37,45,-8,838.0
9:49.0,Personal foul by T. Jackson-Davis (drawn by O. Okongwu),37-45, ,,2,37,45,-8,851.0
9:43.0,B. Bogdanović misses 3-pt jump shot from 28 ft,37-45, ,,2,37,45,-8,857.0
9:40.0, ,37-45,Defensive rebound by J. Kuminga,,2,37,45,-8,860.0
9:30.0, ,37-45,K. Thompson misses 2-pt jump shot from 17 ft,,2,37,45,-8,870.0
9:27.0,Defensive rebound by P. Mills,37-45, ,,2,37,45,-8,873.0
9:17.0,J. Johnson makes 2-pt layup from 4 ft (assist by P. Mills),39-45, ,,2,39,45,-6,883.0
9:09.0, ,39-45,Turnover by B. Podziemski (lost ball; steal by P. Mills),,2,39,45,-6,891.0
9:05.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by P. Mills),42-45, ,,2,42,45,-3,895.0
8:54.0, ,42-45,Golden State full timeout,,2,42,45,-3,906.0
8:54.0, ,42-45,D. Šarić enters the game for J. Kuminga,,2,42,45,-3,906.0
8:47.0, ,42-45,Shooting foul by O. Okongwu (drawn by T. Jackson-Davis),,2,42,45,-3,913.0
8:47.0, ,42-45,T. Jackson-Davis misses free throw 1 of 2,,2,42,45,-3,913.0
8:47.0, ,42-45,Offensive rebound by Team,,2,42,45,-3,913.0
8:47.0, ,42-45,T. Jackson-Davis misses free throw 2 of 2,,2,42,45,-3,913.0
8:44.0,Defensive rebound by O. Okongwu,42-45, ,,2,42,45,-3,916.0
8:30.0,P. Mills misses 3-pt jump shot from 28 ft,42-45, ,,2,42,45,-3,930.0
8:28.0, ,42-45,Defensive rebound by C. Joseph,,2,42,45,-3,932.0
8:16.0, ,42-45,D. Šarić misses 3-pt jump shot from 25 ft,,2,42,45,-3,944.0
8:14.0,Defensive rebound by J. Johnson,42-45, ,,2,42,45,-3,946.0
7:56.0,P. Mills misses 3-pt jump shot from 27 ft,42-45, ,,2,42,45,-3,964.0
7:52.0, ,42-45,Defensive rebound by T. Jackson-Davis,,2,42,45,-3,968.0
7:43.0, ,42-45,Turnover by B. Podziemski (bad pass; steal by T. Forrest),,2,42,45,-3,977.0
7:39.0,Turnover by B. Bogdanović (out of bounds lost ball),42-45, ,,2,42,45,-3,981.0
7:39.0,C. Capela enters the game for B. Bogdanović,42-45, ,,2,42,45,-3,981.0
7:39.0,G. Mathews enters the game for T. Forrest,42-45, ,,2,42,45,-3,981.0
7:39.0,D. Murray enters the game for J. Johnson,42-45, ,,2,42,45,-3,981.0
7:39.0, ,42-45,S. Curry enters the game for C. Joseph,,2,42,45,-3,981.0
7:39.0, ,42-45,A. Wiggins enters the game for K. Thompson,,2,42,45,-3,981.0
7:25.0, ,42-47,B. Podziemski makes 2-pt jump shot from 7 ft,,2,42,47,-5,995.0
7:07.0,P. Mills makes 2-pt jump shot from 8 ft (assist by D. Murray),44-47, ,,2,44,47,-3,1013.0
6:54.0, ,44-49,D. Šarić makes 2-pt layup from 5 ft (assist by S. Curry),,2,44,49,-5,1026.0
6:36.0,O. Okongwu makes 2-pt jump shot from 20 ft (assist by P. Mills),46-49, ,,2,46,49,-3,1044.0
