Time,Atlanta,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. J. Jackson (J. Goodwin gains possession),0-0,,,1,0,0,0,0.0
11:46.0, ,0-0,Shooting foul by C. Capela (drawn by J. Jackson),,1,0,0,0,14.0
11:46.0, ,0-1,J. Jackson makes free throw 1 of 3,,1,0,1,-1,14.0
11:46.0, ,0-2,J. Jackson makes free throw 2 of 3,,1,0,2,-2,14.0
11:46.0, ,0-3,J. Jackson makes free throw 3 of 3,,1,0,3,-3,14.0
11:31.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),3-3, ,Tie,1,3,3,0,29.0
11:11.0, ,3-5,J. Jackson makes 2-pt hook shot from 5 ft,,1,3,5,-2,49.0
11:02.0,Turnover by D. Murray (bad pass; steal by J. Jackson),3-5, ,,1,3,5,-2,58.0
10:56.0, ,3-5,J. Konchar misses 2-pt jump shot from 13 ft,,1,3,5,-2,64.0
10:52.0, ,3-5,Offensive rebound by J. Konchar,,1,3,5,-2,68.0
10:49.0, ,3-7,J. Konchar makes 2-pt layup from 1 ft (assist by V. Williams),,1,3,7,-4,71.0
10:32.0,S. Bey misses 3-pt jump shot from 23 ft,3-7, ,,1,3,7,-4,88.0
10:27.0, ,3-7,Defensive rebound by J. Konchar,,1,3,7,-4,93.0
10:18.0, ,3-9,J. Jackson makes 2-pt layup from 2 ft,,1,3,9,-6,102.0
10:18.0,Violation by Team (def goaltending),3-9, ,,1,3,9,-6,102.0
10:09.0,Personal foul by J. Jackson (drawn by D. Murray),3-9, ,,1,3,9,-6,111.0
10:01.0,S. Bey misses 2-pt layup from 3 ft (block by J. Jackson),3-9, ,,1,3,9,-6,119.0
9:55.0,Offensive rebound by C. Capela,3-9, ,,1,3,9,-6,125.0
9:55.0,C. Capela misses 2-pt layup at rim (block by J. Goodwin),3-9, ,,1,3,9,-6,125.0
9:55.0,Offensive rebound by B. Bogdanović,3-9, ,,1,3,9,-6,125.0
9:48.0,Personal foul by J. Konchar (drawn by C. Capela),3-9, ,,1,3,9,-6,132.0
9:41.0,D. Murray makes 3-pt jump shot from 26 ft,6-9, ,,1,6,9,-3,139.0
9:27.0, ,6-11,J. Jackson makes 2-pt hook shot from 4 ft,,1,6,11,-5,153.0
9:18.0,D. Murray makes 3-pt jump shot from 27 ft,9-11, ,,1,9,11,-2,162.0
8:52.0, ,9-11,J. Konchar misses 3-pt jump shot from 23 ft,,1,9,11,-2,188.0
8:47.0,Defensive rebound by D. Murray,9-11, ,,1,9,11,-2,193.0
8:41.0,D. Murray makes 2-pt jump shot from 10 ft,11-11, ,Tie,1,11,11,0,199.0
8:21.0, ,11-11,J. Goodwin misses 2-pt layup from 4 ft (block by V. Krejci),,1,11,11,0,219.0
8:19.0,Defensive rebound by C. Capela,11-11, ,,1,11,11,0,221.0
8:13.0,D. Murray misses 3-pt jump shot from 26 ft,11-11, ,,1,11,11,0,227.0
8:06.0,Offensive rebound by C. Capela,11-11, ,,1,11,11,0,234.0
8:06.0,C. Capela misses 2-pt layup at rim,11-11, ,,1,11,11,0,234.0
8:06.0, ,11-11,Defensive rebound by S. Aldama,,1,11,11,0,234.0
8:02.0, ,11-13,S. Aldama makes 2-pt dunk from 2 ft (assist by V. Williams),,1,11,13,-2,238.0
7:40.0,S. Bey misses 2-pt hook shot from 5 ft,11-13, ,,1,11,13,-2,260.0
7:38.0, ,11-13,Defensive rebound by J. Jackson,,1,11,13,-2,262.0
7:27.0, ,11-13,J. Jackson misses 2-pt layup from 3 ft,,1,11,13,-2,273.0
7:20.0, ,11-13,Offensive rebound by J. Jackson,,1,11,13,-2,280.0
7:20.0, ,11-15,J. Jackson makes 2-pt dunk at rim,,1,11,15,-4,280.0
7:02.0,V. Krejci makes 3-pt jump shot from 26 ft (assist by D. Murray),14-15, ,,1,14,15,-1,298.0
6:50.0, ,14-15,Personal foul by V. Krejci (drawn by V. Williams),,1,14,15,-1,310.0
6:50.0, ,14-15,Memphis full timeout,,1,14,15,-1,310.0
6:50.0, ,14-15,J. LaRavia enters the game for V. Williams,,1,14,15,-1,310.0
6:35.0, ,14-15,Turnover by J. Jackson (out of bounds lost ball),,1,14,15,-1,325.0
6:19.0,V. Krejci misses 2-pt layup from 6 ft,14-15, ,,1,14,15,-1,341.0
6:12.0,Offensive rebound by C. Capela,14-15, ,,1,14,15,-1,348.0
6:12.0,C. Capela misses 2-pt layup at rim (block by J. LaRavia),14-15, ,,1,14,15,-1,348.0
6:10.0,Turnover by C. Capela (lost ball; steal by S. Aldama),14-15, ,,1,14,15,-1,350.0
6:04.0, ,14-17,J. Jackson makes 2-pt layup from 4 ft (assist by J. Goodwin),,1,14,17,-3,356.0
5:44.0,B. Bogdanović misses 2-pt jump shot from 9 ft,14-17, ,,1,14,17,-3,376.0
5:42.0, ,14-17,Defensive rebound by J. Konchar,,1,14,17,-3,378.0
5:28.0, ,14-20,S. Aldama makes 3-pt jump shot from 23 ft (assist by J. Jackson),,1,14,20,-6,392.0
5:08.0,C. Capela misses 2-pt layup from 5 ft (block by S. Aldama),14-20, ,,1,14,20,-6,412.0
5:05.0,Offensive rebound by S. Bey,14-20, ,,1,14,20,-6,415.0
5:01.0,S. Bey misses 3-pt jump shot from 25 ft,14-20, ,,1,14,20,-6,419.0
4:56.0, ,14-20,Defensive rebound by J. Jackson,,1,14,20,-6,424.0
4:47.0, ,14-20,J. Goodwin misses 2-pt dunk from 1 ft,,1,14,20,-6,433.0
4:44.0,Defensive rebound by D. Murray,14-20, ,,1,14,20,-6,436.0
4:36.0,Turnover by S. Bey (bad pass),14-20, ,,1,14,20,-6,444.0
4:36.0,B. Fernando enters the game for B. Bogdanović,14-20, ,,1,14,20,-6,444.0
4:36.0,D. Hunter enters the game for C. Capela,14-20, ,,1,14,20,-6,444.0
4:36.0,G. Mathews enters the game for V. Krejci,14-20, ,,1,14,20,-6,444.0
4:36.0, ,14-20,L. Stevens enters the game for J. Konchar,,1,14,20,-6,444.0
4:17.0, ,14-23,J. Goodwin makes 3-pt jump shot from 25 ft (assist by J. Jackson),,1,14,23,-9,463.0
3:59.0,S. Bey misses 3-pt jump shot from 26 ft,14-23, ,,1,14,23,-9,481.0
3:54.0,Offensive rebound by G. Mathews,14-23, ,,1,14,23,-9,486.0
3:47.0,D. Murray makes 2-pt jump shot from 17 ft,16-23, ,,1,16,23,-7,493.0
3:35.0, ,16-23,Turnover by J. Jackson (lost ball; steal by D. Murray),,1,16,23,-7,505.0
3:31.0,D. Murray makes 2-pt layup from 5 ft,18-23, ,,1,18,23,-5,509.0
3:15.0, ,18-23,J. Jackson misses 2-pt layup from 4 ft,,1,18,23,-5,525.0
3:12.0,Defensive rebound by B. Fernando,18-23, ,,1,18,23,-5,528.0
3:04.0,G. Mathews misses 3-pt jump shot from 22 ft,18-23, ,,1,18,23,-5,536.0
3:00.0, ,18-23,Defensive rebound by S. Aldama,,1,18,23,-5,540.0
2:52.0, ,18-25,S. Aldama makes 2-pt layup from 2 ft (assist by J. LaRavia),,1,18,25,-7,548.0
2:52.0,Atlanta full timeout,18-25, ,,1,18,25,-7,548.0
2:52.0,T. Forrest enters the game for S. Bey,18-25, ,,1,18,25,-7,548.0
2:52.0,W. Matthews enters the game for D. Murray,18-25, ,,1,18,25,-7,548.0
2:52.0, ,18-25,W. Gabriel enters the game for S. Aldama,,1,18,25,-7,548.0
2:52.0, ,18-25,T. Jemison enters the game for J. Goodwin,,1,18,25,-7,548.0
2:52.0, ,18-25,V. Williams enters the game for J. Jackson,,1,18,25,-7,548.0
2:37.0,D. Hunter misses 2-pt jump shot from 22 ft,18-25, ,,1,18,25,-7,563.0
2:34.0, ,18-25,Defensive rebound by V. Williams,,1,18,25,-7,566.0
2:27.0, ,18-28,L. Stevens makes 3-pt jump shot from 25 ft (assist by V. Williams),,1,18,28,-10,573.0
2:05.0,D. Hunter misses 2-pt jump shot from 14 ft,18-28, ,,1,18,28,-10,595.0
2:00.0, ,18-28,Defensive rebound by L. Stevens,,1,18,28,-10,600.0
1:54.0, ,18-28,V. Williams misses 3-pt jump shot from 25 ft,,1,18,28,-10,606.0
1:51.0,Defensive rebound by B. Fernando,18-28, ,,1,18,28,-10,609.0
1:32.0,T. Forrest misses 2-pt jump shot from 10 ft,18-28, ,,1,18,28,-10,628.0
1:29.0, ,18-28,Defensive rebound by V. Williams,,1,18,28,-10,631.0
1:24.0, ,18-31,J. LaRavia makes 3-pt jump shot from 23 ft (assist by V. Williams),,1,18,31,-13,636.0
1:06.0,D. Hunter misses 2-pt jump shot from 17 ft,18-31, ,,1,18,31,-13,654.0
1:02.0, ,18-31,Defensive rebound by L. Stevens,,1,18,31,-13,658.0
0:41.0, ,18-31,L. Stevens misses 2-pt jump shot from 16 ft,,1,18,31,-13,679.0
0:38.0,Defensive rebound by G. Mathews,18-31, ,,1,18,31,-13,682.0
0:32.0,Personal foul by L. Stevens (drawn by G. Mathews),18-31, ,,1,18,31,-13,688.0
0:23.0,T. Forrest makes 2-pt jump shot from 8 ft (assist by D. Hunter),20-31, ,,1,20,31,-11,697.0
0:08.0, ,20-31,Personal take foul by G. Mathews (drawn by J. LaRavia),,1,20,31,-11,712.0
0:05.0, ,20-31,V. Williams misses 3-pt jump shot from 26 ft,,1,20,31,-11,715.0
0:05.0, ,20-31,Offensive rebound by W. Gabriel,,1,20,31,-11,715.0
0:00.0, ,20-31,W. Gabriel misses 2-pt hook shot from 2 ft,,1,20,31,-11,720.0
0:00.0, ,20-31,Offensive rebound by L. Stevens,,1,20,31,-11,720.0
0:00.0, ,20-31,L. Stevens misses 2-pt layup at rim,,1,20,31,-11,720.0
0:00.0, ,20-31,Offensive rebound by Team,,1,20,31,-11,720.0
0:00.0,End of 1st quarter,20-31,,,1,20,31,-11,720.0
12:00.0,Start of 2nd quarter,20-31,,,2,20,31,-11,720.0
11:39.0,Turnover by D. Hunter (bad pass; steal by J. LaRavia),20-31, ,,2,20,31,-11,741.0
11:19.0, ,20-31,J. LaRavia misses 3-pt jump shot from 24 ft,,2,20,31,-11,761.0
11:14.0,Defensive rebound by T. Forrest,20-31, ,,2,20,31,-11,766.0
11:01.0,Turnover by B. Bogdanović (bad pass; steal by W. Gabriel),20-31, ,,2,20,31,-11,779.0
10:56.0, ,20-33,L. Stevens makes 2-pt dunk from 1 ft (assist by V. Williams),,2,20,33,-13,784.0
10:43.0,D. Hunter misses 3-pt jump shot from 26 ft,20-33, ,,2,20,33,-13,797.0
10:39.0, ,20-33,Defensive rebound by T. Jemison,,2,20,33,-13,801.0
10:30.0, ,20-33,T. Jemison misses 2-pt layup from 4 ft,,2,20,33,-13,810.0
10:27.0,Defensive rebound by B. Fernando,20-33, ,,2,20,33,-13,813.0
10:23.0,D. Hunter misses 3-pt jump shot from 23 ft,20-33, ,,2,20,33,-13,817.0
10:17.0, ,20-33,Defensive rebound by L. Stevens,,2,20,33,-13,823.0
10:09.0, ,20-33,Shooting foul by D. Hunter (drawn by V. Williams),,2,20,33,-13,831.0
10:09.0, ,20-33,V. Williams misses free throw 1 of 2,,2,20,33,-13,831.0
10:09.0, ,20-33,Offensive rebound by Team,,2,20,33,-13,831.0
10:09.0,V. Krejci enters the game for T. Forrest,20-33, ,,2,20,33,-13,831.0
10:09.0,D. Murray enters the game for W. Matthews,20-33, ,,2,20,33,-13,831.0
10:09.0, ,20-33,J. Konchar enters the game for J. LaRavia,,2,20,33,-13,831.0
10:09.0, ,20-34,V. Williams makes free throw 2 of 2,,2,20,34,-14,831.0
9:52.0,Personal foul by V. Williams (drawn by V. Krejci),20-34, ,,2,20,34,-14,848.0
9:44.0,Shooting foul by T. Jemison (drawn by B. Fernando),20-34, ,,2,20,34,-14,856.0
9:44.0,B. Fernando makes free throw 1 of 2,21-34, ,,2,21,34,-13,856.0
9:44.0,B. Fernando misses free throw 2 of 2,21-34, ,,2,21,34,-13,856.0
9:42.0, ,21-34,Defensive rebound by W. Gabriel,,2,21,34,-13,858.0
9:30.0, ,21-34,Turnover by V. Williams (lost ball; steal by V. Krejci),,2,21,34,-13,870.0
9:24.0,B. Bogdanović misses 3-pt jump shot from 25 ft,21-34, ,,2,21,34,-13,876.0
9:22.0, ,21-34,Defensive rebound by Team,,2,21,34,-13,878.0
9:06.0, ,21-34,Turnover by T. Jemison (bad pass),,2,21,34,-13,894.0
8:49.0,D. Murray makes 2-pt jump shot from 11 ft,23-34, ,,2,23,34,-11,911.0
8:32.0, ,23-34,L. Stevens misses 2-pt jump shot from 10 ft,,2,23,34,-11,928.0
8:25.0,Defensive rebound by B. Bogdanović,23-34, ,,2,23,34,-11,935.0
8:16.0,D. Murray makes 2-pt jump shot from 11 ft,25-34, ,,2,25,34,-9,944.0
8:16.0,Shooting foul by V. Williams (drawn by D. Murray),25-34, ,,2,25,34,-9,944.0
8:16.0,G. Mathews enters the game for B. Bogdanović,25-34, ,,2,25,34,-9,944.0
8:16.0, ,25-34,Memphis full timeout,,2,25,34,-9,944.0
8:16.0,S. Bey enters the game for D. Hunter,25-34, ,,2,25,34,-9,944.0
8:16.0,D. Murray makes free throw 1 of 1,26-34, ,,2,26,34,-8,944.0
8:03.0, ,26-34,Shooting foul by B. Fernando (drawn by T. Jemison),,2,26,34,-8,957.0
8:03.0, ,26-34,T. Jemison misses free throw 1 of 2,,2,26,34,-8,957.0
8:03.0, ,26-34,Offensive rebound by Team,,2,26,34,-8,957.0
8:03.0, ,26-35,T. Jemison makes free throw 2 of 2,,2,26,35,-9,957.0
7:47.0,V. Krejci misses 3-pt jump shot from 26 ft,26-35, ,,2,26,35,-9,973.0
7:43.0,Offensive rebound by G. Mathews,26-35, ,,2,26,35,-9,977.0
7:43.0,Turnover by S. Bey (step out of bounds),26-35, ,,2,26,35,-9,977.0
7:25.0, ,26-37,T. Jemison makes 2-pt dunk from 2 ft (assist by W. Gabriel),,2,26,37,-11,995.0
7:03.0,G. Mathews makes 3-pt jump shot from 22 ft (assist by V. Krejci),29-37, ,,2,29,37,-8,1017.0
6:46.0, ,29-37,L. Stevens misses 2-pt jump shot from 14 ft,,2,29,37,-8,1034.0
6:42.0,Defensive rebound by D. Murray,29-37, ,,2,29,37,-8,1038.0
6:32.0,Turnover by B. Fernando (3 sec),29-37, ,,2,29,37,-8,1048.0
6:32.0, ,29-37,S. Aldama enters the game for W. Gabriel,,2,29,37,-8,1048.0
6:32.0, ,29-37,J. Goodwin enters the game for T. Jemison,,2,29,37,-8,1048.0
6:32.0, ,29-37,J. Jackson enters the game for V. Williams,,2,29,37,-8,1048.0
6:13.0, ,29-37,Personal foul by D. Murray (drawn by J. Jackson),,2,29,37,-8,1067.0
