Time,Atlanta,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. M. Turner (J. Johnson gains possession),0-0,,,1,0,0,0,0.0
11:47.0,D. Murray makes 3-pt jump shot from 26 ft (assist by J. Johnson),3-0, ,,1,3,0,3,13.0
11:25.0, ,3-0,B. Brown misses 2-pt jump shot from 4 ft,,1,3,0,3,35.0
11:22.0,Defensive rebound by T. Young,3-0, ,,1,3,0,3,38.0
11:13.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by T. Young),6-0, ,,1,6,0,6,47.0
11:05.0, ,6-2,A. Nesmith makes 2-pt layup from 3 ft (assist by T. Haliburton),,1,6,2,4,55.0
10:44.0,T. Young misses 3-pt jump shot from 30 ft,6-2, ,,1,6,2,4,76.0
10:42.0, ,6-2,Defensive rebound by T. Haliburton,,1,6,2,4,78.0
10:38.0, ,6-4,B. Brown makes 2-pt layup from 2 ft (assist by T. Haliburton),,1,6,4,2,82.0
10:23.0,C. Capela misses 2-pt layup from 3 ft (block by A. Nesmith),6-4, ,,1,6,4,2,97.0
10:21.0, ,6-4,Defensive rebound by J. Smith,,1,6,4,2,99.0
10:18.0, ,6-6,A. Nesmith makes 2-pt layup from 2 ft (assist by J. Smith),Tie,1,6,6,0,102.0
10:18.0,Violation by Team (def goaltending),6-6, ,,1,6,6,0,102.0
10:08.0,D. Murray misses 2-pt jump shot from 17 ft (block by T. Haliburton),6-6, ,,1,6,6,0,112.0
10:04.0, ,6-6,Defensive rebound by M. Turner,,1,6,6,0,116.0
9:54.0, ,6-6,T. Haliburton misses 3-pt jump shot from 30 ft,,1,6,6,0,126.0
9:51.0,Defensive rebound by J. Johnson,6-6, ,,1,6,6,0,129.0
9:41.0,J. Johnson misses 2-pt jump shot from 16 ft,6-6, ,,1,6,6,0,139.0
9:36.0,Offensive rebound by S. Bey,6-6, ,,1,6,6,0,144.0
9:34.0,S. Bey makes 3-pt jump shot from 23 ft (assist by T. Young),9-6, ,,1,9,6,3,146.0
9:11.0, ,9-6,M. Turner misses 2-pt jump shot from 14 ft,,1,9,6,3,169.0
9:10.0,Defensive rebound by T. Young,9-6, ,,1,9,6,3,170.0
9:03.0,T. Young misses 3-pt jump shot from 28 ft,9-6, ,,1,9,6,3,177.0
9:00.0, ,9-6,Defensive rebound by T. Haliburton,,1,9,6,3,180.0
8:52.0, ,9-6,Shooting foul by T. Young (drawn by M. Turner),,1,9,6,3,188.0
8:52.0, ,9-7,M. Turner makes free throw 1 of 2,,1,9,7,2,188.0
8:52.0, ,9-8,M. Turner makes free throw 2 of 2,,1,9,8,1,188.0
8:38.0,C. Capela makes 2-pt dunk from 5 ft (assist by T. Young),11-8, ,,1,11,8,3,202.0
8:28.0, ,11-8,Turnover by B. Brown (out of bounds lost ball),,1,11,8,3,212.0
8:17.0,J. Johnson misses 2-pt dunk from 2 ft (block by M. Turner),11-8, ,,1,11,8,3,223.0
8:17.0, ,11-8,Defensive rebound by Team,,1,11,8,3,223.0
8:08.0, ,11-8,Turnover by B. Brown (lost ball; steal by T. Young),,1,11,8,3,232.0
8:00.0,Personal foul by J. Smith (drawn by S. Bey),11-8, ,,1,11,8,3,240.0
7:52.0,T. Young misses 3-pt jump shot from 31 ft,11-8, ,,1,11,8,3,248.0
7:48.0, ,11-8,Defensive rebound by Team,,1,11,8,3,252.0
7:39.0, ,11-10,M. Turner makes 2-pt layup from 5 ft (assist by T. Haliburton),,1,11,10,1,261.0
7:39.0, ,11-10,Shooting foul by S. Bey (drawn by M. Turner),,1,11,10,1,261.0
7:39.0, ,11-11,M. Turner makes free throw 1 of 1,Tie,1,11,11,0,261.0
7:25.0,C. Capela misses 2-pt layup from 3 ft,11-11, ,,1,11,11,0,275.0
7:24.0, ,11-11,Defensive rebound by Team,,1,11,11,0,276.0
7:16.0, ,11-11,Turnover by M. Turner (bad pass; steal by J. Johnson),,1,11,11,0,284.0
7:08.0,T. Young misses 2-pt jump shot from 13 ft,11-11, ,,1,11,11,0,292.0
7:04.0, ,11-11,Defensive rebound by T. Haliburton,,1,11,11,0,296.0
7:01.0, ,11-13,B. Brown makes 2-pt layup from 3 ft (assist by J. Smith),Lead change,1,11,13,-2,299.0
6:39.0,J. Johnson makes 2-pt jump shot from 10 ft,13-13, ,Tie,1,13,13,0,321.0
6:22.0, ,13-13,J. Smith misses 3-pt jump shot from 23 ft,,1,13,13,0,338.0
6:18.0, ,13-13,Offensive rebound by M. Turner,,1,13,13,0,342.0
6:17.0, ,13-16,B. Brown makes 3-pt jump shot from 27 ft (assist by M. Turner),,1,13,16,-3,343.0
6:14.0,Atlanta full timeout,13-16, ,,1,13,16,-3,346.0
6:14.0,B. Bogdanović enters the game for J. Johnson,13-16, ,,1,13,16,-3,346.0
6:14.0,T. Forrest enters the game for T. Young,13-16, ,,1,13,16,-3,346.0
5:54.0,C. Capela misses 2-pt hook shot from 6 ft,13-16, ,,1,13,16,-3,366.0
5:51.0, ,13-16,Defensive rebound by M. Turner,,1,13,16,-3,369.0
5:44.0, ,13-18,M. Turner makes 2-pt jump shot from 16 ft (assist by T. Haliburton),,1,13,18,-5,376.0
5:25.0,D. Murray makes 2-pt jump shot from 9 ft (assist by B. Bogdanović),15-18, ,,1,15,18,-3,395.0
5:18.0, ,15-20,A. Nesmith makes 2-pt layup from 4 ft (assist by T. Haliburton),,1,15,20,-5,402.0
5:06.0,D. Murray misses 2-pt jump shot from 3 ft,15-20, ,,1,15,20,-5,414.0
5:02.0,Offensive rebound by C. Capela,15-20, ,,1,15,20,-5,418.0
5:02.0,C. Capela misses 2-pt layup from 3 ft,15-20, ,,1,15,20,-5,418.0
5:02.0, ,15-20,Defensive rebound by T. Haliburton,,1,15,20,-5,418.0
4:54.0, ,15-22,J. Smith makes 2-pt dunk from 2 ft (assist by T. Haliburton),,1,15,22,-7,426.0
4:38.0,B. Bogdanović misses 3-pt jump shot from 29 ft,15-22, ,,1,15,22,-7,442.0
4:34.0, ,15-22,Defensive rebound by B. Brown,,1,15,22,-7,446.0
4:25.0, ,15-24,T. Haliburton makes 2-pt layup from 4 ft,,1,15,24,-9,455.0
4:10.0,S. Bey misses 3-pt jump shot from 23 ft,15-24, ,,1,15,24,-9,470.0
4:06.0,Offensive rebound by C. Capela,15-24, ,,1,15,24,-9,474.0
3:53.0,Turnover by B. Bogdanović (bad pass; steal by A. Nesmith),15-24, ,,1,15,24,-9,487.0
3:45.0, ,15-24,A. Nesmith misses 3-pt jump shot from 23 ft,,1,15,24,-9,495.0
3:40.0,Defensive rebound by B. Bogdanović,15-24, ,,1,15,24,-9,500.0
3:37.0,Shooting foul by B. Brown (drawn by B. Bogdanović),15-24, ,,1,15,24,-9,503.0
3:37.0,B. Bogdanović makes free throw 1 of 2,16-24, ,,1,16,24,-8,503.0
3:37.0,G. Mathews enters the game for S. Bey,16-24, ,,1,16,24,-8,503.0
3:37.0,O. Okongwu enters the game for C. Capela,16-24, ,,1,16,24,-8,503.0
3:37.0,T. Young enters the game for D. Murray,16-24, ,,1,16,24,-8,503.0
3:37.0, ,16-24,B. Hield enters the game for B. Brown,,1,16,24,-8,503.0
3:37.0, ,16-24,I. Jackson enters the game for T. Haliburton,,1,16,24,-8,503.0
3:37.0, ,16-24,B. Mathurin enters the game for A. Nesmith,,1,16,24,-8,503.0
3:37.0, ,16-24,T. McConnell enters the game for J. Smith,,1,16,24,-8,503.0
3:37.0, ,16-24,O. Toppin enters the game for M. Turner,,1,16,24,-8,503.0
3:37.0, ,16-24,Indiana full timeout,,1,16,24,-8,503.0
3:37.0,B. Bogdanović makes free throw 2 of 2,17-24, ,,1,17,24,-7,503.0
3:27.0, ,17-24,Shooting foul by B. Bogdanović (drawn by I. Jackson),,1,17,24,-7,513.0
3:27.0, ,17-24,I. Jackson misses free throw 1 of 2,,1,17,24,-7,513.0
3:27.0, ,17-24,Offensive rebound by Team,,1,17,24,-7,513.0
3:27.0,J. Johnson enters the game for T. Forrest,17-24, ,,1,17,24,-7,513.0
3:27.0, ,17-24,I. Jackson misses free throw 2 of 2,,1,17,24,-7,513.0
3:26.0,Defensive rebound by B. Bogdanović,17-24, ,,1,17,24,-7,514.0
3:19.0,Turnover by T. Young (bad pass; steal by T. McConnell),17-24, ,,1,17,24,-7,521.0
3:16.0, ,17-27,O. Toppin makes 3-pt jump shot from 23 ft (assist by T. McConnell),,1,17,27,-10,524.0
2:55.0,B. Bogdanović misses 2-pt jump shot from 5 ft,17-27, ,,1,17,27,-10,545.0
2:52.0,Offensive rebound by O. Okongwu,17-27, ,,1,17,27,-10,548.0
2:49.0,T. Young misses 2-pt layup from 2 ft,17-27, ,,1,17,27,-10,551.0
2:45.0, ,17-27,Defensive rebound by I. Jackson,,1,17,27,-10,555.0
2:42.0, ,17-30,B. Mathurin makes 3-pt jump shot from 26 ft,,1,17,30,-13,558.0
2:26.0,Shooting foul by B. Hield (drawn by B. Bogdanović),17-30, ,,1,17,30,-13,574.0
2:26.0,B. Bogdanović makes free throw 1 of 2,18-30, ,,1,18,30,-12,574.0
2:26.0,B. Bogdanović misses free throw 2 of 2,18-30, ,,1,18,30,-12,574.0
2:24.0, ,18-30,Defensive rebound by B. Mathurin,,1,18,30,-12,576.0
2:10.0, ,18-33,O. Toppin makes 3-pt jump shot from 23 ft (assist by B. Mathurin),,1,18,33,-15,590.0
1:54.0,J. Johnson misses 3-pt jump shot from 25 ft,18-33, ,,1,18,33,-15,606.0
1:52.0,Offensive rebound by O. Okongwu,18-33, ,,1,18,33,-15,608.0
1:51.0,B. Bogdanović misses 3-pt jump shot from 29 ft,18-33, ,,1,18,33,-15,609.0
1:48.0, ,18-33,Defensive rebound by O. Toppin,,1,18,33,-15,612.0
1:31.0, ,18-33,B. Hield misses 3-pt jump shot from 27 ft,,1,18,33,-15,629.0
1:27.0, ,18-33,Offensive rebound by T. McConnell,,1,18,33,-15,633.0
1:24.0, ,18-33,Turnover by B. Hield (bad pass),,1,18,33,-15,636.0
1:10.0,G. Mathews makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),21-33, ,,1,21,33,-12,650.0
0:57.0, ,21-35,T. McConnell makes 2-pt layup from 2 ft (assist by B. Mathurin),,1,21,35,-14,663.0
0:50.0,Personal foul by I. Jackson (drawn by T. Young),21-35, ,,1,21,35,-14,670.0
0:44.0,Shooting foul by B. Hield (drawn by B. Bogdanović),21-35, ,,1,21,35,-14,676.0
0:44.0,B. Bogdanović makes free throw 1 of 2,22-35, ,,1,22,35,-13,676.0
0:44.0,B. Bogdanović makes free throw 2 of 2,23-35, ,,1,23,35,-12,676.0
0:33.0, ,23-38,B. Hield makes 3-pt jump shot from 23 ft (assist by T. McConnell),,1,23,38,-15,687.0
0:20.0,Personal foul by T. McConnell (drawn by T. Young),23-38, ,,1,23,38,-15,700.0
0:20.0,T. Young misses free throw 1 of 2,23-38, ,,1,23,38,-15,700.0
0:20.0,Offensive rebound by Team,23-38, ,,1,23,38,-15,700.0
0:20.0,T. Young makes free throw 2 of 2,24-38, ,,1,24,38,-14,700.0
0:04.0, ,24-38,B. Hield misses 3-pt jump shot from 23 ft,,1,24,38,-14,716.0
0:00.0,Defensive rebound by J. Johnson,24-38, ,,1,24,38,-14,720.0
0:00.0,End of 1st quarter,24-38,,,1,24,38,-14,720.0
12:00.0,Start of 2nd quarter,24-38,,,2,24,38,-14,720.0
11:50.0, ,24-38,Shooting foul by O. Okongwu (drawn by B. Mathurin),,2,24,38,-14,730.0
11:50.0, ,24-39,B. Mathurin makes free throw 1 of 2,,2,24,39,-15,730.0
11:50.0, ,24-40,B. Mathurin makes free throw 2 of 2,,2,24,40,-16,730.0
11:36.0,J. Johnson makes 2-pt dunk from 1 ft,26-40, ,,2,26,40,-14,744.0
11:14.0, ,26-40,B. Mathurin misses 3-pt jump shot from 27 ft,,2,26,40,-14,766.0
11:11.0,Defensive rebound by O. Okongwu,26-40, ,,2,26,40,-14,769.0
11:06.0,T. Young misses 3-pt jump shot from 30 ft,26-40, ,,2,26,40,-14,774.0
11:02.0,Offensive rebound by G. Mathews,26-40, ,,2,26,40,-14,778.0
10:59.0,G. Mathews misses 3-pt jump shot from 28 ft,26-40, ,,2,26,40,-14,781.0
10:56.0, ,26-40,Defensive rebound by B. Hield,,2,26,40,-14,784.0
10:50.0, ,26-43,O. Toppin makes 3-pt jump shot from 25 ft (assist by T. McConnell),,2,26,43,-17,790.0
10:38.0,B. Bogdanović misses 3-pt jump shot from 25 ft,26-43, ,,2,26,43,-17,802.0
10:36.0, ,26-43,Defensive rebound by O. Toppin,,2,26,43,-17,804.0
10:29.0, ,26-45,T. McConnell makes 2-pt jump shot from 8 ft,,2,26,45,-19,811.0
10:10.0,J. Johnson misses 3-pt jump shot from 22 ft,26-45, ,,2,26,45,-19,830.0
10:08.0,Offensive rebound by Team,26-45, ,,2,26,45,-19,832.0
10:08.0, ,26-45,Loose ball foul by I. Jackson (drawn by O. Okongwu),,2,26,45,-19,832.0
10:06.0,T. Young misses 2-pt jump shot from 13 ft,26-45, ,,2,26,45,-19,834.0
10:03.0, ,26-45,Defensive rebound by I. Jackson,,2,26,45,-19,837.0
9:55.0, ,26-45,B. Hield misses 3-pt jump shot from 26 ft,,2,26,45,-19,845.0
9:53.0,Defensive rebound by B. Bogdanović,26-45, ,,2,26,45,-19,847.0
9:46.0,T. Young makes 2-pt jump shot from 12 ft (assist by B. Bogdanović),28-45, ,,2,28,45,-17,854.0
9:42.0, ,28-45,Indiana full timeout,,2,28,45,-17,858.0
9:24.0, ,28-45,I. Jackson misses 2-pt dunk from 3 ft (block by O. Okongwu),,2,28,45,-17,876.0
9:22.0, ,28-45,Offensive rebound by I. Jackson,,2,28,45,-17,878.0
9:20.0, ,28-47,I. Jackson makes 2-pt dunk from 1 ft,,2,28,47,-19,880.0
8:59.0,Turnover by T. Young (step out of bounds),28-47, ,,2,28,47,-19,901.0
8:59.0,S. Bey enters the game for J. Johnson,28-47, ,,2,28,47,-19,901.0
8:59.0,D. Murray enters the game for T. Young,28-47, ,,2,28,47,-19,901.0
8:46.0, ,28-47,Personal foul by G. Mathews (drawn by I. Jackson),,2,28,47,-19,914.0
8:46.0, ,28-47,Offensive foul by I. Jackson (drawn by G. Mathews),,2,28,47,-19,914.0
8:46.0, ,28-47,Turnover by I. Jackson (offensive foul),,2,28,47,-19,914.0
8:46.0, ,28-47,J. Smith enters the game for I. Jackson,,2,28,47,-19,914.0
8:35.0,D. Murray makes 2-pt jump shot from 10 ft,30-47, ,,2,30,47,-17,925.0
8:19.0, ,30-47,Turnover by T. McConnell (bad pass; steal by B. Bogdanović),,2,30,47,-17,941.0
8:13.0,Shooting foul by B. Mathurin (drawn by O. Okongwu),30-47, ,,2,30,47,-17,947.0
8:13.0,O. Okongwu misses free throw 1 of 2,30-47, ,,2,30,47,-17,947.0
8:13.0,Offensive rebound by Team,30-47, ,,2,30,47,-17,947.0
8:13.0,O. Okongwu makes free throw 2 of 2,31-47, ,,2,31,47,-16,947.0
8:01.0, ,31-49,B. Mathurin makes 2-pt jump shot from 12 ft,,2,31,49,-18,959.0
7:40.0,D. Murray makes 2-pt jump shot from 8 ft,33-49, ,,2,33,49,-16,980.0
7:40.0,T. Forrest enters the game for G. Mathews,33-49, ,,2,33,49,-16,980.0
7:40.0, ,33-49,T. Haliburton enters the game for T. McConnell,,2,33,49,-16,980.0
7:24.0, ,33-49,Shooting foul by B. Bogdanović (drawn by B. Mathurin),,2,33,49,-16,996.0
7:24.0, ,33-50,B. Mathurin makes free throw 1 of 2,,2,33,50,-17,996.0
7:24.0, ,33-51,B. Mathurin makes free throw 2 of 2,,2,33,51,-18,996.0
7:13.0,B. Bogdanović misses 2-pt jump shot from 16 ft,33-51, ,,2,33,51,-18,1007.0
7:08.0, ,33-51,Defensive rebound by B. Mathurin,,2,33,51,-18,1012.0
7:00.0, ,33-51,Turnover by T. Haliburton (bad pass; steal by B. Bogdanović),,2,33,51,-18,1020.0
6:54.0,B. Bogdanović makes 2-pt layup from 5 ft,35-51, ,,2,35,51,-16,1026.0
6:40.0, ,35-53,J. Smith makes 2-pt dunk from 1 ft (assist by T. Haliburton),,2,35,53,-18,1040.0
6:27.0,S. Bey misses 3-pt jump shot from 26 ft,35-53, ,,2,35,53,-18,1053.0
6:23.0, ,35-53,Defensive rebound by O. Toppin,,2,35,53,-18,1057.0
6:12.0, ,35-55,J. Smith makes 2-pt jump shot from 18 ft (assist by T. Haliburton),,2,35,55,-20,1068.0
5:58.0,D. Murray makes 2-pt layup from 2 ft,37-55, ,,2,37,55,-18,1082.0
5:46.0, ,37-57,J. Smith makes 2-pt layup from 4 ft (assist by O. Toppin),,2,37,57,-20,1094.0
5:36.0,D. Murray makes 2-pt jump shot from 7 ft,39-57, ,,2,39,57,-18,1104.0
5:35.0, ,39-57,Indiana full timeout,,2,39,57,-18,1105.0
5:35.0,C. Capela enters the game for O. Okongwu,39-57, ,,2,39,57,-18,1105.0
5:35.0, ,39-57,B. Brown enters the game for B. Hield,,2,39,57,-18,1105.0
5:35.0, ,39-57,A. Nesmith enters the game for B. Mathurin,,2,39,57,-18,1105.0
5:35.0, ,39-57,M. Turner enters the game for O. Toppin,,2,39,57,-18,1105.0
5:20.0, ,39-57,M. Turner misses 2-pt layup from 6 ft,,2,39,57,-18,1120.0
5:17.0,Defensive rebound by T. Forrest,39-57, ,,2,39,57,-18,1123.0
5:10.0,T. Forrest misses 2-pt jump shot from 10 ft,39-57, ,,2,39,57,-18,1130.0
5:09.0, ,39-57,Defensive rebound by Team,,2,39,57,-18,1131.0
5:09.0,Loose ball foul by C. Capela (drawn by M. Turner),39-57, ,,2,39,57,-18,1131.0
5:09.0,J. Johnson enters the game for B. Bogdanović,39-57, ,,2,39,57,-18,1131.0
5:09.0,T. Young enters the game for T. Forrest,39-57, ,,2,39,57,-18,1131.0
4:55.0, ,39-57,M. Turner misses 2-pt layup from 4 ft,,2,39,57,-18,1145.0
4:54.0,Defensive rebound by C. Capela,39-57, ,,2,39,57,-18,1146.0
4:41.0,S. Bey misses 3-pt jump shot from 24 ft,39-57, ,,2,39,57,-18,1159.0
4:39.0,Offensive rebound by C. Capela,39-57, ,,2,39,57,-18,1161.0
4:38.0,C. Capela makes 2-pt layup from 1 ft,41-57, ,,2,41,57,-16,1162.0
4:17.0, ,41-57,A. Nesmith misses 2-pt layup from 2 ft,,2,41,57,-16,1183.0
4:13.0, ,41-57,Offensive rebound by T. Haliburton,,2,41,57,-16,1187.0
4:11.0, ,41-60,T. Haliburton makes 3-pt jump shot from 29 ft,,2,41,60,-19,1189.0
3:52.0,Turnover by D. Murray (bad pass; steal by T. Haliburton),41-60, ,,2,41,60,-19,1208.0
3:48.0, ,41-62,A. Nesmith makes 2-pt layup from 2 ft (assist by B. Brown),,2,41,62,-21,1212.0
3:29.0,T. Young misses 3-pt jump shot from 32 ft,41-62, ,,2,41,62,-21,1231.0
3:26.0,Offensive rebound by S. Bey,41-62, ,,2,41,62,-21,1234.0
3:25.0,Shooting foul by A. Nesmith (drawn by S. Bey),41-62, ,,2,41,62,-21,1235.0
3:25.0,S. Bey makes free throw 1 of 2,42-62, ,,2,42,62,-20,1235.0
3:25.0,S. Bey makes free throw 2 of 2,43-62, ,,2,43,62,-19,1235.0
3:13.0, ,43-64,B. Brown makes 2-pt jump shot from 8 ft (assist by A. Nesmith),,2,43,64,-21,1247.0
2:55.0,T. Young misses 2-pt jump shot from 6 ft,43-64, ,,2,43,64,-21,1265.0
2:53.0, ,43-64,Defensive rebound by A. Nesmith,,2,43,64,-21,1267.0
2:51.0, ,43-66,T. Haliburton makes 2-pt layup from 2 ft (assist by A. Nesmith),,2,43,66,-23,1269.0
2:41.0,D. Murray misses 2-pt layup from 4 ft,43-66, ,,2,43,66,-23,1279.0
2:40.0, ,43-66,Defensive rebound by B. Brown,,2,43,66,-23,1280.0
2:35.0, ,43-66,Turnover by A. Nesmith (bad pass; steal by T. Young),,2,43,66,-23,1285.0
2:29.0,T. Young makes 2-pt layup from 2 ft,45-66, ,,2,45,66,-21,1291.0
2:14.0, ,45-69,J. Smith makes 3-pt jump shot from 27 ft (assist by M. Turner),,2,45,69,-24,1306.0
1:56.0,S. Bey makes 2-pt dunk at rim (assist by T. Young),47-69, ,,2,47,69,-22,1324.0
1:36.0, ,47-71,A. Nesmith makes 2-pt layup from 5 ft,,2,47,71,-24,1344.0
1:17.0,J. Johnson makes 2-pt jump shot from 8 ft (assist by S. Bey),49-71, ,,2,49,71,-22,1363.0
1:08.0, ,49-73,A. Nesmith makes 2-pt dunk from 1 ft (assist by T. Haliburton),,2,49,73,-24,1372.0
0:53.0,Shooting foul by J. Smith (drawn by C. Capela),49-73, ,,2,49,73,-24,1387.0
0:53.0, ,49-73,O. Toppin enters the game for J. Smith,,2,49,73,-24,1387.0
0:53.0,C. Capela makes free throw 1 of 2,50-73, ,,2,50,73,-23,1387.0
0:53.0,C. Capela misses free throw 2 of 2,50-73, ,,2,50,73,-23,1387.0
0:51.0, ,50-73,Defensive rebound by T. Haliburton,,2,50,73,-23,1389.0
0:35.0, ,50-73,Turnover by A. Nesmith (bad pass),,2,50,73,-23,1405.0
0:33.0,T. Young misses 3-pt jump shot from 33 ft,50-73, ,,2,50,73,-23,1407.0
0:31.0, ,50-73,Defensive rebound by Team,,2,50,73,-23,1409.0
0:19.0, ,50-76,M. Turner makes 3-pt jump shot from 23 ft (assist by T. Haliburton),,2,50,76,-26,1421.0
0:04.0,D. Murray makes 3-pt jump shot from 27 ft,53-76, ,,2,53,76,-23,1436.0
0:04.0,Shooting foul by T. Haliburton (drawn by D. Murray),53-76, ,,2,53,76,-23,1436.0
0:04.0,D. Murray makes free throw 1 of 1,54-76, ,,2,54,76,-22,1436.0
0:00.0, ,54-78,B. Brown makes 2-pt jump shot from 18 ft,,2,54,78,-24,1440.0
0:00.0, ,54-78,Instant Replay (Request: Ruling Stands),,2,54,78,-24,1440.0
0:00.0,End of 2nd quarter,54-78,,,2,54,78,-24,1440.0
12:00.0,Start of 3rd quarter,54-78,,,3,54,78,-24,1440.0
11:39.0, ,54-80,M. Turner makes 2-pt jump shot from 20 ft (assist by T. Haliburton),,3,54,80,-26,1461.0
11:14.0,D. Murray makes 2-pt jump shot from 12 ft,56-80, ,,3,56,80,-24,1486.0
11:14.0,Shooting foul by A. Nesmith (drawn by D. Murray),56-80, ,,3,56,80,-24,1486.0
11:14.0, ,56-80,O. Toppin enters the game for J. Smith,,3,56,80,-24,1486.0
11:14.0,D. Murray makes free throw 1 of 1,57-80, ,,3,57,80,-23,1486.0
11:06.0, ,57-82,B. Brown makes 2-pt layup from 2 ft (assist by M. Turner),,3,57,82,-25,1494.0
10:55.0,T. Young misses 3-pt jump shot from 26 ft,57-82, ,,3,57,82,-25,1505.0
10:52.0, ,57-82,Defensive rebound by B. Brown,,3,57,82,-25,1508.0
10:48.0, ,57-84,B. Brown makes 2-pt layup from 2 ft,,3,57,84,-27,1512.0
10:35.0,S. Bey misses 3-pt jump shot from 23 ft,57-84, ,,3,57,84,-27,1525.0
10:33.0,Offensive rebound by C. Capela,57-84, ,,3,57,84,-27,1527.0
10:32.0,C. Capela misses 2-pt layup from 3 ft,57-84, ,,3,57,84,-27,1528.0
10:31.0, ,57-84,Defensive rebound by Team,,3,57,84,-27,1529.0
10:14.0, ,57-86,M. Turner makes 2-pt layup from 3 ft (assist by T. Haliburton),,3,57,86,-29,1546.0
10:02.0,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young),59-86, ,,3,59,86,-27,1558.0
9:51.0, ,59-88,M. Turner makes 2-pt jump shot from 16 ft (assist by T. Haliburton),,3,59,88,-29,1569.0
9:42.0,Turnover by T. Young (bad pass; steal by T. Haliburton),59-88, ,,3,59,88,-29,1578.0
9:35.0, ,59-91,T. Haliburton makes 3-pt jump shot from 24 ft (assist by B. Brown),,3,59,91,-32,1585.0
9:34.0,Atlanta full timeout,59-91, ,,3,59,91,-32,1586.0
9:21.0,D. Murray makes 2-pt layup from 3 ft,61-91, ,,3,61,91,-30,1599.0
9:05.0, ,61-91,O. Toppin misses 3-pt jump shot from 26 ft,,3,61,91,-30,1615.0
9:03.0,Defensive rebound by S. Bey,61-91, ,,3,61,91,-30,1617.0
8:55.0,Jump ball: M. Turner vs. C. Capela (A. Nesmith gains possession),61-91,,,3,61,91,-30,1625.0
8:55.0,Turnover by C. Capela (lost ball; steal by M. Turner),61-91, ,,3,61,91,-30,1625.0
8:42.0, ,61-93,B. Brown makes 2-pt jump shot from 10 ft (assist by A. Nesmith),,3,61,93,-32,1638.0
8:24.0,D. Murray misses 2-pt jump shot from 10 ft,61-93, ,,3,61,93,-32,1656.0
8:20.0,Offensive rebound by C. Capela,61-93, ,,3,61,93,-32,1660.0
8:20.0,C. Capela makes 2-pt layup at rim,63-93, ,,3,63,93,-30,1660.0
8:13.0, ,63-96,A. Nesmith makes 3-pt jump shot from 25 ft (assist by T. Haliburton),,3,63,96,-33,1667.0
8:00.0,Shooting foul by A. Nesmith (drawn by T. Young),63-96, ,,3,63,96,-33,1680.0
8:00.0,T. Young makes free throw 1 of 2,64-96, ,,3,64,96,-32,1680.0
8:00.0,T. Young makes free throw 2 of 2,65-96, ,,3,65,96,-31,1680.0
7:46.0, ,65-98,M. Turner makes 2-pt jump shot from 21 ft (assist by T. Haliburton),,3,65,98,-33,1694.0
7:35.0,J. Johnson misses 3-pt jump shot from 26 ft,65-98, ,,3,65,98,-33,1705.0
7:34.0, ,65-98,Defensive rebound by Team,,3,65,98,-33,1706.0
7:34.0,Loose ball foul by C. Capela (drawn by M. Turner),65-98, ,,3,65,98,-33,1706.0
7:24.0, ,65-98,M. Turner misses 3-pt jump shot from 24 ft,,3,65,98,-33,1716.0
