Time,Atlanta,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. M. Bagley (B. Bogdanović gains possession),0-0,,,1,0,0,0,0.0
11:37.0,Turnover by B. Bogdanović (bad pass; steal by A. Thompson),0-0, ,,1,0,0,0,23.0
11:16.0, ,0-0,C. Cunningham misses 2-pt jump shot from 8 ft,,1,0,0,0,44.0
11:13.0, ,0-0,Offensive rebound by M. Bagley,,1,0,0,0,47.0
11:13.0, ,0-2,M. Bagley makes 2-pt layup from 2 ft,,1,0,2,-2,47.0
10:56.0,D. Murray makes 2-pt jump shot from 7 ft,2-2, ,Tie,1,2,2,0,64.0
10:27.0, ,2-2,K. Hayes misses 2-pt jump shot from 20 ft,,1,2,2,0,93.0
10:26.0,Defensive rebound by D. Hunter,2-2, ,,1,2,2,0,94.0
10:18.0,J. Johnson makes 3-pt jump shot from 27 ft (assist by D. Hunter),5-2, ,Lead change,1,5,2,3,102.0
10:00.0, ,5-2,Turnover by K. Hayes (bad pass; steal by C. Capela),,1,5,2,3,120.0
9:56.0,Turnover by C. Capela (lost ball; steal by C. Cunningham),5-2, ,,1,5,2,3,124.0
9:50.0, ,5-2,I. Stewart misses 3-pt jump shot from 27 ft,,1,5,2,3,130.0
9:47.0, ,5-2,Offensive rebound by M. Bagley,,1,5,2,3,133.0
9:47.0, ,5-4,M. Bagley makes 2-pt layup at rim,,1,5,4,1,133.0
9:34.0,B. Bogdanović makes 2-pt jump shot from 15 ft,7-4, ,,1,7,4,3,146.0
9:15.0, ,7-4,K. Hayes misses 2-pt jump shot from 12 ft,,1,7,4,3,165.0
9:13.0,Defensive rebound by C. Capela,7-4, ,,1,7,4,3,167.0
9:02.0,D. Hunter makes 2-pt layup from 3 ft (assist by D. Murray),9-4, ,,1,9,4,5,178.0
8:46.0, ,9-4,I. Stewart misses 3-pt jump shot from 24 ft,,1,9,4,5,194.0
8:43.0,Defensive rebound by C. Capela,9-4, ,,1,9,4,5,197.0
8:33.0,D. Murray makes 2-pt layup from 3 ft,11-4, ,,1,11,4,7,207.0
8:21.0, ,11-6,M. Bagley makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,11,6,5,219.0
8:09.0,D. Hunter makes 2-pt layup from 2 ft (assist by D. Murray),13-6, ,,1,13,6,7,231.0
8:09.0,Shooting foul by C. Cunningham (drawn by D. Hunter),13-6, ,,1,13,6,7,231.0
8:09.0,D. Hunter makes free throw 1 of 1,14-6, ,,1,14,6,8,231.0
7:55.0, ,14-8,K. Hayes makes 2-pt jump shot from 10 ft (assist by A. Thompson),,1,14,8,6,245.0
7:37.0,C. Capela makes 2-pt hook shot from 4 ft (assist by B. Bogdanović),16-8, ,,1,16,8,8,263.0
7:15.0, ,16-10,I. Stewart makes 2-pt jump shot from 5 ft (assist by C. Cunningham),,1,16,10,6,285.0
7:15.0, ,16-10,Shooting foul by C. Capela (drawn by I. Stewart),,1,16,10,6,285.0
7:15.0, ,16-11,I. Stewart makes free throw 1 of 1,,1,16,11,5,285.0
7:03.0,D. Hunter misses 2-pt jump shot from 7 ft,16-11, ,,1,16,11,5,297.0
7:00.0, ,16-11,Defensive rebound by A. Thompson,,1,16,11,5,300.0
6:48.0, ,16-11,M. Bagley misses 2-pt hook shot from 4 ft,,1,16,11,5,312.0
6:46.0,Defensive rebound by B. Bogdanović,16-11, ,,1,16,11,5,314.0
6:37.0,D. Murray misses 2-pt layup from 3 ft,16-11, ,,1,16,11,5,323.0
6:36.0,Offensive rebound by C. Capela,16-11, ,,1,16,11,5,324.0
6:36.0,C. Capela makes 2-pt layup from 2 ft,18-11, ,,1,18,11,7,324.0
6:36.0, ,18-11,Detroit full timeout,,1,18,11,7,324.0
6:36.0, ,18-11,A. Burks enters the game for K. Hayes,,1,18,11,7,324.0
6:18.0, ,18-11,C. Cunningham misses 3-pt jump shot from 29 ft,,1,18,11,7,342.0
6:15.0,Defensive rebound by D. Murray,18-11, ,,1,18,11,7,345.0
6:12.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),21-11, ,,1,21,11,10,348.0
5:57.0, ,21-14,I. Stewart makes 3-pt jump shot from 28 ft (assist by A. Burks),,1,21,14,7,363.0
5:41.0,B. Bogdanović misses 3-pt jump shot from 26 ft,21-14, ,,1,21,14,7,379.0
5:39.0, ,21-14,Defensive rebound by M. Bagley,,1,21,14,7,381.0
5:26.0, ,21-16,A. Thompson makes 2-pt jump shot from 6 ft (assist by A. Burks),,1,21,16,5,394.0
5:06.0,D. Murray makes 2-pt jump shot from 19 ft,23-16, ,,1,23,16,7,414.0
4:55.0, ,23-16,Personal foul by C. Capela (drawn by C. Cunningham),,1,23,16,7,425.0
4:55.0,S. Bey enters the game for B. Bogdanović,23-16, ,,1,23,16,7,425.0
4:55.0,A. Griffin enters the game for C. Capela,23-16, ,,1,23,16,7,425.0
4:55.0,O. Okongwu enters the game for J. Johnson,23-16, ,,1,23,16,7,425.0
4:55.0, ,23-16,K. Knox enters the game for M. Bagley,,1,23,16,7,425.0
4:55.0, ,23-16,J. Wiseman enters the game for I. Stewart,,1,23,16,7,425.0
4:46.0, ,23-16,A. Burks misses 3-pt jump shot from 26 ft,,1,23,16,7,434.0
4:44.0,Defensive rebound by O. Okongwu,23-16, ,,1,23,16,7,436.0
4:36.0,A. Griffin makes 3-pt jump shot from 26 ft (assist by D. Murray),26-16, ,,1,26,16,10,444.0
4:24.0, ,26-16,Shooting foul by D. Murray (drawn by J. Wiseman),,1,26,16,10,456.0
4:24.0, ,26-16,J. Wiseman misses free throw 1 of 2,,1,26,16,10,456.0
4:24.0, ,26-16,Offensive rebound by Team,,1,26,16,10,456.0
4:24.0, ,26-16,J. Ivey enters the game for C. Cunningham,,1,26,16,10,456.0
4:24.0, ,26-16,M. Sasser enters the game for A. Thompson,,1,26,16,10,456.0
4:24.0, ,26-17,J. Wiseman makes free throw 2 of 2,,1,26,17,9,456.0
4:02.0,D. Murray makes 3-pt jump shot from 27 ft,29-17, ,,1,29,17,12,478.0
3:45.0, ,29-19,J. Wiseman makes 2-pt layup from 2 ft (assist by J. Ivey),,1,29,19,10,495.0
3:36.0,Personal foul by A. Burks (drawn by D. Hunter),29-19, ,,1,29,19,10,504.0
3:30.0,D. Murray misses 2-pt jump shot from 13 ft,29-19, ,,1,29,19,10,510.0
3:27.0, ,29-19,Defensive rebound by J. Ivey,,1,29,19,10,513.0
3:19.0, ,29-19,M. Sasser misses 3-pt jump shot from 27 ft,,1,29,19,10,521.0
3:15.0,Defensive rebound by D. Murray,29-19, ,,1,29,19,10,525.0
3:06.0,Shooting foul by J. Wiseman (drawn by D. Murray),29-19, ,,1,29,19,10,534.0
3:06.0,D. Murray makes free throw 1 of 2,30-19, ,,1,30,19,11,534.0
3:06.0,D. Murray makes free throw 2 of 2,31-19, ,,1,31,19,12,534.0
2:50.0, ,31-19,A. Burks misses 2-pt jump shot from 17 ft,,1,31,19,12,550.0
2:46.0,Defensive rebound by D. Murray,31-19, ,,1,31,19,12,554.0
2:35.0,Turnover by S. Bey (bad pass; steal by A. Burks),31-19, ,,1,31,19,12,565.0
2:32.0, ,31-21,J. Wiseman makes 2-pt dunk from 3 ft (assist by A. Burks),,1,31,21,10,568.0
2:32.0,Atlanta full timeout,31-21, ,,1,31,21,10,568.0
2:32.0,B. Bogdanović enters the game for D. Hunter,31-21, ,,1,31,21,10,568.0
2:32.0,T. Forrest enters the game for D. Murray,31-21, ,,1,31,21,10,568.0
2:16.0,A. Griffin misses 3-pt jump shot from 28 ft,31-21, ,,1,31,21,10,584.0
2:12.0, ,31-21,Defensive rebound by A. Burks,,1,31,21,10,588.0
1:59.0, ,31-24,J. Ivey makes 3-pt jump shot from 24 ft (assist by A. Burks),,1,31,24,7,601.0
1:43.0,S. Bey misses 3-pt jump shot from 27 ft,31-24, ,,1,31,24,7,617.0
1:40.0, ,31-24,Defensive rebound by K. Knox,,1,31,24,7,620.0
1:37.0, ,31-27,A. Burks makes 3-pt jump shot from 27 ft,,1,31,27,4,623.0
1:37.0,Atlanta full timeout,31-27, ,,1,31,27,4,623.0
1:37.0,G. Mathews enters the game for A. Griffin,31-27, ,,1,31,27,4,623.0
1:23.0,B. Bogdanović misses 2-pt jump shot from 19 ft,31-27, ,,1,31,27,4,637.0
1:21.0,Offensive rebound by O. Okongwu,31-27, ,,1,31,27,4,639.0
1:17.0,S. Bey misses 3-pt jump shot from 23 ft,31-27, ,,1,31,27,4,643.0
1:14.0, ,31-27,Defensive rebound by M. Sasser,,1,31,27,4,646.0
1:02.0, ,31-27,A. Burks misses 3-pt jump shot from 28 ft (block by B. Bogdanović),,1,31,27,4,658.0
0:59.0,Defensive rebound by G. Mathews,31-27, ,,1,31,27,4,661.0
0:56.0,G. Mathews makes 3-pt jump shot from 27 ft (assist by S. Bey),34-27, ,,1,34,27,7,664.0
0:48.0, ,34-27,Offensive foul by K. Knox (drawn by G. Mathews),,1,34,27,7,672.0
0:48.0, ,34-27,Turnover by K. Knox (offensive foul),,1,34,27,7,672.0
0:33.0,B. Bogdanović makes 2-pt jump shot from 7 ft (assist by T. Forrest),36-27, ,,1,36,27,9,687.0
0:16.0, ,36-29,J. Ivey makes 2-pt layup from 2 ft (assist by A. Burks),,1,36,29,7,704.0
0:16.0, ,36-29,Shooting foul by O. Okongwu (drawn by J. Ivey),,1,36,29,7,704.0
0:16.0, ,36-29,J. Ivey misses free throw 1 of 1,,1,36,29,7,704.0
0:13.0,Defensive rebound by B. Bogdanović,36-29, ,,1,36,29,7,707.0
0:02.0,O. Okongwu makes 2-pt dunk from 4 ft (assist by B. Bogdanović),38-29, ,,1,38,29,9,718.0
0:00.0,End of 1st quarter,38-29,,,1,38,29,9,720.0
12:00.0,Start of 2nd quarter,38-29,,,2,38,29,9,720.0
11:39.0, ,38-31,K. Knox makes 2-pt dunk from 4 ft (assist by C. Cunningham),,2,38,31,7,741.0
11:19.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by T. Forrest),41-31, ,,2,41,31,10,761.0
11:03.0, ,41-31,K. Knox misses 3-pt jump shot from 25 ft,,2,41,31,10,777.0
11:02.0, ,41-31,Offensive rebound by J. Ivey,,2,41,31,10,778.0
11:02.0, ,41-31,Shooting foul by O. Okongwu (drawn by J. Ivey),,2,41,31,10,778.0
11:02.0, ,41-32,J. Ivey makes free throw 1 of 2,,2,41,32,9,778.0
11:02.0, ,41-32,J. Ivey misses free throw 2 of 2,,2,41,32,9,778.0
11:01.0, ,41-32,Offensive rebound by Team,,2,41,32,9,779.0
10:54.0, ,41-32,A. Burks misses 3-pt jump shot from 24 ft,,2,41,32,9,786.0
10:53.0, ,41-32,Offensive rebound by M. Bagley,,2,41,32,9,787.0
10:49.0, ,41-32,M. Bagley misses 2-pt layup from 4 ft (block by O. Okongwu),,2,41,32,9,791.0
10:47.0, ,41-32,Offensive rebound by M. Bagley,,2,41,32,9,793.0
10:46.0, ,41-32,M. Bagley misses 2-pt layup at rim,,2,41,32,9,794.0
10:45.0,Defensive rebound by O. Okongwu,41-32, ,,2,41,32,9,795.0
10:41.0,J. Johnson misses 2-pt layup from 3 ft,41-32, ,,2,41,32,9,799.0
10:38.0,Offensive rebound by T. Forrest,41-32, ,,2,41,32,9,802.0
10:36.0,S. Bey makes 2-pt layup from 3 ft (assist by T. Forrest),43-32, ,,2,43,32,11,804.0
10:22.0, ,43-32,Turnover by C. Cunningham (step out of bounds),,2,43,32,11,818.0
10:22.0, ,43-32,K. Hayes enters the game for A. Burks,,2,43,32,11,818.0
10:10.0,T. Forrest misses 2-pt jump shot from 4 ft,43-32, ,,2,43,32,11,830.0
10:07.0, ,43-32,Defensive rebound by M. Bagley,,2,43,32,11,833.0
9:57.0, ,43-34,C. Cunningham makes 2-pt jump shot from 4 ft,,2,43,34,9,843.0
9:36.0,Turnover by B. Bogdanović (bad pass; steal by J. Ivey),43-34, ,,2,43,34,9,864.0
9:31.0, ,43-36,M. Bagley makes 2-pt dunk from 3 ft (assist by C. Cunningham),,2,43,36,7,869.0
9:31.0,Atlanta full timeout,43-36, ,,2,43,36,7,869.0
9:31.0,D. Hunter enters the game for B. Bogdanović,43-36, ,,2,43,36,7,869.0
9:31.0,D. Murray enters the game for J. Johnson,43-36, ,,2,43,36,7,869.0
9:31.0, ,43-36,I. Stewart enters the game for K. Knox,,2,43,36,7,869.0
9:21.0,Turnover by O. Okongwu (traveling),43-36, ,,2,43,36,7,879.0
9:06.0,Violation by Team (kicked ball),43-36, ,,2,43,36,7,894.0
8:57.0, ,43-38,I. Stewart makes 2-pt dunk from 3 ft (assist by K. Hayes),,2,43,38,5,903.0
8:39.0,Shooting foul by K. Hayes (drawn by T. Forrest),43-38, ,,2,43,38,5,921.0
8:39.0,T. Forrest makes free throw 1 of 2,44-38, ,,2,44,38,6,921.0
8:39.0, ,44-38,A. Thompson enters the game for J. Ivey,,2,44,38,6,921.0
8:39.0,T. Forrest makes free throw 2 of 2,45-38, ,,2,45,38,7,921.0
8:23.0, ,45-40,I. Stewart makes 2-pt dunk from 2 ft (assist by C. Cunningham),,2,45,40,5,937.0
8:08.0,D. Hunter makes 2-pt jump shot from 13 ft (assist by T. Forrest),47-40, ,,2,47,40,7,952.0
7:47.0, ,47-40,I. Stewart misses 2-pt hook shot from 7 ft,,2,47,40,7,973.0
7:45.0,Defensive rebound by D. Murray,47-40, ,,2,47,40,7,975.0
7:36.0,D. Murray misses 2-pt layup from 3 ft (block by M. Bagley),47-40, ,,2,47,40,7,984.0
7:34.0,Offensive rebound by O. Okongwu,47-40, ,,2,47,40,7,986.0
7:32.0,O. Okongwu makes 2-pt layup from 1 ft,49-40, ,,2,49,40,9,988.0
7:19.0, ,49-42,M. Bagley makes 2-pt jump shot from 15 ft (assist by A. Thompson),,2,49,42,7,1001.0
7:01.0,D. Hunter misses 3-pt jump shot from 26 ft,49-42, ,,2,49,42,7,1019.0
6:59.0, ,49-42,Defensive rebound by I. Stewart,,2,49,42,7,1021.0
6:56.0, ,49-42,Personal foul by D. Hunter (drawn by M. Bagley),,2,49,42,7,1024.0
6:56.0,J. Johnson enters the game for T. Forrest,49-42, ,,2,49,42,7,1024.0
6:50.0, ,49-42,Shooting foul by J. Johnson (drawn by M. Bagley),,2,49,42,7,1030.0
6:50.0, ,49-43,M. Bagley makes free throw 1 of 2,,2,49,43,6,1030.0
6:50.0, ,49-44,M. Bagley makes free throw 2 of 2,,2,49,44,5,1030.0
6:32.0,Turnover by D. Murray (bad pass; steal by K. Hayes),49-44, ,,2,49,44,5,1048.0
6:29.0, ,49-44,Shooting foul by O. Okongwu (drawn by K. Hayes),,2,49,44,5,1051.0
6:29.0, ,49-44,K. Hayes misses free throw 1 of 2,,2,49,44,5,1051.0
6:29.0, ,49-44,Offensive rebound by Team,,2,49,44,5,1051.0
6:29.0,C. Capela enters the game for O. Okongwu,49-44, ,,2,49,44,5,1051.0
6:29.0, ,49-45,K. Hayes makes free throw 2 of 2,,2,49,45,4,1051.0
6:04.0,S. Bey misses 3-pt jump shot from 33 ft,49-45, ,,2,49,45,4,1076.0
6:02.0, ,49-45,Defensive rebound by A. Thompson,,2,49,45,4,1078.0
5:56.0, ,49-45,Turnover by M. Bagley (bad pass),,2,49,45,4,1084.0
5:46.0,Shooting foul by A. Thompson (drawn by D. Hunter),49-45, ,,2,49,45,4,1094.0
5:46.0,D. Hunter misses free throw 1 of 2,49-45, ,,2,49,45,4,1094.0
5:46.0,Offensive rebound by Team,49-45, ,,2,49,45,4,1094.0
5:46.0,B. Bogdanović enters the game for S. Bey,49-45, ,,2,49,45,4,1094.0
5:46.0, ,49-45,J. Ivey enters the game for C. Cunningham,,2,49,45,4,1094.0
5:46.0,D. Hunter makes free throw 2 of 2,50-45, ,,2,50,45,5,1094.0
5:34.0, ,50-45,A. Thompson misses 3-pt jump shot from 24 ft,,2,50,45,5,1106.0
5:32.0, ,50-45,Offensive rebound by J. Ivey,,2,50,45,5,1108.0
