Time,Indiana,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Turner vs. C. Capela (S. Bey gains possession),0-0,,,1,0,0,0,0.0
11:42.0, ,0-2,C. Capela makes 2-pt dunk from 2 ft (assist by T. Young),,1,2,0,2,18.0
11:28.0,Offensive foul by A. Nembhard (drawn by T. Young),0-2, ,,1,2,0,2,32.0
11:28.0,Turnover by A. Nembhard (offensive foul),0-2, ,,1,2,0,2,32.0
11:18.0, ,0-4,C. Capela makes 2-pt hook shot from 6 ft (assist by J. Johnson),,1,4,0,4,42.0
11:13.0,Indiana full timeout,0-4, ,,1,4,0,4,47.0
11:02.0,J. Smith misses 2-pt hook shot from 10 ft,0-4, ,,1,4,0,4,58.0
10:58.0, ,0-4,Defensive rebound by C. Capela,,1,4,0,4,62.0
10:49.0, ,0-4,J. Johnson misses 2-pt layup from 1 ft,,1,4,0,4,71.0
10:45.0,Defensive rebound by J. Smith,0-4, ,,1,4,0,4,75.0
10:38.0,A. Nesmith makes 3-pt jump shot from 25 ft (assist by A. Nembhard),3-4, ,,1,4,3,1,82.0
10:20.0, ,3-4,T. Young misses 2-pt layup from 2 ft,,1,4,3,1,100.0
10:15.0, ,3-4,Offensive rebound by C. Capela,,1,4,3,1,105.0
10:15.0, ,3-6,C. Capela makes 2-pt layup at rim,,1,6,3,3,105.0
9:53.0,B. Brown makes 2-pt layup from 1 ft (assist by A. Nembhard),5-6, ,,1,6,5,1,127.0
9:42.0, ,5-8,T. Young makes 2-pt jump shot from 14 ft,,1,8,5,3,138.0
9:42.0, ,5-8,Shooting foul by A. Nesmith (drawn by T. Young),,1,8,5,3,138.0
9:42.0, ,5-9,T. Young makes free throw 1 of 1,,1,9,5,4,138.0
9:26.0,M. Turner makes 2-pt layup from 2 ft (assist by A. Nembhard),7-9, ,,1,9,7,2,154.0
9:26.0,Shooting foul by C. Capela (drawn by M. Turner),7-9, ,,1,9,7,2,154.0
9:26.0,M. Turner misses free throw 1 of 1,7-9, ,,1,9,7,2,154.0
9:23.0, ,7-9,Defensive rebound by J. Johnson,,1,9,7,2,157.0
9:02.0, ,7-9,T. Young misses 2-pt jump shot from 19 ft,,1,9,7,2,178.0
8:57.0,Defensive rebound by A. Nesmith,7-9, ,,1,9,7,2,183.0
8:47.0,J. Smith makes 2-pt layup at rim (assist by M. Turner),9-9, ,Tie,1,9,9,0,193.0
8:34.0, ,9-9,D. Murray misses 3-pt jump shot from 23 ft,,1,9,9,0,206.0
8:32.0,Defensive rebound by B. Brown,9-9, ,,1,9,9,0,208.0
8:21.0,M. Turner makes 2-pt layup from 1 ft (assist by A. Nembhard),11-9, ,Lead change,1,9,11,-2,219.0
8:11.0, ,11-9,Personal foul by A. Nembhard (drawn by T. Young),,1,9,11,-2,229.0
8:11.0,T. McConnell enters the game for A. Nembhard,11-9, ,,1,9,11,-2,229.0
7:58.0, ,11-9,Turnover by D. Murray (bad pass; steal by M. Turner),,1,9,11,-2,242.0
7:55.0,Turnover by M. Turner (lost ball; steal by D. Murray),11-9, ,,1,9,11,-2,245.0
7:52.0, ,11-11,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray),Tie,1,11,11,0,248.0
7:38.0,M. Turner makes 2-pt layup at rim (assist by T. McConnell),13-11, ,,1,11,13,-2,262.0
7:27.0, ,13-11,T. Young misses 3-pt jump shot from 28 ft,,1,11,13,-2,273.0
7:24.0,Defensive rebound by M. Turner,13-11, ,,1,11,13,-2,276.0
7:12.0,Turnover by B. Brown (out of bounds lost ball),13-11, ,,1,11,13,-2,288.0
7:00.0, ,13-11,Shooting foul by A. Nesmith (drawn by S. Bey),,1,11,13,-2,300.0
7:00.0, ,13-11,S. Bey misses free throw 1 of 2,,1,11,13,-2,300.0
7:00.0, ,13-11,Offensive rebound by Team,,1,11,13,-2,300.0
7:00.0,B. Mathurin enters the game for A. Nesmith,13-11, ,,1,11,13,-2,300.0
7:00.0, ,13-11,B. Bogdanović enters the game for J. Johnson,,1,11,13,-2,300.0
7:00.0, ,13-11,T. Forrest enters the game for T. Young,,1,11,13,-2,300.0
7:00.0, ,13-12,S. Bey makes free throw 2 of 2,,1,12,13,-1,300.0
6:49.0,B. Brown makes 2-pt jump shot from 13 ft (assist by T. McConnell),15-12, ,,1,12,15,-3,311.0
6:35.0, ,15-14,D. Murray makes 2-pt jump shot from 11 ft (assist by B. Bogdanović),,1,14,15,-1,325.0
6:16.0,B. Brown makes 3-pt jump shot from 24 ft (assist by T. McConnell),18-14, ,,1,14,18,-4,344.0
6:01.0, ,18-14,T. Forrest misses 2-pt layup from 10 ft (block by M. Turner),,1,14,18,-4,359.0
6:00.0, ,18-14,Offensive rebound by Team,,1,14,18,-4,360.0
6:00.0,B. Hield enters the game for B. Brown,18-14, ,,1,14,18,-4,360.0
6:00.0, ,18-14,O. Okongwu enters the game for C. Capela,,1,14,18,-4,360.0
5:56.0, ,18-16,B. Bogdanović makes 2-pt layup from 5 ft (assist by D. Murray),,1,16,18,-2,364.0
5:42.0,B. Mathurin misses 2-pt jump shot from 13 ft,18-16, ,,1,16,18,-2,378.0
5:40.0,Offensive rebound by J. Smith,18-16, ,,1,16,18,-2,380.0
5:39.0,J. Smith makes 2-pt layup from 1 ft,20-16, ,,1,16,20,-4,381.0
5:26.0, ,20-16,T. Forrest misses 2-pt layup from 6 ft,,1,16,20,-4,394.0
5:23.0,Defensive rebound by M. Turner,20-16, ,,1,16,20,-4,397.0
5:19.0,B. Mathurin makes 2-pt layup from 2 ft (assist by T. McConnell),22-16, ,,1,16,22,-6,401.0
5:04.0, ,22-16,B. Bogdanović misses 2-pt jump shot from 13 ft,,1,16,22,-6,416.0
5:00.0, ,22-16,Offensive rebound by B. Bogdanović,,1,16,22,-6,420.0
4:59.0, ,22-16,S. Bey misses 3-pt jump shot from 23 ft,,1,16,22,-6,421.0
4:55.0,Defensive rebound by J. Smith,22-16, ,,1,16,22,-6,425.0
4:47.0,B. Mathurin makes 2-pt layup from 4 ft (assist by T. McConnell),24-16, ,,1,16,24,-8,433.0
4:46.0, ,24-16,Atlanta full timeout,,1,16,24,-8,434.0
