Time,Atlanta,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Okongwu vs. P. Reed (S. Bey gains possession),0-0,,,1,0,0,0,0.0
11:46.0,O. Okongwu makes 2-pt hook shot from 8 ft (assist by J. Johnson),2-0, ,,1,2,0,2,14.0
11:29.0, ,2-0,C. Payne misses 3-pt jump shot from 27 ft,,1,2,0,2,31.0
11:27.0,Defensive rebound by J. Johnson,2-0, ,,1,2,0,2,33.0
11:21.0,J. Johnson makes 2-pt layup from 1 ft,4-0, ,,1,4,0,4,39.0
11:08.0, ,4-0,B. Hield misses 2-pt jump shot from 14 ft,,1,4,0,4,52.0
11:05.0,Defensive rebound by J. Johnson,4-0, ,,1,4,0,4,55.0
11:00.0,B. Bogdanović misses 2-pt layup from 1 ft,4-0, ,,1,4,0,4,60.0
10:58.0, ,4-0,Defensive rebound by P. Reed,,1,4,0,4,62.0
10:53.0, ,4-0,B. Hield misses 2-pt layup from 2 ft (block by B. Bogdanović),,1,4,0,4,67.0
10:50.0,Defensive rebound by O. Okongwu,4-0, ,,1,4,0,4,70.0
10:44.0,S. Bey makes 2-pt layup from 1 ft (assist by T. Young),6-0, ,,1,6,0,6,76.0
10:30.0, ,6-0,Turnover by C. Payne (bad pass),,1,6,0,6,90.0
10:17.0,T. Young misses 3-pt jump shot from 31 ft,6-0, ,,1,6,0,6,103.0
10:14.0, ,6-0,Defensive rebound by P. Reed,,1,6,0,6,106.0
10:08.0, ,6-2,T. Harris makes 2-pt layup from 3 ft,,1,6,2,4,112.0
9:49.0, ,6-2,Violation by Team (kicked ball),,1,6,2,4,131.0
9:45.0,O. Okongwu makes 2-pt layup from 5 ft (assist by T. Young),8-2, ,,1,8,2,6,135.0
9:45.0, ,8-2,Violation by Team (def goaltending),,1,8,2,6,135.0
9:24.0, ,8-5,B. Hield makes 3-pt jump shot from 25 ft,,1,8,5,3,156.0
9:13.0,J. Johnson misses 3-pt jump shot from 27 ft,8-5, ,,1,8,5,3,167.0
9:11.0, ,8-5,Defensive rebound by P. Reed,,1,8,5,3,169.0
9:03.0, ,8-7,B. Hield makes 2-pt layup from 2 ft (assist by C. Payne),,1,8,7,1,177.0
8:45.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by T. Young),11-7, ,,1,11,7,4,195.0
8:34.0, ,11-7,C. Payne misses 3-pt jump shot from 24 ft,,1,11,7,4,206.0
8:32.0,Defensive rebound by J. Johnson,11-7, ,,1,11,7,4,208.0
8:26.0,S. Bey misses 3-pt jump shot from 27 ft,11-7, ,,1,11,7,4,214.0
8:23.0, ,11-7,Defensive rebound by K. Oubre,,1,11,7,4,217.0
8:16.0, ,11-9,K. Oubre makes 2-pt layup from 2 ft,,1,11,9,2,224.0
7:51.0,O. Okongwu misses 2-pt layup from 3 ft,11-9, ,,1,11,9,2,249.0
7:47.0,Offensive rebound by S. Bey,11-9, ,,1,11,9,2,253.0
7:47.0,Personal foul by P. Reed (drawn by S. Bey),11-9, ,,1,11,9,2,253.0
7:43.0,T. Young makes 3-pt jump shot from 27 ft (assist by J. Johnson),14-9, ,,1,14,9,5,257.0
7:32.0, ,14-9,P. Reed misses 2-pt jump shot from 15 ft,,1,14,9,5,268.0
7:29.0,Defensive rebound by S. Bey,14-9, ,,1,14,9,5,271.0
