Time,LA Clippers,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:47.0,Def 3 sec tech foul by Team,96-99, ,,3,99,96,3,2113.0
0:47.0,K. Leonard makes technical free throw,97-99, ,,3,99,97,2,2113.0
0:39.0,D. Theis makes 2-pt dunk from 1 ft (assist by R. Westbrook),99-99, ,Tie,3,99,99,0,2121.0
0:30.0, ,99-99,J. Johnson misses 2-pt layup from 3 ft,,3,99,99,0,2130.0
0:29.0, ,99-99,Offensive rebound by B. Fernando,,3,99,99,0,2131.0
0:29.0, ,99-99,B. Fernando misses 2-pt layup from 3 ft (block by K. Leonard),,3,99,99,0,2131.0
0:28.0,Defensive rebound by Team,99-99, ,,3,99,99,0,2132.0
0:26.0,Jump ball: K. Leonard vs. B. Fernando (N. Powell gains possession),99-99,,,3,99,99,0,2134.0
0:07.0,Turnover by N. Powell (bad pass; steal by T. Young),99-99, ,,3,99,99,0,2153.0
0:03.0, ,99-99,J. Johnson misses 2-pt layup from 2 ft,,3,99,99,0,2157.0
0:02.0, ,99-99,Offensive rebound by D. Hunter,,3,99,99,0,2158.0
0:02.0, ,99-101,D. Hunter makes 2-pt layup at rim,,3,101,99,2,2158.0
0:00.0,D. Theis makes 3-pt jump shot from 26 ft (assist by A. Coffey),102-101, ,Lead change,3,101,102,-1,2160.0
0:00.0,Instant Replay (Request: Ruling Stands),102-101, ,,3,101,102,-1,2160.0
0:00.0,End of 3rd quarter,102-101,,,3,101,102,-1,2160.0
12:00.0,Start of 4th quarter,102-101,,,4,101,102,-1,2160.0
11:46.0, ,102-104,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by B. Fernando),Lead change,4,104,102,2,2174.0
11:27.0,R. Westbrook misses 2-pt jump shot from 11 ft,102-104, ,,4,104,102,2,2193.0
11:22.0, ,102-104,Defensive rebound by B. Fernando,,4,104,102,2,2198.0
11:14.0, ,102-106,B. Fernando makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,4,106,102,4,2206.0
11:14.0, ,102-106,Shooting foul by N. Powell (drawn by B. Fernando),,4,106,102,4,2206.0
11:14.0, ,102-106,B. Fernando misses free throw 1 of 1,,4,106,102,4,2206.0
11:12.0,Defensive rebound by R. Westbrook,102-106, ,,4,106,102,4,2208.0
11:01.0,A. Coffey makes 3-pt jump shot from 26 ft (assist by J. Harden),105-106, ,,4,106,105,1,2219.0
10:47.0, ,105-106,J. Johnson misses 2-pt layup from 2 ft (block by J. Harden),,4,106,105,1,2233.0
10:43.0,Defensive rebound by Team,105-106, ,,4,106,105,1,2237.0
10:43.0,Jump ball: N. Powell vs. J. Johnson (N. Powell gains possession),105-106,,,4,106,105,1,2237.0
10:31.0,J. Harden misses 2-pt jump shot from 23 ft,105-106, ,,4,106,105,1,2249.0
10:30.0,Offensive rebound by J. Harden,105-106, ,,4,106,105,1,2250.0
10:30.0,J. Harden misses 2-pt layup from 1 ft,105-106, ,,4,106,105,1,2250.0
10:30.0, ,105-106,Defensive rebound by B. Bogdanović,,4,106,105,1,2250.0
10:24.0, ,105-106,Shooting foul by A. Coffey (drawn by T. Young),,4,106,105,1,2256.0
10:24.0, ,105-107,T. Young makes free throw 1 of 2,,4,107,105,2,2256.0
10:24.0, ,105-108,T. Young makes free throw 2 of 2,,4,108,105,3,2256.0
10:16.0,N. Powell makes 2-pt jump shot from 15 ft (assist by J. Harden),107-108, ,,4,108,107,1,2264.0
10:00.0, ,107-110,T. Young makes 2-pt jump shot from 8 ft,,4,110,107,3,2280.0
9:49.0,Turnover by R. Westbrook (bad pass; steal by W. Matthews),107-110, ,,4,110,107,3,2291.0
9:46.0, ,107-110,J. Johnson misses 2-pt layup from 4 ft (block by R. Westbrook),,4,110,107,3,2294.0
9:45.0, ,107-110,Offensive rebound by Team,,4,110,107,3,2295.0
9:43.0, ,107-110,B. Bogdanović misses 3-pt jump shot from 23 ft,,4,110,107,3,2297.0
9:40.0,Defensive rebound by J. Harden,107-110, ,,4,110,107,3,2300.0
9:34.0,N. Powell misses 2-pt jump shot from 11 ft,107-110, ,,4,110,107,3,2306.0
9:30.0, ,107-110,Defensive rebound by J. Johnson,,4,110,107,3,2310.0
9:24.0, ,107-110,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,110,107,3,2316.0
9:21.0,Defensive rebound by D. Theis,107-110, ,,4,110,107,3,2319.0
9:15.0,R. Westbrook misses 2-pt layup from 2 ft,107-110, ,,4,110,107,3,2325.0
9:11.0, ,107-110,Defensive rebound by B. Fernando,,4,110,107,3,2329.0
9:07.0, ,107-110,T. Young misses 2-pt jump shot from 10 ft,,4,110,107,3,2333.0
9:05.0,Defensive rebound by R. Westbrook,107-110, ,,4,110,107,3,2335.0
8:59.0,A. Coffey misses 3-pt jump shot from 23 ft,107-110, ,,4,110,107,3,2341.0
8:57.0, ,107-110,Defensive rebound by W. Matthews,,4,110,107,3,2343.0
8:56.0, ,107-110,Personal foul by D. Theis (drawn by W. Matthews),,4,110,107,3,2344.0
8:56.0,P. George enters the game for N. Powell,107-110, ,,4,110,107,3,2344.0
8:56.0, ,107-110,S. Bey enters the game for B. Fernando,,4,110,107,3,2344.0
8:56.0, ,107-110,D. Hunter enters the game for J. Johnson,,4,110,107,3,2344.0
8:56.0, ,107-110,D. Murray enters the game for W. Matthews,,4,110,107,3,2344.0
8:56.0, ,107-110,O. Okongwu enters the game for T. Young,,4,110,107,3,2344.0
8:45.0, ,107-110,D. Hunter misses 3-pt jump shot from 24 ft,,4,110,107,3,2355.0
8:42.0,Defensive rebound by D. Theis,107-110, ,,4,110,107,3,2358.0
8:39.0,Shooting foul by B. Bogdanović (drawn by A. Coffey),107-110, ,,4,110,107,3,2361.0
8:39.0,A. Coffey makes free throw 1 of 2,108-110, ,,4,110,108,2,2361.0
8:39.0,A. Coffey makes free throw 2 of 2,109-110, ,,4,110,109,1,2361.0
8:29.0,Violation by Team (kicked ball),109-110, ,,4,110,109,1,2371.0
8:21.0, ,109-110,D. Murray misses 2-pt jump shot from 17 ft (block by A. Coffey),,4,110,109,1,2379.0
8:18.0,Defensive rebound by R. Westbrook,109-110, ,,4,110,109,1,2382.0
8:13.0,R. Westbrook makes 2-pt layup at rim,111-110, ,Lead change,4,110,111,-1,2387.0
7:55.0, ,111-112,B. Bogdanović makes 2-pt layup from 2 ft,Lead change,4,112,111,1,2405.0
7:44.0,J. Harden makes 3-pt jump shot from 26 ft,114-112, ,Lead change,4,112,114,-2,2416.0
7:30.0, ,114-112,Shooting foul by D. Theis (drawn by D. Murray),,4,112,114,-2,2430.0
7:30.0, ,114-112,D. Murray misses free throw 1 of 2,,4,112,114,-2,2430.0
7:30.0, ,114-112,Offensive rebound by Team,,4,112,114,-2,2430.0
7:30.0,K. Leonard enters the game for D. Theis,114-112, ,,4,112,114,-2,2430.0
7:30.0, ,114-113,D. Murray makes free throw 2 of 2,,4,113,114,-1,2430.0
7:21.0,Personal foul by D. Hunter (drawn by K. Leonard),114-113, ,,4,113,114,-1,2439.0
7:15.0,R. Westbrook makes 2-pt dunk at rim (assist by K. Leonard),116-113, ,,4,113,116,-3,2445.0
6:59.0, ,116-115,D. Hunter makes 2-pt jump shot from 11 ft (assist by D. Murray),,4,115,116,-1,2461.0
6:48.0,K. Leonard makes 2-pt dunk from 1 ft,118-115, ,,4,115,118,-3,2472.0
6:48.0,Shooting foul by B. Bogdanović (drawn by K. Leonard),118-115, ,,4,115,118,-3,2472.0
6:48.0, ,118-115,Atlanta full timeout,,4,115,118,-3,2472.0
6:48.0, ,118-115,J. Johnson enters the game for B. Bogdanović,,4,115,118,-3,2472.0
6:48.0, ,118-115,T. Young enters the game for D. Hunter,,4,115,118,-3,2472.0
6:48.0,K. Leonard makes free throw 1 of 1,119-115, ,,4,115,119,-4,2472.0
6:32.0, ,119-118,D. Murray makes 3-pt jump shot from 26 ft,,4,118,119,-1,2488.0
6:10.0,P. George makes 3-pt jump shot from 25 ft (assist by K. Leonard),122-118, ,,4,118,122,-4,2510.0
5:50.0, ,122-121,D. Murray makes 3-pt jump shot from 24 ft (assist by T. Young),,4,121,122,-1,2530.0
5:22.0,R. Westbrook misses 3-pt jump shot from 23 ft,122-121, ,,4,121,122,-1,2558.0
5:19.0, ,122-121,Defensive rebound by J. Johnson,,4,121,122,-1,2561.0
5:11.0, ,122-121,D. Murray misses 2-pt jump shot from 8 ft,,4,121,122,-1,2569.0
5:10.0, ,122-121,Offensive rebound by D. Murray,,4,121,122,-1,2570.0
5:10.0, ,122-123,J. Johnson makes 2-pt layup from 2 ft (assist by D. Murray),Lead change,4,123,122,1,2570.0
5:10.0, ,122-123,Shooting foul by P. George (drawn by J. Johnson),,4,123,122,1,2570.0
5:10.0, ,122-123,J. Johnson misses free throw 1 of 1,,4,123,122,1,2570.0
5:07.0,Defensive rebound by K. Leonard,122-123, ,,4,123,122,1,2573.0
4:55.0,K. Leonard misses 2-pt hook shot from 6 ft,122-123, ,,4,123,122,1,2585.0
4:53.0,Offensive rebound by K. Leonard,122-123, ,,4,123,122,1,2587.0
4:52.0,K. Leonard makes 2-pt layup from 1 ft,124-123, ,Lead change,4,123,124,-1,2588.0
4:33.0, ,124-123,Turnover by T. Young (bad pass; steal by R. Westbrook),,4,123,124,-1,2607.0
4:27.0,A. Coffey makes 2-pt layup from 1 ft (assist by R. Westbrook),126-123, ,,4,123,126,-3,2613.0
4:05.0, ,126-123,Turnover by S. Bey (bad pass; steal by J. Harden),,4,123,126,-3,2635.0
4:01.0,Shooting foul by T. Young (drawn by P. George),126-123, ,,4,123,126,-3,2639.0
4:01.0,P. George misses free throw 1 of 2,126-123, ,,4,123,126,-3,2639.0
4:01.0,Offensive rebound by Team,126-123, ,,4,123,126,-3,2639.0
4:01.0,P. George makes free throw 2 of 2,127-123, ,,4,123,127,-4,2639.0
3:51.0, ,127-123,D. Murray misses 3-pt jump shot from 25 ft,,4,123,127,-4,2649.0
3:47.0,Defensive rebound by J. Harden,127-123, ,,4,123,127,-4,2653.0
3:35.0,Shooting foul by J. Johnson (drawn by J. Harden),127-123, ,,4,123,127,-4,2665.0
3:35.0,J. Harden makes free throw 1 of 2,128-123, ,,4,123,128,-5,2665.0
3:35.0,J. Harden makes free throw 2 of 2,129-123, ,,4,123,129,-6,2665.0
3:12.0, ,129-126,S. Bey makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,126,129,-3,2688.0
2:45.0,R. Westbrook makes 2-pt layup from 1 ft (assist by P. George),131-126, ,,4,126,131,-5,2715.0
2:38.0, ,131-126,Shooting foul by A. Coffey (drawn by T. Young),,4,126,131,-5,2722.0
2:38.0,LA Clippers full timeout,131-126, ,,4,126,131,-5,2722.0
2:38.0, ,131-127,T. Young makes free throw 1 of 2,,4,127,131,-4,2722.0
2:38.0, ,131-128,T. Young makes free throw 2 of 2,,4,128,131,-3,2722.0
2:23.0,K. Leonard makes 2-pt layup at rim (assist by R. Westbrook),133-128, ,,4,128,133,-5,2737.0
2:23.0,Shooting foul by O. Okongwu (drawn by K. Leonard),133-128, ,,4,128,133,-5,2737.0
2:23.0,K. Leonard makes free throw 1 of 1,134-128, ,,4,128,134,-6,2737.0
2:17.0, ,134-130,D. Murray makes 2-pt jump shot from 13 ft,,4,130,134,-4,2743.0
1:47.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. George),137-130, ,,4,130,137,-7,2773.0
1:40.0, ,137-130,Turnover by T. Young (bad pass; steal by R. Westbrook),,4,130,137,-7,2780.0
1:37.0,A. Coffey makes 2-pt layup from 2 ft (assist by K. Leonard),139-130, ,,4,130,139,-9,2783.0
1:29.0, ,139-130,Shooting foul by A. Coffey (drawn by D. Murray),,4,130,139,-9,2791.0
1:29.0, ,139-131,D. Murray makes free throw 1 of 3,,4,131,139,-8,2791.0
1:29.0, ,139-132,D. Murray makes free throw 2 of 3,,4,132,139,-7,2791.0
1:29.0, ,139-133,D. Murray makes free throw 3 of 3,,4,133,139,-6,2791.0
1:06.0,J. Harden makes 3-pt jump shot from 26 ft,142-133, ,,4,133,142,-9,2814.0
1:06.0,Shooting foul by T. Young (drawn by J. Harden),142-133, ,,4,133,142,-9,2814.0
1:06.0,J. Harden makes free throw 1 of 1,143-133, ,,4,133,143,-10,2814.0
1:03.0, ,143-133,Personal foul by P. George (drawn by T. Young),,4,133,143,-10,2817.0
1:03.0, ,143-134,T. Young makes free throw 1 of 2,,4,134,143,-9,2817.0
1:03.0, ,143-135,T. Young makes free throw 2 of 2,,4,135,143,-8,2817.0
1:02.0,Personal take foul by T. Young (drawn by R. Westbrook),143-135, ,,4,135,143,-8,2818.0
1:02.0,R. Westbrook misses free throw 1 of 2,143-135, ,,4,135,143,-8,2818.0
1:02.0,Offensive rebound by Team,143-135, ,,4,135,143,-8,2818.0
1:02.0,R. Westbrook makes free throw 2 of 2,144-135, ,,4,135,144,-9,2818.0
0:58.0, ,144-138,S. Bey makes 3-pt jump shot from 24 ft (assist by T. Young),,4,138,144,-6,2822.0
0:57.0,Personal foul by S. Bey (drawn by K. Leonard),144-138, ,,4,138,144,-6,2823.0
0:57.0, ,144-138,Atlanta full timeout,,4,138,144,-6,2823.0
0:57.0, ,144-138,Instant Replay (Challenge: Ruling Stands),,4,138,144,-6,2823.0
0:57.0,K. Leonard makes free throw 1 of 2,145-138, ,,4,138,145,-7,2823.0
0:57.0,K. Leonard makes free throw 2 of 2,146-138, ,,4,138,146,-8,2823.0
0:46.0, ,146-138,T. Young misses 2-pt jump shot from 13 ft,,4,138,146,-8,2834.0
0:45.0, ,146-138,Offensive rebound by S. Bey,,4,138,146,-8,2835.0
0:45.0, ,146-140,S. Bey makes 2-pt layup at rim,,4,140,146,-6,2835.0
0:45.0, ,146-140,Shooting foul by J. Harden (drawn by S. Bey),,4,140,146,-6,2835.0
0:45.0, ,146-141,S. Bey makes free throw 1 of 1,,4,141,146,-5,2835.0
0:37.0,Personal take foul by J. Johnson (drawn by A. Coffey),146-141, ,,4,141,146,-5,2843.0
0:37.0,A. Coffey makes free throw 1 of 2,147-141, ,,4,141,147,-6,2843.0
0:37.0,A. Coffey misses free throw 2 of 2,147-141, ,,4,141,147,-6,2843.0
0:35.0, ,147-141,Defensive rebound by Team,,4,141,147,-6,2845.0
0:35.0, ,147-141,Atlanta full timeout,,4,141,147,-6,2845.0
0:35.0, ,147-141,B. Bogdanović enters the game for J. Johnson,,4,141,147,-6,2845.0
0:31.0, ,147-141,T. Young misses 3-pt jump shot from 24 ft,,4,141,147,-6,2849.0
0:28.0, ,147-141,Offensive rebound by Team,,4,141,147,-6,2852.0
0:26.0, ,147-144,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Young),,4,144,147,-3,2854.0
0:08.0,Personal take foul by T. Young (drawn by J. Harden),147-144, ,,4,144,147,-3,2872.0
0:08.0,J. Harden makes free throw 1 of 2,148-144, ,,4,144,148,-4,2872.0
0:08.0,J. Harden makes free throw 2 of 2,149-144, ,,4,144,149,-5,2872.0
0:03.0, ,149-144,B. Bogdanović misses 3-pt jump shot from 28 ft,,4,144,149,-5,2877.0
0:01.0,Defensive rebound by J. Harden,149-144, ,,4,144,149,-5,2879.0
0:00.0,End of 4th quarter,149-144,,,4,144,149,-5,2880.0
