Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:25.0,Offensive rebound by B. Fernando,68-81, ,,3,68,81,-13,1835.0
5:24.0,B. Fernando misses 2-pt layup at rim,68-81, ,,3,68,81,-13,1836.0
5:22.0,Offensive rebound by B. Fernando,68-81, ,,3,68,81,-13,1838.0
5:20.0,B. Fernando makes 2-pt layup at rim,70-81, ,,3,70,81,-11,1840.0
5:00.0, ,70-81,C. LeVert misses 2-pt jump shot from 13 ft,,3,70,81,-11,1860.0
4:57.0,Defensive rebound by P. Mills,70-81, ,,3,70,81,-11,1863.0
4:49.0,D. Murray makes 2-pt jump shot from 12 ft,72-81, ,,3,72,81,-9,1871.0
4:49.0, ,72-81,Cleveland full timeout,,3,72,81,-9,1871.0
4:49.0, ,72-81,C. Porter enters the game for I. Okoro,,3,72,81,-9,1871.0
4:33.0, ,72-81,Turnover by C. Porter (bad pass; steal by D. Murray),,3,72,81,-9,1887.0
4:29.0,D. Murray makes 2-pt layup from 1 ft,74-81, ,,3,74,81,-7,1891.0
4:11.0, ,74-81,D. Mitchell misses 2-pt jump shot from 16 ft,,3,74,81,-7,1909.0
4:09.0,Defensive rebound by B. Fernando,74-81, ,,3,74,81,-7,1911.0
4:02.0,D. Murray misses 2-pt jump shot from 13 ft,74-81, ,,3,74,81,-7,1918.0
4:02.0, ,74-81,Defensive rebound by Team,,3,74,81,-7,1918.0
4:02.0,Loose ball foul by B. Fernando (drawn by J. Allen),74-81, ,,3,74,81,-7,1918.0
4:02.0,G. Mathews enters the game for D. Hunter,74-81, ,,3,74,81,-7,1918.0
3:43.0, ,74-84,D. Mitchell makes 3-pt jump shot from 23 ft (assist by C. Porter),,3,74,84,-10,1937.0
3:31.0,Turnover by G. Mathews (traveling),74-84, ,,3,74,84,-10,1949.0
3:31.0, ,74-84,T. Thompson enters the game for J. Allen,,3,74,84,-10,1949.0
3:17.0, ,74-84,D. Mitchell misses 2-pt jump shot from 3 ft,,3,74,84,-10,1963.0
3:14.0,Defensive rebound by B. Fernando,74-84, ,,3,74,84,-10,1966.0
3:05.0,D. Murray makes 2-pt layup at rim,76-84, ,,3,76,84,-8,1975.0
2:54.0, ,76-84,M. Strus misses 3-pt jump shot from 28 ft,,3,76,84,-8,1986.0
2:51.0, ,76-84,Offensive rebound by D. Mitchell,,3,76,84,-8,1989.0
2:37.0, ,76-86,D. Mitchell makes 2-pt jump shot from 18 ft,,3,76,86,-10,2003.0
2:21.0,P. Mills misses 2-pt jump shot from 16 ft,76-86, ,,3,76,86,-10,2019.0
2:17.0, ,76-86,Defensive rebound by T. Thompson,,3,76,86,-10,2023.0
2:17.0,S. Bey enters the game for P. Mills,76-86, ,,3,76,86,-10,2023.0
2:17.0,T. Young enters the game for D. Murray,76-86, ,,3,76,86,-10,2023.0
2:17.0, ,76-86,G. Niang enters the game for M. Strus,,3,76,86,-10,2023.0
1:53.0, ,76-89,C. LeVert makes 3-pt jump shot from 32 ft (assist by C. Porter),,3,76,89,-13,2047.0
1:41.0,T. Young misses 3-pt jump shot from 34 ft,76-89, ,,3,76,89,-13,2059.0
1:39.0, ,76-89,Defensive rebound by D. Mitchell,,3,76,89,-13,2061.0
1:39.0, ,76-89,Personal foul by G. Mathews (drawn by D. Mitchell),,3,76,89,-13,2061.0
1:22.0, ,76-91,C. LeVert makes 2-pt layup from 1 ft,,3,76,91,-15,2078.0
1:03.0,B. Fernando makes 2-pt jump shot from 7 ft (assist by T. Young),78-91, ,,3,78,91,-13,2097.0
0:43.0, ,78-91,C. Porter misses 2-pt layup from 2 ft (block by B. Fernando),,3,78,91,-13,2117.0
0:40.0,Defensive rebound by W. Matthews,78-91, ,,3,78,91,-13,2120.0
0:29.0,T. Young makes 3-pt jump shot from 24 ft,81-91, ,,3,81,91,-10,2131.0
0:07.0, ,81-91,Shooting foul by G. Mathews (drawn by C. LeVert),,3,81,91,-10,2153.0
0:07.0, ,81-92,C. LeVert makes free throw 1 of 2,,3,81,92,-11,2153.0
0:07.0, ,81-92,I. Okoro enters the game for D. Mitchell,,3,81,92,-11,2153.0
0:07.0, ,81-92,D. Wade enters the game for G. Niang,,3,81,92,-11,2153.0
0:07.0, ,81-92,C. LeVert misses free throw 2 of 2,,3,81,92,-11,2153.0
0:04.0,Defensive rebound by B. Fernando,81-92, ,,3,81,92,-11,2156.0
0:01.0,Personal foul by I. Okoro (drawn by T. Young),81-92, ,,3,81,92,-11,2159.0
0:01.0,Atlanta full timeout,81-92, ,,3,81,92,-11,2159.0
0:01.0,D. Hunter enters the game for B. Fernando,81-92, ,,3,81,92,-11,2159.0
0:01.0,O. Okongwu enters the game for G. Mathews,81-92, ,,3,81,92,-11,2159.0
0:01.0, ,81-92,J. Allen enters the game for C. Porter,,3,81,92,-11,2159.0
0:00.0,W. Matthews misses 3-pt jump shot from 31 ft,81-92, ,,3,81,92,-11,2160.0
0:00.0,Offensive rebound by Team,81-92, ,,3,81,92,-11,2160.0
0:00.0,End of 3rd quarter,81-92,,,3,81,92,-11,2160.0
12:00.0,Start of 4th quarter,81-92,,,4,81,92,-11,2160.0
11:45.0, ,81-92,C. LeVert misses 2-pt layup from 4 ft,,4,81,92,-11,2175.0
11:44.0, ,81-92,Offensive rebound by C. LeVert,,4,81,92,-11,2176.0
11:44.0, ,81-92,C. LeVert misses 2-pt layup at rim,,4,81,92,-11,2176.0
11:42.0, ,81-92,Offensive rebound by C. LeVert,,4,81,92,-11,2178.0
11:29.0, ,81-94,C. Porter makes 2-pt jump shot from 9 ft (assist by D. Mitchell),,4,81,94,-13,2191.0
11:14.0,Shooting foul by C. Porter (drawn by D. Hunter),81-94, ,,4,81,94,-13,2206.0
11:14.0, ,81-94,Cleveland full timeout,,4,81,94,-13,2206.0
11:14.0, ,81-94,Instant Replay (Challenge: Stands),,4,81,94,-13,2206.0
11:14.0,D. Hunter makes free throw 1 of 2,82-94, ,,4,82,94,-12,2206.0
11:14.0,D. Hunter makes free throw 2 of 2,83-94, ,,4,83,94,-11,2206.0
11:01.0, ,83-94,G. Niang misses 3-pt jump shot from 23 ft,,4,83,94,-11,2219.0
10:59.0,Defensive rebound by D. Hunter,83-94, ,,4,83,94,-11,2221.0
10:53.0,T. Young makes 2-pt layup at rim,85-94, ,,4,85,94,-9,2227.0
10:43.0, ,85-94,Personal foul by W. Matthews (drawn by G. Niang),,4,85,94,-9,2237.0
10:43.0,D. Murray enters the game for W. Matthews,85-94, ,,4,85,94,-9,2237.0
10:43.0, ,85-94,I. Okoro enters the game for C. Porter,,4,85,94,-9,2237.0
10:33.0, ,85-94,D. Mitchell misses 2-pt jump shot from 7 ft,,4,85,94,-9,2247.0
10:32.0, ,85-94,Offensive rebound by T. Thompson,,4,85,94,-9,2248.0
10:31.0, ,85-96,T. Thompson makes 2-pt dunk at rim,,4,85,96,-11,2249.0
10:21.0,O. Okongwu makes 2-pt layup at rim (assist by T. Young),87-96, ,,4,87,96,-9,2259.0
10:05.0, ,87-96,I. Okoro misses 2-pt layup from 1 ft,,4,87,96,-9,2275.0
10:02.0,Defensive rebound by S. Bey,87-96, ,,4,87,96,-9,2278.0
9:59.0,T. Young makes 3-pt jump shot from 38 ft,90-96, ,,4,90,96,-6,2281.0
9:40.0, ,90-96,D. Mitchell misses 2-pt layup from 3 ft,,4,90,96,-6,2300.0
9:39.0, ,90-96,Offensive rebound by T. Thompson,,4,90,96,-6,2301.0
9:38.0, ,90-98,T. Thompson makes 2-pt layup at rim,,4,90,98,-8,2302.0
9:23.0,D. Hunter makes 2-pt jump shot from 15 ft,92-98, ,,4,92,98,-6,2317.0
9:01.0, ,92-98,C. LeVert misses 3-pt jump shot from 26 ft,,4,92,98,-6,2339.0
8:58.0, ,92-98,Offensive rebound by G. Niang,,4,92,98,-6,2342.0
8:55.0, ,92-101,I. Okoro makes 3-pt jump shot from 23 ft (assist by G. Niang),,4,92,101,-9,2345.0
8:44.0,D. Murray makes 2-pt layup at rim (assist by T. Young),94-101, ,,4,94,101,-7,2356.0
8:29.0, ,94-101,Personal foul by D. Hunter (drawn by T. Thompson),,4,94,101,-7,2371.0
8:29.0, ,94-101,J. Allen enters the game for G. Niang,,4,94,101,-7,2371.0
8:29.0, ,94-101,M. Strus enters the game for T. Thompson,,4,94,101,-7,2371.0
8:18.0, ,94-101,Turnover by C. LeVert (bad pass; steal by S. Bey),,4,94,101,-7,2382.0
8:15.0,Turnover by S. Bey (bad pass; steal by C. LeVert),94-101, ,,4,94,101,-7,2385.0
8:10.0, ,94-104,D. Mitchell makes 3-pt jump shot from 26 ft (assist by M. Strus),,4,94,104,-10,2390.0
7:56.0,T. Young misses 3-pt jump shot from 37 ft,94-104, ,,4,94,104,-10,2404.0
7:53.0, ,94-104,Defensive rebound by J. Allen,,4,94,104,-10,2407.0
7:48.0, ,94-107,D. Mitchell makes 3-pt jump shot from 27 ft (assist by M. Strus),,4,94,107,-13,2412.0
7:48.0,Atlanta full timeout,94-107, ,,4,94,107,-13,2412.0
7:48.0,B. Fernando enters the game for D. Hunter,94-107, ,,4,94,107,-13,2412.0
7:48.0,W. Matthews enters the game for O. Okongwu,94-107, ,,4,94,107,-13,2412.0
7:38.0,Personal foul by I. Okoro (drawn by T. Young),94-107, ,,4,94,107,-13,2422.0
7:36.0,T. Young makes 3-pt jump shot from 33 ft (assist by W. Matthews),97-107, ,,4,97,107,-10,2424.0
7:13.0, ,97-109,C. LeVert makes 2-pt layup from 2 ft,,4,97,109,-12,2447.0
7:02.0,Shooting foul by D. Mitchell (drawn by B. Fernando),97-109, ,,4,97,109,-12,2458.0
7:02.0,B. Fernando misses free throw 1 of 2,97-109, ,,4,97,109,-12,2458.0
7:02.0,Offensive rebound by Team,97-109, ,,4,97,109,-12,2458.0
7:02.0,B. Fernando makes free throw 2 of 2,98-109, ,,4,98,109,-11,2458.0
6:47.0, ,98-109,D. Mitchell misses 3-pt jump shot from 27 ft,,4,98,109,-11,2473.0
6:44.0,Defensive rebound by D. Murray,98-109, ,,4,98,109,-11,2476.0
6:38.0,D. Murray makes 2-pt layup from 1 ft,100-109, ,,4,100,109,-9,2482.0
6:21.0, ,100-109,C. LeVert misses 2-pt jump shot from 8 ft,,4,100,109,-9,2499.0
6:19.0,Defensive rebound by B. Fernando,100-109, ,,4,100,109,-9,2501.0
6:11.0,D. Murray misses 2-pt layup from 7 ft (block by M. Strus),100-109, ,,4,100,109,-9,2509.0
6:11.0,Offensive rebound by Team,100-109, ,,4,100,109,-9,2509.0
6:11.0,O. Okongwu enters the game for B. Fernando,100-109, ,,4,100,109,-9,2509.0
6:11.0, ,100-109,D. Wade enters the game for C. LeVert,,4,100,109,-9,2509.0
5:56.0,D. Murray misses 3-pt jump shot from 23 ft,100-109, ,,4,100,109,-9,2524.0
5:53.0, ,100-109,Defensive rebound by D. Wade,,4,100,109,-9,2527.0
5:53.0, ,100-109,Shooting foul by T. Young (drawn by I. Okoro),,4,100,109,-9,2527.0
5:53.0, ,100-109,Instant Replay (Challenge: Ruling Stands),,4,100,109,-9,2527.0
5:53.0,Atlanta full timeout,100-109, ,,4,100,109,-9,2527.0
5:53.0, ,100-110,I. Okoro makes free throw 1 of 2,,4,100,110,-10,2527.0
5:53.0, ,100-111,I. Okoro makes free throw 2 of 2,,4,100,111,-11,2527.0
5:42.0,Shooting foul by D. Wade (drawn by T. Young),100-111, ,,4,100,111,-11,2538.0
5:42.0,T. Young makes free throw 1 of 2,101-111, ,,4,101,111,-10,2538.0
5:42.0,T. Young makes free throw 2 of 2,102-111, ,,4,102,111,-9,2538.0
5:24.0, ,102-111,D. Wade misses 3-pt jump shot from 25 ft,,4,102,111,-9,2556.0
5:22.0, ,102-111,Offensive rebound by J. Allen,,4,102,111,-9,2558.0
5:21.0, ,102-113,J. Allen makes 2-pt layup at rim,,4,102,113,-11,2559.0
5:07.0,T. Young makes 3-pt jump shot from 30 ft,105-113, ,,4,105,113,-8,2573.0
4:47.0, ,105-115,J. Allen makes 2-pt dunk from 1 ft (assist by D. Mitchell),,4,105,115,-10,2593.0
4:25.0,O. Okongwu misses 3-pt jump shot from 23 ft,105-115, ,,4,105,115,-10,2615.0
4:22.0, ,105-115,Defensive rebound by J. Allen,,4,105,115,-10,2618.0
4:18.0, ,105-115,M. Strus misses 3-pt jump shot from 25 ft,,4,105,115,-10,2622.0
4:16.0, ,105-115,Offensive rebound by I. Okoro,,4,105,115,-10,2624.0
4:15.0, ,105-115,M. Strus misses 2-pt layup from 2 ft,,4,105,115,-10,2625.0
4:11.0, ,105-115,Offensive rebound by Team,,4,105,115,-10,2629.0
4:10.0, ,105-115,Shooting foul by W. Matthews (drawn by D. Wade),,4,105,115,-10,2630.0
4:10.0, ,105-116,D. Wade makes free throw 1 of 2,,4,105,116,-11,2630.0
4:10.0, ,105-117,D. Wade makes free throw 2 of 2,,4,105,117,-12,2630.0
4:03.0,T. Young misses 2-pt jump shot from 8 ft,105-117, ,,4,105,117,-12,2637.0
4:00.0,Offensive rebound by O. Okongwu,105-117, ,,4,105,117,-12,2640.0
4:00.0,O. Okongwu misses 2-pt layup from 1 ft,105-117, ,,4,105,117,-12,2640.0
3:59.0, ,105-117,Defensive rebound by J. Allen,,4,105,117,-12,2641.0
3:43.0, ,105-117,M. Strus misses 3-pt jump shot from 24 ft,,4,105,117,-12,2657.0
3:40.0,Defensive rebound by S. Bey,105-117, ,,4,105,117,-12,2660.0
3:32.0,D. Murray makes 2-pt jump shot from 14 ft,107-117, ,,4,107,117,-10,2668.0
3:32.0,Shooting foul by D. Wade (drawn by D. Murray),107-117, ,,4,107,117,-10,2668.0
3:32.0,D. Murray makes free throw 1 of 1,108-117, ,,4,108,117,-9,2668.0
3:11.0, ,108-117,D. Mitchell misses 2-pt dunk from 1 ft (block by O. Okongwu),,4,108,117,-9,2689.0
3:10.0, ,108-117,Offensive rebound by I. Okoro,,4,108,117,-9,2690.0
3:07.0, ,108-119,I. Okoro makes 2-pt layup at rim,,4,108,119,-11,2693.0
2:55.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by D. Murray),110-119, ,,4,110,119,-9,2705.0
2:31.0, ,110-119,Shooting foul by O. Okongwu (drawn by M. Strus),,4,110,119,-9,2729.0
2:31.0, ,110-120,M. Strus makes free throw 1 of 2,,4,110,120,-10,2729.0
2:31.0, ,110-120,C. LeVert enters the game for D. Wade,,4,110,120,-10,2729.0
2:31.0, ,110-121,M. Strus makes free throw 2 of 2,,4,110,121,-11,2729.0
2:18.0,W. Matthews makes 2-pt layup from 1 ft (assist by D. Murray),112-121, ,,4,112,121,-9,2742.0
1:56.0, ,112-121,M. Strus misses 3-pt jump shot from 25 ft,,4,112,121,-9,2764.0
1:54.0,Defensive rebound by S. Bey,112-121, ,,4,112,121,-9,2766.0
1:53.0,Personal foul by D. Mitchell (drawn by T. Young),112-121, ,,4,112,121,-9,2767.0
1:53.0,T. Young makes free throw 1 of 2,113-121, ,,4,113,121,-8,2767.0
1:53.0,T. Young makes free throw 2 of 2,114-121, ,,4,114,121,-7,2767.0
1:37.0, ,114-121,Personal foul by D. Murray (drawn by D. Mitchell),,4,114,121,-7,2783.0
1:37.0, ,114-122,D. Mitchell makes free throw 1 of 2,,4,114,122,-8,2783.0
1:37.0, ,114-122,D. Wade enters the game for M. Strus,,4,114,122,-8,2783.0
1:37.0, ,114-123,D. Mitchell makes free throw 2 of 2,,4,114,123,-9,2783.0
1:30.0,Shooting foul by J. Allen (drawn by T. Young),114-123, ,,4,114,123,-9,2790.0
1:30.0,T. Young makes free throw 1 of 2,115-123, ,,4,115,123,-8,2790.0
1:30.0, ,115-123,M. Strus enters the game for D. Wade,,4,115,123,-8,2790.0
1:30.0,T. Young makes free throw 2 of 2,116-123, ,,4,116,123,-7,2790.0
1:12.0, ,116-125,D. Mitchell makes 2-pt jump shot from 15 ft,,4,116,125,-9,2808.0
1:02.0,Turnover by T. Young (bad pass; steal by I. Okoro),116-125, ,,4,116,125,-9,2818.0
1:01.0, ,116-127,C. LeVert makes 2-pt dunk from 1 ft (assist by I. Okoro),,4,116,127,-11,2819.0
0:50.0,D. Murray misses 2-pt jump shot from 9 ft,116-127, ,,4,116,127,-11,2830.0
0:47.0, ,116-127,Defensive rebound by J. Allen,,4,116,127,-11,2833.0
0:26.0, ,116-127,Turnover by Team (shot clock),,4,116,127,-11,2854.0
0:21.0,O. Okongwu makes 3-pt jump shot from 22 ft (assist by T. Young),119-127, ,,4,119,127,-8,2859.0
0:00.0,End of 4th quarter,119-127,,,4,119,127,-8,2880.0
