Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:29.0, ,14-27,C. LeVert enters the game for I. Okoro,,1,14,27,-13,451.0
4:29.0, ,14-27,C. Porter enters the game for D. Wade,,1,14,27,-13,451.0
4:10.0, ,14-30,D. Mitchell makes 3-pt jump shot from 23 ft,,1,14,30,-16,470.0
3:59.0,D. Murray misses 2-pt layup from 1 ft,14-30, ,,1,14,30,-16,481.0
3:56.0, ,14-30,Defensive rebound by M. Strus,,1,14,30,-16,484.0
3:53.0, ,14-30,Personal foul by D. Murray (drawn by D. Mitchell),,1,14,30,-16,487.0
3:53.0,B. Fernando enters the game for D. Murray,14-30, ,,1,14,30,-16,487.0
3:53.0,T. Young enters the game for O. Okongwu,14-30, ,,1,14,30,-16,487.0
3:42.0, ,14-32,C. LeVert makes 2-pt layup at rim,,1,14,32,-18,498.0
3:33.0,G. Mathews makes 3-pt jump shot from 26 ft (assist by T. Young),17-32, ,,1,17,32,-15,507.0
3:17.0, ,17-32,D. Mitchell misses 2-pt jump shot from 6 ft,,1,17,32,-15,523.0
3:15.0, ,17-32,Offensive rebound by D. Mitchell,,1,17,32,-15,525.0
3:14.0, ,17-34,J. Allen makes 2-pt dunk from 1 ft (assist by D. Mitchell),,1,17,34,-17,526.0
2:57.0,P. Mills misses 3-pt jump shot from 26 ft,17-34, ,,1,17,34,-17,543.0
2:54.0,Offensive rebound by T. Forrest,17-34, ,,1,17,34,-17,546.0
2:53.0,T. Forrest misses 2-pt jump shot from 8 ft,17-34, ,,1,17,34,-17,547.0
2:50.0, ,17-34,Defensive rebound by C. Porter,,1,17,34,-17,550.0
2:43.0, ,17-34,C. LeVert misses 2-pt jump shot from 9 ft,,1,17,34,-17,557.0
2:38.0, ,17-34,Offensive rebound by M. Strus,,1,17,34,-17,562.0
2:38.0, ,17-36,M. Strus makes 2-pt layup at rim,,1,17,36,-19,562.0
2:31.0,Shooting foul by M. Strus (drawn by B. Fernando),17-36, ,,1,17,36,-19,569.0
2:31.0, ,17-36,Cleveland full timeout,,1,17,36,-19,569.0
2:31.0,S. Bey enters the game for T. Forrest,17-36, ,,1,17,36,-19,569.0
2:31.0,W. Matthews enters the game for P. Mills,17-36, ,,1,17,36,-19,569.0
2:31.0, ,17-36,S. Merrill enters the game for D. Mitchell,,1,17,36,-19,569.0
2:31.0, ,17-36,G. Niang enters the game for M. Strus,,1,17,36,-19,569.0
2:31.0,B. Fernando makes free throw 1 of 2,18-36, ,,1,18,36,-18,569.0
2:31.0,B. Fernando misses free throw 2 of 2,18-36, ,,1,18,36,-18,569.0
2:28.0, ,18-36,Defensive rebound by G. Niang,,1,18,36,-18,572.0
2:12.0, ,18-36,C. Porter misses 2-pt jump shot from 15 ft,,1,18,36,-18,588.0
2:10.0,Defensive rebound by W. Matthews,18-36, ,,1,18,36,-18,590.0
2:05.0,B. Fernando makes 2-pt dunk from 2 ft (assist by T. Young),20-36, ,,1,20,36,-16,595.0
1:50.0, ,20-36,S. Merrill misses 3-pt jump shot from 26 ft,,1,20,36,-16,610.0
1:48.0,Defensive rebound by T. Young,20-36, ,,1,20,36,-16,612.0
1:43.0,Personal foul by S. Merrill (drawn by B. Fernando),20-36, ,,1,20,36,-16,617.0
