Time,Atlanta,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:53.0,B. Bogdanović misses 3-pt jump shot from 27 ft,103-109, ,,4,103,109,-6,2707.0
2:51.0, ,103-109,Defensive rebound by B. Adebayo,,4,103,109,-6,2709.0
2:48.0, ,103-109,J. Jaquez misses 2-pt layup from 5 ft,,4,103,109,-6,2712.0
2:48.0, ,103-109,Offensive rebound by D. Robinson,,4,103,109,-6,2712.0
2:42.0, ,103-111,D. Robinson makes 2-pt layup at rim,,4,103,111,-8,2718.0
2:31.0,S. Bey makes 2-pt layup from 5 ft,105-111, ,,4,105,111,-6,2729.0
2:01.0, ,105-114,T. Herro makes 3-pt jump shot from 28 ft (assist by D. Robinson),,4,105,114,-9,2759.0
1:52.0,D. Murray makes 2-pt jump shot from 11 ft (assist by T. Young),107-114, ,,4,107,114,-7,2768.0
1:35.0, ,107-114,Personal foul by B. Bogdanović (drawn by B. Adebayo),,4,107,114,-7,2785.0
1:35.0, ,107-115,B. Adebayo makes free throw 1 of 2,,4,107,115,-8,2785.0
1:35.0, ,107-116,B. Adebayo makes free throw 2 of 2,,4,107,116,-9,2785.0
1:28.0,T. Young misses 3-pt jump shot from 28 ft,107-116, ,,4,107,116,-9,2792.0
1:24.0,Offensive rebound by C. Capela,107-116, ,,4,107,116,-9,2796.0
1:24.0,Turnover by C. Capela (bad pass),107-116, ,,4,107,116,-9,2796.0
1:16.0, ,107-118,D. Robinson makes 2-pt layup from 4 ft (assist by B. Adebayo),,4,107,118,-11,2804.0
1:08.0,T. Young makes 3-pt jump shot from 25 ft,110-118, ,,4,110,118,-8,2812.0
0:45.0, ,110-118,T. Herro misses 3-pt jump shot from 28 ft,,4,110,118,-8,2835.0
0:42.0,Defensive rebound by C. Capela,110-118, ,,4,110,118,-8,2838.0
0:36.0,T. Young makes 3-pt jump shot from 27 ft (assist by S. Bey),113-118, ,,4,113,118,-5,2844.0
0:36.0, ,113-118,Miami full timeout,,4,113,118,-5,2844.0
0:32.0, ,113-118,Personal take foul by S. Bey (drawn by D. Robinson),,4,113,118,-5,2848.0
0:32.0, ,113-119,D. Robinson makes free throw 1 of 2,,4,113,119,-6,2848.0
0:32.0, ,113-120,D. Robinson makes free throw 2 of 2,,4,113,120,-7,2848.0
0:32.0,Atlanta full timeout,113-120, ,,4,113,120,-7,2848.0
0:32.0,O. Okongwu enters the game for C. Capela,113-120, ,,4,113,120,-7,2848.0
0:32.0, ,113-120,J. Richardson enters the game for D. Robinson,,4,113,120,-7,2848.0
0:30.0,B. Bogdanović misses 3-pt jump shot from 27 ft,113-120, ,,4,113,120,-7,2850.0
0:27.0,Offensive rebound by D. Murray,113-120, ,,4,113,120,-7,2853.0
0:27.0,Turnover by D. Murray (bad pass),113-120, ,,4,113,120,-7,2853.0
0:27.0, ,113-120,D. Robinson enters the game for J. Richardson,,4,113,120,-7,2853.0
0:22.0, ,113-120,Personal take foul by B. Bogdanović (drawn by D. Robinson),,4,113,120,-7,2858.0
0:22.0, ,113-121,D. Robinson makes free throw 1 of 2,,4,113,121,-8,2858.0
0:22.0, ,113-122,D. Robinson makes free throw 2 of 2,,4,113,122,-9,2858.0
0:13.0,D. Murray misses 3-pt jump shot from 27 ft,113-122, ,,4,113,122,-9,2867.0
0:10.0, ,113-122,Defensive rebound by B. Adebayo,,4,113,122,-9,2870.0
0:00.0, ,113-122,Turnover by B. Adebayo (lost ball; steal by O. Okongwu),,4,113,122,-9,2880.0
0:00.0,End of 4th quarter,113-122,,,4,113,122,-9,2880.0
