Time,Oklahoma City,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:37.0,Turnover by J. Williams (bad pass),0-9, ,,1,9,0,9,203.0
8:26.0, ,0-11,T. Young makes 2-pt jump shot from 19 ft,,1,11,0,11,214.0
8:15.0,Shooting foul by J. Johnson (drawn by S. Gilgeous-Alexander),0-11, ,,1,11,0,11,225.0
8:15.0,S. Gilgeous-Alexander makes free throw 1 of 2,1-11, ,,1,11,1,10,225.0
8:15.0,S. Gilgeous-Alexander makes free throw 2 of 2,2-11, ,,1,11,2,9,225.0
8:02.0, ,2-11,S. Bey misses 3-pt jump shot from 23 ft,,1,11,2,9,238.0
7:59.0,Defensive rebound by S. Gilgeous-Alexander,2-11, ,,1,11,2,9,241.0
7:50.0,Shooting foul by J. Johnson (drawn by J. Williams),2-11, ,,1,11,2,9,250.0
7:50.0,J. Williams misses free throw 1 of 2,2-11, ,,1,11,2,9,250.0
7:50.0,Offensive rebound by Team,2-11, ,,1,11,2,9,250.0
7:50.0,J. Williams makes free throw 2 of 2,3-11, ,,1,11,3,8,250.0
7:36.0, ,3-11,Shooting foul by J. Williams (drawn by D. Murray),,1,11,3,8,264.0
7:36.0, ,3-12,D. Murray makes free throw 1 of 2,,1,12,3,9,264.0
7:36.0,J. Williams enters the game for C. Holmgren,3-12, ,,1,12,3,9,264.0
7:36.0, ,3-12,T. Forrest enters the game for J. Johnson,,1,12,3,9,264.0
7:36.0, ,3-13,D. Murray makes free throw 2 of 2,,1,13,3,10,264.0
7:19.0,L. Dort misses 3-pt jump shot from 25 ft,3-13, ,,1,13,3,10,281.0
7:16.0,Offensive rebound by J. Williams,3-13, ,,1,13,3,10,284.0
7:16.0,J. Williams makes 2-pt layup at rim,5-13, ,,1,13,5,8,284.0
7:16.0,Shooting foul by T. Forrest (drawn by J. Williams),5-13, ,,1,13,5,8,284.0
7:16.0,J. Williams misses free throw 1 of 1,5-13, ,,1,13,5,8,284.0
7:14.0, ,5-13,Defensive rebound by C. Capela,,1,13,5,8,286.0
7:08.0, ,5-13,T. Young misses 3-pt jump shot from 26 ft,,1,13,5,8,292.0
7:04.0,Defensive rebound by S. Gilgeous-Alexander,5-13, ,,1,13,5,8,296.0
6:50.0,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by L. Dort),8-13, ,,1,13,8,5,310.0
6:32.0, ,8-15,T. Forrest makes 2-pt jump shot from 11 ft (assist by T. Young),,1,15,8,7,328.0
6:32.0,I. Joe enters the game for L. Dort,8-15, ,,1,15,8,7,328.0
6:32.0,C. Wallace enters the game for J. Williams,8-15, ,,1,15,8,7,328.0
6:32.0, ,8-15,B. Bogdanović enters the game for T. Young,,1,15,8,7,328.0
6:16.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by C. Capela),8-15, ,,1,15,8,7,344.0
6:13.0, ,8-15,Defensive rebound by D. Murray,,1,15,8,7,347.0
6:11.0, ,8-15,Shooting foul by J. Williams (drawn by C. Capela),,1,15,8,7,349.0
6:11.0, ,8-16,C. Capela makes free throw 1 of 2,,1,16,8,8,349.0
6:11.0, ,8-17,C. Capela makes free throw 2 of 2,,1,17,8,9,349.0
5:55.0,J. Giddey misses 2-pt layup at rim,8-17, ,,1,17,8,9,365.0
5:53.0, ,8-17,Defensive rebound by C. Capela,,1,17,8,9,367.0
5:48.0, ,8-20,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,1,20,8,12,372.0
5:36.0,Personal foul by T. Forrest (drawn by S. Gilgeous-Alexander),8-20, ,,1,20,8,12,384.0
5:36.0,L. Waters enters the game for J. Giddey,8-20, ,,1,20,8,12,384.0
