Time,Detroit,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:57.0, ,112-125,D. Hunter makes 3-pt jump shot from 24 ft (assist by T. Young),,4,125,112,13,2643.0
3:48.0,Personal foul by D. Hunter (drawn by C. Cunningham),112-125, ,,4,125,112,13,2652.0
3:48.0,C. Cunningham makes free throw 1 of 2,113-125, ,,4,125,113,12,2652.0
3:48.0,C. Cunningham makes free throw 2 of 2,114-125, ,,4,125,114,11,2652.0
3:28.0, ,114-125,S. Bey misses 3-pt jump shot from 26 ft,,4,125,114,11,2672.0
3:24.0,Defensive rebound by J. Wiseman,114-125, ,,4,125,114,11,2676.0
3:18.0,A. Burks misses 3-pt jump shot from 26 ft,114-125, ,,4,125,114,11,2682.0
3:15.0, ,114-125,Defensive rebound by C. Capela,,4,125,114,11,2685.0
3:02.0, ,114-125,Offensive foul by C. Capela (drawn by J. Ivey),,4,125,114,11,2698.0
3:02.0, ,114-125,Turnover by C. Capela (offensive foul),,4,125,114,11,2698.0
3:02.0, ,114-125,Technical foul by T. Young,,4,125,114,11,2698.0
3:02.0,C. Cunningham makes technical free throw,115-125, ,,4,125,115,10,2698.0
2:55.0,C. Cunningham makes 3-pt jump shot from 26 ft,118-125, ,,4,125,118,7,2705.0
2:46.0, ,118-125,Away from play foul by J. Ivey (drawn by T. Young),,4,125,118,7,2714.0
2:46.0,A. Thompson enters the game for J. Ivey,118-125, ,,4,125,118,7,2714.0
2:46.0, ,118-126,T. Young makes free throw 1 of 1,,4,126,118,8,2714.0
2:31.0, ,118-126,T. Young misses 3-pt jump shot from 23 ft,,4,126,118,8,2729.0
2:26.0, ,118-126,Offensive rebound by C. Capela,,4,126,118,8,2734.0
2:26.0, ,118-126,C. Capela misses 2-pt layup from 4 ft,,4,126,118,8,2734.0
2:23.0,Defensive rebound by A. Burks,118-126, ,,4,126,118,8,2737.0
2:21.0,B. Bogdanović misses 3-pt jump shot from 26 ft,118-126, ,,4,126,118,8,2739.0
2:19.0, ,118-126,Defensive rebound by T. Young,,4,126,118,8,2741.0
2:06.0, ,118-126,T. Young misses 3-pt jump shot from 26 ft,,4,126,118,8,2754.0
1:59.0, ,118-126,Offensive rebound by D. Hunter,,4,126,118,8,2761.0
1:55.0,Jump ball: D. Hunter vs. A. Burks (D. Hunter gains possession),118-126,,,4,126,118,8,2765.0
1:42.0, ,118-126,D. Hunter misses 2-pt jump shot from 6 ft,,4,126,118,8,2778.0
1:37.0,Defensive rebound by A. Thompson,118-126, ,,4,126,118,8,2783.0
1:35.0,A. Thompson misses 2-pt layup from 2 ft,118-126, ,,4,126,118,8,2785.0
1:35.0,Offensive rebound by J. Wiseman,118-126, ,,4,126,118,8,2785.0
1:34.0,J. Wiseman makes 2-pt layup at rim,120-126, ,,4,126,120,6,2786.0
1:12.0, ,120-126,T. Young misses 2-pt layup from 2 ft,,4,126,120,6,2808.0
1:11.0, ,120-126,Offensive rebound by Team,,4,126,120,6,2809.0
1:11.0, ,120-126,Turnover by Team (shot clock),,4,126,120,6,2809.0
1:11.0,Detroit full timeout,120-126, ,,4,126,120,6,2809.0
1:11.0,J. Harris enters the game for A. Thompson,120-126, ,,4,126,120,6,2809.0
1:03.0,Shooting foul by T. Young (drawn by J. Wiseman),120-126, ,,4,126,120,6,2817.0
1:03.0,A. Thompson enters the game for J. Harris,120-126, ,,4,126,120,6,2817.0
1:03.0,J. Wiseman misses free throw 1 of 2,120-126, ,,4,126,120,6,2817.0
1:03.0,Offensive rebound by Team,120-126, ,,4,126,120,6,2817.0
1:03.0,J. Wiseman misses free throw 2 of 2,120-126, ,,4,126,120,6,2817.0
1:00.0, ,120-126,Defensive rebound by C. Capela,,4,126,120,6,2820.0
0:50.0, ,120-126,Personal foul by A. Burks (drawn by T. Young),,4,126,120,6,2830.0
0:50.0, ,120-127,T. Young makes free throw 1 of 2,,4,127,120,7,2830.0
0:50.0,J. Harris enters the game for A. Thompson,120-127, ,,4,127,120,7,2830.0
0:50.0, ,120-128,T. Young makes free throw 2 of 2,,4,128,120,8,2830.0
0:39.0,C. Cunningham misses 2-pt layup from 1 ft (block by D. Hunter),120-128, ,,4,128,120,8,2841.0
0:39.0,Offensive rebound by Team,120-128, ,,4,128,120,8,2841.0
0:33.0,B. Bogdanović makes 2-pt layup from 1 ft,122-128, ,,4,128,122,6,2847.0
0:31.0, ,122-128,Atlanta full timeout,,4,128,122,6,2849.0
0:31.0,A. Thompson enters the game for J. Harris,122-128, ,,4,128,122,6,2849.0
0:31.0, ,122-128,O. Okongwu enters the game for C. Capela,,4,128,122,6,2849.0
0:24.0, ,122-128,Personal take foul by A. Thompson (drawn by T. Young),,4,128,122,6,2856.0
0:24.0, ,122-129,T. Young makes free throw 1 of 2,,4,129,122,7,2856.0
0:24.0,J. Harris enters the game for A. Thompson,122-129, ,,4,129,122,7,2856.0
0:24.0, ,122-129,C. Capela enters the game for O. Okongwu,,4,129,122,7,2856.0
0:24.0, ,122-129,T. Young misses free throw 2 of 2,,4,129,122,7,2856.0
0:22.0,Defensive rebound by J. Wiseman,122-129, ,,4,129,122,7,2858.0
0:18.0,Personal foul by D. Hunter (drawn by C. Cunningham),122-129, ,,4,129,122,7,2862.0
0:18.0,C. Cunningham makes free throw 1 of 2,123-129, ,,4,129,123,6,2862.0
0:18.0,A. Thompson enters the game for J. Harris,123-129, ,,4,129,123,6,2862.0
0:18.0, ,123-129,O. Okongwu enters the game for C. Capela,,4,129,123,6,2862.0
0:18.0,C. Cunningham makes free throw 2 of 2,124-129, ,,4,129,124,5,2862.0
0:17.0, ,124-129,Personal foul by A. Burks (drawn by D. Murray),,4,129,124,5,2863.0
0:17.0, ,124-129,D. Murray misses free throw 1 of 2,,4,129,124,5,2863.0
0:17.0, ,124-129,Offensive rebound by Team,,4,129,124,5,2863.0
0:17.0, ,124-129,C. Capela enters the game for O. Okongwu,,4,129,124,5,2863.0
0:17.0, ,124-130,D. Murray makes free throw 2 of 2,,4,130,124,6,2863.0
0:17.0,Detroit full timeout,124-130, ,,4,130,124,6,2863.0
0:17.0,J. Harris enters the game for J. Wiseman,124-130, ,,4,130,124,6,2863.0
0:15.0,Turnover by B. Bogdanović (lost ball; steal by D. Murray),124-130, ,,4,130,124,6,2865.0
0:00.0,End of 4th quarter,124-130,,,4,130,124,6,2880.0
