Time,Washington,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Gafford vs. C. Capela (J. Poole gains possession),0-0,,,1,0,0,0,0.0
11:46.0,K. Kuzma misses 2-pt layup from 7 ft,0-0, ,,1,0,0,0,14.0
11:43.0, ,0-0,Defensive rebound by C. Capela,,1,0,0,0,17.0
11:22.0, ,0-0,Turnover by Team (shot clock),,1,0,0,0,38.0
11:02.0,D. Avdija misses 2-pt jump shot from 10 ft,0-0, ,,1,0,0,0,58.0
10:58.0, ,0-0,Defensive rebound by J. Johnson,,1,0,0,0,62.0
10:47.0, ,0-0,D. Murray misses 3-pt jump shot from 23 ft,,1,0,0,0,73.0
10:45.0,Defensive rebound by T. Jones,0-0, ,,1,0,0,0,75.0
10:41.0,J. Poole misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,79.0
10:37.0, ,0-0,Defensive rebound by C. Capela,,1,0,0,0,83.0
10:29.0, ,0-3,J. Johnson makes 3-pt jump shot from 25 ft (assist by D. Murray),,1,3,0,3,91.0
10:19.0,Turnover by D. Gafford (bad pass),0-3, ,,1,3,0,3,101.0
10:05.0, ,0-3,T. Young misses 2-pt layup from 2 ft,,1,3,0,3,115.0
10:02.0,Defensive rebound by D. Gafford,0-3, ,,1,3,0,3,118.0
9:59.0,T. Jones misses 3-pt jump shot from 25 ft,0-3, ,,1,3,0,3,121.0
9:56.0, ,0-3,Defensive rebound by J. Johnson,,1,3,0,3,124.0
9:50.0, ,0-3,J. Johnson misses 3-pt jump shot from 25 ft,,1,3,0,3,130.0
9:48.0,Defensive rebound by Team,0-3, ,,1,3,0,3,132.0
9:34.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by T. Jones),3-3, ,Tie,1,3,3,0,146.0
9:18.0, ,3-3,D. Murray misses 3-pt jump shot from 26 ft,,1,3,3,0,162.0
9:16.0,Defensive rebound by D. Avdija,3-3, ,,1,3,3,0,164.0
9:13.0,K. Kuzma makes 2-pt dunk from 1 ft (assist by D. Avdija),5-3, ,Lead change,1,3,5,-2,167.0
8:53.0, ,5-6,T. Young makes 3-pt jump shot from 27 ft (assist by J. Johnson),Lead change,1,6,5,1,187.0
8:44.0,T. Jones misses 2-pt layup from 2 ft (block by C. Capela),5-6, ,,1,6,5,1,196.0
8:40.0, ,5-6,Defensive rebound by D. Murray,,1,6,5,1,200.0
8:36.0, ,5-6,S. Bey misses 3-pt jump shot from 23 ft,,1,6,5,1,204.0
8:34.0,Defensive rebound by D. Avdija,5-6, ,,1,6,5,1,206.0
8:22.0,T. Jones misses 3-pt jump shot from 23 ft,5-6, ,,1,6,5,1,218.0
