Time,New York,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:45.0,J. Brunson enters the game for Q. Grimes,87-82, ,,4,82,87,-5,2235.0
10:45.0, ,87-82,J. Johnson enters the game for W. Matthews,,4,82,87,-5,2235.0
10:45.0, ,87-83,B. Bogdanović makes free throw 2 of 2,,4,83,87,-4,2235.0
10:33.0,J. Brunson misses 2-pt layup from 2 ft,87-83, ,,4,83,87,-4,2247.0
10:32.0, ,87-83,Defensive rebound by Team,,4,83,87,-4,2248.0
10:15.0, ,87-83,O. Okongwu misses 2-pt layup from 6 ft (block by J. Hart),,4,83,87,-4,2265.0
10:13.0, ,87-83,Offensive rebound by Team,,4,83,87,-4,2267.0
10:13.0,Jump ball: O. Okongwu vs. J. Hart (J. Johnson gains possession),87-83,,,4,83,87,-4,2267.0
10:09.0, ,87-83,T. Young misses 3-pt jump shot from 34 ft,,4,83,87,-4,2271.0
10:09.0,Defensive rebound by J. Hart,87-83, ,,4,83,87,-4,2271.0
10:01.0,D. DiVincenzo misses 3-pt jump shot from 25 ft,87-83, ,,4,83,87,-4,2279.0
9:58.0, ,87-83,Defensive rebound by B. Bogdanović,,4,83,87,-4,2282.0
9:56.0,Jump ball: D. DiVincenzo vs. B. Bogdanović (J. Brunson gains possession),87-83,,,4,83,87,-4,2284.0
9:56.0, ,87-83,Turnover by B. Bogdanović (lost ball; steal by D. DiVincenzo),,4,83,87,-4,2284.0
9:43.0,J. Hart makes 2-pt jump shot from 16 ft (assist by J. Brunson),89-83, ,,4,83,89,-6,2297.0
9:34.0, ,89-86,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Young),,4,86,89,-3,2306.0
9:11.0,Shooting foul by S. Bey (drawn by J. Brunson),89-86, ,,4,86,89,-3,2329.0
9:11.0,J. Brunson makes free throw 1 of 2,90-86, ,,4,86,90,-4,2329.0
9:11.0,J. Brunson makes free throw 2 of 2,91-86, ,,4,86,91,-5,2329.0
9:01.0, ,91-88,J. Johnson makes 2-pt jump shot from 6 ft (assist by T. Young),,4,88,91,-3,2339.0
8:38.0,Turnover by I. Quickley (discontinued dribble),91-88, ,,4,88,91,-3,2362.0
8:32.0, ,91-90,T. Young makes 2-pt layup from 2 ft,,4,90,91,-1,2368.0
8:32.0,New York full timeout,91-90, ,,4,90,91,-1,2368.0
8:32.0,J. Randle enters the game for I. Hartenstein,91-90, ,,4,90,91,-1,2368.0
8:32.0,M. Robinson enters the game for I. Quickley,91-90, ,,4,90,91,-1,2368.0
8:09.0,J. Randle makes 3-pt jump shot from 23 ft,94-90, ,,4,90,94,-4,2391.0
7:52.0, ,94-93,S. Bey makes 3-pt jump shot from 24 ft (assist by T. Young),,4,93,94,-1,2408.0
7:30.0,J. Brunson misses 2-pt layup from 1 ft,94-93, ,,4,93,94,-1,2430.0
7:27.0, ,94-93,Defensive rebound by O. Okongwu,,4,93,94,-1,2433.0
7:16.0, ,94-93,Shooting foul by J. Hart (drawn by B. Bogdanović),,4,93,94,-1,2444.0
7:16.0, ,94-94,B. Bogdanović makes free throw 1 of 2,Tie,4,94,94,0,2444.0
7:16.0, ,94-94,D. Murray enters the game for T. Young,,4,94,94,0,2444.0
7:16.0, ,94-95,B. Bogdanović makes free throw 2 of 2,Lead change,4,95,94,1,2444.0
7:03.0,Turnover by M. Robinson (lost ball; steal by O. Okongwu),94-95, ,,4,95,94,1,2457.0
6:56.0, ,94-95,Shooting foul by J. Randle (drawn by O. Okongwu),,4,95,94,1,2464.0
6:56.0, ,94-96,O. Okongwu makes free throw 1 of 2,,4,96,94,2,2464.0
6:56.0,I. Quickley enters the game for D. DiVincenzo,94-96, ,,4,96,94,2,2464.0
6:56.0, ,94-96,D. Hunter enters the game for J. Johnson,,4,96,94,2,2464.0
6:56.0, ,94-97,O. Okongwu makes free throw 2 of 2,,4,97,94,3,2464.0
6:35.0,J. Brunson misses 3-pt jump shot from 25 ft,94-97, ,,4,97,94,3,2485.0
6:33.0,Offensive rebound by M. Robinson,94-97, ,,4,97,94,3,2487.0
6:22.0,J. Randle misses 2-pt jump shot from 10 ft,94-97, ,,4,97,94,3,2498.0
6:21.0,Offensive rebound by Team,94-97, ,,4,97,94,3,2499.0
6:21.0, ,94-97,Loose ball foul by O. Okongwu (drawn by M. Robinson),,4,97,94,3,2499.0
6:11.0,Personal foul by B. Bogdanović (drawn by J. Brunson),94-97, ,,4,97,94,3,2509.0
6:00.0,I. Quickley misses 2-pt jump shot from 21 ft,94-97, ,,4,97,94,3,2520.0
5:57.0, ,94-97,Defensive rebound by B. Bogdanović,,4,97,94,3,2523.0
5:48.0, ,94-99,D. Murray makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),,4,99,94,5,2532.0
5:29.0,J. Brunson misses 2-pt layup from 2 ft,94-99, ,,4,99,94,5,2551.0
5:26.0, ,94-99,Defensive rebound by D. Murray,,4,99,94,5,2554.0
5:22.0, ,94-99,B. Bogdanović misses 3-pt jump shot from 28 ft,,4,99,94,5,2558.0
5:20.0, ,94-99,Offensive rebound by S. Bey,,4,99,94,5,2560.0
5:20.0, ,94-101,S. Bey makes 2-pt dunk at rim,,4,101,94,7,2560.0
5:20.0,New York full timeout,94-101, ,,4,101,94,7,2560.0
5:20.0, ,94-101,C. Capela enters the game for S. Bey,,4,101,94,7,2560.0
5:20.0, ,94-101,J. Johnson enters the game for B. Bogdanović,,4,101,94,7,2560.0
5:20.0, ,94-101,T. Young enters the game for O. Okongwu,,4,101,94,7,2560.0
5:07.0,I. Quickley makes 3-pt jump shot from 26 ft (assist by J. Randle),97-101, ,,4,101,97,4,2573.0
4:50.0, ,97-101,D. Hunter misses 2-pt jump shot from 14 ft,,4,101,97,4,2590.0
4:46.0,Defensive rebound by J. Hart,97-101, ,,4,101,97,4,2594.0
4:33.0,I. Quickley makes 2-pt jump shot from 8 ft (assist by J. Randle),99-101, ,,4,101,99,2,2607.0
4:14.0, ,99-101,Turnover by D. Murray (bad pass; steal by M. Robinson),,4,101,99,2,2626.0
4:00.0,J. Randle misses 2-pt layup from 2 ft,99-101, ,,4,101,99,2,2640.0
3:56.0,Offensive rebound by M. Robinson,99-101, ,,4,101,99,2,2644.0
3:54.0,J. Brunson makes 3-pt jump shot from 26 ft (assist by J. Hart),102-101, ,Lead change,4,101,102,-1,2646.0
3:51.0, ,102-101,Atlanta full timeout,,4,101,102,-1,2649.0
3:40.0, ,102-103,T. Young makes 2-pt layup from 1 ft,Lead change,4,103,102,1,2660.0
3:17.0,Personal foul by D. Murray (drawn by I. Quickley),102-103, ,,4,103,102,1,2683.0
3:17.0,I. Quickley misses free throw 1 of 2,102-103, ,,4,103,102,1,2683.0
3:17.0,Offensive rebound by Team,102-103, ,,4,103,102,1,2683.0
3:17.0,I. Quickley makes free throw 2 of 2,103-103, ,Tie,4,103,103,0,2683.0
3:01.0, ,103-105,D. Murray makes 2-pt jump shot from 16 ft (assist by T. Young),,4,105,103,2,2699.0
2:38.0,Shooting foul by J. Johnson (drawn by I. Quickley),103-105, ,,4,105,103,2,2722.0
2:38.0,I. Quickley makes free throw 1 of 2,104-105, ,,4,105,104,1,2722.0
2:38.0,I. Quickley makes free throw 2 of 2,105-105, ,Tie,4,105,105,0,2722.0
2:23.0, ,105-107,D. Murray makes 2-pt jump shot from 17 ft,,4,107,105,2,2737.0
2:01.0,J. Brunson makes 3-pt jump shot from 23 ft (assist by J. Randle),108-107, ,Lead change,4,107,108,-1,2759.0
1:51.0, ,108-107,D. Murray misses 2-pt layup from 3 ft,,4,107,108,-1,2769.0
1:49.0,Defensive rebound by M. Robinson,108-107, ,,4,107,108,-1,2771.0
1:26.0,J. Hart makes 2-pt jump shot from 4 ft (assist by J. Brunson),110-107, ,,4,107,110,-3,2794.0
1:20.0, ,110-107,Personal foul by J. Hart (drawn by J. Johnson),,4,107,110,-3,2800.0
1:13.0, ,110-107,Shooting foul by I. Quickley (drawn by T. Young),,4,107,110,-3,2807.0
1:13.0,New York full timeout,110-107, ,,4,107,110,-3,2807.0
1:13.0,Instant Replay (Challenge: Ruling Stands),110-107, ,,4,107,110,-3,2807.0
1:13.0, ,110-108,T. Young makes free throw 1 of 3,,4,108,110,-2,2807.0
1:13.0, ,110-109,T. Young makes free throw 2 of 3,,4,109,110,-1,2807.0
1:13.0, ,110-110,T. Young makes free throw 3 of 3,Tie,4,110,110,0,2807.0
0:54.0,J. Randle misses 2-pt jump shot from 12 ft,110-110, ,,4,110,110,0,2826.0
0:50.0,Offensive rebound by J. Hart,110-110, ,,4,110,110,0,2830.0
0:43.0,J. Randle makes 2-pt layup at rim (assist by J. Brunson),112-110, ,,4,110,112,-2,2837.0
0:34.0, ,112-110,Shooting foul by J. Randle (drawn by T. Young),,4,110,112,-2,2846.0
0:34.0, ,112-111,T. Young makes free throw 1 of 2,,4,111,112,-1,2846.0
0:34.0, ,112-111,T. Young misses free throw 2 of 2,,4,111,112,-1,2846.0
0:32.0,Defensive rebound by J. Randle,112-111, ,,4,111,112,-1,2848.0
0:19.0,J. Brunson makes 2-pt jump shot from 17 ft,114-111, ,,4,111,114,-3,2861.0
0:18.0, ,114-111,Atlanta full timeout,,4,111,114,-3,2862.0
0:18.0, ,114-111,B. Bogdanović enters the game for J. Johnson,,4,111,114,-3,2862.0
0:15.0, ,114-113,D. Murray makes 2-pt layup from 3 ft (assist by T. Young),,4,113,114,-1,2865.0
0:08.0,Personal take foul by B. Bogdanović (drawn by I. Quickley),114-113, ,,4,113,114,-1,2872.0
0:08.0,I. Quickley makes free throw 1 of 2,115-113, ,,4,113,115,-2,2872.0
0:08.0, ,115-113,J. Johnson enters the game for B. Bogdanović,,4,113,115,-2,2872.0
0:08.0, ,115-113,O. Okongwu enters the game for T. Young,,4,113,115,-2,2872.0
0:08.0,I. Quickley makes free throw 2 of 2,116-113, ,,4,113,116,-3,2872.0
0:08.0, ,116-113,Atlanta full timeout,,4,113,116,-3,2872.0
0:08.0, ,116-113,B. Bogdanović enters the game for D. Hunter,,4,113,116,-3,2872.0
0:08.0, ,116-113,T. Young enters the game for O. Okongwu,,4,113,116,-3,2872.0
0:07.0, ,116-113,B. Bogdanović misses 3-pt jump shot from 30 ft,,4,113,116,-3,2873.0
0:04.0,Defensive rebound by Team,116-113, ,,4,113,116,-3,2876.0
0:04.0,New York full timeout,116-113, ,,4,113,116,-3,2876.0
0:04.0,D. DiVincenzo enters the game for M. Robinson,116-113, ,,4,113,116,-3,2876.0
0:04.0, ,116-113,S. Bey enters the game for B. Bogdanović,,4,113,116,-3,2876.0
0:04.0, ,116-113,D. Hunter enters the game for C. Capela,,4,113,116,-3,2876.0
0:04.0,Turnover by  (5 sec),116-113, ,,4,113,116,-3,2876.0
0:03.0, ,116-113,Personal take foul by J. Brunson (drawn by D. Murray),,4,113,116,-3,2877.0
0:03.0, ,116-114,D. Murray makes free throw 1 of 2,,4,114,116,-2,2877.0
0:03.0,M. Robinson enters the game for D. DiVincenzo,116-114, ,,4,114,116,-2,2877.0
0:03.0, ,116-114,O. Okongwu enters the game for S. Bey,,4,114,116,-2,2877.0
0:03.0, ,116-114,D. Murray misses free throw 2 of 2,,4,114,116,-2,2877.0
0:03.0,Defensive rebound by Team,116-114, ,,4,114,116,-2,2877.0
0:00.0,End of 4th quarter,116-114,,,4,114,116,-2,2880.0
