Time,Atlanta,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:48.0, ,12-10,M. Kleber misses 3-pt jump shot from 25 ft,,1,12,10,2,372.0
5:45.0,Defensive rebound by B. Fernando,12-10, ,,1,12,10,2,375.0
5:34.0,G. Mathews makes 2-pt jump shot from 14 ft (assist by B. Fernando),14-10, ,,1,14,10,4,386.0
5:25.0, ,14-10,Personal foul by G. Mathews (drawn by T. Hardaway),,1,14,10,4,395.0
5:18.0, ,14-13,M. Kleber makes 3-pt jump shot from 26 ft (assist by K. Irving),,1,14,13,1,402.0
4:59.0,D. Hunter makes 3-pt jump shot from 25 ft,17-13, ,,1,17,13,4,421.0
4:52.0, ,17-13,K. Irving misses 3-pt jump shot from 27 ft,,1,17,13,4,428.0
4:50.0, ,17-13,Offensive rebound by K. Irving,,1,17,13,4,430.0
4:48.0, ,17-16,K. Irving makes 3-pt jump shot from 23 ft,,1,17,16,1,432.0
4:27.0,D. Murray makes 3-pt jump shot from 23 ft (assist by V. Krejci),20-16, ,,1,20,16,4,453.0
4:06.0, ,20-16,Shooting foul by G. Mathews (drawn by M. Kleber),,1,20,16,4,474.0
4:06.0, ,20-17,M. Kleber makes free throw 1 of 2,,1,20,17,3,474.0
4:06.0, ,20-18,M. Kleber makes free throw 2 of 2,,1,20,18,2,474.0
3:47.0,Offensive foul by B. Fernando (drawn by M. Kleber),20-18, ,,1,20,18,2,493.0
3:47.0,Turnover by B. Fernando (offensive foul),20-18, ,,1,20,18,2,493.0
3:47.0, ,20-18,D. Powell enters the game for P. Washington,,1,20,18,2,493.0
3:39.0, ,20-18,T. Hardaway misses 3-pt jump shot from 26 ft,,1,20,18,2,501.0
3:36.0,Defensive rebound by D. Hunter,20-18, ,,1,20,18,2,504.0
3:33.0,Shooting foul by D. Exum (drawn by D. Hunter),20-18, ,,1,20,18,2,507.0
3:33.0,D. Hunter makes free throw 1 of 2,21-18, ,,1,21,18,3,507.0
3:33.0,D. Hunter makes free throw 2 of 2,22-18, ,,1,22,18,4,507.0
3:20.0, ,22-18,K. Irving misses 3-pt jump shot from 25 ft,,1,22,18,4,520.0
3:17.0, ,22-18,Offensive rebound by M. Kleber,,1,22,18,4,523.0
3:10.0, ,22-18,T. Hardaway misses 2-pt jump shot from 17 ft,,1,22,18,4,530.0
3:10.0,Defensive rebound by G. Mathews,22-18, ,,1,22,18,4,530.0
2:59.0,D. Hunter misses 2-pt jump shot from 23 ft,22-18, ,,1,22,18,4,541.0
2:57.0, ,22-18,Defensive rebound by D. Exum,,1,22,18,4,543.0
2:40.0, ,22-18,Turnover by K. Irving (lost ball; steal by B. Fernando),,1,22,18,4,560.0
2:34.0,G. Mathews misses 2-pt layup from 4 ft,22-18, ,,1,22,18,4,566.0
2:33.0, ,22-18,Defensive rebound by M. Kleber,,1,22,18,4,567.0
2:29.0, ,22-18,Turnover by T. Hardaway (lost ball; steal by D. Hunter),,1,22,18,4,571.0
2:25.0,Offensive foul by D. Hunter (drawn by D. Powell),22-18, ,,1,22,18,4,575.0
2:25.0,Turnover by D. Hunter (offensive foul),22-18, ,,1,22,18,4,575.0
2:25.0,Technical foul by G. Mathews,22-18, ,,1,22,18,4,575.0
2:25.0,Atlanta full timeout,22-18, ,,1,22,18,4,575.0
2:25.0,Instant Replay (Challenge: Ruling Stands),22-18, ,,1,22,18,4,575.0
2:25.0,B. Bogdanović enters the game for D. Hunter,22-18, ,,1,22,18,4,575.0
2:25.0,K. Bufkin enters the game for G. Mathews,22-18, ,,1,22,18,4,575.0
2:25.0,J. Johnson enters the game for D. Murray,22-18, ,,1,22,18,4,575.0
2:25.0, ,22-19,K. Irving makes technical free throw,,1,22,19,3,575.0
