Time,Atlanta,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:59.0, ,65-73,K. Irving misses 2-pt jump shot from 5 ft,,3,65,73,-8,1681.0
7:58.0,Defensive rebound by Team,65-73, ,,3,65,73,-8,1682.0
7:37.0,J. Johnson misses 2-pt jump shot from 14 ft,65-73, ,,3,65,73,-8,1703.0
7:36.0, ,65-73,Defensive rebound by L. Dončić,,3,65,73,-8,1704.0
7:18.0, ,65-73,Shooting foul by B. Bogdanović (drawn by D. Jones),,3,65,73,-8,1722.0
7:18.0, ,65-74,D. Jones makes free throw 1 of 2,,3,65,74,-9,1722.0
7:18.0, ,65-74,D. Exum enters the game for K. Irving,,3,65,74,-9,1722.0
7:18.0, ,65-75,D. Jones makes free throw 2 of 2,,3,65,75,-10,1722.0
7:06.0,B. Bogdanović misses 3-pt jump shot from 26 ft,65-75, ,,3,65,75,-10,1734.0
7:03.0, ,65-75,Defensive rebound by D. Jones,,3,65,75,-10,1737.0
6:57.0, ,65-78,L. Dončić makes 3-pt jump shot from 25 ft,,3,65,78,-13,1743.0
6:41.0,D. Murray misses 2-pt layup from 4 ft (block by D. Jones),65-78, ,,3,65,78,-13,1759.0
6:39.0, ,65-78,Defensive rebound by L. Dončić,,3,65,78,-13,1761.0
6:19.0, ,65-78,Personal foul by D. Hunter (drawn by P. Washington),,3,65,78,-13,1781.0
6:19.0,V. Krejci enters the game for J. Johnson,65-78, ,,3,65,78,-13,1781.0
6:08.0, ,65-81,L. Dončić makes 3-pt jump shot from 26 ft,,3,65,81,-16,1792.0
5:48.0,V. Krejci misses 3-pt jump shot from 25 ft,65-81, ,,3,65,81,-16,1812.0
5:45.0,Offensive rebound by C. Capela,65-81, ,,3,65,81,-16,1815.0
5:42.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by C. Capela),68-81, ,,3,68,81,-13,1818.0
5:25.0, ,68-81,Personal foul by D. Hunter (drawn by L. Dončić),,3,68,81,-13,1835.0
5:25.0,J. Johnson enters the game for D. Hunter,68-81, ,,3,68,81,-13,1835.0
5:25.0, ,68-81,D. Powell enters the game for D. Gafford,,3,68,81,-13,1835.0
5:15.0, ,68-84,L. Dončić makes 3-pt jump shot from 25 ft,,3,68,84,-16,1845.0
4:55.0,Turnover by D. Murray (bad pass; steal by L. Dončić),68-84, ,,3,68,84,-16,1865.0
4:49.0, ,68-84,L. Dončić misses 3-pt jump shot from 25 ft,,3,68,84,-16,1871.0
4:46.0,Defensive rebound by B. Bogdanović,68-84, ,,3,68,84,-16,1874.0
4:34.0,B. Bogdanović makes 2-pt jump shot from 8 ft,70-84, ,,3,70,84,-14,1886.0
4:17.0, ,70-84,D. Exum misses 2-pt jump shot from 11 ft,,3,70,84,-14,1903.0
4:17.0, ,70-84,Offensive rebound by D. Powell,,3,70,84,-14,1903.0
4:07.0, ,70-84,D. Jones misses 2-pt layup from 3 ft,,3,70,84,-14,1913.0
4:06.0, ,70-84,Offensive rebound by D. Jones,,3,70,84,-14,1914.0
4:02.0, ,70-87,D. Jones makes 3-pt jump shot from 25 ft,,3,70,87,-17,1918.0
4:02.0,B. Fernando enters the game for B. Bogdanović,70-87, ,,3,70,87,-17,1918.0
4:02.0,G. Mathews enters the game for C. Capela,70-87, ,,3,70,87,-17,1918.0
4:02.0, ,70-87,T. Hardaway enters the game for L. Dončić,,3,70,87,-17,1918.0
4:02.0, ,70-87,K. Irving enters the game for D. Jones,,3,70,87,-17,1918.0
3:39.0,D. Murray makes 3-pt jump shot from 25 ft (assist by B. Fernando),73-87, ,,3,73,87,-14,1941.0
3:23.0, ,73-87,T. Hardaway misses 3-pt jump shot from 23 ft,,3,73,87,-14,1957.0
3:21.0,Defensive rebound by V. Krejci,73-87, ,,3,73,87,-14,1959.0
3:14.0,D. Murray misses 3-pt jump shot from 25 ft,73-87, ,,3,73,87,-14,1966.0
3:10.0, ,73-87,Defensive rebound by D. Powell,,3,73,87,-14,1970.0
3:09.0, ,73-87,Turnover by D. Powell (bad pass; steal by D. Murray),,3,73,87,-14,1971.0
3:08.0,J. Johnson makes 2-pt dunk from 1 ft (assist by D. Murray),75-87, ,,3,75,87,-12,1972.0
3:08.0, ,75-87,Dallas full timeout,,3,75,87,-12,1972.0
3:08.0, ,75-87,M. Kleber enters the game for D. Powell,,3,75,87,-12,1972.0
2:47.0, ,75-87,M. Kleber misses 2-pt jump shot from 22 ft,,3,75,87,-12,1993.0
2:45.0,Defensive rebound by J. Johnson,75-87, ,,3,75,87,-12,1995.0
2:39.0,J. Johnson misses 2-pt layup from 5 ft,75-87, ,,3,75,87,-12,2001.0
2:37.0, ,75-87,Defensive rebound by M. Kleber,,3,75,87,-12,2003.0
2:28.0, ,75-90,P. Washington makes 3-pt jump shot from 25 ft (assist by M. Kleber),,3,75,90,-15,2012.0
2:10.0,B. Fernando misses 2-pt hook shot from 3 ft,75-90, ,,3,75,90,-15,2030.0
2:08.0,Offensive rebound by D. Murray,75-90, ,,3,75,90,-15,2032.0
2:08.0,K. Bufkin enters the game for D. Murray,75-90, ,,3,75,90,-15,2032.0
1:58.0,K. Bufkin makes 2-pt jump shot from 10 ft,77-90, ,,3,77,90,-13,2042.0
1:38.0, ,77-90,K. Irving misses 2-pt jump shot from 7 ft,,3,77,90,-13,2062.0
1:36.0,Defensive rebound by V. Krejci,77-90, ,,3,77,90,-13,2064.0
1:31.0,Turnover by G. Mathews (traveling),77-90, ,,3,77,90,-13,2069.0
1:16.0, ,77-92,K. Irving makes 2-pt jump shot from 8 ft (assist by T. Hardaway),,3,77,92,-15,2084.0
1:16.0, ,77-92,Shooting foul by K. Bufkin (drawn by K. Irving),,3,77,92,-15,2084.0
1:16.0, ,77-93,K. Irving makes free throw 1 of 1,,3,77,93,-16,2084.0
1:01.0,K. Bufkin misses 2-pt jump shot from 15 ft,77-93, ,,3,77,93,-16,2099.0
0:59.0, ,77-93,Defensive rebound by P. Washington,,3,77,93,-16,2101.0
0:54.0, ,77-93,K. Irving misses 2-pt jump shot from 4 ft,,3,77,93,-16,2106.0
0:52.0,Defensive rebound by J. Johnson,77-93, ,,3,77,93,-16,2108.0
0:43.0,Shooting foul by P. Washington (drawn by B. Fernando),77-93, ,,3,77,93,-16,2117.0
0:43.0,B. Fernando makes free throw 1 of 2,78-93, ,,3,78,93,-15,2117.0
0:43.0, ,78-93,D. Jones enters the game for P. Washington,,3,78,93,-15,2117.0
0:43.0,B. Fernando makes free throw 2 of 2,79-93, ,,3,79,93,-14,2117.0
0:27.0, ,79-93,T. Hardaway misses 3-pt jump shot from 25 ft,,3,79,93,-14,2133.0
0:25.0,Defensive rebound by J. Johnson,79-93, ,,3,79,93,-14,2135.0
0:10.0,B. Fernando makes 2-pt layup from 3 ft (assist by V. Krejci),81-93, ,,3,81,93,-12,2150.0
0:00.0,End of 3rd quarter,81-93,,,3,81,93,-12,2160.0
12:00.0,Start of 4th quarter,81-93,,,4,81,93,-12,2160.0
11:46.0, ,81-93,L. Dončić misses 2-pt jump shot from 20 ft,,4,81,93,-12,2174.0
11:46.0,Defensive rebound by J. Johnson,81-93, ,,4,81,93,-12,2174.0
11:36.0,K. Bufkin makes 3-pt jump shot from 28 ft (assist by J. Johnson),84-93, ,,4,84,93,-9,2184.0
11:23.0, ,84-93,Turnover by K. Irving (out of bounds lost ball),,4,84,93,-9,2197.0
11:17.0,Personal foul by T. Hardaway (drawn by J. Johnson),84-93, ,,4,84,93,-9,2203.0
11:14.0,Offensive foul by B. Bogdanović (drawn by D. Gafford),84-93, ,,4,84,93,-9,2206.0
11:14.0,Turnover by B. Bogdanović (offensive foul),84-93, ,,4,84,93,-9,2206.0
11:04.0, ,84-93,L. Dončić misses 2-pt layup from 8 ft,,4,84,93,-9,2216.0
11:02.0,Defensive rebound by K. Bufkin,84-93, ,,4,84,93,-9,2218.0
10:58.0,Personal foul by D. Gafford (drawn by B. Fernando),84-93, ,,4,84,93,-9,2222.0
10:52.0,B. Fernando makes 2-pt layup from 5 ft (assist by K. Bufkin),86-93, ,,4,86,93,-7,2228.0
10:43.0, ,86-93,Personal foul by W. Matthews (drawn by L. Dončić),,4,86,93,-7,2237.0
10:43.0, ,86-93,D. Jones enters the game for D. Exum,,4,86,93,-7,2237.0
10:36.0, ,86-96,K. Irving makes 3-pt jump shot from 29 ft,,4,86,96,-10,2244.0
10:21.0,Atlanta full timeout,86-96, ,,4,86,96,-10,2259.0
10:21.0,D. Hunter enters the game for J. Johnson,86-96, ,,4,86,96,-10,2259.0
10:09.0,W. Matthews misses 3-pt jump shot from 23 ft,86-96, ,,4,86,96,-10,2271.0
10:06.0, ,86-96,Defensive rebound by L. Dončić,,4,86,96,-10,2274.0
9:50.0, ,86-96,K. Irving misses 2-pt jump shot from 6 ft,,4,86,96,-10,2290.0
9:48.0,Defensive rebound by B. Fernando,86-96, ,,4,86,96,-10,2292.0
9:39.0,K. Bufkin makes 2-pt jump shot from 16 ft,88-96, ,,4,88,96,-8,2301.0
9:16.0, ,88-98,K. Irving makes 2-pt jump shot from 12 ft,,4,88,98,-10,2324.0
9:01.0,Personal foul by T. Hardaway (drawn by B. Bogdanović),88-98, ,,4,88,98,-10,2339.0
8:49.0,Turnover by D. Hunter (lost ball; steal by T. Hardaway),88-98, ,,4,88,98,-10,2351.0
8:39.0, ,88-98,L. Dončić misses 2-pt layup from 4 ft (block by B. Fernando),,4,88,98,-10,2361.0
8:36.0,Defensive rebound by K. Bufkin,88-98, ,,4,88,98,-10,2364.0
8:25.0,W. Matthews misses 3-pt jump shot from 24 ft,88-98, ,,4,88,98,-10,2375.0
8:23.0, ,88-98,Defensive rebound by L. Dončić,,4,88,98,-10,2377.0
8:19.0, ,88-98,Turnover by K. Irving (out of bounds lost ball),,4,88,98,-10,2381.0
8:19.0,Atlanta full timeout,88-98, ,,4,88,98,-10,2381.0
8:19.0,Instant Replay (Challenge: Ruling Stands),88-98, ,,4,88,98,-10,2381.0
8:19.0, ,88-98,D. Exum enters the game for K. Irving,,4,88,98,-10,2381.0
8:05.0,B. Fernando misses 2-pt layup from 2 ft (block by D. Gafford),88-98, ,,4,88,98,-10,2395.0
8:03.0, ,88-98,Defensive rebound by L. Dončić,,4,88,98,-10,2397.0
7:59.0, ,88-98,T. Hardaway misses 3-pt jump shot from 23 ft,,4,88,98,-10,2401.0
7:55.0,Defensive rebound by D. Hunter,88-98, ,,4,88,98,-10,2405.0
7:49.0,K. Bufkin misses 3-pt jump shot from 25 ft,88-98, ,,4,88,98,-10,2411.0
7:46.0, ,88-98,Defensive rebound by T. Hardaway,,4,88,98,-10,2414.0
7:46.0,J. Johnson enters the game for K. Bufkin,88-98, ,,4,88,98,-10,2414.0
7:46.0,D. Murray enters the game for W. Matthews,88-98, ,,4,88,98,-10,2414.0
7:46.0, ,88-98,P. Washington enters the game for T. Hardaway,,4,88,98,-10,2414.0
7:26.0, ,88-98,P. Washington misses 3-pt jump shot from 26 ft,,4,88,98,-10,2434.0
7:23.0,Defensive rebound by B. Bogdanović,88-98, ,,4,88,98,-10,2437.0
7:13.0,B. Bogdanović makes 2-pt layup from 2 ft,90-98, ,,4,90,98,-8,2447.0
7:03.0, ,90-98,Personal foul by B. Fernando (drawn by L. Dončić),,4,90,98,-8,2457.0
6:55.0, ,90-98,L. Dončić misses 3-pt jump shot from 26 ft,,4,90,98,-8,2465.0
6:51.0,Defensive rebound by J. Johnson,90-98, ,,4,90,98,-8,2469.0
6:47.0,J. Johnson misses 2-pt jump shot from 5 ft,90-98, ,,4,90,98,-8,2473.0
6:45.0,Offensive rebound by J. Johnson,90-98, ,,4,90,98,-8,2475.0
6:44.0,J. Johnson misses 2-pt layup from 3 ft (block by L. Dončić),90-98, ,,4,90,98,-8,2476.0
6:42.0, ,90-98,Defensive rebound by D. Gafford,,4,90,98,-8,2478.0
6:35.0, ,90-100,D. Jones makes 2-pt dunk at rim (assist by L. Dončić),,4,90,100,-10,2485.0
6:16.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),93-100, ,,4,93,100,-7,2504.0
6:04.0, ,93-100,Personal foul by B. Bogdanović (drawn by D. Gafford),,4,93,100,-7,2516.0
6:04.0,C. Capela enters the game for B. Fernando,93-100, ,,4,93,100,-7,2516.0
5:58.0, ,93-100,Shooting foul by D. Hunter (drawn by D. Jones),,4,93,100,-7,2522.0
5:58.0, ,93-101,D. Jones makes free throw 1 of 2,,4,93,101,-8,2522.0
5:58.0, ,93-101,M. Kleber enters the game for D. Gafford,,4,93,101,-8,2522.0
5:58.0, ,93-102,D. Jones makes free throw 2 of 2,,4,93,102,-9,2522.0
5:44.0,D. Hunter misses 3-pt jump shot from 25 ft,93-102, ,,4,93,102,-9,2536.0
5:40.0, ,93-102,Defensive rebound by D. Exum,,4,93,102,-9,2540.0
5:32.0, ,93-102,L. Dončić misses 3-pt jump shot from 26 ft,,4,93,102,-9,2548.0
5:30.0,Defensive rebound by B. Bogdanović,93-102, ,,4,93,102,-9,2550.0
5:15.0,D. Hunter misses 3-pt jump shot from 25 ft,93-102, ,,4,93,102,-9,2565.0
5:11.0, ,93-102,Defensive rebound by D. Exum,,4,93,102,-9,2569.0
5:04.0, ,93-102,D. Exum misses 3-pt jump shot from 23 ft,,4,93,102,-9,2576.0
5:02.0,Defensive rebound by D. Murray,93-102, ,,4,93,102,-9,2578.0
4:56.0,Turnover by D. Murray (out of bounds lost ball),93-102, ,,4,93,102,-9,2584.0
4:56.0, ,93-102,Dallas full timeout,,4,93,102,-9,2584.0
4:56.0, ,93-102,Instant Replay (Challenge: Ruling Stands),,4,93,102,-9,2584.0
4:56.0, ,93-102,K. Irving enters the game for D. Exum,,4,93,102,-9,2584.0
4:45.0, ,93-102,Offensive foul by P. Washington (drawn by D. Hunter),,4,93,102,-9,2595.0
4:45.0, ,93-102,Turnover by P. Washington (offensive foul),,4,93,102,-9,2595.0
4:33.0,D. Murray misses 2-pt layup from 3 ft,93-102, ,,4,93,102,-9,2607.0
4:33.0, ,93-102,Defensive rebound by Team,,4,93,102,-9,2607.0
4:11.0, ,93-102,P. Washington misses 2-pt hook shot from 6 ft,,4,93,102,-9,2629.0
4:09.0,Defensive rebound by B. Bogdanović,93-102, ,,4,93,102,-9,2631.0
4:07.0,Turnover by B. Bogdanović (lost ball; steal by P. Washington),93-102, ,,4,93,102,-9,2633.0
4:02.0, ,93-102,Turnover by K. Irving (bad pass; steal by C. Capela),,4,93,102,-9,2638.0
3:54.0,Turnover by D. Murray (step out of bounds),93-102, ,,4,93,102,-9,2646.0
3:37.0, ,93-102,K. Irving misses 2-pt jump shot from 18 ft,,4,93,102,-9,2663.0
3:34.0,Defensive rebound by C. Capela,93-102, ,,4,93,102,-9,2666.0
3:24.0,Offensive foul by C. Capela (drawn by P. Washington),93-102, ,,4,93,102,-9,2676.0
3:24.0,Turnover by C. Capela (offensive foul),93-102, ,,4,93,102,-9,2676.0
3:10.0, ,93-102,M. Kleber misses 3-pt jump shot from 25 ft,,4,93,102,-9,2690.0
3:07.0,Defensive rebound by J. Johnson,93-102, ,,4,93,102,-9,2693.0
2:55.0,B. Bogdanović misses 3-pt jump shot from 25 ft,93-102, ,,4,93,102,-9,2705.0
2:53.0,Offensive rebound by C. Capela,93-102, ,,4,93,102,-9,2707.0
2:52.0,C. Capela misses 2-pt layup from 2 ft,93-102, ,,4,93,102,-9,2708.0
2:48.0, ,93-102,Defensive rebound by L. Dončić,,4,93,102,-9,2712.0
2:41.0, ,93-105,P. Washington makes 3-pt jump shot from 25 ft (assist by L. Dončić),,4,93,105,-12,2719.0
2:25.0,Personal foul by L. Dončić (drawn by D. Hunter),93-105, ,,4,93,105,-12,2735.0
2:10.0,D. Murray misses 3-pt jump shot from 24 ft,93-105, ,,4,93,105,-12,2750.0
2:06.0, ,93-105,Defensive rebound by K. Irving,,4,93,105,-12,2754.0
1:44.0, ,93-105,P. Washington misses 3-pt jump shot from 23 ft,,4,93,105,-12,2776.0
1:41.0,Defensive rebound by J. Johnson,93-105, ,,4,93,105,-12,2779.0
1:37.0,B. Bogdanović misses 3-pt jump shot from 28 ft,93-105, ,,4,93,105,-12,2783.0
1:35.0, ,93-105,Defensive rebound by K. Irving,,4,93,105,-12,2785.0
1:18.0, ,93-105,D. Jones misses 3-pt jump shot from 23 ft,,4,93,105,-12,2802.0
1:15.0,Defensive rebound by D. Murray,93-105, ,,4,93,105,-12,2805.0
1:12.0,D. Murray misses 3-pt jump shot from 26 ft,93-105, ,,4,93,105,-12,2808.0
1:09.0, ,93-105,Defensive rebound by P. Washington,,4,93,105,-12,2811.0
0:56.0, ,93-105,L. Dončić misses 3-pt jump shot from 26 ft,,4,93,105,-12,2824.0
0:53.0, ,93-105,Offensive rebound by D. Jones,,4,93,105,-12,2827.0
0:47.0, ,93-107,D. Jones makes 2-pt jump shot from 13 ft (assist by M. Kleber),,4,93,107,-14,2833.0
0:45.0,Personal take foul by K. Irving (drawn by B. Bogdanović),93-107, ,,4,93,107,-14,2835.0
0:45.0,B. Bogdanović makes free throw 1 of 2,94-107, ,,4,94,107,-13,2835.0
0:45.0,K. Bufkin enters the game for D. Hunter,94-107, ,,4,94,107,-13,2835.0
0:45.0,V. Krejci enters the game for J. Johnson,94-107, ,,4,94,107,-13,2835.0
0:45.0,G. Mathews enters the game for D. Murray,94-107, ,,4,94,107,-13,2835.0
0:45.0, ,94-107,J. Hardy enters the game for L. Dončić,,4,94,107,-13,2835.0
0:45.0, ,94-107,A. Lawson enters the game for K. Irving,,4,94,107,-13,2835.0
0:45.0, ,94-107,D. Powell enters the game for D. Jones,,4,94,107,-13,2835.0
0:45.0, ,94-107,O. Prosper enters the game for M. Kleber,,4,94,107,-13,2835.0
0:45.0, ,94-107,B. Williams enters the game for P. Washington,,4,94,107,-13,2835.0
0:45.0,B. Bogdanović makes free throw 2 of 2,95-107, ,,4,95,107,-12,2835.0
0:32.0, ,95-107,B. Williams misses 3-pt jump shot from 26 ft,,4,95,107,-12,2848.0
0:30.0, ,95-107,Offensive rebound by J. Hardy,,4,95,107,-12,2850.0
0:28.0, ,95-109,J. Hardy makes 2-pt jump shot from 20 ft,,4,95,109,-14,2852.0
0:19.0,K. Bufkin misses 3-pt jump shot from 28 ft,95-109, ,,4,95,109,-14,2861.0
0:16.0, ,95-109,Defensive rebound by A. Lawson,,4,95,109,-14,2864.0
0:00.0,End of 4th quarter,95-109,,,4,95,109,-14,2880.0
