Time,Atlanta,Score,Indiana,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:25.0,M. Gueye makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),89-113, ,,3,89,113,-24,1955.0
3:15.0, ,89-113,M. Turner misses 3-pt jump shot from 27 ft,,3,89,113,-24,1965.0
3:11.0,Defensive rebound by M. Gueye,89-113, ,,3,89,113,-24,1969.0
3:01.0,G. Mathews misses 3-pt jump shot from 23 ft,89-113, ,,3,89,113,-24,1979.0
2:58.0, ,89-113,Defensive rebound by A. Nembhard,,3,89,113,-24,1982.0
2:46.0, ,89-113,P. Siakam misses 2-pt jump shot from 5 ft,,3,89,113,-24,1994.0
2:41.0, ,89-113,Offensive rebound by P. Siakam,,3,89,113,-24,1999.0
2:41.0, ,89-113,P. Siakam misses 2-pt layup at rim,,3,89,113,-24,1999.0
2:41.0,Defensive rebound by D. Hunter,89-113, ,,3,89,113,-24,1999.0
2:37.0,D. Hunter misses 2-pt layup from 2 ft,89-113, ,,3,89,113,-24,2003.0
2:34.0, ,89-113,Defensive rebound by M. Turner,,3,89,113,-24,2006.0
2:31.0, ,89-115,P. Siakam makes 2-pt layup from 1 ft (assist by A. Nembhard),,3,89,115,-26,2009.0
2:31.0,Atlanta full timeout,89-115, ,,3,89,115,-26,2009.0
2:31.0,A. Griffin enters the game for B. Bogdanović,89-115, ,,3,89,115,-26,2009.0
2:31.0,V. Krejci enters the game for D. Hunter,89-115, ,,3,89,115,-26,2009.0
2:31.0, ,89-115,T. McConnell enters the game for T. Haliburton,,3,89,115,-26,2009.0
2:31.0, ,89-115,B. Sheppard enters the game for A. Nembhard,,3,89,115,-26,2009.0
2:31.0, ,89-115,J. Smith enters the game for P. Siakam,,3,89,115,-26,2009.0
2:31.0, ,89-115,O. Toppin enters the game for M. Turner,,3,89,115,-26,2009.0
2:14.0,A. Griffin misses 2-pt jump shot from 5 ft,89-115, ,,3,89,115,-26,2026.0
2:12.0, ,89-115,Defensive rebound by O. Toppin,,3,89,115,-26,2028.0
2:11.0, ,89-115,Turnover by O. Toppin (bad pass),,3,89,115,-26,2029.0
1:59.0,T. Young misses 3-pt jump shot from 29 ft,89-115, ,,3,89,115,-26,2041.0
1:56.0,Offensive rebound by M. Gueye,89-115, ,,3,89,115,-26,2044.0
1:51.0,Turnover by T. Young (bad pass; steal by O. Toppin),89-115, ,,3,89,115,-26,2049.0
1:45.0, ,89-117,A. Nesmith makes 2-pt layup from 2 ft (assist by T. McConnell),,3,89,117,-28,2055.0
1:32.0,M. Gueye misses 2-pt layup from 2 ft (block by J. Smith),89-117, ,,3,89,117,-28,2068.0
1:30.0, ,89-117,Defensive rebound by T. McConnell,,3,89,117,-28,2070.0
1:26.0, ,89-119,O. Toppin makes 2-pt dunk at rim (assist by T. McConnell),,3,89,119,-30,2074.0
1:04.0,A. Griffin makes 2-pt jump shot from 13 ft,91-119, ,,3,91,119,-28,2096.0
0:48.0, ,91-122,A. Nesmith makes 3-pt jump shot from 26 ft (assist by T. McConnell),,3,91,122,-31,2112.0
0:43.0,V. Krejci misses 3-pt jump shot from 26 ft,91-122, ,,3,91,122,-31,2117.0
0:39.0, ,91-122,Defensive rebound by T. McConnell,,3,91,122,-31,2121.0
0:33.0, ,91-122,Turnover by T. McConnell (bad pass; steal by M. Gueye),,3,91,122,-31,2127.0
0:29.0, ,91-122,Violation by Team (kicked ball),,3,91,122,-31,2131.0
0:29.0, ,91-122,D. McDermott enters the game for A. Nesmith,,3,91,122,-31,2131.0
0:23.0,T. Young makes 2-pt layup from 2 ft,93-122, ,,3,93,122,-29,2137.0
0:13.0, ,93-125,T. McConnell makes 3-pt jump shot from 27 ft (assist by O. Toppin),,3,93,125,-32,2147.0
0:08.0,Turnover by T. Young (bad pass),93-125, ,,3,93,125,-32,2152.0
0:00.0, ,93-125,T. McConnell misses 2-pt layup from 6 ft,,3,93,125,-32,2160.0
0:00.0,Defensive rebound by M. Gueye,93-125, ,,3,93,125,-32,2160.0
0:00.0,End of 3rd quarter,93-125,,,3,93,125,-32,2160.0
12:00.0,Start of 4th quarter,93-125,,,4,93,125,-32,2160.0
11:44.0,D. Murray makes 2-pt jump shot from 11 ft,95-125, ,,4,95,125,-30,2176.0
11:24.0, ,95-128,J. Smith makes 3-pt jump shot from 26 ft (assist by O. Toppin),,4,95,128,-33,2196.0
11:06.0,Shooting foul by T. McConnell (drawn by B. Fernando),95-128, ,,4,95,128,-33,2214.0
11:06.0,B. Fernando makes free throw 1 of 2,96-128, ,,4,96,128,-32,2214.0
11:06.0,B. Fernando makes free throw 2 of 2,97-128, ,,4,97,128,-31,2214.0
10:55.0, ,97-130,T. McConnell makes 2-pt layup from 2 ft,,4,97,130,-33,2225.0
10:44.0,A. Griffin misses 3-pt jump shot from 27 ft,97-130, ,,4,97,130,-33,2236.0
10:41.0, ,97-130,Defensive rebound by B. Sheppard,,4,97,130,-33,2239.0
10:34.0, ,97-133,D. McDermott makes 3-pt jump shot from 26 ft (assist by T. McConnell),,4,97,133,-36,2246.0
10:14.0,G. Mathews misses 3-pt jump shot from 26 ft,97-133, ,,4,97,133,-36,2266.0
10:11.0, ,97-133,Defensive rebound by T. McConnell,,4,97,133,-36,2269.0
10:08.0, ,97-135,D. McDermott makes 2-pt dunk from 2 ft (assist by T. McConnell),,4,97,135,-38,2272.0
10:08.0,Atlanta full timeout,97-135, ,,4,97,135,-38,2272.0
10:08.0,T. Young enters the game for A. Griffin,97-135, ,,4,97,135,-38,2272.0
10:08.0, ,97-135,K. Brown enters the game for T. McConnell,,4,97,135,-38,2272.0
10:08.0, ,97-135,J. Walker enters the game for O. Toppin,,4,97,135,-38,2272.0
9:56.0,D. Murray makes 3-pt jump shot from 28 ft (assist by T. Young),100-135, ,,4,100,135,-35,2284.0
9:43.0, ,100-135,K. Brown misses 3-pt jump shot from 24 ft,,4,100,135,-35,2297.0
9:39.0,Defensive rebound by D. Murray,100-135, ,,4,100,135,-35,2301.0
9:35.0,Personal foul by J. Smith (drawn by B. Fernando),100-135, ,,4,100,135,-35,2305.0
9:34.0,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young),103-135, ,,4,103,135,-32,2306.0
9:30.0, ,103-135,Indiana full timeout,,4,103,135,-32,2310.0
9:30.0,B. Bogdanović enters the game for V. Krejci,103-135, ,,4,103,135,-32,2310.0
9:12.0, ,103-135,Offensive foul by K. Brown (drawn by T. Young),,4,103,135,-32,2328.0
9:12.0, ,103-135,Turnover by K. Brown (offensive foul),,4,103,135,-32,2328.0
9:03.0,Turnover by D. Murray (out of bounds lost ball),103-135, ,,4,103,135,-32,2337.0
8:55.0, ,103-135,D. McDermott misses 3-pt jump shot from 23 ft,,4,103,135,-32,2345.0
8:52.0, ,103-135,Offensive rebound by D. McDermott,,4,103,135,-32,2348.0
8:49.0, ,103-137,B. Sheppard makes 2-pt layup from 3 ft (assist by D. McDermott),,4,103,137,-34,2351.0
8:38.0,G. Mathews misses 3-pt jump shot from 26 ft,103-137, ,,4,103,137,-34,2362.0
8:37.0,Offensive rebound by Team,103-137, ,,4,103,137,-34,2363.0
8:37.0,A. Griffin enters the game for B. Bogdanović,103-137, ,,4,103,137,-34,2363.0
8:37.0,M. Gueye enters the game for B. Fernando,103-137, ,,4,103,137,-34,2363.0
8:37.0,V. Krejci enters the game for T. Young,103-137, ,,4,103,137,-34,2363.0
8:25.0,D. Murray misses 2-pt jump shot from 18 ft,103-137, ,,4,103,137,-34,2375.0
8:23.0, ,103-137,Defensive rebound by K. Brown,,4,103,137,-34,2377.0
8:16.0, ,103-140,J. Walker makes 3-pt jump shot from 25 ft,,4,103,140,-37,2384.0
7:58.0,A. Griffin misses 2-pt layup from 3 ft,103-140, ,,4,103,140,-37,2402.0
7:54.0, ,103-140,Defensive rebound by J. Walker,,4,103,140,-37,2406.0
7:45.0, ,103-142,K. Brown makes 2-pt layup from 4 ft (assist by J. Smith),,4,103,142,-39,2415.0
7:30.0,A. Griffin misses 2-pt jump shot from 6 ft,103-142, ,,4,103,142,-39,2430.0
7:27.0,Offensive rebound by V. Krejci,103-142, ,,4,103,142,-39,2433.0
7:26.0,G. Mathews makes 3-pt jump shot from 26 ft (assist by V. Krejci),106-142, ,,4,106,142,-36,2434.0
7:10.0, ,106-142,Turnover by J. Walker (bad pass; steal by G. Mathews),,4,106,142,-36,2450.0
6:59.0,Turnover by D. Murray (bad pass; steal by B. Sheppard),106-142, ,,4,106,142,-36,2461.0
6:48.0,Violation by Team (kicked ball),106-142, ,,4,106,142,-36,2472.0
6:48.0,K. Bufkin enters the game for D. Murray,106-142, ,,4,106,142,-36,2472.0
6:48.0, ,106-142,Q. Jackson enters the game for B. Sheppard,,4,106,142,-36,2472.0
6:48.0, ,106-142,J. Johnson enters the game for J. Smith,,4,106,142,-36,2472.0
6:42.0, ,106-144,J. Walker makes 2-pt jump shot from 16 ft,,4,106,144,-38,2478.0
6:24.0,K. Bufkin makes 2-pt jump shot from 16 ft,108-144, ,,4,108,144,-36,2496.0
6:11.0, ,108-144,Q. Jackson misses 2-pt layup from 2 ft,,4,108,144,-36,2509.0
6:09.0,Defensive rebound by V. Krejci,108-144, ,,4,108,144,-36,2511.0
6:04.0,Turnover by A. Griffin (bad pass; steal by J. Walker),108-144, ,,4,108,144,-36,2516.0
6:04.0,T. Forrest enters the game for G. Mathews,108-144, ,,4,108,144,-36,2516.0
5:52.0, ,108-146,D. McDermott makes 2-pt jump shot from 5 ft (assist by J. Johnson),,4,108,146,-38,2528.0
5:38.0,Personal foul by Q. Jackson (drawn by M. Gueye),108-146, ,,4,108,146,-38,2542.0
5:26.0,Turnover by V. Krejci (lost ball; steal by Q. Jackson),108-146, ,,4,108,146,-38,2554.0
5:23.0, ,108-148,K. Brown makes 2-pt dunk from 1 ft (assist by Q. Jackson),,4,108,148,-40,2557.0
5:04.0,A. Griffin misses 2-pt jump shot from 9 ft,108-148, ,,4,108,148,-40,2576.0
5:01.0, ,108-148,Defensive rebound by J. Walker,,4,108,148,-40,2579.0
4:50.0, ,108-151,D. McDermott makes 3-pt jump shot from 23 ft (assist by K. Brown),,4,108,151,-43,2590.0
4:36.0,Personal foul by J. Johnson (drawn by K. Bufkin),108-151, ,,4,108,151,-43,2604.0
4:29.0,M. Gueye makes 2-pt dunk from 1 ft (assist by T. Forrest),110-151, ,,4,110,151,-41,2611.0
4:10.0, ,110-151,Turnover by J. Johnson (bad pass; steal by M. Gueye),,4,110,151,-41,2630.0
4:04.0,A. Griffin misses 2-pt jump shot from 17 ft,110-151, ,,4,110,151,-41,2636.0
4:03.0,Offensive rebound by V. Krejci,110-151, ,,4,110,151,-41,2637.0
3:52.0,K. Bufkin misses 3-pt jump shot from 26 ft,110-151, ,,4,110,151,-41,2648.0
3:49.0, ,110-151,Defensive rebound by J. Walker,,4,110,151,-41,2651.0
3:42.0, ,110-151,J. Walker misses 2-pt jump shot from 10 ft,,4,110,151,-41,2658.0
3:39.0,Defensive rebound by T. Forrest,110-151, ,,4,110,151,-41,2661.0
3:35.0,A. Griffin makes 2-pt jump shot from 14 ft (assist by T. Forrest),112-151, ,,4,112,151,-39,2665.0
3:17.0, ,112-151,D. McDermott misses 3-pt jump shot from 24 ft,,4,112,151,-39,2683.0
3:14.0,Defensive rebound by T. Forrest,112-151, ,,4,112,151,-39,2686.0
3:10.0,Shooting foul by J. Johnson (drawn by M. Gueye),112-151, ,,4,112,151,-39,2690.0
3:10.0,M. Gueye misses free throw 1 of 2,112-151, ,,4,112,151,-39,2690.0
3:10.0,Offensive rebound by Team,112-151, ,,4,112,151,-39,2690.0
3:10.0,M. Gueye makes free throw 2 of 2,113-151, ,,4,113,151,-38,2690.0
2:58.0, ,113-151,J. Johnson misses 2-pt jump shot from 15 ft,,4,113,151,-38,2702.0
2:56.0,Defensive rebound by T. Forrest,113-151, ,,4,113,151,-38,2704.0
2:49.0,A. Griffin misses 3-pt jump shot from 26 ft,113-151, ,,4,113,151,-38,2711.0
2:45.0, ,113-151,Defensive rebound by J. Walker,,4,113,151,-38,2715.0
2:38.0, ,113-154,D. McDermott makes 3-pt jump shot from 23 ft (assist by J. Walker),,4,113,154,-41,2722.0
2:18.0,V. Krejci misses 3-pt jump shot from 23 ft,113-154, ,,4,113,154,-41,2742.0
2:15.0, ,113-154,Defensive rebound by Q. Jackson,,4,113,154,-41,2745.0
2:10.0, ,113-154,J. Walker misses 3-pt jump shot from 27 ft,,4,113,154,-41,2750.0
2:08.0,Defensive rebound by V. Krejci,113-154, ,,4,113,154,-41,2752.0
1:44.0,A. Griffin misses 3-pt jump shot from 27 ft,113-154, ,,4,113,154,-41,2776.0
1:44.0,Offensive rebound by Team,113-154, ,,4,113,154,-41,2776.0
1:44.0,Turnover by Team (shot clock),113-154, ,,4,113,154,-41,2776.0
1:35.0, ,113-157,J. Walker makes 3-pt jump shot from 26 ft (assist by Q. Jackson),,4,113,157,-44,2785.0
1:20.0,A. Griffin makes 2-pt layup from 4 ft (assist by V. Krejci),115-157, ,,4,115,157,-42,2800.0
1:10.0, ,115-157,K. Brown misses 2-pt layup from 1 ft,,4,115,157,-42,2810.0
1:07.0,Defensive rebound by K. Bufkin,115-157, ,,4,115,157,-42,2813.0
0:55.0,K. Bufkin misses 2-pt jump shot from 14 ft,115-157, ,,4,115,157,-42,2825.0
0:54.0,Offensive rebound by M. Gueye,115-157, ,,4,115,157,-42,2826.0
0:53.0,M. Gueye misses 2-pt layup at rim,115-157, ,,4,115,157,-42,2827.0
0:53.0, ,115-157,Defensive rebound by J. Walker,,4,115,157,-42,2827.0
0:29.0, ,115-157,Turnover by Team (shot clock),,4,115,157,-42,2851.0
0:05.0,Turnover by Team (shot clock),115-157, ,,4,115,157,-42,2875.0
0:00.0,End of 4th quarter,115-157,,,4,115,157,-42,2880.0
