Time,Washington,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:52.0,D. Avdija makes 2-pt jump shot from 20 ft,104-121, ,,4,121,104,17,2648.0
3:35.0, ,104-121,T. Young misses 3-pt jump shot from 25 ft,,4,121,104,17,2665.0
3:32.0,Defensive rebound by D. Avdija,104-121, ,,4,121,104,17,2668.0
3:28.0,Turnover by A. Gill (lost ball; steal by T. Young),104-121, ,,4,121,104,17,2672.0
3:26.0, ,104-121,T. Young misses 2-pt layup from 2 ft (block by D. Avdija),,4,121,104,17,2674.0
3:25.0, ,104-121,Offensive rebound by Team,,4,121,104,17,2675.0
3:25.0, ,104-121,D. Murray enters the game for A. Griffin,,4,121,104,17,2675.0
3:19.0, ,104-121,Turnover by T. Young (bad pass; steal by D. Avdija),,4,121,104,17,2681.0
3:14.0,J. Davis makes 2-pt layup from 2 ft,106-121, ,,4,121,106,15,2686.0
3:14.0, ,106-121,Atlanta full timeout,,4,121,106,15,2686.0
2:50.0, ,106-123,D. Hunter makes 2-pt jump shot from 6 ft (assist by T. Young),,4,123,106,17,2710.0
2:36.0,D. Avdija makes 2-pt layup from 1 ft (assist by R. Rollins),108-123, ,,4,123,108,15,2724.0
2:13.0, ,108-123,S. Bey misses 3-pt jump shot from 23 ft,,4,123,108,15,2747.0
2:10.0,Defensive rebound by A. Gill,108-123, ,,4,123,108,15,2750.0
2:06.0,Shooting foul by O. Okongwu (drawn by R. Rollins),108-123, ,,4,123,108,15,2754.0
2:06.0,R. Rollins makes free throw 1 of 2,109-123, ,,4,123,109,14,2754.0
2:06.0,R. Rollins makes free throw 2 of 2,110-123, ,,4,123,110,13,2754.0
2:01.0, ,110-123,Personal foul by D. Avdija (drawn by D. Hunter),,4,123,110,13,2759.0
2:01.0,Washington full timeout,110-123, ,,4,123,110,13,2759.0
2:01.0,Instant Replay (Challenge: Ruling Stands),110-123, ,,4,123,110,13,2759.0
2:01.0, ,110-123,D. Hunter misses free throw 1 of 2,,4,123,110,13,2759.0
2:01.0, ,110-123,Offensive rebound by Team,,4,123,110,13,2759.0
2:01.0, ,110-124,D. Hunter makes free throw 2 of 2,,4,124,110,14,2759.0
1:48.0,J. Davis misses 2-pt jump shot from 17 ft,110-124, ,,4,124,110,14,2772.0
1:45.0, ,110-124,Defensive rebound by S. Bey,,4,124,110,14,2775.0
1:38.0, ,110-124,Turnover by D. Murray (bad pass; steal by J. Davis),,4,124,110,14,2782.0
1:36.0,J. Davis makes 2-pt layup from 1 ft,112-124, ,,4,124,112,12,2784.0
1:27.0, ,112-124,Personal foul by J. Davis (drawn by T. Young),,4,124,112,12,2793.0
1:27.0, ,112-125,T. Young makes free throw 1 of 2,,4,125,112,13,2793.0
1:27.0, ,112-126,T. Young makes free throw 2 of 2,,4,126,112,14,2793.0
1:19.0,R. Rollins makes 2-pt layup from 2 ft,114-126, ,,4,126,114,12,2801.0
1:07.0, ,114-126,Personal foul by J. Davis (drawn by T. Young),,4,126,114,12,2813.0
1:07.0, ,114-127,T. Young makes free throw 1 of 2,,4,127,114,13,2813.0
1:07.0, ,114-128,T. Young makes free throw 2 of 2,,4,128,114,14,2813.0
0:56.0,D. Avdija makes 2-pt jump shot from 22 ft,116-128, ,,4,128,116,12,2824.0
0:50.0, ,116-128,Shooting foul by D. Avdija (drawn by O. Okongwu),,4,128,116,12,2830.0
0:50.0, ,116-129,O. Okongwu makes free throw 1 of 2,,4,129,116,13,2830.0
0:50.0, ,116-130,O. Okongwu makes free throw 2 of 2,,4,130,116,14,2830.0
0:39.0,J. Davis makes 2-pt layup from 3 ft,118-130, ,,4,130,118,12,2841.0
0:39.0,Shooting foul by D. Hunter (drawn by J. Davis),118-130, ,,4,130,118,12,2841.0
0:39.0,J. Davis makes free throw 1 of 1,119-130, ,,4,130,119,11,2841.0
0:27.0, ,119-130,Turnover by D. Hunter (lost ball; steal by J. Davis),,4,130,119,11,2853.0
0:24.0,B. Coulibaly makes 2-pt dunk from 1 ft (assist by A. Gill),121-130, ,,4,130,121,9,2856.0
0:00.0, ,121-130,Turnover by Team (shot clock),,4,130,121,9,2880.0
0:00.0,End of 4th quarter,121-130,,,4,130,121,9,2880.0
