Time,Atlanta,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:40.0, ,88-82,A. Burks misses 3-pt jump shot from 23 ft,,4,88,82,6,2300.0
9:38.0, ,88-82,Offensive rebound by J. Sims,,4,88,82,6,2302.0
9:38.0, ,88-84,J. Sims makes 2-pt dunk at rim,,4,88,84,4,2302.0
9:20.0,B. Fernando makes 2-pt layup from 1 ft (assist by T. Forrest),90-84, ,,4,90,84,6,2320.0
9:05.0, ,90-84,A. Burks misses 2-pt layup from 3 ft,,4,90,84,6,2335.0
9:03.0, ,90-84,Offensive rebound by J. Sims,,4,90,84,6,2337.0
9:02.0, ,90-84,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,90,84,6,2338.0
9:01.0, ,90-84,Offensive rebound by J. Hart,,4,90,84,6,2339.0
8:58.0, ,90-84,Turnover by J. Hart (bad pass; steal by D. Hunter),,4,90,84,6,2342.0
8:57.0,Personal foul by M. McBride (drawn by D. Hunter),90-84, ,,4,90,84,6,2343.0
8:57.0,S. Bey enters the game for B. Bogdanović,90-84, ,,4,90,84,6,2343.0
8:57.0,G. Mathews enters the game for T. Forrest,90-84, ,,4,90,84,6,2343.0
8:57.0,D. Murray enters the game for J. Johnson,90-84, ,,4,90,84,6,2343.0
8:34.0,D. Hunter makes 2-pt dunk from 2 ft (assist by D. Murray),92-84, ,,4,92,84,8,2366.0
8:34.0,Shooting foul by M. McBride (drawn by D. Hunter),92-84, ,,4,92,84,8,2366.0
8:34.0,D. Hunter makes free throw 1 of 1,93-84, ,,4,93,84,9,2366.0
8:23.0, ,93-84,A. Burks misses 3-pt jump shot from 25 ft,,4,93,84,9,2377.0
8:21.0, ,93-84,Offensive rebound by J. Sims,,4,93,84,9,2379.0
8:19.0, ,93-84,B. Bogdanović misses 3-pt jump shot from 23 ft,,4,93,84,9,2381.0
8:17.0,Defensive rebound by G. Mathews,93-84, ,,4,93,84,9,2383.0
8:13.0,Technical foul by G. Mathews,93-84, ,,4,93,84,9,2387.0
8:13.0, ,93-85,B. Bogdanović makes technical free throw,,4,93,85,8,2387.0
8:13.0, ,93-85,D. DiVincenzo enters the game for A. Burks,,4,93,85,8,2387.0
8:10.0,Offensive foul by B. Fernando (drawn by M. McBride),93-85, ,,4,93,85,8,2390.0
8:10.0,Turnover by B. Fernando (offensive foul),93-85, ,,4,93,85,8,2390.0
7:49.0, ,93-85,D. DiVincenzo misses 2-pt layup from 4 ft (block by B. Fernando),,4,93,85,8,2411.0
7:47.0, ,93-85,Offensive rebound by M. McBride,,4,93,85,8,2413.0
7:47.0, ,93-85,M. McBride misses 3-pt jump shot from 50 ft,,4,93,85,8,2413.0
7:46.0, ,93-85,Offensive rebound by Team,,4,93,85,8,2414.0
7:46.0, ,93-85,Turnover by Team (shot clock),,4,93,85,8,2414.0
7:21.0,S. Bey misses 3-pt jump shot from 26 ft,93-85, ,,4,93,85,8,2439.0
7:19.0, ,93-85,Defensive rebound by J. Hart,,4,93,85,8,2441.0
7:14.0, ,93-88,J. Hart makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),,4,93,88,5,2446.0
7:12.0,Atlanta full timeout,93-88, ,,4,93,88,5,2448.0
6:57.0,D. Murray makes 2-pt jump shot from 14 ft,95-88, ,,4,95,88,7,2463.0
6:46.0, ,95-88,Personal foul by G. Mathews (drawn by M. McBride),,4,95,88,7,2474.0
6:46.0,J. Johnson enters the game for D. Hunter,95-88, ,,4,95,88,7,2474.0
6:39.0, ,95-88,D. DiVincenzo misses 2-pt jump shot from 12 ft,,4,95,88,7,2481.0
6:36.0, ,95-88,Offensive rebound by J. Hart,,4,95,88,7,2484.0
6:27.0, ,95-91,J. Hart makes 3-pt jump shot from 25 ft (assist by D. DiVincenzo),,4,95,91,4,2493.0
6:27.0,B. Bogdanović enters the game for B. Fernando,95-91, ,,4,95,91,4,2493.0
6:27.0,C. Capela enters the game for G. Mathews,95-91, ,,4,95,91,4,2493.0
6:02.0,D. Murray makes 3-pt jump shot from 24 ft (assist by C. Capela),98-91, ,,4,98,91,7,2518.0
5:50.0, ,98-91,J. Hart misses 3-pt jump shot from 27 ft,,4,98,91,7,2530.0
5:48.0,Defensive rebound by J. Johnson,98-91, ,,4,98,91,7,2532.0
5:38.0,D. Murray misses 3-pt jump shot from 25 ft,98-91, ,,4,98,91,7,2542.0
5:37.0,Offensive rebound by S. Bey,98-91, ,,4,98,91,7,2543.0
5:24.0,D. Murray misses 2-pt jump shot from 8 ft,98-91, ,,4,98,91,7,2556.0
5:23.0,Offensive rebound by Team,98-91, ,,4,98,91,7,2557.0
5:23.0,Turnover by Team (shot clock),98-91, ,,4,98,91,7,2557.0
5:12.0, ,98-91,Turnover by D. DiVincenzo (bad pass),,4,98,91,7,2568.0
5:12.0, ,98-91,I. Hartenstein enters the game for J. Sims,,4,98,91,7,2568.0
5:00.0,Shooting foul by B. Bogdanović (drawn by C. Capela),98-91, ,,4,98,91,7,2580.0
5:00.0,C. Capela misses free throw 1 of 2,98-91, ,,4,98,91,7,2580.0
5:00.0,Offensive rebound by Team,98-91, ,,4,98,91,7,2580.0
5:00.0,C. Capela makes free throw 2 of 2,99-91, ,,4,99,91,8,2580.0
4:44.0, ,99-91,M. McBride misses 2-pt jump shot from 7 ft,,4,99,91,8,2596.0
4:42.0,Defensive rebound by C. Capela,99-91, ,,4,99,91,8,2598.0
4:37.0,Personal foul by M. McBride (drawn by C. Capela),99-91, ,,4,99,91,8,2603.0
4:37.0,C. Capela makes free throw 1 of 2,100-91, ,,4,100,91,9,2603.0
4:37.0,C. Capela makes free throw 2 of 2,101-91, ,,4,101,91,10,2603.0
4:30.0, ,101-94,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by M. McBride),,4,101,94,7,2610.0
4:01.0,D. Murray misses 3-pt jump shot from 27 ft,101-94, ,,4,101,94,7,2639.0
3:59.0,Offensive rebound by C. Capela,101-94, ,,4,101,94,7,2641.0
3:58.0,C. Capela makes 2-pt layup from 1 ft,103-94, ,,4,103,94,9,2642.0
3:43.0, ,103-94,M. McBride misses 2-pt jump shot from 5 ft,,4,103,94,9,2657.0
3:41.0,Defensive rebound by C. Capela,103-94, ,,4,103,94,9,2659.0
3:37.0,Turnover by C. Capela (bad pass; steal by D. DiVincenzo),103-94, ,,4,103,94,9,2663.0
3:20.0, ,103-94,M. McBride misses 3-pt jump shot from 25 ft,,4,103,94,9,2680.0
3:18.0,Defensive rebound by J. Johnson,103-94, ,,4,103,94,9,2682.0
3:11.0,Atlanta full timeout,103-94, ,,4,103,94,9,2689.0
3:11.0,D. Hunter enters the game for B. Bogdanović,103-94, ,,4,103,94,9,2689.0
3:11.0, ,103-94,New York full timeout,,4,103,94,9,2689.0
3:06.0,D. Hunter makes 2-pt jump shot from 5 ft (assist by C. Capela),105-94, ,,4,105,94,11,2694.0
3:06.0,Shooting foul by B. Bogdanović (drawn by D. Hunter),105-94, ,,4,105,94,11,2694.0
3:06.0,D. Hunter misses free throw 1 of 1,105-94, ,,4,105,94,11,2694.0
3:03.0, ,105-94,Defensive rebound by D. DiVincenzo,,4,105,94,11,2697.0
2:50.0, ,105-94,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,105,94,11,2710.0
2:48.0,Defensive rebound by S. Bey,105-94, ,,4,105,94,11,2712.0
2:27.0,S. Bey makes 2-pt jump shot from 8 ft (assist by D. Murray),107-94, ,,4,107,94,13,2733.0
2:11.0, ,107-94,B. Bogdanović misses 3-pt jump shot from 22 ft,,4,107,94,13,2749.0
2:09.0,Defensive rebound by D. Murray,107-94, ,,4,107,94,13,2751.0
1:54.0,D. Murray makes 2-pt jump shot from 9 ft,109-94, ,,4,109,94,15,2766.0
1:52.0, ,109-94,New York full timeout,,4,109,94,15,2768.0
1:52.0, ,109-94,P. Achiuwa enters the game for I. Hartenstein,,4,109,94,15,2768.0
1:43.0, ,109-94,J. Hart misses 3-pt jump shot from 23 ft,,4,109,94,15,2777.0
1:41.0, ,109-94,Offensive rebound by P. Achiuwa,,4,109,94,15,2779.0
1:37.0, ,109-97,D. DiVincenzo makes 3-pt jump shot from 27 ft (assist by P. Achiuwa),,4,109,97,12,2783.0
1:17.0,D. Murray makes 2-pt jump shot from 11 ft,111-97, ,,4,111,97,14,2803.0
1:05.0, ,111-97,J. Hart misses 3-pt jump shot from 25 ft,,4,111,97,14,2815.0
1:03.0,Defensive rebound by S. Bey,111-97, ,,4,111,97,14,2817.0
0:51.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Johnson),113-97, ,,4,113,97,16,2829.0
0:43.0, ,113-100,D. DiVincenzo makes 3-pt jump shot from 25 ft (assist by M. McBride),,4,113,100,13,2837.0
0:31.0,S. Bey makes 2-pt dunk at rim (assist by J. Johnson),115-100, ,,4,115,100,15,2849.0
0:31.0,Shooting foul by B. Bogdanović (drawn by S. Bey),115-100, ,,4,115,100,15,2849.0
0:31.0,S. Bey makes free throw 1 of 1,116-100, ,,4,116,100,16,2849.0
0:23.0, ,116-100,Personal foul by J. Johnson (drawn by M. McBride),,4,116,100,16,2857.0
0:15.0, ,116-100,M. McBride misses 3-pt jump shot from 28 ft,,4,116,100,16,2865.0
0:13.0,Defensive rebound by C. Capela,116-100, ,,4,116,100,16,2867.0
0:00.0,End of 4th quarter,116-100,,,4,116,100,16,2880.0
