Time,Toronto,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Poeltl vs. C. Capela (T. Young gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-2,C. Capela makes 2-pt layup from 3 ft (assist by D. Murray),,1,2,0,2,22.0
11:15.0,J. Poeltl makes 2-pt layup from 1 ft (assist by J. Nwora),2-2, ,Tie,1,2,2,0,45.0
11:02.0, ,2-2,S. Bey misses 3-pt jump shot from 24 ft,,1,2,2,0,58.0
10:59.0, ,2-2,Offensive rebound by J. Johnson,,1,2,2,0,61.0
10:57.0, ,2-2,D. Murray misses 3-pt jump shot from 26 ft,,1,2,2,0,63.0
10:54.0, ,2-2,Offensive rebound by S. Bey,,1,2,2,0,66.0
10:53.0, ,2-2,S. Bey misses 2-pt hook shot from 3 ft,,1,2,2,0,67.0
10:52.0, ,2-2,Offensive rebound by S. Bey,,1,2,2,0,68.0
10:49.0, ,2-2,S. Bey misses 2-pt layup at rim,,1,2,2,0,71.0
10:48.0,Defensive rebound by I. Quickley,2-2, ,,1,2,2,0,72.0
10:44.0,I. Quickley makes 2-pt layup from 1 ft,4-2, ,Lead change,1,2,4,-2,76.0
10:31.0, ,4-2,J. Johnson misses 2-pt jump shot from 12 ft,,1,2,4,-2,89.0
10:24.0, ,4-2,Offensive rebound by C. Capela,,1,2,4,-2,96.0
10:24.0, ,4-2,C. Capela misses 2-pt layup at rim,,1,2,4,-2,96.0
10:23.0,Defensive rebound by J. Nwora,4-2, ,,1,2,4,-2,97.0
10:22.0,Turnover by I. Quickley (out of bounds lost ball),4-2, ,,1,2,4,-2,98.0
10:15.0, ,4-2,Shooting foul by J. Poeltl (drawn by J. Johnson),,1,2,4,-2,105.0
10:15.0, ,4-2,J. Johnson misses free throw 1 of 2,,1,2,4,-2,105.0
10:15.0, ,4-2,Offensive rebound by Team,,1,2,4,-2,105.0
10:15.0, ,4-2,J. Johnson misses free throw 2 of 2,,1,2,4,-2,105.0
10:13.0,Defensive rebound by I. Quickley,4-2, ,,1,2,4,-2,107.0
10:08.0,I. Quickley makes 3-pt jump shot from 26 ft,7-2, ,,1,2,7,-5,112.0
10:00.0, ,7-2,Turnover by T. Young (traveling),,1,2,7,-5,120.0
9:47.0,Turnover by S. Barnes (bad pass; steal by J. Johnson),7-2, ,,1,2,7,-5,133.0
9:42.0, ,7-2,D. Murray misses 2-pt layup from 2 ft,,1,2,7,-5,138.0
9:41.0, ,7-2,Offensive rebound by C. Capela,,1,2,7,-5,139.0
9:40.0, ,7-2,Personal foul by S. Barnes (drawn by C. Capela),,1,2,7,-5,140.0
9:30.0, ,7-2,D. Murray misses 2-pt jump shot from 13 ft,,1,2,7,-5,150.0
9:26.0,Defensive rebound by J. Nwora,7-2, ,,1,2,7,-5,154.0
9:23.0,I. Quickley makes 2-pt layup from 1 ft (assist by J. Nwora),9-2, ,,1,2,9,-7,157.0
9:22.0, ,9-2,Atlanta full timeout,,1,2,9,-7,158.0
9:06.0, ,9-2,J. Johnson misses 3-pt jump shot from 25 ft,,1,2,9,-7,174.0
9:04.0,Defensive rebound by Team,9-2, ,,1,2,9,-7,176.0
9:04.0, ,9-2,Loose ball foul by C. Capela (drawn by J. Poeltl),,1,2,9,-7,176.0
8:51.0,S. Barnes makes 2-pt layup at rim (assist by J. Poeltl),11-2, ,,1,2,11,-9,189.0
8:39.0, ,11-2,Personal foul by G. Trent (drawn by C. Capela),,1,2,11,-9,201.0
8:28.0, ,11-2,T. Young misses 3-pt jump shot from 25 ft,,1,2,11,-9,212.0
8:24.0,Defensive rebound by J. Nwora,11-2, ,,1,2,11,-9,216.0
8:19.0,I. Quickley misses 2-pt jump shot from 17 ft,11-2, ,,1,2,11,-9,221.0
8:15.0, ,11-2,Defensive rebound by S. Bey,,1,2,11,-9,225.0
8:08.0, ,11-2,C. Capela misses 2-pt layup from 1 ft,,1,2,11,-9,232.0
8:06.0,Defensive rebound by J. Poeltl,11-2, ,,1,2,11,-9,234.0
7:53.0,J. Poeltl makes 2-pt jump shot from 13 ft (assist by G. Trent),13-2, ,,1,2,13,-11,247.0
7:33.0, ,13-2,Turnover by T. Young (bad pass),,1,2,13,-11,267.0
7:33.0, ,13-2,Loose ball foul by T. Young (drawn by J. Nwora),,1,2,13,-11,267.0
7:17.0,S. Barnes makes 2-pt jump shot from 10 ft,15-2, ,,1,2,15,-13,283.0
7:02.0, ,15-2,T. Young misses 2-pt jump shot from 13 ft,,1,2,15,-13,298.0
6:58.0,Defensive rebound by J. Poeltl,15-2, ,,1,2,15,-13,302.0
6:54.0,G. Trent misses 3-pt jump shot from 26 ft,15-2, ,,1,2,15,-13,306.0
6:52.0, ,15-2,Defensive rebound by D. Murray,,1,2,15,-13,308.0
