Time,Dallas,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:58.0,L. Dončić makes free throw 1 of 1,137-127, ,,4,127,137,-10,2702.0
2:52.0, ,137-127,Shooting foul by D. Lively (drawn by T. Young),,4,127,137,-10,2708.0
2:52.0, ,137-127,T. Young misses free throw 1 of 2,,4,127,137,-10,2708.0
2:52.0, ,137-127,Offensive rebound by Team,,4,127,137,-10,2708.0
2:52.0, ,137-128,T. Young makes free throw 2 of 2,,4,128,137,-9,2708.0
2:43.0,D. Exum misses 2-pt layup from 2 ft,137-128, ,,4,128,137,-9,2717.0
2:40.0, ,137-128,Defensive rebound by C. Capela,,4,128,137,-9,2720.0
2:30.0, ,137-131,T. Young makes 3-pt jump shot from 25 ft (assist by S. Bey),,4,131,137,-6,2730.0
2:16.0,J. Green misses 2-pt layup at rim,137-131, ,,4,131,137,-6,2744.0
2:15.0, ,137-131,Defensive rebound by Team,,4,131,137,-6,2745.0
2:02.0, ,137-133,J. Johnson makes 2-pt jump shot from 7 ft,,4,133,137,-4,2758.0
1:44.0,T. Hardaway misses 2-pt jump shot from 7 ft,137-133, ,,4,133,137,-4,2776.0
1:40.0, ,137-133,Defensive rebound by D. Murray,,4,133,137,-4,2780.0
1:39.0, ,137-133,Shooting foul by L. Dončić (drawn by D. Murray),,4,133,137,-4,2781.0
1:39.0, ,137-133,D. Murray misses free throw 1 of 2,,4,133,137,-4,2781.0
1:39.0, ,137-133,Offensive rebound by Team,,4,133,137,-4,2781.0
1:39.0,Dallas full timeout,137-133, ,,4,133,137,-4,2781.0
1:39.0, ,137-134,D. Murray makes free throw 2 of 2,,4,134,137,-3,2781.0
1:23.0,T. Hardaway misses 3-pt jump shot from 23 ft,137-134, ,,4,134,137,-3,2797.0
1:19.0,Offensive rebound by D. Lively,137-134, ,,4,134,137,-3,2801.0
1:16.0,D. Exum makes 3-pt jump shot from 26 ft (assist by L. Dončić),140-134, ,,4,134,140,-6,2804.0
1:09.0, ,140-136,J. Johnson makes 2-pt jump shot from 9 ft (assist by D. Murray),,4,136,140,-4,2811.0
0:58.0,L. Dončić makes 2-pt layup from 1 ft,142-136, ,,4,136,142,-6,2822.0
0:58.0,Shooting foul by J. Johnson (drawn by L. Dončić),142-136, ,,4,136,142,-6,2822.0
0:58.0, ,142-136,B. Bogdanović enters the game for J. Johnson,,4,136,142,-6,2822.0
0:58.0,L. Dončić makes free throw 1 of 1,143-136, ,,4,136,143,-7,2822.0
0:51.0, ,143-138,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),,4,138,143,-5,2829.0
0:36.0,J. Green makes 3-pt jump shot from 23 ft (assist by D. Lively),146-138, ,,4,138,146,-8,2844.0
0:36.0, ,146-138,Atlanta full timeout,,4,138,146,-8,2844.0
0:32.0, ,146-138,D. Murray misses 3-pt jump shot from 26 ft,,4,138,146,-8,2848.0
0:28.0, ,146-138,Offensive rebound by C. Capela,,4,138,146,-8,2852.0
0:27.0, ,146-138,B. Bogdanović misses 2-pt jump shot from 21 ft,,4,138,146,-8,2853.0
0:23.0, ,146-138,Offensive rebound by S. Bey,,4,138,146,-8,2857.0
0:23.0, ,146-138,Shooting foul by D. Lively (drawn by S. Bey),,4,138,146,-8,2857.0
0:23.0, ,146-139,S. Bey makes free throw 1 of 2,,4,139,146,-7,2857.0
0:23.0, ,146-140,S. Bey makes free throw 2 of 2,,4,140,146,-6,2857.0
0:15.0,Turnover by T. Hardaway (bad pass),146-140, ,,4,140,146,-6,2865.0
0:10.0, ,146-143,T. Young makes 3-pt jump shot from 25 ft,,4,143,146,-3,2870.0
0:05.0,Personal take foul by B. Bogdanović (drawn by T. Hardaway),146-143, ,,4,143,146,-3,2875.0
0:05.0,T. Hardaway makes free throw 1 of 2,147-143, ,,4,143,147,-4,2875.0
0:05.0,T. Hardaway makes free throw 2 of 2,148-143, ,,4,143,148,-5,2875.0
0:05.0, ,148-143,Atlanta full timeout,,4,143,148,-5,2875.0
0:02.0, ,148-143,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,143,148,-5,2878.0
0:02.0, ,148-143,Offensive rebound by S. Bey,,4,143,148,-5,2878.0
0:02.0, ,148-143,S. Bey misses 2-pt layup at rim,,4,143,148,-5,2878.0
0:00.0, ,148-143,Offensive rebound by Team,,4,143,148,-5,2880.0
0:00.0,End of 4th quarter,148-143,,,4,143,148,-5,2880.0
