Time,Atlanta,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:52.0,Turnover by J. Johnson (bad pass),73-81, ,,3,73,81,-8,1928.0
3:52.0,Instant Replay (Challenge: Ruling Stands),73-81, ,,3,73,81,-8,1928.0
3:52.0, ,73-81,Charlotte full timeout,,3,73,81,-8,1928.0
3:37.0, ,73-83,S. Curry makes 2-pt jump shot from 17 ft,,3,73,83,-10,1943.0
3:12.0,S. Bey makes 2-pt dunk from 2 ft (assist by D. Murray),75-83, ,,3,75,83,-8,1968.0
2:57.0, ,75-83,Personal foul by D. Hunter (drawn by B. Miller),,3,75,83,-8,1983.0
2:57.0, ,75-84,B. Miller makes free throw 1 of 2,,3,75,84,-9,1983.0
2:57.0,G. Mathews enters the game for S. Bey,75-84, ,,3,75,84,-9,1983.0
2:57.0,T. Young enters the game for D. Murray,75-84, ,,3,75,84,-9,1983.0
2:57.0, ,75-85,B. Miller makes free throw 2 of 2,,3,75,85,-10,1983.0
2:39.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by T. Young),78-85, ,,3,78,85,-7,2001.0
2:25.0, ,78-87,V. Micić makes 2-pt layup from 1 ft,,3,78,87,-9,2015.0
2:16.0,T. Young misses 2-pt jump shot from 6 ft,78-87, ,,3,78,87,-9,2024.0
2:13.0, ,78-87,Defensive rebound by B. Miller,,3,78,87,-9,2027.0
2:10.0, ,78-89,G. Williams makes 2-pt layup from 2 ft (assist by B. Miller),,3,78,89,-11,2030.0
1:56.0,Turnover by T. Young (bad pass; steal by G. Williams),78-89, ,,3,78,89,-11,2044.0
1:55.0, ,78-89,Personal foul by T. Young (drawn by V. Micić),,3,78,89,-11,2045.0
1:55.0,Violation by Team (delay of game),78-89, ,,3,78,89,-11,2045.0
1:55.0, ,78-90,V. Micić makes free throw 1 of 2,,3,78,90,-12,2045.0
1:55.0, ,78-91,V. Micić makes free throw 2 of 2,,3,78,91,-13,2045.0
1:55.0, ,78-91,T. Mann enters the game for B. Miller,,3,78,91,-13,2045.0
1:33.0,T. Young misses 3-pt jump shot from 26 ft,78-91, ,,3,78,91,-13,2067.0
1:30.0, ,78-91,Defensive rebound by G. Williams,,3,78,91,-13,2070.0
1:25.0, ,78-94,G. Williams makes 3-pt jump shot from 27 ft (assist by V. Micić),,3,78,94,-16,2075.0
1:13.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by T. Young),80-94, ,,3,80,94,-14,2087.0
0:55.0, ,80-96,S. Curry makes 2-pt jump shot from 16 ft,,3,80,96,-16,2105.0
0:48.0,G. Mathews misses 3-pt jump shot from 30 ft,80-96, ,,3,80,96,-16,2112.0
0:44.0, ,80-96,Defensive rebound by G. Williams,,3,80,96,-16,2116.0
0:34.0, ,80-96,G. Williams misses 2-pt jump shot from 9 ft,,3,80,96,-16,2126.0
0:32.0,Defensive rebound by B. Bogdanović,80-96, ,,3,80,96,-16,2128.0
0:27.0,T. Young misses 3-pt jump shot from 29 ft,80-96, ,,3,80,96,-16,2133.0
0:21.0, ,80-96,Defensive rebound by G. Williams,,3,80,96,-16,2139.0
0:00.0,End of 3rd quarter,80-96,,,3,80,96,-16,2160.0
12:00.0,Start of 4th quarter,80-96,,,4,80,96,-16,2160.0
11:47.0, ,80-96,Offensive foul by B. Miller (drawn by G. Mathews),,4,80,96,-16,2173.0
11:47.0, ,80-96,Turnover by B. Miller (offensive foul),,4,80,96,-16,2173.0
11:39.0,Offensive foul by B. Bogdanović (drawn by N. Richards),80-96, ,,4,80,96,-16,2181.0
11:39.0,Turnover by B. Bogdanović (offensive foul),80-96, ,,4,80,96,-16,2181.0
11:26.0, ,80-96,S. Curry misses 3-pt jump shot from 25 ft,,4,80,96,-16,2194.0
11:25.0,Defensive rebound by Team,80-96, ,,4,80,96,-16,2195.0
11:20.0,B. Bogdanović misses 3-pt jump shot from 25 ft,80-96, ,,4,80,96,-16,2200.0
11:17.0, ,80-96,Defensive rebound by N. Richards,,4,80,96,-16,2203.0
11:10.0, ,80-96,Turnover by B. Miller (lost ball; steal by D. Hunter),,4,80,96,-16,2210.0
11:07.0,D. Hunter misses 2-pt layup from 2 ft (block by B. Miller),80-96, ,,4,80,96,-16,2213.0
11:06.0, ,80-96,Defensive rebound by T. Mann,,4,80,96,-16,2214.0
11:00.0, ,80-96,Turnover by T. Mann (bad pass),,4,80,96,-16,2220.0
10:51.0,D. Hunter makes 2-pt layup from 3 ft (assist by B. Bogdanović),82-96, ,,4,82,96,-14,2229.0
10:51.0,Shooting foul by G. Williams (drawn by D. Hunter),82-96, ,,4,82,96,-14,2229.0
10:51.0,D. Hunter makes free throw 1 of 1,83-96, ,,4,83,96,-13,2229.0
10:34.0, ,83-96,Shooting foul by J. Johnson (drawn by N. Richards),,4,83,96,-13,2246.0
10:34.0, ,83-96,N. Richards misses free throw 1 of 2,,4,83,96,-13,2246.0
10:34.0, ,83-96,Offensive rebound by Team,,4,83,96,-13,2246.0
10:34.0, ,83-97,N. Richards makes free throw 2 of 2,,4,83,97,-14,2246.0
10:23.0,G. Mathews misses 3-pt jump shot from 27 ft,83-97, ,,4,83,97,-14,2257.0
10:20.0, ,83-97,Defensive rebound by T. Mann,,4,83,97,-14,2260.0
10:11.0, ,83-97,Personal foul by T. Young (drawn by T. Mann),,4,83,97,-14,2269.0
10:01.0, ,83-99,T. Mann makes 2-pt layup from 2 ft,,4,83,99,-16,2279.0
10:01.0, ,83-99,Shooting foul by T. Young (drawn by T. Mann),,4,83,99,-16,2279.0
10:01.0, ,83-100,T. Mann makes free throw 1 of 1,,4,83,100,-17,2279.0
9:48.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),86-100, ,,4,86,100,-14,2292.0
9:34.0, ,86-100,Offensive foul by N. Richards (drawn by G. Mathews),,4,86,100,-14,2306.0
9:34.0, ,86-100,Turnover by N. Richards (offensive foul),,4,86,100,-14,2306.0
9:24.0,T. Young misses 3-pt jump shot from 29 ft,86-100, ,,4,86,100,-14,2316.0
9:21.0,Offensive rebound by B. Bogdanović,86-100, ,,4,86,100,-14,2319.0
9:17.0,T. Young makes 2-pt layup from 5 ft (assist by B. Bogdanović),88-100, ,,4,88,100,-12,2323.0
9:01.0, ,88-100,B. Miller misses 2-pt jump shot from 8 ft,,4,88,100,-12,2339.0
8:59.0,Defensive rebound by D. Hunter,88-100, ,,4,88,100,-12,2341.0
8:52.0,B. Bogdanović makes 2-pt layup from 2 ft,90-100, ,,4,90,100,-10,2348.0
8:52.0, ,90-100,Violation by Team (def goaltending),,4,90,100,-10,2348.0
8:36.0, ,90-100,T. Mann misses 2-pt layup from 5 ft (block by J. Johnson),,4,90,100,-10,2364.0
8:35.0,Defensive rebound by B. Bogdanović,90-100, ,,4,90,100,-10,2365.0
8:30.0,Turnover by B. Bogdanović (bad pass; steal by B. Miller),90-100, ,,4,90,100,-10,2370.0
8:24.0, ,90-100,T. Mann misses 3-pt jump shot from 22 ft,,4,90,100,-10,2376.0
8:21.0,Defensive rebound by J. Johnson,90-100, ,,4,90,100,-10,2379.0
8:16.0,Personal foul by G. Williams (drawn by B. Bogdanović),90-100, ,,4,90,100,-10,2384.0
8:16.0,S. Bey enters the game for D. Hunter,90-100, ,,4,90,100,-10,2384.0
8:16.0,B. Fernando enters the game for J. Johnson,90-100, ,,4,90,100,-10,2384.0
8:16.0,D. Murray enters the game for G. Mathews,90-100, ,,4,90,100,-10,2384.0
8:16.0, ,90-100,D. Bertāns enters the game for S. Curry,,4,90,100,-10,2384.0
8:16.0, ,90-100,M. Bridges enters the game for T. Mann,,4,90,100,-10,2384.0
8:16.0, ,90-100,C. Martin enters the game for G. Williams,,4,90,100,-10,2384.0
8:08.0,S. Bey misses 3-pt jump shot from 26 ft,90-100, ,,4,90,100,-10,2392.0
8:08.0, ,90-100,Defensive rebound by Team,,4,90,100,-10,2392.0
8:08.0,Loose ball foul by B. Fernando (drawn by N. Richards),90-100, ,,4,90,100,-10,2392.0
7:53.0, ,90-100,Turnover by C. Martin (bad pass; steal by B. Fernando),,4,90,100,-10,2407.0
7:42.0,Turnover by D. Murray (bad pass),90-100, ,,4,90,100,-10,2418.0
7:24.0, ,90-102,N. Richards makes 2-pt dunk from 1 ft (assist by B. Miller),,4,90,102,-12,2436.0
7:13.0,Shooting foul by N. Richards (drawn by T. Young),90-102, ,,4,90,102,-12,2447.0
7:13.0,T. Young makes free throw 1 of 2,91-102, ,,4,91,102,-11,2447.0
7:13.0, ,91-102,V. Micić enters the game for B. Miller,,4,91,102,-11,2447.0
7:13.0, ,91-102,G. Williams enters the game for N. Richards,,4,91,102,-11,2447.0
7:13.0,T. Young makes free throw 2 of 2,92-102, ,,4,92,102,-10,2447.0
6:58.0, ,92-102,G. Williams misses 3-pt jump shot from 26 ft,,4,92,102,-10,2462.0
6:55.0,Defensive rebound by B. Fernando,92-102, ,,4,92,102,-10,2465.0
6:47.0, ,92-102,Charlotte full timeout,,4,92,102,-10,2473.0
6:47.0,J. Johnson enters the game for T. Young,92-102, ,,4,92,102,-10,2473.0
6:42.0,B. Bogdanović misses 3-pt jump shot from 23 ft,92-102, ,,4,92,102,-10,2478.0
6:41.0,Offensive rebound by J. Johnson,92-102, ,,4,92,102,-10,2479.0
6:40.0,J. Johnson makes 2-pt layup at rim,94-102, ,,4,94,102,-8,2480.0
6:22.0, ,94-105,M. Bridges makes 3-pt jump shot from 23 ft (assist by V. Micić),,4,94,105,-11,2498.0
6:05.0,S. Bey misses 3-pt jump shot from 24 ft,94-105, ,,4,94,105,-11,2515.0
6:02.0, ,94-105,Defensive rebound by V. Micić,,4,94,105,-11,2518.0
5:57.0, ,94-107,V. Micić makes 2-pt layup from 1 ft,,4,94,107,-13,2523.0
5:44.0,B. Bogdanović misses 3-pt jump shot from 23 ft,94-107, ,,4,94,107,-13,2536.0
5:41.0,Offensive rebound by J. Johnson,94-107, ,,4,94,107,-13,2539.0
5:39.0,Turnover by B. Bogdanović (lost ball; steal by C. Martin),94-107, ,,4,94,107,-13,2541.0
5:32.0, ,94-107,G. Williams misses 3-pt jump shot from 28 ft,,4,94,107,-13,2548.0
5:31.0,Defensive rebound by J. Johnson,94-107, ,,4,94,107,-13,2549.0
5:22.0,Shooting foul by M. Bridges (drawn by D. Murray),94-107, ,,4,94,107,-13,2558.0
5:22.0,D. Murray makes free throw 1 of 2,95-107, ,,4,95,107,-12,2558.0
5:22.0,D. Hunter enters the game for B. Bogdanović,95-107, ,,4,95,107,-12,2558.0
5:22.0,T. Young enters the game for B. Fernando,95-107, ,,4,95,107,-12,2558.0
5:22.0,D. Murray misses free throw 2 of 2,95-107, ,,4,95,107,-12,2558.0
5:21.0, ,95-107,Defensive rebound by M. Bridges,,4,95,107,-12,2559.0
4:58.0, ,95-107,V. Micić misses 2-pt jump shot from 20 ft,,4,95,107,-12,2582.0
4:57.0, ,95-107,Offensive rebound by G. Williams,,4,95,107,-12,2583.0
4:51.0, ,95-109,G. Williams makes 2-pt layup from 2 ft (assist by D. Bertāns),,4,95,109,-14,2589.0
4:37.0,D. Murray misses 3-pt jump shot from 26 ft,95-109, ,,4,95,109,-14,2603.0
4:37.0, ,95-109,Defensive rebound by C. Martin,,4,95,109,-14,2603.0
4:22.0, ,95-112,V. Micić makes 3-pt jump shot from 27 ft (assist by C. Martin),,4,95,112,-17,2618.0
4:21.0,Atlanta full timeout,95-112, ,,4,95,112,-17,2619.0
4:06.0,J. Johnson misses 3-pt jump shot from 27 ft,95-112, ,,4,95,112,-17,2634.0
4:02.0, ,95-112,Defensive rebound by M. Bridges,,4,95,112,-17,2638.0
3:48.0, ,95-112,D. Bertāns misses 3-pt jump shot from 26 ft,,4,95,112,-17,2652.0
3:42.0,Defensive rebound by D. Hunter,95-112, ,,4,95,112,-17,2658.0
3:36.0,D. Hunter misses 2-pt jump shot from 19 ft,95-112, ,,4,95,112,-17,2664.0
3:32.0, ,95-112,Defensive rebound by G. Williams,,4,95,112,-17,2668.0
3:13.0, ,95-112,Personal foul by D. Hunter (drawn by V. Micić),,4,95,112,-17,2687.0
3:13.0,Atlanta full timeout,95-112, ,,4,95,112,-17,2687.0
3:13.0,Instant Replay (Challenge: Ruling Stands),95-112, ,,4,95,112,-17,2687.0
3:13.0, ,95-112,B. Miller enters the game for D. Bertāns,,4,95,112,-17,2687.0
3:13.0, ,95-113,V. Micić makes free throw 1 of 2,,4,95,113,-18,2687.0
3:13.0, ,95-114,V. Micić makes free throw 2 of 2,,4,95,114,-19,2687.0
3:04.0,T. Young misses 3-pt jump shot from 27 ft,95-114, ,,4,95,114,-19,2696.0
2:59.0, ,95-114,Defensive rebound by V. Micić,,4,95,114,-19,2701.0
2:40.0, ,95-117,M. Bridges makes 3-pt jump shot from 25 ft (assist by V. Micić),,4,95,117,-22,2720.0
2:28.0,S. Bey misses 2-pt layup from 6 ft (block by B. Miller),95-117, ,,4,95,117,-22,2732.0
2:27.0,Offensive rebound by Team,95-117, ,,4,95,117,-22,2733.0
2:27.0,B. Bogdanović enters the game for S. Bey,95-117, ,,4,95,117,-22,2733.0
2:27.0,K. Bufkin enters the game for D. Hunter,95-117, ,,4,95,117,-22,2733.0
2:27.0,B. Fernando enters the game for J. Johnson,95-117, ,,4,95,117,-22,2733.0
2:27.0,V. Krejci enters the game for D. Murray,95-117, ,,4,95,117,-22,2733.0
2:27.0,G. Mathews enters the game for T. Young,95-117, ,,4,95,117,-22,2733.0
2:19.0,K. Bufkin makes 2-pt jump shot from 18 ft (assist by B. Fernando),97-117, ,,4,97,117,-20,2741.0
2:04.0, ,97-117,M. Bridges misses 2-pt layup from 3 ft,,4,97,117,-20,2756.0
2:03.0, ,97-117,Offensive rebound by G. Williams,,4,97,117,-20,2757.0
2:02.0, ,97-119,G. Williams makes 2-pt layup at rim,,4,97,119,-22,2758.0
1:45.0,K. Bufkin misses 3-pt jump shot from 26 ft,97-119, ,,4,97,119,-22,2775.0
1:43.0, ,97-119,Defensive rebound by B. Miller,,4,97,119,-22,2777.0
1:42.0, ,97-119,B. Miller misses 2-pt layup from 2 ft,,4,97,119,-22,2778.0
1:40.0, ,97-119,Offensive rebound by B. Miller,,4,97,119,-22,2780.0
1:40.0, ,97-119,B. Miller misses 2-pt layup from 1 ft,,4,97,119,-22,2780.0
1:39.0, ,97-119,Offensive rebound by B. Miller,,4,97,119,-22,2781.0
1:25.0, ,97-122,M. Bridges makes 3-pt jump shot from 28 ft (assist by B. Miller),,4,97,122,-25,2795.0
1:11.0,Turnover by B. Bogdanović (bad pass),97-122, ,,4,97,122,-25,2809.0
1:11.0, ,97-122,T. Mann enters the game for M. Bridges,,4,97,122,-25,2809.0
1:11.0, ,97-122,B. McGowens enters the game for C. Martin,,4,97,122,-25,2809.0
1:11.0, ,97-122,N. Smith enters the game for B. Miller,,4,97,122,-25,2809.0
1:11.0, ,97-122,J. Thor enters the game for G. Williams,,4,97,122,-25,2809.0
1:02.0, ,97-122,V. Micić misses 3-pt jump shot from 26 ft,,4,97,122,-25,2818.0
0:59.0,Defensive rebound by B. Fernando,97-122, ,,4,97,122,-25,2821.0
0:52.0,Turnover by K. Bufkin (bad pass),97-122, ,,4,97,122,-25,2828.0
0:40.0, ,97-122,Turnover by N. Smith (bad pass; steal by G. Mathews),,4,97,122,-25,2840.0
0:30.0,Shooting foul by J. Thor (drawn by B. Fernando),97-122, ,,4,97,122,-25,2850.0
0:30.0,B. Fernando makes free throw 1 of 2,98-122, ,,4,98,122,-24,2850.0
0:30.0,B. Fernando makes free throw 2 of 2,99-122, ,,4,99,122,-23,2850.0
0:06.0, ,99-122,Turnover by Team (shot clock),,4,99,122,-23,2874.0
0:00.0,End of 4th quarter,99-122,,,4,99,122,-23,2880.0
