Time,Atlanta,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:07.0, ,53-60,B. Miller makes 2-pt jump shot from 14 ft (assist by T. Mann),,2,53,60,-7,1373.0
1:07.0, ,53-60,Shooting foul by D. Hunter (drawn by B. Miller),,2,53,60,-7,1373.0
1:07.0, ,53-61,B. Miller makes free throw 1 of 1,,2,53,61,-8,1373.0
0:50.0,D. Hunter makes 2-pt jump shot from 19 ft,55-61, ,,2,55,61,-6,1390.0
0:40.0, ,55-61,T. Mann misses 2-pt jump shot from 15 ft,,2,55,61,-6,1400.0
0:38.0,Defensive rebound by D. Murray,55-61, ,,2,55,61,-6,1402.0
0:20.0,D. Hunter misses 2-pt jump shot from 21 ft,55-61, ,,2,55,61,-6,1420.0
0:18.0, ,55-61,Defensive rebound by B. Miller,,2,55,61,-6,1422.0
0:02.0, ,55-61,B. Miller misses 2-pt layup from 4 ft,,2,55,61,-6,1438.0
0:00.0,Defensive rebound by J. Johnson,55-61, ,,2,55,61,-6,1440.0
0:00.0,J. Johnson misses 3-pt jump shot from 44 ft,55-61, ,,2,55,61,-6,1440.0
0:00.0,Offensive rebound by Team,55-61, ,,2,55,61,-6,1440.0
0:00.0,End of 2nd quarter,55-61,,,2,55,61,-6,1440.0
12:00.0,Start of 3rd quarter,55-61,,,3,55,61,-6,1440.0
11:45.0,J. Johnson misses 3-pt jump shot from 27 ft,55-61, ,,3,55,61,-6,1455.0
11:40.0,Offensive rebound by D. Murray,55-61, ,,3,55,61,-6,1460.0
11:36.0,T. Young misses 2-pt jump shot from 8 ft,55-61, ,,3,55,61,-6,1464.0
11:31.0,Offensive rebound by T. Young,55-61, ,,3,55,61,-6,1469.0
11:29.0,T. Young misses 3-pt jump shot from 23 ft,55-61, ,,3,55,61,-6,1471.0
11:27.0, ,55-61,Defensive rebound by N. Richards,,3,55,61,-6,1473.0
11:24.0, ,55-63,B. Miller makes 2-pt dunk from 1 ft (assist by M. Bridges),,3,55,63,-8,1476.0
11:08.0,S. Bey misses 2-pt jump shot from 14 ft,55-63, ,,3,55,63,-8,1492.0
11:05.0, ,55-63,Defensive rebound by N. Richards,,3,55,63,-8,1495.0
10:59.0, ,55-63,B. Miller misses 3-pt jump shot from 31 ft,,3,55,63,-8,1501.0
10:57.0,Defensive rebound by D. Murray,55-63, ,,3,55,63,-8,1503.0
10:47.0,S. Bey misses 2-pt layup from 3 ft,55-63, ,,3,55,63,-8,1513.0
10:46.0,Offensive rebound by S. Bey,55-63, ,,3,55,63,-8,1514.0
10:45.0,S. Bey makes 2-pt layup at rim,57-63, ,,3,57,63,-6,1515.0
10:25.0, ,57-63,Personal foul by D. Murray (drawn by M. Bridges),,3,57,63,-6,1535.0
