Time,New Orleans,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Valančiūnas vs. C. Capela (D. Murray gains possession),0-0,,,1,0,0,0,0.0
11:39.0, ,0-3,S. Bey makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,1,3,0,3,21.0
11:21.0,Z. Williamson makes 2-pt layup from 1 ft,2-3, ,,1,3,2,1,39.0
11:07.0, ,2-3,D. Murray misses 2-pt layup from 2 ft,,1,3,2,1,53.0
11:05.0,Defensive rebound by J. Valančiūnas,2-3, ,,1,3,2,1,55.0
10:51.0,Shooting foul by S. Bey (drawn by Z. Williamson),2-3, ,,1,3,2,1,69.0
10:51.0,Z. Williamson makes free throw 1 of 2,3-3, ,Tie,1,3,3,0,69.0
10:51.0,Z. Williamson makes free throw 2 of 2,4-3, ,Lead change,1,3,4,-1,69.0
10:27.0, ,4-3,C. Capela misses 2-pt hook shot from 7 ft,,1,3,4,-1,93.0
10:24.0,Defensive rebound by J. Valančiūnas,4-3, ,,1,3,4,-1,96.0
10:11.0,Z. Williamson misses 2-pt layup from 2 ft (block by C. Capela),4-3, ,,1,3,4,-1,109.0
10:08.0, ,4-3,Defensive rebound by C. Capela,,1,3,4,-1,112.0
10:02.0, ,4-3,D. Murray misses 3-pt jump shot from 25 ft,,1,3,4,-1,118.0
9:59.0,Defensive rebound by B. Ingram,4-3, ,,1,3,4,-1,121.0
9:52.0,J. Valančiūnas makes 2-pt layup from 3 ft (assist by B. Ingram),6-3, ,,1,3,6,-3,128.0
9:33.0, ,6-3,D. Murray misses 3-pt jump shot from 25 ft,,1,3,6,-3,147.0
9:30.0, ,6-3,Offensive rebound by B. Bogdanović,,1,3,6,-3,150.0
9:29.0, ,6-6,B. Bogdanović makes 3-pt jump shot from 25 ft,Tie,1,6,6,0,151.0
9:11.0,Turnover by J. Valančiūnas (bad pass; steal by B. Bogdanović),6-6, ,,1,6,6,0,169.0
9:06.0, ,6-8,C. Capela makes 2-pt layup from 1 ft (assist by D. Murray),Lead change,1,8,6,2,174.0
8:54.0,Turnover by C. McCollum (bad pass; steal by V. Krejci),6-8, ,,1,8,6,2,186.0
8:51.0, ,6-8,V. Krejci misses 2-pt layup from 2 ft (block by Z. Williamson),,1,8,6,2,189.0
8:50.0, ,6-8,Offensive rebound by Team,,1,8,6,2,190.0
