Time,New Orleans,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:39.0, ,6-10,C. Capela makes 2-pt layup from 1 ft (assist by B. Bogdanović),,1,10,6,4,201.0
8:26.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by B. Ingram),9-10, ,,1,10,9,1,214.0
8:08.0, ,9-10,C. Capela misses 2-pt hook shot from 6 ft (block by J. Valančiūnas),,1,10,9,1,232.0
8:03.0, ,9-10,Offensive rebound by C. Capela,,1,10,9,1,237.0
8:03.0, ,9-10,C. Capela misses 2-pt layup at rim,,1,10,9,1,237.0
8:02.0,Defensive rebound by J. Valančiūnas,9-10, ,,1,10,9,1,238.0
7:59.0,C. McCollum makes 2-pt layup from 2 ft,11-10, ,Lead change,1,10,11,-1,241.0
7:40.0, ,11-10,B. Bogdanović misses 2-pt layup from 4 ft (block by J. Valančiūnas),,1,10,11,-1,260.0
7:37.0,Defensive rebound by B. Ingram,11-10, ,,1,10,11,-1,263.0
7:26.0,J. Valančiūnas misses 2-pt jump shot from 8 ft,11-10, ,,1,10,11,-1,274.0
7:23.0, ,11-10,Defensive rebound by S. Bey,,1,10,11,-1,277.0
7:14.0, ,11-10,D. Murray misses 2-pt jump shot from 6 ft (block by H. Jones),,1,10,11,-1,286.0
7:11.0,Defensive rebound by J. Valančiūnas,11-10, ,,1,10,11,-1,289.0
7:07.0,Turnover by B. Ingram (lost ball; steal by D. Murray),11-10, ,,1,10,11,-1,293.0
6:58.0, ,11-12,C. Capela makes 2-pt layup from 1 ft (assist by D. Murray),Lead change,1,12,11,1,302.0
6:58.0,New Orleans full timeout,11-12, ,,1,12,11,1,302.0
6:58.0, ,11-12,D. Hunter enters the game for B. Bogdanović,,1,12,11,1,302.0
6:58.0, ,11-12,W. Matthews enters the game for V. Krejci,,1,12,11,1,302.0
6:44.0,Z. Williamson makes 2-pt layup from 2 ft,13-12, ,Lead change,1,12,13,-1,316.0
6:32.0, ,13-12,S. Bey misses 3-pt jump shot from 25 ft,,1,12,13,-1,328.0
6:29.0,Defensive rebound by J. Valančiūnas,13-12, ,,1,12,13,-1,331.0
6:25.0,C. McCollum misses 3-pt jump shot from 26 ft,13-12, ,,1,12,13,-1,335.0
6:23.0,Offensive rebound by C. McCollum,13-12, ,,1,12,13,-1,337.0
6:14.0,B. Ingram misses 2-pt jump shot from 10 ft,13-12, ,,1,12,13,-1,346.0
6:10.0, ,13-12,Defensive rebound by D. Hunter,,1,12,13,-1,350.0
6:04.0, ,13-12,Shooting foul by B. Ingram (drawn by D. Murray),,1,12,13,-1,356.0
6:04.0, ,13-13,D. Murray makes free throw 1 of 2,Tie,1,13,13,0,356.0
6:04.0,T. Murphy enters the game for Z. Williamson,13-13, ,,1,13,13,0,356.0
6:04.0, ,13-13,G. Mathews enters the game for S. Bey,,1,13,13,0,356.0
6:04.0, ,13-13,D. Murray misses free throw 2 of 2,,1,13,13,0,356.0
6:02.0,Defensive rebound by J. Valančiūnas,13-13, ,,1,13,13,0,358.0
5:49.0,B. Ingram makes 2-pt dunk from 2 ft,15-13, ,,1,13,15,-2,371.0
5:37.0, ,15-13,W. Matthews misses 3-pt jump shot from 23 ft,,1,13,15,-2,383.0
5:37.0,Defensive rebound by B. Ingram,15-13, ,,1,13,15,-2,383.0
5:29.0,B. Ingram misses 2-pt jump shot from 11 ft,15-13, ,,1,13,15,-2,391.0
5:26.0, ,15-13,Defensive rebound by C. Capela,,1,13,15,-2,394.0
5:23.0, ,15-13,D. Murray misses 2-pt layup from 1 ft (block by H. Jones),,1,13,15,-2,397.0
5:22.0, ,15-13,Offensive rebound by Team,,1,13,15,-2,398.0
5:22.0, ,15-13,B. Fernando enters the game for C. Capela,,1,13,15,-2,398.0
5:08.0, ,15-15,G. Mathews makes 2-pt jump shot from 11 ft (assist by W. Matthews),Tie,1,15,15,0,412.0
5:01.0,C. McCollum misses 2-pt jump shot from 6 ft,15-15, ,,1,15,15,0,419.0
5:00.0, ,15-15,Defensive rebound by Team,,1,15,15,0,420.0
4:39.0, ,15-15,D. Murray misses 3-pt jump shot from 25 ft,,1,15,15,0,441.0
4:36.0,Defensive rebound by J. Valančiūnas,15-15, ,,1,15,15,0,444.0
4:29.0,T. Murphy makes 2-pt dunk from 1 ft (assist by B. Ingram),17-15, ,,1,15,17,-2,451.0
4:11.0, ,17-15,D. Hunter misses 3-pt jump shot from 23 ft,,1,15,17,-2,469.0
4:08.0,Defensive rebound by T. Murphy,17-15, ,,1,15,17,-2,472.0
4:04.0,T. Murphy misses 3-pt jump shot from 26 ft,17-15, ,,1,15,17,-2,476.0
4:01.0, ,17-15,Defensive rebound by B. Fernando,,1,15,17,-2,479.0
3:44.0, ,17-15,G. Mathews misses 3-pt jump shot from 24 ft,,1,15,17,-2,496.0
3:41.0,Defensive rebound by J. Valančiūnas,17-15, ,,1,15,17,-2,499.0
3:29.0,Turnover by T. Murphy (lost ball; steal by B. Fernando),17-15, ,,1,15,17,-2,511.0
3:24.0, ,17-15,D. Hunter misses 3-pt jump shot from 26 ft,,1,15,17,-2,516.0
3:21.0,Defensive rebound by H. Jones,17-15, ,,1,15,17,-2,519.0
3:10.0,Turnover by H. Jones (bad pass),17-15, ,,1,15,17,-2,530.0
3:10.0, ,17-15,Atlanta full timeout,,1,15,17,-2,530.0
3:10.0,J. Alvarado enters the game for B. Ingram,17-15, ,,1,15,17,-2,530.0
3:10.0,N. Marshall enters the game for H. Jones,17-15, ,,1,15,17,-2,530.0
3:10.0,L. Nance enters the game for C. McCollum,17-15, ,,1,15,17,-2,530.0
3:10.0,Z. Williamson enters the game for J. Valančiūnas,17-15, ,,1,15,17,-2,530.0
3:10.0, ,17-15,S. Bey enters the game for G. Mathews,,1,15,17,-2,530.0
3:10.0, ,17-15,B. Bogdanović enters the game for W. Matthews,,1,15,17,-2,530.0
3:10.0, ,17-15,T. Forrest enters the game for D. Murray,,1,15,17,-2,530.0
2:49.0, ,17-15,D. Hunter misses 2-pt jump shot from 5 ft,,1,15,17,-2,551.0
2:44.0, ,17-15,Offensive rebound by B. Fernando,,1,15,17,-2,556.0
2:44.0, ,17-15,B. Fernando misses 2-pt dunk at rim,,1,15,17,-2,556.0
2:43.0,Defensive rebound by J. Alvarado,17-15, ,,1,15,17,-2,557.0
2:34.0,N. Marshall makes 2-pt jump shot from 7 ft (assist by Z. Williamson),19-15, ,,1,15,19,-4,566.0
2:20.0, ,19-18,S. Bey makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,1,18,19,-1,580.0
2:03.0,Personal foul by B. Fernando (drawn by L. Nance),19-18, ,,1,18,19,-1,597.0
1:56.0,L. Nance makes 2-pt dunk from 1 ft (assist by J. Alvarado),21-18, ,,1,18,21,-3,604.0
1:36.0, ,21-18,S. Bey misses 3-pt jump shot from 25 ft,,1,18,21,-3,624.0
1:34.0,Defensive rebound by N. Marshall,21-18, ,,1,18,21,-3,626.0
1:20.0,T. Murphy makes 3-pt jump shot from 26 ft (assist by N. Marshall),24-18, ,,1,18,24,-6,640.0
1:05.0, ,24-18,T. Forrest misses 2-pt jump shot from 4 ft,,1,18,24,-6,655.0
1:02.0, ,24-18,Offensive rebound by B. Fernando,,1,18,24,-6,658.0
1:02.0, ,24-18,B. Fernando misses 2-pt layup at rim,,1,18,24,-6,658.0
1:01.0,Defensive rebound by N. Marshall,24-18, ,,1,18,24,-6,659.0
1:00.0,Z. Williamson makes 2-pt dunk from 2 ft (assist by N. Marshall),26-18, ,,1,18,26,-8,660.0
0:44.0, ,26-20,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by B. Fernando),,1,20,26,-6,676.0
0:35.0,J. Alvarado misses 3-pt jump shot from 23 ft,26-20, ,,1,20,26,-6,685.0
0:31.0, ,26-20,Defensive rebound by D. Hunter,,1,20,26,-6,689.0
0:11.0, ,26-20,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,20,26,-6,709.0
0:08.0,Defensive rebound by L. Nance,26-20, ,,1,20,26,-6,712.0
0:00.0,T. Murphy misses 2-pt layup from 2 ft (block by B. Fernando),26-20, ,,1,20,26,-6,720.0
0:00.0,Offensive rebound by Team,26-20, ,,1,20,26,-6,720.0
0:00.0,End of 1st quarter,26-20,,,1,20,26,-6,720.0
12:00.0,Start of 2nd quarter,26-20,,,2,20,26,-6,720.0
11:46.0,Z. Williamson misses 2-pt layup from 1 ft,26-20, ,,2,20,26,-6,734.0
11:43.0, ,26-20,Defensive rebound by S. Bey,,2,20,26,-6,737.0
11:37.0, ,26-20,S. Bey misses 3-pt jump shot from 25 ft,,2,20,26,-6,743.0
11:34.0,Defensive rebound by N. Marshall,26-20, ,,2,20,26,-6,746.0
11:25.0,T. Murphy misses 3-pt jump shot from 25 ft,26-20, ,,2,20,26,-6,755.0
11:21.0, ,26-20,Defensive rebound by B. Fernando,,2,20,26,-6,759.0
11:07.0, ,26-20,Turnover by B. Fernando (out of bounds lost ball),,2,20,26,-6,773.0
10:55.0,N. Marshall makes 3-pt jump shot from 22 ft (assist by T. Murphy),29-20, ,,2,20,29,-9,785.0
10:31.0, ,29-22,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by S. Bey),,2,22,29,-7,809.0
10:13.0,T. Murphy makes 2-pt jump shot from 7 ft,31-22, ,,2,22,31,-9,827.0
9:52.0, ,31-22,B. Bogdanović misses 3-pt jump shot from 27 ft,,2,22,31,-9,848.0
9:49.0,Defensive rebound by T. Murphy,31-22, ,,2,22,31,-9,851.0
9:33.0,T. Murphy makes 3-pt jump shot from 26 ft (assist by Z. Williamson),34-22, ,,2,22,34,-12,867.0
9:29.0, ,34-22,Atlanta full timeout,,2,22,34,-12,871.0
9:29.0, ,34-22,D. Hunter enters the game for B. Bogdanović,,2,22,34,-12,871.0
9:29.0, ,34-22,D. Murray enters the game for T. Forrest,,2,22,34,-12,871.0
9:10.0, ,34-22,Personal foul by L. Nance (drawn by B. Fernando),,2,22,34,-12,890.0
9:01.0, ,34-22,D. Murray misses 3-pt jump shot from 26 ft,,2,22,34,-12,899.0
8:59.0,Defensive rebound by Z. Williamson,34-22, ,,2,22,34,-12,901.0
8:52.0,T. Murphy misses 3-pt jump shot from 28 ft,34-22, ,,2,22,34,-12,908.0
8:48.0, ,34-22,Defensive rebound by B. Fernando,,2,22,34,-12,912.0
8:38.0, ,34-22,S. Bey misses 2-pt jump shot from 9 ft,,2,22,34,-12,922.0
8:35.0,Defensive rebound by T. Murphy,34-22, ,,2,22,34,-12,925.0
8:23.0,Z. Williamson misses 2-pt layup from 3 ft,34-22, ,,2,22,34,-12,937.0
8:19.0, ,34-22,Defensive rebound by B. Fernando,,2,22,34,-12,941.0
8:13.0, ,34-22,Violation by Team (kicked ball),,2,22,34,-12,947.0
8:00.0,T. Murphy makes 3-pt jump shot from 26 ft,37-22, ,,2,22,37,-15,960.0
7:48.0, ,37-22,Turnover by D. Hunter (traveling),,2,22,37,-15,972.0
7:29.0,N. Marshall misses 2-pt jump shot from 12 ft,37-22, ,,2,22,37,-15,991.0
7:26.0, ,37-22,Defensive rebound by B. Fernando,,2,22,37,-15,994.0
7:13.0, ,37-22,D. Hunter misses 3-pt jump shot from 25 ft,,2,22,37,-15,1007.0
7:10.0,Defensive rebound by J. Alvarado,37-22, ,,2,22,37,-15,1010.0
7:07.0,Turnover by J. Alvarado (bad pass),37-22, ,,2,22,37,-15,1013.0
6:51.0, ,37-22,D. Murray misses 2-pt jump shot from 14 ft,,2,22,37,-15,1029.0
6:46.0, ,37-22,Offensive rebound by B. Fernando,,2,22,37,-15,1034.0
6:46.0, ,37-24,B. Fernando makes 2-pt dunk at rim,,2,24,37,-13,1034.0
6:31.0,N. Marshall misses 2-pt layup from 3 ft,37-24, ,,2,24,37,-13,1049.0
6:28.0,Offensive rebound by L. Nance,37-24, ,,2,24,37,-13,1052.0
6:26.0,T. Murphy makes 3-pt jump shot from 26 ft (assist by L. Nance),40-24, ,,2,24,40,-16,1054.0
6:09.0, ,40-24,Turnover by D. Hunter (lost ball; steal by L. Nance),,2,24,40,-16,1071.0
6:05.0,T. Murphy makes 2-pt dunk from 1 ft (assist by Z. Williamson),42-24, ,,2,24,42,-18,1075.0
6:05.0, ,42-24,Atlanta full timeout,,2,24,42,-18,1075.0
6:05.0,B. Ingram enters the game for J. Alvarado,42-24, ,,2,24,42,-18,1075.0
6:05.0,H. Jones enters the game for N. Marshall,42-24, ,,2,24,42,-18,1075.0
6:05.0,C. McCollum enters the game for T. Murphy,42-24, ,,2,24,42,-18,1075.0
6:05.0, ,42-24,B. Bogdanović enters the game for S. Bey,,2,24,42,-18,1075.0
6:05.0, ,42-24,C. Capela enters the game for B. Fernando,,2,24,42,-18,1075.0
6:05.0, ,42-24,V. Krejci enters the game for G. Mathews,,2,24,42,-18,1075.0
5:49.0, ,42-24,D. Hunter misses 3-pt jump shot from 25 ft,,2,24,42,-18,1091.0
5:46.0,Defensive rebound by Z. Williamson,42-24, ,,2,24,42,-18,1094.0
5:32.0,L. Nance makes 2-pt layup from 1 ft (assist by H. Jones),44-24, ,,2,24,44,-20,1108.0
5:13.0, ,44-26,C. Capela makes 2-pt dunk from 1 ft (assist by V. Krejci),,2,26,44,-18,1127.0
5:01.0,C. McCollum misses 3-pt jump shot from 26 ft,44-26, ,,2,26,44,-18,1139.0
4:58.0, ,44-26,Defensive rebound by D. Hunter,,2,26,44,-18,1142.0
4:54.0, ,44-29,D. Murray makes 3-pt jump shot from 25 ft (assist by D. Hunter),,2,29,44,-15,1146.0
4:53.0,New Orleans full timeout,44-29, ,,2,29,44,-15,1147.0
4:53.0,T. Murphy enters the game for L. Nance,44-29, ,,2,29,44,-15,1147.0
4:53.0,J. Valančiūnas enters the game for Z. Williamson,44-29, ,,2,29,44,-15,1147.0
4:29.0,C. McCollum makes 2-pt jump shot from 12 ft (assist by B. Ingram),46-29, ,,2,29,46,-17,1171.0
4:16.0, ,46-29,Turnover by D. Murray (bad pass; steal by B. Ingram),,2,29,46,-17,1184.0
4:13.0,Shooting foul by C. Capela (drawn by T. Murphy),46-29, ,,2,29,46,-17,1187.0
4:13.0,T. Murphy makes free throw 1 of 2,47-29, ,,2,29,47,-18,1187.0
4:13.0,T. Murphy makes free throw 2 of 2,48-29, ,,2,29,48,-19,1187.0
3:58.0, ,48-32,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Murray),,2,32,48,-16,1202.0
3:37.0,H. Jones makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),51-32, ,,2,32,51,-19,1223.0
3:21.0, ,51-32,D. Hunter misses 2-pt jump shot from 11 ft,,2,32,51,-19,1239.0
3:18.0, ,51-32,Offensive rebound by C. Capela,,2,32,51,-19,1242.0
3:16.0, ,51-32,B. Bogdanović misses 3-pt jump shot from 24 ft,,2,32,51,-19,1244.0
3:12.0,Defensive rebound by T. Murphy,51-32, ,,2,32,51,-19,1248.0
2:58.0,C. McCollum misses 3-pt jump shot from 24 ft,51-32, ,,2,32,51,-19,1262.0
2:55.0, ,51-32,Defensive rebound by V. Krejci,,2,32,51,-19,1265.0
2:50.0, ,51-35,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Hunter),,2,35,51,-16,1270.0
2:34.0,Turnover by T. Murphy (step out of bounds),51-35, ,,2,35,51,-16,1286.0
2:34.0,Z. Williamson enters the game for J. Valančiūnas,51-35, ,,2,35,51,-16,1286.0
2:34.0, ,51-35,S. Bey enters the game for V. Krejci,,2,35,51,-16,1286.0
2:22.0, ,51-35,Shooting foul by B. Ingram (drawn by D. Murray),,2,35,51,-16,1298.0
2:22.0, ,51-36,D. Murray makes free throw 1 of 2,,2,36,51,-15,1298.0
2:22.0, ,51-37,D. Murray makes free throw 2 of 2,,2,37,51,-14,1298.0
2:10.0,B. Ingram misses 3-pt jump shot from 23 ft,51-37, ,,2,37,51,-14,1310.0
2:08.0, ,51-37,Defensive rebound by Team,,2,37,51,-14,1312.0
1:45.0, ,51-37,D. Murray misses 2-pt jump shot from 11 ft,,2,37,51,-14,1335.0
1:42.0, ,51-37,Offensive rebound by C. Capela,,2,37,51,-14,1338.0
1:40.0, ,51-37,C. Capela misses 2-pt hook shot from 4 ft,,2,37,51,-14,1340.0
1:40.0,Defensive rebound by T. Murphy,51-37, ,,2,37,51,-14,1340.0
1:28.0,B. Ingram makes 2-pt dunk from 1 ft (assist by T. Murphy),53-37, ,,2,37,53,-16,1352.0
1:09.0, ,53-39,D. Hunter makes 2-pt jump shot from 5 ft,,2,39,53,-14,1371.0
0:45.0,Offensive foul by H. Jones (drawn by C. Capela),53-39, ,,2,39,53,-14,1395.0
0:45.0,Turnover by H. Jones (offensive foul),53-39, ,,2,39,53,-14,1395.0
0:30.0, ,53-42,D. Murray makes 3-pt jump shot from 25 ft (assist by S. Bey),,2,42,53,-11,1410.0
0:14.0,T. Murphy misses 3-pt jump shot from 25 ft,53-42, ,,2,42,53,-11,1426.0
0:11.0, ,53-42,Defensive rebound by D. Hunter,,2,42,53,-11,1429.0
0:01.0, ,53-42,D. Murray misses 3-pt jump shot from 26 ft,,2,42,53,-11,1439.0
0:00.0,Defensive rebound by C. McCollum,53-42, ,,2,42,53,-11,1440.0
0:00.0,End of 2nd quarter,53-42,,,2,42,53,-11,1440.0
12:00.0,Start of 3rd quarter,53-42,,,3,42,53,-11,1440.0
11:46.0,Shooting foul by C. Capela (drawn by C. McCollum),53-42, ,,3,42,53,-11,1454.0
11:46.0,C. McCollum makes free throw 1 of 2,54-42, ,,3,42,54,-12,1454.0
11:46.0,C. McCollum misses free throw 2 of 2,54-42, ,,3,42,54,-12,1454.0
11:44.0, ,54-42,Defensive rebound by C. Capela,,3,42,54,-12,1456.0
11:26.0, ,54-42,S. Bey misses 2-pt layup from 3 ft (block by H. Jones),,3,42,54,-12,1474.0
11:26.0, ,54-42,Offensive rebound by S. Bey,,3,42,54,-12,1474.0
11:26.0, ,54-42,Shooting foul by Z. Williamson (drawn by S. Bey),,3,42,54,-12,1474.0
11:26.0, ,54-43,S. Bey makes free throw 1 of 2,,3,43,54,-11,1474.0
11:26.0, ,54-44,S. Bey makes free throw 2 of 2,,3,44,54,-10,1474.0
11:06.0,H. Jones misses 3-pt jump shot from 22 ft,54-44, ,,3,44,54,-10,1494.0
11:03.0, ,54-44,Defensive rebound by C. Capela,,3,44,54,-10,1497.0
10:58.0, ,54-44,S. Bey misses 3-pt jump shot from 26 ft,,3,44,54,-10,1502.0
10:55.0,Defensive rebound by C. McCollum,54-44, ,,3,44,54,-10,1505.0
10:51.0,C. McCollum misses 2-pt jump shot from 19 ft,54-44, ,,3,44,54,-10,1509.0
10:44.0, ,54-44,Defensive rebound by V. Krejci,,3,44,54,-10,1516.0
10:37.0, ,54-44,S. Bey misses 3-pt jump shot from 27 ft,,3,44,54,-10,1523.0
10:34.0,Defensive rebound by C. McCollum,54-44, ,,3,44,54,-10,1526.0
10:24.0,C. McCollum misses 2-pt jump shot from 10 ft,54-44, ,,3,44,54,-10,1536.0
10:22.0, ,54-44,Defensive rebound by Team,,3,44,54,-10,1538.0
10:14.0, ,54-44,Shooting foul by Z. Williamson (drawn by D. Murray),,3,44,54,-10,1546.0
10:14.0, ,54-45,D. Murray makes free throw 1 of 2,,3,45,54,-9,1546.0
10:14.0, ,54-46,D. Murray makes free throw 2 of 2,,3,46,54,-8,1546.0
9:59.0,B. Ingram makes 2-pt layup from 1 ft (assist by Z. Williamson),56-46, ,,3,46,56,-10,1561.0
9:47.0, ,56-46,Personal foul by H. Jones (drawn by D. Murray),,3,46,56,-10,1573.0
9:35.0, ,56-46,B. Bogdanović misses 3-pt jump shot from 26 ft,,3,46,56,-10,1585.0
9:31.0,Defensive rebound by Z. Williamson,56-46, ,,3,46,56,-10,1589.0
9:23.0,Personal foul by D. Murray (drawn by B. Ingram),56-46, ,,3,46,56,-10,1597.0
9:15.0,B. Ingram misses 2-pt jump shot from 17 ft,56-46, ,,3,46,56,-10,1605.0
9:09.0, ,56-46,Defensive rebound by S. Bey,,3,46,56,-10,1611.0
8:49.0, ,56-46,B. Bogdanović misses 3-pt jump shot from 26 ft,,3,46,56,-10,1631.0
8:44.0, ,56-46,Offensive rebound by C. Capela,,3,46,56,-10,1636.0
8:43.0, ,56-46,Turnover by C. Capela (bad pass; steal by H. Jones),,3,46,56,-10,1637.0
8:37.0,L. Nance makes 2-pt layup from 1 ft (assist by C. McCollum),58-46, ,,3,46,58,-12,1643.0
8:22.0, ,58-48,D. Murray makes 2-pt layup from 2 ft,,3,48,58,-10,1658.0
8:06.0, ,58-48,Atlanta full timeout,,3,48,58,-10,1674.0
8:06.0, ,58-48,Instant Replay (Challenge: Ruling Stands),,3,48,58,-10,1674.0
8:06.0,Turnover by C. McCollum (bad pass),58-48, ,,3,48,58,-10,1674.0
7:42.0, ,58-48,V. Krejci misses 3-pt jump shot from 38 ft,,3,48,58,-10,1698.0
7:37.0,Defensive rebound by Z. Williamson,58-48, ,,3,48,58,-10,1703.0
7:28.0,B. Ingram misses 2-pt jump shot from 6 ft,58-48, ,,3,48,58,-10,1712.0
7:24.0, ,58-48,Defensive rebound by C. Capela,,3,48,58,-10,1716.0
7:16.0, ,58-48,Turnover by B. Bogdanović (bad pass; steal by L. Nance),,3,48,58,-10,1724.0
7:07.0,Shooting foul by C. Capela (drawn by Z. Williamson),58-48, ,,3,48,58,-10,1733.0
7:07.0,Z. Williamson makes free throw 1 of 2,59-48, ,,3,48,59,-11,1733.0
7:07.0, ,59-48,D. Hunter enters the game for B. Bogdanović,,3,48,59,-11,1733.0
7:07.0,Z. Williamson misses free throw 2 of 2,59-48, ,,3,48,59,-11,1733.0
7:05.0, ,59-48,Defensive rebound by S. Bey,,3,48,59,-11,1735.0
6:47.0, ,59-48,D. Hunter misses 3-pt jump shot from 25 ft (block by Z. Williamson),,3,48,59,-11,1753.0
6:45.0,Defensive rebound by Team,59-48, ,,3,48,59,-11,1755.0
6:25.0,Z. Williamson makes 2-pt jump shot from 4 ft (assist by B. Ingram),61-48, ,,3,48,61,-13,1775.0
6:04.0, ,61-50,C. Capela makes 2-pt dunk from 1 ft (assist by V. Krejci),,3,50,61,-11,1796.0
5:43.0,Z. Williamson makes 2-pt layup from 1 ft (assist by C. McCollum),63-50, ,,3,50,63,-13,1817.0
5:25.0, ,63-50,Turnover by C. Capela (bad pass; steal by H. Jones),,3,50,63,-13,1835.0
5:23.0,H. Jones makes 2-pt dunk from 1 ft,65-50, ,,3,50,65,-15,1837.0
5:23.0, ,65-50,Atlanta full timeout,,3,50,65,-15,1837.0
5:23.0,T. Murphy enters the game for L. Nance,65-50, ,,3,50,65,-15,1837.0
5:23.0,J. Valančiūnas enters the game for Z. Williamson,65-50, ,,3,50,65,-15,1837.0
5:23.0, ,65-50,B. Fernando enters the game for S. Bey,,3,50,65,-15,1837.0
5:23.0, ,65-50,G. Mathews enters the game for C. Capela,,3,50,65,-15,1837.0
5:08.0, ,65-52,D. Murray makes 2-pt jump shot from 12 ft,,3,52,65,-13,1852.0
4:53.0,C. McCollum makes 3-pt jump shot from 23 ft (assist by B. Ingram),68-52, ,,3,52,68,-16,1867.0
4:30.0, ,68-55,D. Hunter makes 3-pt jump shot from 25 ft (assist by V. Krejci),,3,55,68,-13,1890.0
4:03.0,C. McCollum makes 3-pt jump shot from 23 ft (assist by B. Ingram),71-55, ,,3,55,71,-16,1917.0
3:44.0, ,71-55,D. Hunter misses 2-pt jump shot from 18 ft,,3,55,71,-16,1936.0
3:42.0,Defensive rebound by T. Murphy,71-55, ,,3,55,71,-16,1938.0
3:31.0,T. Murphy makes 3-pt jump shot from 26 ft (assist by C. McCollum),74-55, ,,3,55,74,-19,1949.0
3:17.0, ,74-57,B. Fernando makes 2-pt layup from 2 ft (assist by D. Murray),,3,57,74,-17,1963.0
2:56.0,H. Jones makes 2-pt layup from 1 ft (assist by B. Ingram),76-57, ,,3,57,76,-19,1984.0
2:45.0, ,76-57,Personal foul by H. Jones (drawn by D. Murray),,3,57,76,-19,1995.0
2:45.0,N. Marshall enters the game for H. Jones,76-57, ,,3,57,76,-19,1995.0
2:45.0, ,76-57,B. Bogdanović enters the game for V. Krejci,,3,57,76,-19,1995.0
2:36.0, ,76-57,D. Hunter misses 2-pt layup from 9 ft,,3,57,76,-19,2004.0
2:31.0,Defensive rebound by B. Ingram,76-57, ,,3,57,76,-19,2009.0
2:25.0,Shooting foul by G. Mathews (drawn by J. Valančiūnas),76-57, ,,3,57,76,-19,2015.0
2:25.0,J. Valančiūnas makes free throw 1 of 2,77-57, ,,3,57,77,-20,2015.0
2:25.0,J. Valančiūnas makes free throw 2 of 2,78-57, ,,3,57,78,-21,2015.0
2:09.0, ,78-57,D. Murray misses 3-pt jump shot from 26 ft,,3,57,78,-21,2031.0
2:06.0,Defensive rebound by B. Ingram,78-57, ,,3,57,78,-21,2034.0
1:47.0,C. McCollum misses 2-pt layup from 3 ft (block by B. Fernando),78-57, ,,3,57,78,-21,2053.0
1:44.0, ,78-57,Defensive rebound by B. Fernando,,3,57,78,-21,2056.0
1:42.0, ,78-57,D. Murray misses 2-pt layup from 2 ft,,3,57,78,-21,2058.0
1:38.0,Defensive rebound by T. Murphy,78-57, ,,3,57,78,-21,2062.0
1:33.0,Shooting foul by B. Fernando (drawn by B. Ingram),78-57, ,,3,57,78,-21,2067.0
