Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Embiid vs. C. Capela (J. Johnson gains possession),0-0,,,1,0,0,0,0.0
11:41.0, ,0-0,T. Young misses 3-pt jump shot from 26 ft (block by R. Covington),,1,0,0,0,19.0
11:36.0,Defensive rebound by J. Embiid,0-0, ,,1,0,0,0,24.0
11:32.0,T. Harris makes 2-pt jump shot from 10 ft,2-0, ,,1,0,2,-2,28.0
11:17.0, ,2-3,D. Murray makes 3-pt jump shot from 26 ft (assist by C. Capela),Lead change,1,3,2,1,43.0
10:59.0,T. Harris makes 2-pt layup from 2 ft (assist by J. Embiid),4-3, ,Lead change,1,3,4,-1,61.0
10:46.0, ,4-3,T. Young misses 2-pt jump shot from 10 ft,,1,3,4,-1,74.0
10:42.0,Defensive rebound by R. Covington,4-3, ,,1,3,4,-1,78.0
10:37.0,T. Maxey misses 3-pt jump shot from 28 ft,4-3, ,,1,3,4,-1,83.0
10:34.0,Offensive rebound by D. Melton,4-3, ,,1,3,4,-1,86.0
10:33.0,D. Melton misses 2-pt layup from 2 ft,4-3, ,,1,3,4,-1,87.0
10:30.0, ,4-3,Defensive rebound by J. Johnson,,1,3,4,-1,90.0
10:27.0, ,4-5,J. Johnson makes 2-pt dunk from 2 ft,Lead change,1,5,4,1,93.0
10:18.0,Shooting foul by J. Johnson (drawn by J. Embiid),4-5, ,,1,5,4,1,102.0
10:18.0,J. Embiid makes free throw 1 of 2,5-5, ,Tie,1,5,5,0,102.0
10:18.0,J. Embiid makes free throw 2 of 2,6-5, ,Lead change,1,5,6,-1,102.0
10:05.0, ,6-5,C. Capela misses 2-pt layup from 1 ft,,1,5,6,-1,115.0
10:01.0, ,6-5,Offensive rebound by C. Capela,,1,5,6,-1,119.0
10:01.0, ,6-7,C. Capela makes 2-pt layup at rim,Lead change,1,7,6,1,119.0
9:40.0,J. Embiid makes 2-pt layup from 1 ft (assist by T. Maxey),8-7, ,Lead change,1,7,8,-1,140.0
9:28.0, ,8-7,Turnover by T. Young (bad pass),,1,7,8,-1,152.0
9:04.0,J. Embiid makes 3-pt jump shot from 26 ft,11-7, ,,1,7,11,-4,176.0
8:42.0, ,11-7,D. Hunter misses 3-pt jump shot from 23 ft,,1,7,11,-4,198.0
8:41.0,Defensive rebound by Team,11-7, ,,1,7,11,-4,199.0
8:41.0, ,11-7,Loose ball foul by C. Capela (drawn by J. Embiid),,1,7,11,-4,199.0
8:29.0,J. Embiid makes 2-pt layup from 1 ft (assist by R. Covington),13-7, ,,1,7,13,-6,211.0
8:17.0, ,13-9,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,1,9,13,-4,223.0
7:59.0,T. Harris makes 2-pt dunk from 1 ft (assist by J. Embiid),15-9, ,,1,9,15,-6,241.0
7:46.0, ,15-12,T. Young makes 3-pt jump shot from 25 ft,,1,12,15,-3,254.0
7:21.0,T. Harris misses 2-pt layup from 1 ft,15-12, ,,1,12,15,-3,279.0
7:17.0, ,15-12,Defensive rebound by D. Hunter,,1,12,15,-3,283.0
7:01.0, ,15-12,Personal foul by T. Maxey (drawn by T. Young),,1,12,15,-3,299.0
7:01.0, ,15-12,Atlanta full timeout,,1,12,15,-3,299.0
6:55.0, ,15-14,D. Murray makes 2-pt layup from 2 ft,,1,14,15,-1,305.0
6:42.0,Personal foul by D. Murray (drawn by J. Embiid),15-14, ,,1,14,15,-1,318.0
6:42.0, ,15-14,B. Bogdanović enters the game for T. Young,,1,14,15,-1,318.0
6:36.0,Turnover by R. Covington (bad pass),15-14, ,,1,14,15,-1,324.0
6:21.0, ,15-14,Turnover by B. Bogdanović (bad pass; steal by T. Harris),,1,14,15,-1,339.0
6:13.0,D. Melton misses 3-pt jump shot from 25 ft,15-14, ,,1,14,15,-1,347.0
6:09.0, ,15-14,Defensive rebound by J. Johnson,,1,14,15,-1,351.0
6:02.0, ,15-14,J. Johnson misses 2-pt layup from 2 ft,,1,14,15,-1,358.0
6:00.0, ,15-14,Offensive rebound by J. Johnson,,1,14,15,-1,360.0
5:58.0, ,15-16,J. Johnson makes 2-pt jump shot from 9 ft,Lead change,1,16,15,1,362.0
5:41.0,D. Melton makes 2-pt jump shot from 12 ft (assist by T. Maxey),17-16, ,Lead change,1,16,17,-1,379.0
5:25.0, ,17-16,D. Murray misses 2-pt jump shot from 12 ft,,1,16,17,-1,395.0
5:23.0,Defensive rebound by J. Embiid,17-16, ,,1,16,17,-1,397.0
