Time,Boston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. C. Capela (S. Hauser gains possession),0-0,,,1,0,0,0,0.0
11:41.0,K. Porziņģis misses 2-pt hook shot from 5 ft,0-0, ,,1,0,0,0,19.0
11:37.0,Offensive rebound by K. Porziņģis,0-0, ,,1,0,0,0,23.0
11:37.0,K. Porziņģis makes 2-pt layup at rim,2-0, ,,1,0,2,-2,23.0
11:28.0, ,2-0,Personal foul by S. Hauser (drawn by D. Hunter),,1,0,2,-2,32.0
11:21.0, ,2-0,D. Murray misses 3-pt jump shot from 26 ft,,1,0,2,-2,39.0
11:19.0,Defensive rebound by A. Horford,2-0, ,,1,0,2,-2,41.0
11:00.0,J. Tatum makes 2-pt jump shot from 10 ft,4-0, ,,1,0,4,-4,60.0
10:42.0, ,4-2,C. Capela makes 2-pt hook shot from 7 ft (assist by D. Murray),,1,2,4,-2,78.0
10:23.0,K. Porziņģis misses 2-pt jump shot from 11 ft,4-2, ,,1,2,4,-2,97.0
10:21.0, ,4-2,Defensive rebound by C. Capela,,1,2,4,-2,99.0
10:12.0, ,4-2,D. Murray misses 3-pt jump shot from 24 ft,,1,2,4,-2,108.0
10:08.0,Defensive rebound by J. Tatum,4-2, ,,1,2,4,-2,112.0
10:04.0,Personal foul by D. Hunter (drawn by K. Porziņģis),4-2, ,,1,2,4,-2,116.0
9:49.0,Shooting foul by B. Bogdanović (drawn by J. Tatum),4-2, ,,1,2,4,-2,131.0
9:49.0,J. Tatum makes free throw 1 of 3,5-2, ,,1,2,5,-3,131.0
9:49.0,J. Tatum makes free throw 2 of 3,6-2, ,,1,2,6,-4,131.0
9:49.0,J. Tatum makes free throw 3 of 3,7-2, ,,1,2,7,-5,131.0
9:36.0, ,7-4,D. Murray makes 2-pt layup from 2 ft (assist by C. Capela),,1,4,7,-3,144.0
