Time,Atlanta,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:25.0,Offensive rebound by Team,4-12, ,,1,4,12,-8,215.0
8:23.0,D. Murray misses 2-pt jump shot from 13 ft,4-12, ,,1,4,12,-8,217.0
8:20.0, ,4-12,Defensive rebound by D. Gafford,,1,4,12,-8,220.0
8:13.0, ,4-15,K. Kuzma makes 3-pt jump shot from 24 ft (assist by T. Jones),,1,4,15,-11,227.0
8:10.0,Atlanta full timeout,4-15, ,,1,4,15,-11,230.0
7:46.0,C. Capela misses 2-pt layup from 7 ft (block by D. Gafford),4-15, ,,1,4,15,-11,254.0
7:44.0, ,4-15,Defensive rebound by K. Kuzma,,1,4,15,-11,256.0
7:41.0, ,4-17,K. Kuzma makes 2-pt dunk from 3 ft (assist by J. Poole),,1,4,17,-13,259.0
7:25.0,S. Bey misses 2-pt layup from 6 ft,4-17, ,,1,4,17,-13,275.0
7:23.0,Offensive rebound by S. Bey,4-17, ,,1,4,17,-13,277.0
7:21.0,Shooting foul by D. Gafford (drawn by J. Johnson),4-17, ,,1,4,17,-13,279.0
7:21.0,J. Johnson makes free throw 1 of 2,5-17, ,,1,5,17,-12,279.0
7:21.0,J. Johnson makes free throw 2 of 2,6-17, ,,1,6,17,-11,279.0
7:05.0, ,6-19,D. Gafford makes 2-pt layup from 3 ft (assist by J. Poole),,1,6,19,-13,295.0
6:52.0,D. Murray makes 2-pt jump shot from 7 ft (assist by T. Young),8-19, ,,1,8,19,-11,308.0
6:39.0, ,8-19,K. Kuzma misses 3-pt jump shot from 28 ft,,1,8,19,-11,321.0
6:37.0,Defensive rebound by S. Bey,8-19, ,,1,8,19,-11,323.0
6:27.0,C. Capela makes 2-pt dunk from 4 ft (assist by D. Murray),10-19, ,,1,10,19,-9,333.0
6:09.0, ,10-22,K. Kuzma makes 3-pt jump shot from 25 ft (assist by D. Avdija),,1,10,22,-12,351.0
5:51.0,T. Young makes 3-pt jump shot from 29 ft (assist by J. Johnson),13-22, ,,1,13,22,-9,369.0
5:37.0, ,13-22,T. Jones misses 3-pt jump shot from 27 ft,,1,13,22,-9,383.0
5:34.0,Defensive rebound by D. Murray,13-22, ,,1,13,22,-9,386.0
5:24.0,Shooting foul by D. Gafford (drawn by C. Capela),13-22, ,,1,13,22,-9,396.0
5:24.0,C. Capela misses free throw 1 of 2,13-22, ,,1,13,22,-9,396.0
5:24.0,Offensive rebound by Team,13-22, ,,1,13,22,-9,396.0
5:24.0,B. Bogdanović enters the game for J. Johnson,13-22, ,,1,13,22,-9,396.0
5:24.0,P. Mills enters the game for T. Young,13-22, ,,1,13,22,-9,396.0
5:24.0,C. Capela misses free throw 2 of 2,13-22, ,,1,13,22,-9,396.0
5:22.0, ,13-22,Defensive rebound by D. Avdija,,1,13,22,-9,398.0
5:05.0, ,13-22,K. Kuzma misses 2-pt jump shot from 17 ft,,1,13,22,-9,415.0
5:02.0,Defensive rebound by P. Mills,13-22, ,,1,13,22,-9,418.0
4:54.0,D. Murray misses 2-pt layup from 7 ft (block by D. Gafford),13-22, ,,1,13,22,-9,426.0
4:51.0, ,13-22,Defensive rebound by D. Avdija,,1,13,22,-9,429.0
4:51.0, ,13-22,Turnover by D. Avdija (bad pass),,1,13,22,-9,429.0
4:34.0,B. Bogdanović misses 2-pt jump shot from 11 ft,13-22, ,,1,13,22,-9,446.0
4:29.0, ,13-22,Defensive rebound by D. Gafford,,1,13,22,-9,451.0
4:19.0, ,13-22,T. Jones misses 3-pt jump shot from 24 ft,,1,13,22,-9,461.0
4:16.0,Defensive rebound by D. Murray,13-22, ,,1,13,22,-9,464.0
4:04.0,D. Murray makes 2-pt layup from 2 ft,15-22, ,,1,15,22,-7,476.0
3:49.0, ,15-22,J. Poole misses 3-pt jump shot from 30 ft,,1,15,22,-7,491.0
3:47.0,Defensive rebound by B. Bogdanović,15-22, ,,1,15,22,-7,493.0
3:45.0,B. Bogdanović misses 3-pt jump shot from 28 ft,15-22, ,,1,15,22,-7,495.0
3:41.0, ,15-22,Defensive rebound by D. Gafford,,1,15,22,-7,499.0
3:38.0, ,15-22,K. Kuzma misses 2-pt jump shot from 22 ft,,1,15,22,-7,502.0
3:35.0,Defensive rebound by P. Mills,15-22, ,,1,15,22,-7,505.0
3:30.0,P. Mills misses 3-pt jump shot from 27 ft,15-22, ,,1,15,22,-7,510.0
3:27.0, ,15-22,Defensive rebound by D. Avdija,,1,15,22,-7,513.0
3:21.0, ,15-22,Washington full timeout,,1,15,22,-7,519.0
3:21.0,B. Fernando enters the game for S. Bey,15-22, ,,1,15,22,-7,519.0
3:21.0,J. Johnson enters the game for C. Capela,15-22, ,,1,15,22,-7,519.0
3:21.0,G. Mathews enters the game for P. Mills,15-22, ,,1,15,22,-7,519.0
3:21.0,T. Young enters the game for D. Murray,15-22, ,,1,15,22,-7,519.0
3:21.0, ,15-22,B. Coulibaly enters the game for D. Avdija,,1,15,22,-7,519.0
3:21.0, ,15-22,M. Muscala enters the game for D. Gafford,,1,15,22,-7,519.0
3:21.0, ,15-22,D. Wright enters the game for T. Jones,,1,15,22,-7,519.0
3:08.0, ,15-25,K. Kuzma makes 3-pt jump shot from 23 ft (assist by M. Muscala),,1,15,25,-10,532.0
2:51.0,T. Young makes 2-pt layup from 2 ft,17-25, ,,1,17,25,-8,549.0
2:32.0, ,17-25,B. Coulibaly misses 2-pt layup from 3 ft,,1,17,25,-8,568.0
2:30.0,Defensive rebound by J. Johnson,17-25, ,,1,17,25,-8,570.0
2:17.0,Turnover by T. Young (bad pass),17-25, ,,1,17,25,-8,583.0
2:06.0, ,17-25,J. Poole misses 3-pt jump shot from 29 ft,,1,17,25,-8,594.0
2:03.0,Defensive rebound by J. Johnson,17-25, ,,1,17,25,-8,597.0
2:00.0,J. Johnson makes 2-pt jump shot from 10 ft,19-25, ,,1,19,25,-6,600.0
2:00.0,Shooting foul by K. Kuzma (drawn by J. Johnson),19-25, ,,1,19,25,-6,600.0
2:00.0, ,19-25,C. Kispert enters the game for K. Kuzma,,1,19,25,-6,600.0
2:00.0,J. Johnson makes free throw 1 of 1,20-25, ,,1,20,25,-5,600.0
1:45.0, ,20-25,D. Wright misses 3-pt jump shot from 23 ft,,1,20,25,-5,615.0
1:42.0,Defensive rebound by J. Johnson,20-25, ,,1,20,25,-5,618.0
1:38.0,Personal foul by B. Coulibaly (drawn by T. Young),20-25, ,,1,20,25,-5,622.0
1:38.0,T. Young misses free throw 1 of 2,20-25, ,,1,20,25,-5,622.0
1:38.0,Offensive rebound by Team,20-25, ,,1,20,25,-5,622.0
1:38.0,T. Young makes free throw 2 of 2,21-25, ,,1,21,25,-4,622.0
1:32.0, ,21-25,Personal foul by G. Mathews (drawn by C. Kispert),,1,21,25,-4,628.0
1:32.0, ,21-25,D. Avdija enters the game for J. Poole,,1,21,25,-4,628.0
1:26.0, ,21-25,Shooting foul by B. Fernando (drawn by B. Coulibaly),,1,21,25,-4,634.0
1:26.0, ,21-26,B. Coulibaly makes free throw 1 of 2,,1,21,26,-5,634.0
1:26.0, ,21-27,B. Coulibaly makes free throw 2 of 2,,1,21,27,-6,634.0
1:14.0,B. Bogdanović misses 2-pt layup from 5 ft,21-27, ,,1,21,27,-6,646.0
1:11.0, ,21-27,Defensive rebound by M. Muscala,,1,21,27,-6,649.0
1:07.0, ,21-27,M. Muscala misses 3-pt jump shot from 28 ft,,1,21,27,-6,653.0
1:04.0,Defensive rebound by J. Johnson,21-27, ,,1,21,27,-6,656.0
0:55.0,T. Young makes 3-pt jump shot from 24 ft (assist by G. Mathews),24-27, ,,1,24,27,-3,665.0
0:40.0, ,24-27,Turnover by D. Wright (lost ball; steal by T. Young),,1,24,27,-3,680.0
0:35.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by T. Young),26-27, ,,1,26,27,-1,685.0
0:20.0, ,26-27,C. Kispert misses 3-pt jump shot from 23 ft (block by G. Mathews),,1,26,27,-1,700.0
0:20.0, ,26-27,Offensive rebound by Team,,1,26,27,-1,700.0
0:13.0, ,26-27,Turnover by D. Wright (lost ball; steal by B. Fernando),,1,26,27,-1,707.0
0:01.0,J. Johnson makes 2-pt dunk from 3 ft (assist by T. Young),28-27, ,Lead change,1,28,27,1,719.0
0:00.0, ,28-30,D. Avdija makes 3-pt jump shot from 27 ft (assist by B. Coulibaly),Lead change,1,28,30,-2,720.0
0:00.0, ,28-30,Instant Replay (Request: Stands),,1,28,30,-2,720.0
0:00.0,End of 1st quarter,28-30,,,1,28,30,-2,720.0
12:00.0,Start of 2nd quarter,28-30,,,2,28,30,-2,720.0
11:44.0, ,28-30,C. Kispert misses 3-pt jump shot from 26 ft,,2,28,30,-2,736.0
11:41.0,Defensive rebound by J. Johnson,28-30, ,,2,28,30,-2,739.0
11:34.0,B. Bogdanović misses 3-pt jump shot from 25 ft,28-30, ,,2,28,30,-2,746.0
11:30.0, ,28-30,Defensive rebound by B. Coulibaly,,2,28,30,-2,750.0
11:22.0, ,28-32,C. Kispert makes 2-pt layup from 2 ft (assist by M. Muscala),,2,28,32,-4,758.0
11:06.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by B. Fernando),31-32, ,,2,31,32,-1,774.0
10:48.0, ,31-32,Shooting foul by J. Johnson (drawn by C. Kispert),,2,31,32,-1,792.0
10:48.0, ,31-33,C. Kispert makes free throw 1 of 2,,2,31,33,-2,792.0
10:48.0, ,31-34,C. Kispert makes free throw 2 of 2,,2,31,34,-3,792.0
10:39.0,T. Young makes 3-pt jump shot from 29 ft,34-34, ,Tie,2,34,34,0,801.0
10:30.0, ,34-36,C. Kispert makes 2-pt layup from 2 ft (assist by D. Wright),,2,34,36,-2,810.0
10:30.0, ,34-36,Shooting foul by B. Bogdanović (drawn by C. Kispert),,2,34,36,-2,810.0
10:30.0, ,34-37,C. Kispert makes free throw 1 of 1,,2,34,37,-3,810.0
10:19.0,B. Bogdanović misses 3-pt jump shot from 25 ft,34-37, ,,2,34,37,-3,821.0
10:14.0, ,34-37,Defensive rebound by D. Avdija,,2,34,37,-3,826.0
10:13.0, ,34-37,Personal foul by J. Johnson (drawn by B. Coulibaly),,2,34,37,-3,827.0
10:03.0, ,34-37,M. Muscala misses 2-pt hook shot from 5 ft,,2,34,37,-3,837.0
9:59.0,Defensive rebound by T. Young,34-37, ,,2,34,37,-3,841.0
9:53.0,J. Johnson makes 2-pt dunk from 3 ft (assist by T. Young),36-37, ,,2,36,37,-1,847.0
9:53.0, ,36-37,Washington full timeout,,2,36,37,-1,847.0
9:53.0, ,36-37,L. Shamet enters the game for D. Wright,,2,36,37,-1,847.0
9:30.0, ,36-39,L. Shamet makes 2-pt jump shot from 9 ft (assist by B. Coulibaly),,2,36,39,-3,870.0
9:13.0,Turnover by J. Johnson (traveling),36-39, ,,2,36,39,-3,887.0
9:02.0, ,36-41,M. Muscala makes 2-pt dunk from 1 ft (assist by C. Kispert),,2,36,41,-5,898.0
8:40.0,J. Johnson makes 2-pt jump shot from 5 ft,38-41, ,,2,38,41,-3,920.0
8:26.0, ,38-41,L. Shamet misses 2-pt layup from 3 ft,,2,38,41,-3,934.0
8:24.0, ,38-41,Offensive rebound by B. Coulibaly,,2,38,41,-3,936.0
8:22.0, ,38-41,D. Avdija misses 3-pt jump shot from 25 ft,,2,38,41,-3,938.0
8:18.0,Defensive rebound by B. Fernando,38-41, ,,2,38,41,-3,942.0
8:05.0,J. Johnson makes 2-pt layup from 2 ft (assist by T. Young),40-41, ,,2,40,41,-1,955.0
7:54.0, ,40-41,C. Kispert misses 3-pt jump shot from 24 ft,,2,40,41,-1,966.0
7:52.0,Defensive rebound by J. Johnson,40-41, ,,2,40,41,-1,968.0
7:45.0,B. Bogdanović misses 3-pt jump shot from 24 ft,40-41, ,,2,40,41,-1,975.0
7:41.0,Offensive rebound by G. Mathews,40-41, ,,2,40,41,-1,979.0
7:34.0,T. Young misses 2-pt jump shot from 15 ft,40-41, ,,2,40,41,-1,986.0
7:33.0, ,40-41,Defensive rebound by M. Muscala,,2,40,41,-1,987.0
7:24.0, ,40-41,Turnover by D. Avdija (lost ball; steal by T. Young),,2,40,41,-1,996.0
7:19.0,J. Johnson makes 2-pt dunk from 4 ft (assist by T. Young),42-41, ,Lead change,2,42,41,1,1001.0
6:59.0, ,42-43,D. Avdija makes 2-pt layup from 3 ft (assist by C. Kispert),Lead change,2,42,43,-1,1021.0
6:59.0,Atlanta full timeout,42-43, ,,2,42,43,-1,1021.0
6:59.0,S. Bey enters the game for B. Fernando,42-43, ,,2,42,43,-1,1021.0
6:59.0,C. Capela enters the game for J. Johnson,42-43, ,,2,42,43,-1,1021.0
6:59.0,P. Mills enters the game for G. Mathews,42-43, ,,2,42,43,-1,1021.0
6:59.0,D. Murray enters the game for T. Young,42-43, ,,2,42,43,-1,1021.0
6:59.0, ,42-43,T. Jones enters the game for D. Avdija,,2,42,43,-1,1021.0
6:59.0, ,42-43,K. Kuzma enters the game for C. Kispert,,2,42,43,-1,1021.0
6:39.0,B. Bogdanović misses 2-pt layup from 7 ft,42-43, ,,2,42,43,-1,1041.0
6:38.0,Offensive rebound by C. Capela,42-43, ,,2,42,43,-1,1042.0
6:38.0,S. Bey makes 2-pt layup from 4 ft (assist by C. Capela),44-43, ,Lead change,2,44,43,1,1042.0
6:38.0,Shooting foul by M. Muscala (drawn by S. Bey),44-43, ,,2,44,43,1,1042.0
6:38.0,S. Bey makes free throw 1 of 1,45-43, ,,2,45,43,2,1042.0
6:21.0, ,45-45,T. Jones makes 2-pt layup from 2 ft (assist by K. Kuzma),Tie,2,45,45,0,1059.0
6:04.0,B. Bogdanović misses 2-pt jump shot from 5 ft (block by L. Shamet),45-45, ,,2,45,45,0,1076.0
6:00.0, ,45-45,Defensive rebound by L. Shamet,,2,45,45,0,1080.0
5:55.0, ,45-45,K. Kuzma misses 3-pt jump shot from 28 ft,,2,45,45,0,1085.0
5:53.0,Defensive rebound by S. Bey,45-45, ,,2,45,45,0,1087.0
5:42.0,D. Murray makes 2-pt jump shot from 12 ft,47-45, ,,2,47,45,2,1098.0
5:30.0, ,47-45,K. Kuzma misses 3-pt jump shot from 23 ft,,2,47,45,2,1110.0
5:27.0,Defensive rebound by C. Capela,47-45, ,,2,47,45,2,1113.0
5:22.0,D. Murray makes 2-pt jump shot from 4 ft,49-45, ,,2,49,45,4,1118.0
5:08.0, ,49-45,B. Coulibaly misses 3-pt jump shot from 25 ft,,2,49,45,4,1132.0
5:06.0,Defensive rebound by S. Bey,49-45, ,,2,49,45,4,1134.0
4:53.0,S. Bey makes 2-pt jump shot from 13 ft,51-45, ,,2,51,45,6,1147.0
4:52.0, ,51-45,Washington full timeout,,2,51,45,6,1148.0
4:52.0, ,51-45,D. Gafford enters the game for B. Coulibaly,,2,51,45,6,1148.0
4:52.0, ,51-45,J. Poole enters the game for M. Muscala,,2,51,45,6,1148.0
4:36.0, ,51-47,J. Poole makes 2-pt layup from 1 ft (assist by L. Shamet),,2,51,47,4,1164.0
4:36.0, ,51-47,Technical foul by J. Poole,,2,51,47,4,1164.0
4:36.0,B. Bogdanović makes technical free throw,52-47, ,,2,52,47,5,1164.0
4:26.0,D. Murray misses 2-pt layup from 9 ft (block by L. Shamet),52-47, ,,2,52,47,5,1174.0
4:22.0,Offensive rebound by D. Murray,52-47, ,,2,52,47,5,1178.0
4:21.0,D. Murray makes 2-pt layup from 9 ft,54-47, ,,2,54,47,7,1179.0
4:13.0, ,54-47,T. Jones misses 3-pt jump shot from 25 ft,,2,54,47,7,1187.0
4:13.0, ,54-47,Offensive rebound by Team,,2,54,47,7,1187.0
4:13.0,Loose ball foul by C. Capela (drawn by D. Gafford),54-47, ,,2,54,47,7,1187.0
4:13.0,J. Johnson enters the game for B. Bogdanović,54-47, ,,2,54,47,7,1187.0
4:13.0,T. Young enters the game for P. Mills,54-47, ,,2,54,47,7,1187.0
4:06.0, ,54-47,J. Poole misses 3-pt jump shot from 27 ft,,2,54,47,7,1194.0
4:03.0, ,54-47,Offensive rebound by K. Kuzma,,2,54,47,7,1197.0
3:56.0, ,54-49,J. Poole makes 2-pt jump shot from 8 ft,,2,54,49,5,1204.0
3:38.0,S. Bey misses 3-pt jump shot from 27 ft,54-49, ,,2,54,49,5,1222.0
3:35.0, ,54-49,Defensive rebound by J. Poole,,2,54,49,5,1225.0
3:25.0, ,54-52,K. Kuzma makes 3-pt jump shot from 24 ft (assist by T. Jones),,2,54,52,2,1235.0
3:07.0,D. Murray makes 2-pt jump shot from 10 ft,56-52, ,,2,56,52,4,1253.0
2:50.0, ,56-52,K. Kuzma misses 2-pt jump shot from 9 ft,,2,56,52,4,1270.0
2:48.0,Defensive rebound by J. Johnson,56-52, ,,2,56,52,4,1272.0
2:43.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Johnson),58-52, ,,2,58,52,6,1277.0
2:24.0, ,58-52,L. Shamet misses 2-pt jump shot from 13 ft (block by S. Bey),,2,58,52,6,1296.0
2:21.0,Defensive rebound by J. Johnson,58-52, ,,2,58,52,6,1299.0
2:17.0,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Young),61-52, ,,2,61,52,9,1303.0
2:10.0, ,61-54,K. Kuzma makes 2-pt dunk from 3 ft (assist by J. Poole),,2,61,54,7,1310.0
1:52.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by T. Young),64-54, ,,2,64,54,10,1328.0
1:41.0, ,64-54,Personal foul by C. Capela (drawn by D. Gafford),,2,64,54,10,1339.0
1:41.0, ,64-55,D. Gafford makes free throw 1 of 2,,2,64,55,9,1339.0
1:41.0, ,64-56,D. Gafford makes free throw 2 of 2,,2,64,56,8,1339.0
1:35.0,Personal foul by J. Poole (drawn by S. Bey),64-56, ,,2,64,56,8,1345.0
1:29.0,T. Young misses 2-pt jump shot from 18 ft,64-56, ,,2,64,56,8,1351.0
1:28.0,Offensive rebound by Team,64-56, ,,2,64,56,8,1352.0
1:28.0, ,64-56,Loose ball foul by K. Kuzma (drawn by T. Young),,2,64,56,8,1352.0
1:28.0,T. Young makes free throw 1 of 2,65-56, ,,2,65,56,9,1352.0
1:28.0,T. Young makes free throw 2 of 2,66-56, ,,2,66,56,10,1352.0
