Time,Atlanta,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:13.0,V. Krejci enters the game for T. Forrest,62-71, ,,3,62,71,-9,1907.0
3:49.0,G. Mathews makes 3-pt jump shot from 24 ft (assist by D. Hunter),65-71, ,,3,65,71,-6,1931.0
3:26.0, ,65-73,D. Ayton makes 2-pt jump shot from 7 ft (assist by M. Thybulle),,3,65,73,-8,1954.0
3:01.0,D. Hunter makes 3-pt jump shot from 25 ft,68-73, ,,3,68,73,-5,1979.0
2:46.0, ,68-73,A. Simons misses 3-pt jump shot from 26 ft,,3,68,73,-5,1994.0
2:43.0, ,68-73,Offensive rebound by K. Murray,,3,68,73,-5,1997.0
2:40.0, ,68-73,Turnover by K. Murray (bad pass; steal by G. Mathews),,3,68,73,-5,2000.0
2:34.0,Shooting foul by D. Ayton (drawn by D. Murray),68-73, ,,3,68,73,-5,2006.0
2:34.0,D. Murray misses free throw 1 of 2,68-73, ,,3,68,73,-5,2006.0
2:34.0,Offensive rebound by Team,68-73, ,,3,68,73,-5,2006.0
2:34.0, ,68-73,S. Henderson enters the game for K. Murray,,3,68,73,-5,2006.0
2:34.0,D. Murray makes free throw 2 of 2,69-73, ,,3,69,73,-4,2006.0
2:11.0, ,69-75,A. Simons makes 2-pt layup from 2 ft,,3,69,75,-6,2029.0
1:51.0,G. Mathews makes 3-pt jump shot from 25 ft (assist by D. Murray),72-75, ,,3,72,75,-3,2049.0
1:36.0, ,72-78,A. Simons makes 3-pt jump shot from 26 ft (assist by S. Henderson),,3,72,78,-6,2064.0
1:14.0,V. Krejci makes 3-pt jump shot from 23 ft (assist by D. Murray),75-78, ,,3,75,78,-3,2086.0
0:55.0, ,75-78,A. Simons misses 3-pt jump shot from 26 ft,,3,75,78,-3,2105.0
0:53.0, ,75-78,Offensive rebound by D. Ayton,,3,75,78,-3,2107.0
0:52.0, ,75-80,D. Ayton makes 2-pt jump shot from 14 ft,,3,75,80,-5,2108.0
0:38.0,V. Krejci misses 3-pt jump shot from 27 ft,75-80, ,,3,75,80,-5,2122.0
0:36.0, ,75-80,Defensive rebound by A. Simons,,3,75,80,-5,2124.0
0:33.0, ,75-80,S. Henderson misses 3-pt jump shot from 26 ft,,3,75,80,-5,2127.0
0:30.0,Defensive rebound by D. Murray,75-80, ,,3,75,80,-5,2130.0
0:13.0,Turnover by D. Hunter (step out of bounds),75-80, ,,3,75,80,-5,2147.0
0:13.0, ,75-80,Portland full timeout,,3,75,80,-5,2147.0
0:00.0, ,75-82,A. Simons makes 2-pt jump shot from 13 ft,,3,75,82,-7,2160.0
0:00.0, ,75-82,Instant Replay (Request: Ruling Stands),,3,75,82,-7,2160.0
0:00.0,End of 3rd quarter,75-82,,,3,75,82,-7,2160.0
12:00.0,Start of 4th quarter,75-82,,,4,75,82,-7,2160.0
11:51.0, ,75-82,M. Thybulle misses 3-pt jump shot from 27 ft,,4,75,82,-7,2169.0
11:48.0,Defensive rebound by Team,75-82, ,,4,75,82,-7,2172.0
11:48.0, ,75-82,Loose ball foul by D. Reath (drawn by D. Hunter),,4,75,82,-7,2172.0
11:35.0,D. Hunter misses 2-pt jump shot from 16 ft (block by M. Thybulle),75-82, ,,4,75,82,-7,2185.0
11:32.0,Offensive rebound by D. Hunter,75-82, ,,4,75,82,-7,2188.0
11:31.0,Shooting foul by S. Henderson (drawn by D. Murray),75-82, ,,4,75,82,-7,2189.0
11:31.0,D. Murray makes free throw 1 of 3,76-82, ,,4,76,82,-6,2189.0
11:31.0,D. Murray makes free throw 2 of 3,77-82, ,,4,77,82,-5,2189.0
11:31.0,D. Murray makes free throw 3 of 3,78-82, ,,4,78,82,-4,2189.0
11:20.0, ,78-82,Personal foul by G. Mathews (drawn by M. Thybulle),,4,78,82,-4,2200.0
11:08.0, ,78-82,S. Henderson misses 3-pt jump shot from 23 ft,,4,78,82,-4,2212.0
11:06.0,Defensive rebound by B. Fernando,78-82, ,,4,78,82,-4,2214.0
10:55.0,Turnover by D. Murray (bad pass; steal by A. Simons),78-82, ,,4,78,82,-4,2225.0
10:54.0, ,78-82,Shooting foul by G. Mathews (drawn by A. Simons),,4,78,82,-4,2226.0
10:54.0, ,78-83,A. Simons makes free throw 1 of 2,,4,78,83,-5,2226.0
10:54.0, ,78-84,A. Simons makes free throw 2 of 2,,4,78,84,-6,2226.0
10:40.0,D. Hunter makes 2-pt jump shot from 9 ft (assist by B. Bogdanović),80-84, ,,4,80,84,-4,2240.0
10:22.0, ,80-84,Shooting foul by G. Mathews (drawn by D. Reath),,4,80,84,-4,2258.0
10:22.0, ,80-84,D. Reath misses free throw 1 of 2,,4,80,84,-4,2258.0
10:22.0, ,80-84,Offensive rebound by Team,,4,80,84,-4,2258.0
10:22.0, ,80-85,D. Reath makes free throw 2 of 2,,4,80,85,-5,2258.0
10:05.0,D. Hunter misses 3-pt jump shot from 23 ft,80-85, ,,4,80,85,-5,2275.0
10:02.0, ,80-85,Defensive rebound by A. Simons,,4,80,85,-5,2278.0
9:49.0, ,80-85,Turnover by D. Reath (lost ball; steal by D. Murray),,4,80,85,-5,2291.0
9:45.0,D. Murray makes 2-pt layup from 3 ft,82-85, ,,4,82,85,-3,2295.0
9:28.0, ,82-85,S. Henderson misses 2-pt layup from 7 ft,,4,82,85,-3,2312.0
9:26.0, ,82-85,Offensive rebound by A. Simons,,4,82,85,-3,2314.0
9:24.0, ,82-88,M. Thybulle makes 3-pt jump shot from 25 ft (assist by A. Simons),,4,82,88,-6,2316.0
9:10.0,Shooting foul by S. Henderson (drawn by D. Hunter),82-88, ,,4,82,88,-6,2330.0
9:10.0,D. Hunter makes free throw 1 of 2,83-88, ,,4,83,88,-5,2330.0
9:10.0, ,83-88,D. Ayton enters the game for D. Reath,,4,83,88,-5,2330.0
9:10.0, ,83-88,K. Murray enters the game for A. Simons,,4,83,88,-5,2330.0
9:10.0,D. Hunter makes free throw 2 of 2,84-88, ,,4,84,88,-4,2330.0
8:47.0, ,84-88,Offensive foul by S. Henderson (drawn by G. Mathews),,4,84,88,-4,2353.0
8:47.0, ,84-88,Turnover by S. Henderson (offensive foul),,4,84,88,-4,2353.0
8:47.0, ,84-88,D. Banton enters the game for S. Henderson,,4,84,88,-4,2353.0
8:47.0, ,84-88,A. Simons enters the game for J. Minaya,,4,84,88,-4,2353.0
8:29.0,D. Hunter makes 2-pt layup from 2 ft (assist by B. Bogdanović),86-88, ,,4,86,88,-2,2371.0
8:11.0, ,86-91,M. Thybulle makes 3-pt jump shot from 26 ft (assist by D. Ayton),,4,86,91,-5,2389.0
7:48.0,B. Fernando misses 2-pt hook shot from 6 ft,86-91, ,,4,86,91,-5,2412.0
7:46.0, ,86-91,Defensive rebound by D. Ayton,,4,86,91,-5,2414.0
7:38.0, ,86-91,D. Ayton misses 2-pt jump shot from 15 ft,,4,86,91,-5,2422.0
7:34.0,Defensive rebound by G. Mathews,86-91, ,,4,86,91,-5,2426.0
7:25.0,D. Murray misses 3-pt jump shot from 27 ft,86-91, ,,4,86,91,-5,2435.0
7:23.0, ,86-91,Defensive rebound by D. Banton,,4,86,91,-5,2437.0
7:13.0, ,86-91,Shooting foul by D. Murray (drawn by D. Banton),,4,86,91,-5,2447.0
7:13.0, ,86-92,D. Banton makes free throw 1 of 2,,4,86,92,-6,2447.0
7:13.0,C. Capela enters the game for B. Fernando,86-92, ,,4,86,92,-6,2447.0
7:13.0,V. Krejci enters the game for G. Mathews,86-92, ,,4,86,92,-6,2447.0
7:13.0, ,86-93,D. Banton makes free throw 2 of 2,,4,86,93,-7,2447.0
7:01.0,B. Bogdanović makes 2-pt jump shot from 15 ft,88-93, ,,4,88,93,-5,2459.0
6:38.0, ,88-93,Offensive foul by K. Murray (drawn by D. Hunter),,4,88,93,-5,2482.0
6:38.0, ,88-93,Turnover by K. Murray (offensive foul),,4,88,93,-5,2482.0
6:38.0, ,88-93,Portland full timeout,,4,88,93,-5,2482.0
6:38.0, ,88-93,Instant Replay (Request: Stands),,4,88,93,-5,2482.0
6:38.0, ,88-93,T. Camara enters the game for D. Banton,,4,88,93,-5,2482.0
6:17.0,D. Hunter misses 3-pt jump shot from 28 ft,88-93, ,,4,88,93,-5,2503.0
6:12.0,Offensive rebound by C. Capela,88-93, ,,4,88,93,-5,2508.0
6:05.0,Offensive foul by D. Murray (drawn by M. Thybulle),88-93, ,,4,88,93,-5,2515.0
6:05.0,Turnover by D. Murray (offensive foul),88-93, ,,4,88,93,-5,2515.0
6:05.0, ,88-93,Portland full timeout,,4,88,93,-5,2515.0
6:05.0, ,88-93,Instant Replay (Challenge: Ruling Stands),,4,88,93,-5,2515.0
5:55.0, ,88-95,D. Ayton makes 2-pt jump shot from 13 ft (assist by M. Thybulle),,4,88,95,-7,2525.0
5:29.0,D. Murray makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),91-95, ,,4,91,95,-4,2551.0
5:13.0, ,91-95,Portland full timeout,,4,91,95,-4,2567.0
5:10.0, ,91-95,Offensive foul by K. Murray (drawn by D. Murray),,4,91,95,-4,2570.0
5:10.0, ,91-95,Turnover by K. Murray (offensive foul),,4,91,95,-4,2570.0
4:52.0,Shooting foul by D. Ayton (drawn by C. Capela),91-95, ,,4,91,95,-4,2588.0
4:52.0,C. Capela makes free throw 1 of 2,92-95, ,,4,92,95,-3,2588.0
4:52.0,C. Capela misses free throw 2 of 2,92-95, ,,4,92,95,-3,2588.0
4:49.0, ,92-95,Defensive rebound by D. Ayton,,4,92,95,-3,2591.0
4:37.0, ,92-95,A. Simons misses 2-pt jump shot from 14 ft,,4,92,95,-3,2603.0
4:34.0, ,92-95,Offensive rebound by D. Ayton,,4,92,95,-3,2606.0
4:33.0, ,92-95,D. Ayton misses 2-pt hook shot from 2 ft (block by D. Hunter),,4,92,95,-3,2607.0
4:30.0,Defensive rebound by B. Bogdanović,92-95, ,,4,92,95,-3,2610.0
4:18.0,D. Murray misses 2-pt layup from 5 ft,92-95, ,,4,92,95,-3,2622.0
4:17.0, ,92-95,Defensive rebound by A. Simons,,4,92,95,-3,2623.0
4:13.0, ,92-95,M. Thybulle misses 2-pt layup from 3 ft,,4,92,95,-3,2627.0
4:13.0,Defensive rebound by Team,92-95, ,,4,92,95,-3,2627.0
3:58.0,B. Bogdanović misses 3-pt jump shot from 25 ft,92-95, ,,4,92,95,-3,2642.0
3:56.0, ,92-95,Defensive rebound by Team,,4,92,95,-3,2644.0
3:42.0, ,92-95,Turnover by D. Ayton (lost ball; steal by D. Hunter),,4,92,95,-3,2658.0
3:32.0,B. Bogdanović misses 3-pt jump shot from 26 ft,92-95, ,,4,92,95,-3,2668.0
3:30.0,Offensive rebound by Team,92-95, ,,4,92,95,-3,2670.0
3:30.0,Shooting foul by K. Murray (drawn by V. Krejci),92-95, ,,4,92,95,-3,2670.0
3:30.0,V. Krejci makes free throw 1 of 2,93-95, ,,4,93,95,-2,2670.0
3:30.0,V. Krejci misses free throw 2 of 2,93-95, ,,4,93,95,-2,2670.0
3:27.0, ,93-95,Defensive rebound by D. Ayton,,4,93,95,-2,2673.0
3:16.0, ,93-95,Shooting foul by C. Capela (drawn by T. Camara),,4,93,95,-2,2684.0
3:16.0, ,93-95,T. Camara misses free throw 1 of 2,,4,93,95,-2,2684.0
3:16.0, ,93-95,Offensive rebound by Team,,4,93,95,-2,2684.0
3:16.0,Atlanta full timeout,93-95, ,,4,93,95,-2,2684.0
3:16.0, ,93-96,T. Camara makes free throw 2 of 2,,4,93,96,-3,2684.0
3:03.0,D. Murray misses 2-pt jump shot from 14 ft,93-96, ,,4,93,96,-3,2697.0
2:59.0, ,93-96,Defensive rebound by M. Thybulle,,4,93,96,-3,2701.0
2:40.0, ,93-99,A. Simons makes 3-pt jump shot from 29 ft (assist by K. Murray),,4,93,99,-6,2720.0
2:14.0,C. Capela makes 2-pt dunk from 2 ft (assist by B. Bogdanović),95-99, ,,4,95,99,-4,2746.0
1:48.0, ,95-99,Shooting foul by C. Capela (drawn by D. Ayton),,4,95,99,-4,2772.0
1:48.0, ,95-100,D. Ayton makes free throw 1 of 2,,4,95,100,-5,2772.0
1:48.0, ,95-101,D. Ayton makes free throw 2 of 2,,4,95,101,-6,2772.0
1:40.0,D. Murray misses 3-pt jump shot from 28 ft,95-101, ,,4,95,101,-6,2780.0
1:36.0,Offensive rebound by C. Capela,95-101, ,,4,95,101,-6,2784.0
1:36.0,C. Capela makes 2-pt layup from 1 ft,97-101, ,,4,97,101,-4,2784.0
1:36.0,Shooting foul by K. Murray (drawn by C. Capela),97-101, ,,4,97,101,-4,2784.0
1:36.0,C. Capela misses free throw 1 of 1,97-101, ,,4,97,101,-4,2784.0
1:33.0, ,97-101,Defensive rebound by M. Thybulle,,4,97,101,-4,2787.0
1:26.0, ,97-101,Turnover by K. Murray (bad pass; steal by B. Bogdanović),,4,97,101,-4,2794.0
1:22.0,D. Murray makes 2-pt layup from 2 ft,99-101, ,,4,99,101,-2,2798.0
0:58.0, ,99-101,A. Simons misses 2-pt jump shot from 19 ft,,4,99,101,-2,2822.0
0:56.0,Defensive rebound by D. Murray,99-101, ,,4,99,101,-2,2824.0
0:49.0,D. Murray misses 2-pt layup from 11 ft,99-101, ,,4,99,101,-2,2831.0
0:47.0,Offensive rebound by D. Murray,99-101, ,,4,99,101,-2,2833.0
0:45.0,B. Bogdanović misses 3-pt jump shot from 26 ft (block by M. Thybulle),99-101, ,,4,99,101,-2,2835.0
0:41.0, ,99-101,Defensive rebound by D. Ayton,,4,99,101,-2,2839.0
0:22.0, ,99-101,Shooting foul by D. Murray (drawn by A. Simons),,4,99,101,-2,2858.0
0:22.0, ,99-102,A. Simons makes free throw 1 of 2,,4,99,102,-3,2858.0
0:22.0,B. Fernando enters the game for B. Bogdanović,99-102, ,,4,99,102,-3,2858.0
0:22.0, ,99-103,A. Simons makes free throw 2 of 2,,4,99,103,-4,2858.0
0:22.0,Atlanta full timeout,99-103, ,,4,99,103,-4,2858.0
0:22.0,B. Bogdanović enters the game for B. Fernando,99-103, ,,4,99,103,-4,2858.0
0:18.0,D. Murray makes 3-pt jump shot from 27 ft,102-103, ,,4,102,103,-1,2862.0
0:17.0, ,102-103,Portland full timeout,,4,102,103,-1,2863.0
0:15.0, ,102-103,Personal take foul by D. Murray (drawn by D. Ayton),,4,102,103,-1,2865.0
0:15.0, ,102-104,D. Ayton makes free throw 1 of 2,,4,102,104,-2,2865.0
0:15.0,B. Fernando enters the game for B. Bogdanović,102-104, ,,4,102,104,-2,2865.0
0:15.0, ,102-104,D. Ayton misses free throw 2 of 2,,4,102,104,-2,2865.0
0:11.0, ,102-104,Offensive rebound by T. Camara,,4,102,104,-2,2869.0
0:03.0, ,102-104,Personal take foul by V. Krejci (drawn by A. Simons),,4,102,104,-2,2877.0
0:03.0, ,102-105,A. Simons makes free throw 1 of 2,,4,102,105,-3,2877.0
0:03.0, ,102-106,A. Simons makes free throw 2 of 2,,4,102,106,-4,2877.0
0:03.0,Atlanta full timeout,102-106, ,,4,102,106,-4,2877.0
0:03.0,B. Bogdanović enters the game for B. Fernando,102-106, ,,4,102,106,-4,2877.0
0:02.0,B. Bogdanović misses 3-pt jump shot from 23 ft,102-106, ,,4,102,106,-4,2878.0
0:02.0, ,102-106,Defensive rebound by T. Camara,,4,102,106,-4,2878.0
0:00.0,End of 4th quarter,102-106,,,4,102,106,-4,2880.0
