Time,Atlanta,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:02.0,Defensive rebound by C. Capela,7-4, ,,1,7,4,3,238.0
7:55.0,C. Capela makes 2-pt hook shot from 10 ft (assist by B. Bogdanović),9-4, ,,1,9,4,5,245.0
7:41.0, ,9-4,Turnover by K. Murray (bad pass; steal by C. Capela),,1,9,4,5,259.0
7:33.0,W. Matthews misses 3-pt jump shot from 25 ft,9-4, ,,1,9,4,5,267.0
7:27.0,Offensive rebound by C. Capela,9-4, ,,1,9,4,5,273.0
7:27.0,Turnover by C. Capela (bad pass; steal by K. Murray),9-4, ,,1,9,4,5,273.0
7:24.0, ,9-4,D. Banton misses 2-pt layup from 2 ft (block by V. Krejci),,1,9,4,5,276.0
7:24.0, ,9-4,Offensive rebound by Team,,1,9,4,5,276.0
7:17.0, ,9-4,T. Camara misses 2-pt hook shot from 10 ft,,1,9,4,5,283.0
7:15.0,Defensive rebound by C. Capela,9-4, ,,1,9,4,5,285.0
7:05.0,D. Murray makes 2-pt jump shot from 12 ft,11-4, ,,1,11,4,7,295.0
7:05.0, ,11-4,Portland full timeout,,1,11,4,7,295.0
7:05.0, ,11-4,M. Thybulle enters the game for D. Banton,,1,11,4,7,295.0
6:57.0, ,11-4,Personal foul by B. Bogdanović (drawn by K. Murray),,1,11,4,7,303.0
6:51.0, ,11-6,D. Ayton makes 2-pt dunk from 2 ft (assist by M. Thybulle),,1,11,6,5,309.0
6:31.0,B. Bogdanović misses 2-pt layup from 3 ft,11-6, ,,1,11,6,5,329.0
6:28.0, ,11-6,Defensive rebound by D. Ayton,,1,11,6,5,332.0
6:22.0, ,11-6,K. Murray misses 3-pt jump shot from 26 ft,,1,11,6,5,338.0
6:18.0,Defensive rebound by C. Capela,11-6, ,,1,11,6,5,342.0
6:13.0,V. Krejci makes 3-pt jump shot from 25 ft (assist by D. Murray),14-6, ,,1,14,6,8,347.0
5:52.0, ,14-8,D. Ayton makes 2-pt jump shot from 7 ft (assist by T. Camara),,1,14,8,6,368.0
5:34.0,C. Capela misses 2-pt hook shot from 7 ft (block by D. Ayton),14-8, ,,1,14,8,6,386.0
5:32.0, ,14-8,Defensive rebound by K. Murray,,1,14,8,6,388.0
5:20.0, ,14-10,D. Ayton makes 2-pt jump shot from 11 ft (assist by T. Camara),,1,14,10,4,400.0
4:59.0,V. Krejci misses 3-pt jump shot from 25 ft,14-10, ,,1,14,10,4,421.0
4:56.0, ,14-10,Defensive rebound by A. Simons,,1,14,10,4,424.0
4:50.0, ,14-13,A. Simons makes 3-pt jump shot from 26 ft,,1,14,13,1,430.0
