Time,Atlanta,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: C. Capela vs. M. Williams (P. Washington gains possession),0-0,,,1,0,0,0,0.0
11:47.0, ,0-0,L. Ball misses 2-pt jump shot from 13 ft,,1,0,0,0,13.0
11:43.0,Defensive rebound by T. Young,0-0, ,,1,0,0,0,17.0
11:35.0,T. Young makes 2-pt jump shot from 19 ft,2-0, ,,1,2,0,2,25.0
11:29.0, ,2-0,Turnover by L. Ball (bad pass),,1,2,0,2,31.0
11:15.0,S. Bey misses 3-pt jump shot from 26 ft,2-0, ,,1,2,0,2,45.0
11:12.0, ,2-0,Defensive rebound by L. Ball,,1,2,0,2,48.0
11:04.0, ,2-2,M. Williams makes 2-pt layup from 3 ft (assist by G. Hayward),Tie,1,2,2,0,56.0
11:03.0,Turnover by C. Capela (step out of bounds),2-2, ,,1,2,2,0,57.0
10:56.0, ,2-2,M. Williams misses 2-pt layup from 3 ft,,1,2,2,0,64.0
10:50.0, ,2-2,Offensive rebound by M. Williams,,1,2,2,0,70.0
10:50.0, ,2-4,M. Williams makes 2-pt layup at rim,Lead change,1,2,4,-2,70.0
10:39.0,D. Murray makes 2-pt jump shot from 18 ft,4-4, ,Tie,1,4,4,0,81.0
10:27.0, ,4-4,Turnover by G. Hayward (bad pass),,1,4,4,0,93.0
10:14.0,D. Murray makes 2-pt jump shot from 16 ft,6-4, ,Lead change,1,6,4,2,106.0
9:59.0, ,6-4,Turnover by M. Williams (bad pass; steal by S. Bey),,1,6,4,2,121.0
9:41.0,C. Capela misses 2-pt hook shot from 4 ft,6-4, ,,1,6,4,2,139.0
9:41.0, ,6-4,Defensive rebound by Team,,1,6,4,2,139.0
9:41.0,Loose ball foul by C. Capela (drawn by M. Williams),6-4, ,,1,6,4,2,139.0
9:19.0, ,6-6,P. Washington makes 2-pt dunk from 2 ft (assist by G. Hayward),Tie,1,6,6,0,161.0
9:02.0,T. Young misses 3-pt jump shot from 25 ft,6-6, ,,1,6,6,0,178.0
8:59.0, ,6-6,Defensive rebound by P. Washington,,1,6,6,0,181.0
8:53.0, ,6-6,L. Ball misses 3-pt jump shot from 30 ft,,1,6,6,0,187.0
8:49.0,Defensive rebound by D. Murray,6-6, ,,1,6,6,0,191.0
8:46.0,D. Hunter makes 2-pt hook shot from 9 ft,8-6, ,,1,8,6,2,194.0
8:46.0,Shooting foul by L. Ball (drawn by D. Hunter),8-6, ,,1,8,6,2,194.0
8:46.0,D. Hunter misses free throw 1 of 1,8-6, ,,1,8,6,2,194.0
8:43.0, ,8-6,Defensive rebound by M. Williams,,1,8,6,2,197.0
8:30.0, ,8-6,Turnover by T. Rozier (lost ball; steal by C. Capela),,1,8,6,2,210.0
8:26.0,T. Young misses 3-pt jump shot from 26 ft,8-6, ,,1,8,6,2,214.0
8:23.0,Offensive rebound by D. Hunter,8-6, ,,1,8,6,2,217.0
8:23.0,Turnover by T. Young (out of bounds lost ball),8-6, ,,1,8,6,2,217.0
8:09.0, ,8-8,G. Hayward makes 2-pt jump shot from 19 ft (assist by L. Ball),Tie,1,8,8,0,231.0
7:55.0,Turnover by D. Murray (bad pass; steal by M. Williams),8-8, ,,1,8,8,0,245.0
7:43.0, ,8-10,G. Hayward makes 2-pt jump shot from 8 ft (assist by L. Ball),Lead change,1,8,10,-2,257.0
7:43.0, ,8-10,Shooting foul by D. Hunter (drawn by G. Hayward),,1,8,10,-2,257.0
7:43.0, ,8-10,G. Hayward misses free throw 1 of 1,,1,8,10,-2,257.0
7:40.0,Defensive rebound by C. Capela,8-10, ,,1,8,10,-2,260.0
7:28.0,S. Bey makes 2-pt layup from 1 ft (assist by T. Young),10-10, ,Tie,1,10,10,0,272.0
7:17.0, ,10-12,M. Williams makes 2-pt layup from 6 ft (assist by L. Ball),,1,10,12,-2,283.0
7:17.0, ,10-12,Shooting foul by S. Bey (drawn by M. Williams),,1,10,12,-2,283.0
7:17.0, ,10-13,M. Williams makes free throw 1 of 1,,1,10,13,-3,283.0
7:05.0,D. Hunter misses 3-pt jump shot from 23 ft,10-13, ,,1,10,13,-3,295.0
7:02.0,Offensive rebound by S. Bey,10-13, ,,1,10,13,-3,298.0
7:01.0,S. Bey misses 2-pt layup from 3 ft,10-13, ,,1,10,13,-3,299.0
6:57.0,Offensive rebound by S. Bey,10-13, ,,1,10,13,-3,303.0
6:57.0,S. Bey makes 2-pt layup at rim,12-13, ,,1,12,13,-1,303.0
6:44.0, ,12-15,P. Washington makes 2-pt jump shot from 8 ft (assist by T. Rozier),,1,12,15,-3,316.0
6:32.0,D. Hunter misses 3-pt jump shot from 22 ft,12-15, ,,1,12,15,-3,328.0
6:30.0, ,12-15,Defensive rebound by P. Washington,,1,12,15,-3,330.0
6:20.0, ,12-17,T. Rozier makes 2-pt layup from 3 ft,,1,12,17,-5,340.0
6:20.0,Atlanta full timeout,12-17, ,,1,12,17,-5,340.0
6:20.0,B. Bogdanović enters the game for S. Bey,12-17, ,,1,12,17,-5,340.0
6:20.0,J. Johnson enters the game for T. Young,12-17, ,,1,12,17,-5,340.0
