Time,Orlando,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:51.0, ,86-98,S. Bey misses 2-pt layup at rim,,4,98,86,12,2589.0
4:50.0,Defensive rebound by C. Anthony,86-98, ,,4,98,86,12,2590.0
4:45.0,J. Suggs misses 3-pt jump shot from 26 ft,86-98, ,,4,98,86,12,2595.0
4:41.0,Offensive rebound by W. Carter,86-98, ,,4,98,86,12,2599.0
4:35.0,Turnover by J. Suggs (bad pass; steal by D. Hunter),86-98, ,,4,98,86,12,2605.0
4:19.0, ,86-98,J. Johnson misses 2-pt jump shot from 9 ft,,4,98,86,12,2621.0
4:17.0,Defensive rebound by F. Wagner,86-98, ,,4,98,86,12,2623.0
4:09.0,Personal foul by B. Bogdanović (drawn by J. Suggs),86-98, ,,4,98,86,12,2631.0
4:04.0,J. Suggs makes 2-pt layup from 1 ft (assist by J. Ingles),88-98, ,,4,98,88,10,2636.0
3:40.0, ,88-98,Turnover by S. Bey (lost ball; steal by C. Anthony),,4,98,88,10,2660.0
3:39.0,Personal foul by S. Bey (drawn by C. Anthony),88-98, ,,4,98,88,10,2661.0
3:39.0,C. Anthony makes free throw 1 of 1,89-98, ,,4,98,89,9,2661.0
3:28.0,Turnover by C. Anthony (lost ball; steal by S. Bey),89-98, ,,4,98,89,9,2672.0
3:16.0, ,89-100,S. Bey makes 2-pt dunk at rim (assist by J. Johnson),,4,100,89,11,2684.0
3:02.0,F. Wagner misses 3-pt jump shot from 25 ft,89-100, ,,4,100,89,11,2698.0
2:58.0, ,89-100,Defensive rebound by B. Bogdanović,,4,100,89,11,2702.0
2:46.0, ,89-100,Shooting foul by W. Carter (drawn by D. Hunter),,4,100,89,11,2714.0
2:46.0, ,89-101,D. Hunter makes free throw 1 of 2,,4,101,89,12,2714.0
2:46.0, ,89-102,D. Hunter makes free throw 2 of 2,,4,102,89,13,2714.0
2:31.0,J. Suggs misses 3-pt jump shot from 26 ft,89-102, ,,4,102,89,13,2729.0
2:28.0, ,89-102,Defensive rebound by D. Hunter,,4,102,89,13,2732.0
2:12.0, ,89-105,D. Hunter makes 3-pt jump shot from 27 ft (assist by S. Bey),,4,105,89,16,2748.0
1:52.0,W. Carter makes 3-pt jump shot from 24 ft (assist by F. Wagner),92-105, ,,4,105,92,13,2768.0
1:47.0, ,92-105,Personal foul by F. Wagner (drawn by J. Johnson),,4,105,92,13,2773.0
1:47.0,A. Black enters the game for J. Ingles,92-105, ,,4,105,92,13,2773.0
1:47.0,C. Houstan enters the game for J. Suggs,92-105, ,,4,105,92,13,2773.0
1:47.0,C. Okeke enters the game for F. Wagner,92-105, ,,4,105,92,13,2773.0
1:35.0, ,92-107,J. Johnson makes 2-pt jump shot from 11 ft (assist by D. Murray),,4,107,92,15,2785.0
1:23.0,W. Carter misses 3-pt jump shot from 26 ft,92-107, ,,4,107,92,15,2797.0
1:18.0, ,92-107,Defensive rebound by B. Bogdanović,,4,107,92,15,2802.0
0:56.0, ,92-107,D. Hunter misses 2-pt jump shot from 8 ft,,4,107,92,15,2824.0
0:53.0,Defensive rebound by C. Okeke,92-107, ,,4,107,92,15,2827.0
0:45.0,C. Anthony misses 2-pt layup from 2 ft (block by J. Johnson),92-107, ,,4,107,92,15,2835.0
0:44.0,Offensive rebound by Team,92-107, ,,4,107,92,15,2836.0
0:42.0,Turnover by A. Black (bad pass; steal by J. Johnson),92-107, ,,4,107,92,15,2838.0
0:40.0, ,92-109,S. Bey makes 2-pt dunk at rim (assist by J. Johnson),,4,109,92,17,2840.0
0:29.0,C. Anthony misses 2-pt jump shot from 15 ft,92-109, ,,4,109,92,17,2851.0
0:24.0, ,92-109,Defensive rebound by J. Johnson,,4,109,92,17,2856.0
0:03.0, ,92-109,Turnover by Team (shot clock),,4,109,92,17,2877.0
0:00.0,End of 4th quarter,92-109,,,4,109,92,17,2880.0
