Time,Houston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:18.0, ,68-80,D. Murray makes 3-pt jump shot from 26 ft,,3,80,68,12,1842.0
4:59.0,J. Smith misses 2-pt layup from 2 ft,68-80, ,,3,80,68,12,1861.0
4:58.0, ,68-80,Defensive rebound by Team,,3,80,68,12,1862.0
4:58.0,Loose ball foul by J. Smith (drawn by J. Johnson),68-80, ,,3,80,68,12,1862.0
4:58.0,J. Landale enters the game for J. Green,68-80, ,,3,80,68,12,1862.0
4:46.0, ,68-80,S. Bey misses 3-pt jump shot from 26 ft,,3,80,68,12,1874.0
4:43.0,Defensive rebound by J. Green,68-80, ,,3,80,68,12,1877.0
4:39.0,J. Green makes 2-pt layup at rim,70-80, ,,3,80,70,10,1881.0
4:39.0,Shooting foul by B. Bogdanović (drawn by J. Green),70-80, ,,3,80,70,10,1881.0
4:39.0,J. Tate enters the game for J. Smith,70-80, ,,3,80,70,10,1881.0
4:39.0,J. Green misses free throw 1 of 1,70-80, ,,3,80,70,10,1881.0
4:38.0,Offensive rebound by J. Tate,70-80, ,,3,80,70,10,1882.0
4:32.0,J. Green misses 2-pt jump shot from 14 ft,70-80, ,,3,80,70,10,1888.0
4:28.0, ,70-80,Defensive rebound by J. Johnson,,3,80,70,10,1892.0
4:09.0, ,70-80,K. Bufkin misses 3-pt jump shot from 23 ft,,3,80,70,10,1911.0
4:06.0,Defensive rebound by J. Landale,70-80, ,,3,80,70,10,1914.0
3:44.0,J. Green makes 2-pt layup from 1 ft,72-80, ,,3,80,72,8,1936.0
3:32.0, ,72-80,Shooting foul by J. Tate (drawn by D. Murray),,3,80,72,8,1948.0
3:32.0, ,72-81,D. Murray makes free throw 1 of 2,,3,81,72,9,1948.0
3:32.0,R. Bullock enters the game for D. Brooks,72-81, ,,3,81,72,9,1948.0
3:32.0, ,72-81,D. Murray misses free throw 2 of 2,,3,81,72,9,1948.0
3:30.0,Defensive rebound by J. Green,72-81, ,,3,81,72,9,1950.0
3:13.0,Turnover by J. Green (bad pass; steal by J. Johnson),72-81, ,,3,81,72,9,1967.0
3:07.0, ,72-84,S. Bey makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),,3,84,72,12,1973.0
2:48.0,Turnover by J. Green (bad pass; steal by J. Johnson),72-84, ,,3,84,72,12,1992.0
2:45.0, ,72-86,J. Johnson makes 2-pt dunk from 2 ft (assist by S. Bey),,3,86,72,14,1995.0
2:23.0,J. Tate misses 2-pt layup from 3 ft (block by S. Bey),72-86, ,,3,86,72,14,2017.0
2:23.0,Offensive rebound by Team,72-86, ,,3,86,72,14,2017.0
2:23.0, ,72-86,Loose ball foul by K. Bufkin (drawn by A. Holiday),,3,86,72,14,2017.0
2:23.0,Houston full timeout,72-86, ,,3,86,72,14,2017.0
2:23.0,J. Williams enters the game for J. Green,72-86, ,,3,86,72,14,2017.0
2:18.0,A. Holiday makes 3-pt jump shot from 29 ft (assist by J. Landale),75-86, ,,3,86,75,11,2022.0
1:50.0, ,75-86,Shooting foul by J. Williams (drawn by S. Bey),,3,86,75,11,2050.0
1:50.0, ,75-87,S. Bey makes free throw 1 of 2,,3,87,75,12,2050.0
1:50.0,J. Smith enters the game for J. Landale,75-87, ,,3,87,75,12,2050.0
1:50.0, ,75-87,T. Young enters the game for D. Murray,,3,87,75,12,2050.0
1:50.0, ,75-88,S. Bey makes free throw 2 of 2,,3,88,75,13,2050.0
1:36.0,J. Williams makes 2-pt layup from 1 ft,77-88, ,,3,88,77,11,2064.0
1:22.0, ,77-90,B. Bogdanović makes 2-pt layup from 3 ft,,3,90,77,13,2078.0
1:15.0,J. Williams makes 2-pt dunk at rim (assist by A. Holiday),79-90, ,,3,90,79,11,2085.0
0:54.0, ,79-93,S. Bey makes 3-pt jump shot from 26 ft (assist by T. Young),,3,93,79,14,2106.0
0:48.0,A. Holiday makes 2-pt layup from 1 ft,81-93, ,,3,93,81,12,2112.0
0:33.0, ,81-93,Shooting foul by J. Williams (drawn by J. Johnson),,3,93,81,12,2127.0
0:33.0, ,81-94,J. Johnson makes free throw 1 of 2,,3,94,81,13,2127.0
0:33.0, ,81-95,J. Johnson makes free throw 2 of 2,,3,95,81,14,2127.0
0:28.0,A. Holiday makes 2-pt dunk from 1 ft,83-95, ,,3,95,83,12,2132.0
0:28.0,Shooting foul by J. Johnson (drawn by A. Holiday),83-95, ,,3,95,83,12,2132.0
0:28.0,A. Holiday makes free throw 1 of 1,84-95, ,,3,95,84,11,2132.0
0:03.0, ,84-95,Turnover by T. Young (bad pass; steal by J. Smith),,3,95,84,11,2157.0
0:00.0,J. Smith misses 3-pt jump shot from 25 ft,84-95, ,,3,95,84,11,2160.0
0:00.0,Offensive rebound by Team,84-95, ,,3,95,84,11,2160.0
0:00.0,End of 3rd quarter,84-95,,,3,95,84,11,2160.0
12:00.0,Start of 4th quarter,84-95,,,4,95,84,11,2160.0
11:51.0,J. Smith misses 3-pt jump shot from 25 ft (block by T. Young),84-95, ,,4,95,84,11,2169.0
11:47.0, ,84-95,Defensive rebound by K. Bufkin,,4,95,84,11,2173.0
11:42.0, ,84-95,K. Bufkin misses 3-pt jump shot from 26 ft,,4,95,84,11,2178.0
11:39.0, ,84-95,Offensive rebound by K. Bufkin,,4,95,84,11,2181.0
11:30.0, ,84-95,Personal foul by A. Thompson (drawn by G. Mathews),,4,95,84,11,2190.0
11:15.0, ,84-95,T. Young misses 3-pt jump shot from 26 ft,,4,95,84,11,2205.0
11:12.0,Defensive rebound by A. Thompson,84-95, ,,4,95,84,11,2208.0
11:00.0,J. Smith misses 2-pt layup from 1 ft,84-95, ,,4,95,84,11,2220.0
10:55.0,Offensive rebound by J. Williams,84-95, ,,4,95,84,11,2225.0
10:55.0,J. Williams makes 2-pt dunk at rim,86-95, ,,4,95,86,9,2225.0
10:49.0, ,86-95,O. Okongwu misses 2-pt layup from 2 ft (block by J. Smith),,4,95,86,9,2231.0
10:46.0, ,86-95,Offensive rebound by B. Bogdanović,,4,95,86,9,2234.0
10:46.0, ,86-95,Personal foul by R. Bullock (drawn by B. Bogdanović),,4,95,86,9,2234.0
10:43.0, ,86-97,T. Young makes 2-pt jump shot from 11 ft (assist by G. Mathews),,4,97,86,11,2237.0
10:43.0, ,86-97,Shooting foul by A. Holiday (drawn by T. Young),,4,97,86,11,2237.0
10:43.0, ,86-98,T. Young makes free throw 1 of 1,,4,98,86,12,2237.0
10:35.0,Personal foul by T. Young (drawn by A. Holiday),86-98, ,,4,98,86,12,2245.0
10:35.0, ,86-98,D. Murray enters the game for K. Bufkin,,4,98,86,12,2245.0
10:34.0,Personal foul by G. Mathews (drawn by R. Bullock),86-98, ,,4,98,86,12,2246.0
10:23.0,J. Williams makes 2-pt layup from 1 ft,88-98, ,,4,98,88,10,2257.0
10:14.0, ,88-98,Offensive foul by B. Bogdanović (drawn by A. Holiday),,4,98,88,10,2266.0
10:14.0, ,88-98,Turnover by B. Bogdanović (offensive foul),,4,98,88,10,2266.0
10:05.0,Shooting foul by B. Bogdanović (drawn by J. Williams),88-98, ,,4,98,88,10,2275.0
10:05.0,J. Williams misses free throw 1 of 2,88-98, ,,4,98,88,10,2275.0
10:05.0,Offensive rebound by Team,88-98, ,,4,98,88,10,2275.0
10:05.0, ,88-98,J. Johnson enters the game for G. Mathews,,4,98,88,10,2275.0
10:05.0,J. Williams misses free throw 2 of 2,88-98, ,,4,98,88,10,2275.0
10:03.0, ,88-98,Defensive rebound by B. Bogdanović,,4,98,88,10,2277.0
9:49.0, ,88-98,D. Murray misses 2-pt jump shot from 17 ft,,4,98,88,10,2291.0
9:46.0,Defensive rebound by A. Thompson,88-98, ,,4,98,88,10,2294.0
9:42.0,A. Thompson misses 2-pt layup from 1 ft,88-98, ,,4,98,88,10,2298.0
9:39.0,Offensive rebound by A. Thompson,88-98, ,,4,98,88,10,2301.0
9:38.0,A. Thompson makes 2-pt dunk from 1 ft,90-98, ,,4,98,90,8,2302.0
9:25.0, ,90-98,Turnover by T. Young (bad pass; steal by J. Smith),,4,98,90,8,2315.0
9:16.0,A. Holiday makes 2-pt jump shot from 12 ft,92-98, ,,4,98,92,6,2324.0
9:15.0, ,92-98,Atlanta full timeout,,4,98,92,6,2325.0
9:15.0,D. Brooks enters the game for R. Bullock,92-98, ,,4,98,92,6,2325.0
9:15.0, ,92-98,S. Bey enters the game for T. Young,,4,98,92,6,2325.0
9:03.0, ,92-98,B. Bogdanović misses 2-pt layup from 2 ft,,4,98,92,6,2337.0
9:01.0, ,92-98,Offensive rebound by O. Okongwu,,4,98,92,6,2339.0
9:01.0, ,92-98,Shooting foul by A. Holiday (drawn by O. Okongwu),,4,98,92,6,2339.0
9:01.0, ,92-98,O. Okongwu misses free throw 1 of 2,,4,98,92,6,2339.0
9:01.0, ,92-98,Offensive rebound by Team,,4,98,92,6,2339.0
9:01.0, ,92-99,O. Okongwu makes free throw 2 of 2,,4,99,92,7,2339.0
8:51.0,D. Brooks misses 3-pt jump shot from 27 ft,92-99, ,,4,99,92,7,2349.0
8:48.0, ,92-99,Defensive rebound by B. Bogdanović,,4,99,92,7,2352.0
8:36.0, ,92-101,B. Bogdanović makes 2-pt layup from 2 ft,,4,101,92,9,2364.0
8:30.0,J. Smith misses 3-pt jump shot from 26 ft,92-101, ,,4,101,92,9,2370.0
8:26.0,Offensive rebound by J. Williams,92-101, ,,4,101,92,9,2374.0
8:21.0,A. Holiday misses 3-pt jump shot from 24 ft,92-101, ,,4,101,92,9,2379.0
8:18.0, ,92-101,Defensive rebound by D. Murray,,4,101,92,9,2382.0
8:03.0, ,92-101,Turnover by S. Bey (lost ball; steal by J. Smith),,4,101,92,9,2397.0
7:59.0,J. Williams misses 2-pt layup from 1 ft,92-101, ,,4,101,92,9,2401.0
7:58.0, ,92-101,Defensive rebound by B. Bogdanović,,4,101,92,9,2402.0
7:55.0,Houston full timeout,92-101, ,,4,101,92,9,2405.0
7:55.0,Instant Replay (Challenge: Ruling Stands),92-101, ,,4,101,92,9,2405.0
7:55.0,J. Green enters the game for A. Holiday,92-101, ,,4,101,92,9,2405.0
7:55.0,J. Green enters the game for J. Smith,92-101, ,,4,101,92,9,2405.0
7:55.0, ,92-101,Turnover by B. Bogdanović (lost ball; steal by A. Thompson),,4,101,92,9,2405.0
7:51.0,J. Green makes 3-pt jump shot from 23 ft (assist by J. Green),95-101, ,,4,101,95,6,2409.0
7:33.0, ,95-104,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray),,4,104,95,9,2427.0
7:13.0,J. Williams misses 2-pt layup from 3 ft (block by D. Murray),95-104, ,,4,104,95,9,2447.0
7:10.0,Offensive rebound by A. Thompson,95-104, ,,4,104,95,9,2450.0
7:08.0,J. Green misses 3-pt jump shot from 26 ft,95-104, ,,4,104,95,9,2452.0
7:06.0, ,95-104,Defensive rebound by J. Johnson,,4,104,95,9,2454.0
6:54.0, ,95-104,D. Murray misses 3-pt jump shot from 23 ft,,4,104,95,9,2466.0
6:51.0,Defensive rebound by A. Thompson,95-104, ,,4,104,95,9,2469.0
6:44.0,A. Thompson misses 3-pt jump shot from 25 ft,95-104, ,,4,104,95,9,2476.0
6:40.0, ,95-104,Defensive rebound by D. Murray,,4,104,95,9,2480.0
6:35.0, ,95-104,Shooting foul by J. Williams (drawn by O. Okongwu),,4,104,95,9,2485.0
6:35.0, ,95-105,O. Okongwu makes free throw 1 of 2,,4,105,95,10,2485.0
6:35.0, ,95-105,O. Okongwu misses free throw 2 of 2,,4,105,95,10,2485.0
6:33.0,Defensive rebound by A. Thompson,95-105, ,,4,105,95,10,2487.0
6:18.0,D. Brooks makes 2-pt jump shot from 11 ft (assist by J. Green),97-105, ,,4,105,97,8,2502.0
6:06.0, ,97-107,D. Murray makes 2-pt layup from 3 ft,,4,107,97,10,2514.0
5:56.0,D. Brooks misses 2-pt layup from 3 ft,97-107, ,,4,107,97,10,2524.0
5:54.0, ,97-107,Defensive rebound by O. Okongwu,,4,107,97,10,2526.0
5:50.0, ,97-107,Shooting foul by J. Green (drawn by D. Murray),,4,107,97,10,2530.0
5:50.0, ,97-108,D. Murray makes free throw 1 of 2,,4,108,97,11,2530.0
5:50.0,J. Smith enters the game for J. Williams,97-108, ,,4,108,97,11,2530.0
5:50.0, ,97-108,T. Young enters the game for B. Bogdanović,,4,108,97,11,2530.0
5:50.0, ,97-109,D. Murray makes free throw 2 of 2,,4,109,97,12,2530.0
5:34.0,Turnover by J. Green (traveling),97-109, ,,4,109,97,12,2546.0
5:19.0, ,97-109,D. Murray misses 3-pt jump shot from 25 ft,,4,109,97,12,2561.0
5:15.0,Defensive rebound by J. Green,97-109, ,,4,109,97,12,2565.0
5:10.0,Shooting foul by O. Okongwu (drawn by J. Green),97-109, ,,4,109,97,12,2570.0
5:10.0,J. Green misses free throw 1 of 2,97-109, ,,4,109,97,12,2570.0
5:10.0,Offensive rebound by Team,97-109, ,,4,109,97,12,2570.0
5:10.0,J. Green makes free throw 2 of 2,98-109, ,,4,109,98,11,2570.0
4:49.0, ,98-109,Shooting foul by J. Smith (drawn by T. Young),,4,109,98,11,2591.0
4:49.0, ,98-110,T. Young makes free throw 1 of 2,,4,110,98,12,2591.0
4:49.0, ,98-111,T. Young makes free throw 2 of 2,,4,111,98,13,2591.0
4:46.0,Personal foul by T. Young (drawn by J. Green),98-111, ,,4,111,98,13,2594.0
4:46.0,J. Green makes free throw 1 of 2,99-111, ,,4,111,99,12,2594.0
4:46.0,J. Green makes free throw 2 of 2,100-111, ,,4,111,100,11,2594.0
4:30.0, ,100-111,T. Young misses 2-pt jump shot from 21 ft,,4,111,100,11,2610.0
4:27.0,Defensive rebound by J. Green,100-111, ,,4,111,100,11,2613.0
4:21.0,J. Green makes 2-pt layup from 1 ft (assist by A. Thompson),102-111, ,,4,111,102,9,2619.0
4:17.0, ,102-111,Atlanta full timeout,,4,111,102,9,2623.0
4:00.0, ,102-111,D. Murray misses 2-pt layup from 2 ft (block by J. Smith),,4,111,102,9,2640.0
3:57.0,Defensive rebound by J. Green,102-111, ,,4,111,102,9,2643.0
3:51.0,D. Brooks misses 3-pt jump shot from 27 ft,102-111, ,,4,111,102,9,2649.0
3:49.0,Offensive rebound by A. Thompson,102-111, ,,4,111,102,9,2651.0
3:48.0,A. Thompson makes 2-pt dunk from 1 ft,104-111, ,,4,111,104,7,2652.0
3:36.0, ,104-111,J. Johnson misses 2-pt dunk from 2 ft (block by J. Green),,4,111,104,7,2664.0
3:33.0,Defensive rebound by J. Smith,104-111, ,,4,111,104,7,2667.0
3:30.0,J. Smith misses 3-pt jump shot from 25 ft,104-111, ,,4,111,104,7,2670.0
3:27.0,Offensive rebound by J. Green,104-111, ,,4,111,104,7,2673.0
3:20.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Green),107-111, ,,4,111,107,4,2680.0
3:06.0, ,107-113,D. Murray makes 2-pt layup from 2 ft,,4,113,107,6,2694.0
3:06.0, ,107-113,Shooting foul by D. Brooks (drawn by D. Murray),,4,113,107,6,2694.0
3:06.0, ,107-114,D. Murray makes free throw 1 of 1,,4,114,107,7,2694.0
3:06.0,Houston full timeout,107-114, ,,4,114,107,7,2694.0
2:49.0,J. Green makes 2-pt jump shot from 19 ft,109-114, ,,4,114,109,5,2711.0
2:32.0, ,109-114,Personal foul by A. Thompson (drawn by D. Murray),,4,114,109,5,2728.0
2:32.0, ,109-115,D. Murray makes free throw 1 of 2,,4,115,109,6,2728.0
2:32.0, ,109-115,D. Murray misses free throw 2 of 2,,4,115,109,6,2728.0
2:30.0,Defensive rebound by J. Smith,109-115, ,,4,115,109,6,2730.0
2:17.0, ,109-115,Atlanta full timeout,,4,115,109,6,2743.0
2:17.0, ,109-115,Instant Replay (Challenge: Ruling Stands),,4,115,109,6,2743.0
2:17.0,J. Smith misses 2-pt layup from 4 ft (block by O. Okongwu),109-115, ,,4,115,109,6,2743.0
2:17.0,Offensive rebound by Team,109-115, ,,4,115,109,6,2743.0
2:11.0,J. Green misses 3-pt jump shot from 23 ft,109-115, ,,4,115,109,6,2749.0
2:05.0,Offensive rebound by J. Smith,109-115, ,,4,115,109,6,2755.0
2:05.0,J. Smith misses 2-pt layup at rim (block by O. Okongwu),109-115, ,,4,115,109,6,2755.0
2:03.0, ,109-115,Defensive rebound by O. Okongwu,,4,115,109,6,2757.0
1:59.0, ,109-118,S. Bey makes 3-pt jump shot from 23 ft (assist by D. Murray),,4,118,109,9,2761.0
1:43.0,D. Brooks misses 3-pt jump shot from 25 ft,109-118, ,,4,118,109,9,2777.0
1:39.0, ,109-118,Defensive rebound by T. Young,,4,118,109,9,2781.0
1:29.0, ,109-118,Turnover by T. Young (discontinued dribble),,4,118,109,9,2791.0
1:22.0,J. Green makes 2-pt dunk from 2 ft,111-118, ,,4,118,111,7,2798.0
1:13.0, ,111-118,Turnover by T. Young (lost ball; steal by J. Green),,4,118,111,7,2807.0
1:09.0,J. Green makes 2-pt layup from 1 ft (assist by A. Thompson),113-118, ,,4,118,113,5,2811.0
1:05.0, ,113-118,Personal foul by D. Brooks (drawn by D. Murray),,4,118,113,5,2815.0
1:05.0, ,113-119,D. Murray makes free throw 1 of 2,,4,119,113,6,2815.0
1:05.0, ,113-120,D. Murray makes free throw 2 of 2,,4,120,113,7,2815.0
0:57.0,Turnover by J. Green (lost ball; steal by T. Young),113-120, ,,4,120,113,7,2823.0
0:39.0, ,113-120,D. Murray misses 2-pt layup from 2 ft,,4,120,113,7,2841.0
0:36.0, ,113-120,Offensive rebound by O. Okongwu,,4,120,113,7,2844.0
0:27.0, ,113-120,D. Murray misses 3-pt jump shot from 23 ft,,4,120,113,7,2853.0
0:26.0, ,113-120,Offensive rebound by S. Bey,,4,120,113,7,2854.0
0:26.0, ,113-122,S. Bey makes 2-pt dunk at rim,,4,122,113,9,2854.0
0:22.0,J. Green misses 3-pt jump shot from 26 ft,113-122, ,,4,122,113,9,2858.0
0:19.0, ,113-122,Defensive rebound by J. Johnson,,4,122,113,9,2861.0
0:00.0,End of 4th quarter,113-122,,,4,122,113,9,2880.0
