Time,Atlanta,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:41.0,M. Gueye enters the game for D. Hunter,16-11, ,,1,16,11,5,319.0
6:41.0,G. Mathews enters the game for T. Young,16-11, ,,1,16,11,5,319.0
6:41.0, ,16-11,N. Alexander-Walker enters the game for M. Conley,,1,16,11,5,319.0
6:41.0, ,16-11,N. Reid enters the game for K. Towns,,1,16,11,5,319.0
6:22.0,C. Capela misses 2-pt hook shot from 6 ft,16-11, ,,1,16,11,5,338.0
6:19.0, ,16-11,Defensive rebound by R. Gobert,,1,16,11,5,341.0
6:08.0, ,16-14,N. Alexander-Walker makes 3-pt jump shot from 23 ft (assist by A. Edwards),,1,16,14,2,352.0
5:53.0,B. Bogdanović misses 2-pt layup from 2 ft (block by R. Gobert),16-14, ,,1,16,14,2,367.0
5:53.0,Offensive rebound by Team,16-14, ,,1,16,14,2,367.0
5:53.0,B. Fernando enters the game for C. Capela,16-14, ,,1,16,14,2,367.0
5:53.0, ,16-14,M. Morris enters the game for A. Edwards,,1,16,14,2,367.0
5:48.0,D. Murray makes 2-pt jump shot from 17 ft (assist by B. Fernando),18-14, ,,1,18,14,4,372.0
5:33.0, ,18-14,Shooting foul by M. Gueye (drawn by N. Reid),,1,18,14,4,387.0
5:33.0, ,18-15,N. Reid makes free throw 1 of 2,,1,18,15,3,387.0
5:33.0, ,18-16,N. Reid makes free throw 2 of 2,,1,18,16,2,387.0
5:23.0,D. Murray misses 3-pt jump shot from 25 ft,18-16, ,,1,18,16,2,397.0
5:19.0, ,18-16,Defensive rebound by M. Morris,,1,18,16,2,401.0
5:14.0, ,18-16,N. Reid misses 3-pt jump shot from 24 ft,,1,18,16,2,406.0
5:11.0,Defensive rebound by D. Murray,18-16, ,,1,18,16,2,409.0
4:59.0,M. Gueye misses 3-pt jump shot from 24 ft,18-16, ,,1,18,16,2,421.0
4:56.0, ,18-16,Defensive rebound by M. Morris,,1,18,16,2,424.0
4:41.0, ,18-16,Shooting foul by M. Gueye (drawn by N. Reid),,1,18,16,2,439.0
4:41.0, ,18-17,N. Reid makes free throw 1 of 2,,1,18,17,1,439.0
4:41.0,A. Griffin enters the game for B. Bogdanović,18-17, ,,1,18,17,1,439.0
4:41.0, ,18-17,K. Anderson enters the game for J. McDaniels,,1,18,17,1,439.0
4:41.0, ,18-17,N. Reid misses free throw 2 of 2,,1,18,17,1,439.0
4:40.0,Defensive rebound by B. Fernando,18-17, ,,1,18,17,1,440.0
4:28.0,B. Fernando misses 2-pt hook shot from 7 ft (block by R. Gobert),18-17, ,,1,18,17,1,452.0
4:23.0, ,18-17,Defensive rebound by R. Gobert,,1,18,17,1,457.0
4:11.0, ,18-17,N. Alexander-Walker misses 3-pt jump shot from 23 ft,,1,18,17,1,469.0
4:07.0, ,18-17,Offensive rebound by R. Gobert,,1,18,17,1,473.0
4:02.0, ,18-19,R. Gobert makes 2-pt dunk from 1 ft (assist by N. Reid),Lead change,1,18,19,-1,478.0
3:38.0,D. Murray makes 2-pt jump shot from 14 ft,20-19, ,Lead change,1,20,19,1,502.0
3:19.0, ,20-19,Shooting foul by B. Fernando (drawn by N. Alexander-Walker),,1,20,19,1,521.0
3:19.0, ,20-20,N. Alexander-Walker makes free throw 1 of 2,Tie,1,20,20,0,521.0
3:19.0, ,20-20,K. Towns enters the game for R. Gobert,,1,20,20,0,521.0
3:19.0, ,20-21,N. Alexander-Walker makes free throw 2 of 2,Lead change,1,20,21,-1,521.0
3:04.0,G. Mathews misses 3-pt jump shot from 24 ft,20-21, ,,1,20,21,-1,536.0
3:03.0,Offensive rebound by Team,20-21, ,,1,20,21,-1,537.0
3:03.0,Atlanta full timeout,20-21, ,,1,20,21,-1,537.0
3:03.0,T. Young enters the game for D. Murray,20-21, ,,1,20,21,-1,537.0
2:53.0,Turnover by A. Griffin (lost ball; steal by K. Anderson),20-21, ,,1,20,21,-1,547.0
2:45.0, ,20-21,Turnover by N. Reid (out of bounds lost ball),,1,20,21,-1,555.0
2:31.0,M. Gueye makes 2-pt dunk from 1 ft (assist by B. Fernando),22-21, ,Lead change,1,22,21,1,569.0
2:16.0, ,22-21,Shooting foul by G. Mathews (drawn by K. Towns),,1,22,21,1,584.0
2:16.0, ,22-22,K. Towns makes free throw 1 of 2,Tie,1,22,22,0,584.0
2:16.0, ,22-22,A. Edwards enters the game for N. Alexander-Walker,,1,22,22,0,584.0
2:16.0, ,22-23,K. Towns makes free throw 2 of 2,Lead change,1,22,23,-1,584.0
1:56.0,T. Young makes 2-pt jump shot from 8 ft (assist by M. Gueye),24-23, ,Lead change,1,24,23,1,604.0
1:46.0, ,24-23,Turnover by K. Towns (bad pass),,1,24,23,1,614.0
1:27.0, ,24-23,Violation by Team (kicked ball),,1,24,23,1,633.0
1:18.0,G. Mathews misses 2-pt layup from 4 ft,24-23, ,,1,24,23,1,642.0
1:16.0, ,24-23,Defensive rebound by K. Towns,,1,24,23,1,644.0
1:05.0, ,24-25,A. Edwards makes 2-pt layup from 2 ft (assist by N. Reid),Lead change,1,24,25,-1,655.0
0:59.0,Shooting foul by A. Edwards (drawn by T. Young),24-25, ,,1,24,25,-1,661.0
0:59.0,T. Young misses free throw 1 of 2,24-25, ,,1,24,25,-1,661.0
0:59.0,Offensive rebound by Team,24-25, ,,1,24,25,-1,661.0
0:59.0,T. Young makes free throw 2 of 2,25-25, ,Tie,1,25,25,0,661.0
0:41.0, ,25-25,M. Morris misses 3-pt jump shot from 25 ft,,1,25,25,0,679.0
0:37.0,Defensive rebound by A. Griffin,25-25, ,,1,25,25,0,683.0
0:34.0,B. Fernando makes 2-pt dunk from 2 ft (assist by T. Young),27-25, ,Lead change,1,27,25,2,686.0
0:23.0, ,27-25,N. Reid misses 3-pt jump shot from 25 ft,,1,27,25,2,697.0
