Time,Atlanta,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:00.0,J. Johnson makes 3-pt jump shot from 25 ft (assist by C. Capela),99-102, ,,4,99,102,-3,2220.0
10:38.0, ,99-104,M. Potter makes 2-pt layup from 4 ft (assist by T. Horton-Tucker),,4,99,104,-5,2242.0
10:24.0,Turnover by J. Johnson (traveling),99-104, ,,4,99,104,-5,2256.0
10:01.0, ,99-107,M. Potter makes 3-pt jump shot from 25 ft (assist by W. Kessler),,4,99,107,-8,2279.0
10:01.0, ,99-107,Shooting foul by G. Mathews (drawn by M. Potter),,4,99,107,-8,2279.0
10:01.0,W. Matthews enters the game for G. Mathews,99-107, ,,4,99,107,-8,2279.0
10:01.0, ,99-108,M. Potter makes free throw 1 of 1,,4,99,108,-9,2279.0
9:43.0,D. Hunter makes 2-pt jump shot from 8 ft (assist by C. Capela),101-108, ,,4,101,108,-7,2297.0
9:31.0, ,101-108,T. Horton-Tucker misses 2-pt layup from 9 ft,,4,101,108,-7,2309.0
9:31.0,Defensive rebound by Team,101-108, ,,4,101,108,-7,2309.0
9:31.0, ,101-108,Loose ball foul by M. Potter (drawn by D. Hunter),,4,101,108,-7,2309.0
9:31.0,D. Murray enters the game for D. Hunter,101-108, ,,4,101,108,-7,2309.0
9:17.0,T. Forrest misses 2-pt jump shot from 6 ft,101-108, ,,4,101,108,-7,2323.0
9:15.0, ,101-108,Defensive rebound by J. Juzang,,4,101,108,-7,2325.0
9:09.0, ,101-108,J. Juzang misses 3-pt jump shot from 26 ft,,4,101,108,-7,2331.0
9:07.0,Defensive rebound by C. Capela,101-108, ,,4,101,108,-7,2333.0
8:55.0,D. Murray makes 2-pt jump shot from 13 ft,103-108, ,,4,103,108,-5,2345.0
8:38.0, ,103-108,J. Preston misses 2-pt jump shot from 9 ft,,4,103,108,-5,2362.0
8:36.0,Defensive rebound by W. Matthews,103-108, ,,4,103,108,-5,2364.0
8:24.0,D. Murray misses 3-pt jump shot from 24 ft,103-108, ,,4,103,108,-5,2376.0
8:21.0, ,103-108,Defensive rebound by W. Kessler,,4,103,108,-5,2379.0
8:19.0, ,103-108,Turnover by W. Kessler (bad pass; steal by D. Murray),,4,103,108,-5,2381.0
8:15.0,J. Johnson makes 3-pt jump shot from 29 ft (assist by T. Forrest),106-108, ,,4,106,108,-2,2385.0
8:13.0, ,106-108,Utah full timeout,,4,106,108,-2,2387.0
8:13.0, ,106-108,C. Sexton enters the game for M. Potter,,4,106,108,-2,2387.0
7:56.0, ,106-110,C. Sexton makes 2-pt jump shot from 20 ft,,4,106,110,-4,2404.0
7:41.0,J. Johnson misses 2-pt jump shot from 8 ft,106-110, ,,4,106,110,-4,2419.0
7:40.0,Offensive rebound by J. Johnson,106-110, ,,4,106,110,-4,2420.0
7:39.0,J. Johnson misses 2-pt jump shot from 8 ft,106-110, ,,4,106,110,-4,2421.0
7:38.0, ,106-110,Defensive rebound by W. Kessler,,4,106,110,-4,2422.0
7:24.0, ,106-113,J. Juzang makes 3-pt jump shot from 23 ft (assist by C. Sexton),,4,106,113,-7,2436.0
7:04.0,Turnover by D. Murray (bad pass; steal by C. Sexton),106-113, ,,4,106,113,-7,2456.0
7:01.0, ,106-116,C. Sexton makes 3-pt jump shot from 25 ft,,4,106,116,-10,2459.0
6:59.0,Atlanta full timeout,106-116, ,,4,106,116,-10,2461.0
6:59.0,D. Hunter enters the game for T. Forrest,106-116, ,,4,106,116,-10,2461.0
6:59.0,V. Krejci enters the game for W. Matthews,106-116, ,,4,106,116,-10,2461.0
6:59.0, ,106-116,J. Collins enters the game for J. Preston,,4,106,116,-10,2461.0
6:39.0,D. Murray makes 2-pt jump shot from 7 ft,108-116, ,,4,108,116,-8,2481.0
6:21.0, ,108-116,C. Sexton misses 2-pt jump shot from 17 ft,,4,108,116,-8,2499.0
6:18.0,Defensive rebound by C. Capela,108-116, ,,4,108,116,-8,2502.0
6:08.0,D. Murray misses 2-pt layup from 4 ft,108-116, ,,4,108,116,-8,2512.0
6:07.0, ,108-116,Defensive rebound by W. Kessler,,4,108,116,-8,2513.0
5:54.0, ,108-116,C. Sexton misses 3-pt jump shot from 25 ft,,4,108,116,-8,2526.0
5:50.0,Defensive rebound by D. Hunter,108-116, ,,4,108,116,-8,2530.0
5:46.0,Shooting foul by J. Collins (drawn by D. Murray),108-116, ,,4,108,116,-8,2534.0
5:46.0,D. Murray makes free throw 1 of 2,109-116, ,,4,109,116,-7,2534.0
5:46.0,G. Mathews enters the game for J. Johnson,109-116, ,,4,109,116,-7,2534.0
5:46.0, ,109-116,K. George enters the game for T. Horton-Tucker,,4,109,116,-7,2534.0
5:46.0, ,109-116,B. Sensabaugh enters the game for W. Kessler,,4,109,116,-7,2534.0
5:46.0,D. Murray makes free throw 2 of 2,110-116, ,,4,110,116,-6,2534.0
5:34.0, ,110-116,K. George misses 2-pt jump shot from 11 ft,,4,110,116,-6,2546.0
5:31.0,Defensive rebound by C. Capela,110-116, ,,4,110,116,-6,2549.0
5:16.0,D. Hunter misses 2-pt jump shot from 23 ft,110-116, ,,4,110,116,-6,2564.0
5:11.0, ,110-116,Defensive rebound by J. Collins,,4,110,116,-6,2569.0
4:51.0, ,110-116,Turnover by Team (shot clock),,4,110,116,-6,2589.0
4:51.0,J. Johnson enters the game for G. Mathews,110-116, ,,4,110,116,-6,2589.0
4:37.0,D. Murray misses 3-pt jump shot from 26 ft,110-116, ,,4,110,116,-6,2603.0
4:34.0, ,110-116,Defensive rebound by C. Sexton,,4,110,116,-6,2606.0
4:18.0, ,110-118,J. Juzang makes 2-pt layup from 5 ft (assist by C. Sexton),,4,110,118,-8,2622.0
3:56.0,C. Capela makes 2-pt dunk from 4 ft (assist by J. Johnson),112-118, ,,4,112,118,-6,2644.0
3:38.0, ,112-120,K. George makes 2-pt jump shot from 8 ft,,4,112,120,-8,2662.0
3:23.0,J. Johnson misses 2-pt layup from 5 ft,112-120, ,,4,112,120,-8,2677.0
3:21.0, ,112-120,Defensive rebound by J. Collins,,4,112,120,-8,2679.0
3:14.0, ,112-120,K. George misses 3-pt jump shot from 26 ft,,4,112,120,-8,2686.0
3:12.0,Defensive rebound by C. Capela,112-120, ,,4,112,120,-8,2688.0
3:03.0,D. Murray misses 2-pt jump shot from 9 ft,112-120, ,,4,112,120,-8,2697.0
3:02.0,Offensive rebound by Team,112-120, ,,4,112,120,-8,2698.0
3:02.0, ,112-120,Loose ball foul by J. Collins (drawn by C. Capela),,4,112,120,-8,2698.0
2:54.0,Shooting foul by J. Collins (drawn by J. Johnson),112-120, ,,4,112,120,-8,2706.0
2:54.0,J. Johnson makes free throw 1 of 2,113-120, ,,4,113,120,-7,2706.0
2:54.0,J. Johnson makes free throw 2 of 2,114-120, ,,4,114,120,-6,2706.0
2:42.0, ,114-120,K. George misses 3-pt jump shot from 25 ft,,4,114,120,-6,2718.0
2:41.0,Defensive rebound by J. Johnson,114-120, ,,4,114,120,-6,2719.0
2:40.0,Turnover by J. Johnson (lost ball; steal by C. Sexton),114-120, ,,4,114,120,-6,2720.0
2:36.0, ,114-122,C. Sexton makes 2-pt dunk from 1 ft,,4,114,122,-8,2724.0
2:22.0,D. Murray makes 2-pt layup from 7 ft,116-122, ,,4,116,122,-6,2738.0
2:07.0, ,116-122,Personal foul by V. Krejci (drawn by K. George),,4,116,122,-6,2753.0
1:56.0, ,116-124,K. George makes 2-pt layup from 5 ft,,4,116,124,-8,2764.0
1:45.0,D. Murray makes 3-pt jump shot from 28 ft (assist by D. Hunter),119-124, ,,4,119,124,-5,2775.0
1:25.0, ,119-124,Turnover by K. George (bad pass; steal by V. Krejci),,4,119,124,-5,2795.0
1:18.0,D. Murray makes 3-pt jump shot from 28 ft,122-124, ,,4,122,124,-2,2802.0
0:58.0, ,122-124,C. Sexton misses 2-pt jump shot from 8 ft,,4,122,124,-2,2822.0
0:56.0,Defensive rebound by D. Murray,122-124, ,,4,122,124,-2,2824.0
0:49.0,D. Murray misses 3-pt jump shot from 26 ft,122-124, ,,4,122,124,-2,2831.0
0:47.0,Offensive rebound by D. Murray,122-124, ,,4,122,124,-2,2833.0
0:35.0,D. Murray misses 3-pt jump shot from 28 ft,122-124, ,,4,122,124,-2,2845.0
0:31.0, ,122-124,Defensive rebound by J. Collins,,4,122,124,-2,2849.0
0:16.0, ,122-124,Utah full timeout,,4,122,124,-2,2864.0
0:09.0, ,122-124,K. George misses 3-pt jump shot from 23 ft,,4,122,124,-2,2871.0
0:08.0, ,122-124,Offensive rebound by Team,,4,122,124,-2,2872.0
0:08.0, ,122-124,Turnover by Team (shot clock),,4,122,124,-2,2872.0
0:08.0, ,122-124,Instant Replay (Request: Ruling Stands),,4,122,124,-2,2872.0
0:08.0, ,122-124,T. Hendricks enters the game for J. Juzang,,4,122,124,-2,2872.0
0:08.0, ,122-124,W. Kessler enters the game for B. Sensabaugh,,4,122,124,-2,2872.0
0:08.0,Atlanta full timeout,122-124, ,,4,122,124,-2,2872.0
0:01.0,V. Krejci misses 3-pt jump shot from 26 ft,122-124, ,,4,122,124,-2,2879.0
0:01.0,Offensive rebound by Team,122-124, ,,4,122,124,-2,2879.0
0:00.0,End of 4th quarter,122-124,,,4,122,124,-2,2880.0
