Time,New York,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: M. Robinson vs. C. Capela (J. Brunson gains possession),0-0,,,1,0,0,0,0.0
11:41.0,R. Barrett misses 3-pt jump shot from 25 ft (block by D. Hunter),0-0, ,,1,0,0,0,19.0
11:37.0, ,0-0,Defensive rebound by T. Young,,1,0,0,0,23.0
11:21.0, ,0-0,D. Hunter misses 3-pt jump shot from 25 ft,,1,0,0,0,39.0
11:17.0,Defensive rebound by J. Randle,0-0, ,,1,0,0,0,43.0
10:58.0,J. Randle misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,62.0
10:56.0, ,0-0,Defensive rebound by D. Hunter,,1,0,0,0,64.0
10:49.0, ,0-0,T. Young misses 3-pt jump shot from 25 ft,,1,0,0,0,71.0
10:46.0,Defensive rebound by J. Randle,0-0, ,,1,0,0,0,74.0
10:42.0,R. Barrett makes 2-pt dunk from 1 ft (assist by J. Randle),2-0, ,,1,0,2,-2,78.0
10:20.0, ,2-0,C. Capela misses 2-pt hook shot from 4 ft (block by M. Robinson),,1,0,2,-2,100.0
10:16.0, ,2-0,Offensive rebound by D. Murray,,1,0,2,-2,104.0
10:15.0, ,2-0,T. Young misses 3-pt jump shot from 27 ft,,1,0,2,-2,105.0
10:12.0,Defensive rebound by J. Randle,2-0, ,,1,0,2,-2,108.0
9:57.0,J. Brunson misses 3-pt jump shot from 26 ft,2-0, ,,1,0,2,-2,123.0
9:53.0, ,2-0,Defensive rebound by D. Murray,,1,0,2,-2,127.0
9:48.0, ,2-0,Personal foul by J. Brunson (drawn by D. Murray),,1,0,2,-2,132.0
9:38.0, ,2-2,C. Capela makes 2-pt dunk from 1 ft (assist by D. Murray),Tie,1,2,2,0,142.0
9:17.0,Shooting foul by D. Hunter (drawn by M. Robinson),2-2, ,,1,2,2,0,163.0
9:17.0,M. Robinson makes free throw 1 of 2,3-2, ,,1,2,3,-1,163.0
9:17.0,M. Robinson makes free throw 2 of 2,4-2, ,,1,2,4,-2,163.0
9:00.0, ,4-2,T. Young misses 2-pt jump shot from 3 ft,,1,2,4,-2,180.0
8:59.0, ,4-2,Offensive rebound by Team,,1,2,4,-2,181.0
8:55.0, ,4-2,D. Murray misses 3-pt jump shot from 26 ft,,1,2,4,-2,185.0
8:52.0, ,4-2,Offensive rebound by T. Young,,1,2,4,-2,188.0
8:48.0, ,4-4,D. Hunter makes 2-pt dunk from 2 ft (assist by T. Young),Tie,1,4,4,0,192.0
8:37.0,Personal foul by S. Bey (drawn by J. Brunson),4-4, ,,1,4,4,0,203.0
8:31.0,Shooting foul by D. Hunter (drawn by R. Barrett),4-4, ,,1,4,4,0,209.0
8:31.0,R. Barrett misses free throw 1 of 2,4-4, ,,1,4,4,0,209.0
8:31.0,Offensive rebound by Team,4-4, ,,1,4,4,0,209.0
8:31.0,R. Barrett makes free throw 2 of 2,5-4, ,,1,4,5,-1,209.0
8:17.0, ,5-6,D. Hunter makes 2-pt layup from 1 ft (assist by S. Bey),Lead change,1,6,5,1,223.0
7:59.0,M. Robinson makes 2-pt dunk from 1 ft (assist by J. Brunson),7-6, ,Lead change,1,6,7,-1,241.0
7:50.0, ,7-6,S. Bey misses 3-pt jump shot from 22 ft,,1,6,7,-1,250.0
7:47.0,Defensive rebound by R. Barrett,7-6, ,,1,6,7,-1,253.0
7:37.0,Q. Grimes makes 3-pt jump shot from 24 ft (assist by M. Robinson),10-6, ,,1,6,10,-4,263.0
7:22.0, ,10-6,D. Hunter misses 2-pt jump shot from 18 ft,,1,6,10,-4,278.0
7:19.0,Defensive rebound by M. Robinson,10-6, ,,1,6,10,-4,281.0
6:56.0,J. Randle misses 2-pt jump shot from 22 ft,10-6, ,,1,6,10,-4,304.0
6:53.0, ,10-6,Defensive rebound by C. Capela,,1,6,10,-4,307.0
6:52.0, ,10-6,Personal foul by J. Randle (drawn by T. Young),,1,6,10,-4,308.0
6:52.0, ,10-6,Atlanta full timeout,,1,6,10,-4,308.0
6:52.0, ,10-6,B. Bogdanović enters the game for T. Young,,1,6,10,-4,308.0
6:40.0, ,10-8,D. Hunter makes 2-pt jump shot from 19 ft (assist by C. Capela),,1,8,10,-2,320.0
6:19.0,J. Brunson makes 3-pt jump shot from 26 ft (assist by J. Randle),13-8, ,,1,8,13,-5,341.0
5:58.0, ,13-10,D. Murray makes 2-pt jump shot from 11 ft (assist by B. Bogdanović),,1,10,13,-3,362.0
5:42.0,Shooting foul by C. Capela (drawn by R. Barrett),13-10, ,,1,10,13,-3,378.0
5:42.0,R. Barrett makes free throw 1 of 2,14-10, ,,1,10,14,-4,378.0
5:42.0, ,14-10,J. Johnson enters the game for S. Bey,,1,10,14,-4,378.0
5:42.0,R. Barrett makes free throw 2 of 2,15-10, ,,1,10,15,-5,378.0
5:25.0, ,15-10,Turnover by J. Johnson (bad pass; steal by M. Robinson),,1,10,15,-5,395.0
5:20.0,R. Barrett misses 2-pt layup from 1 ft,15-10, ,,1,10,15,-5,400.0
5:16.0,Offensive rebound by M. Robinson,15-10, ,,1,10,15,-5,404.0
5:16.0,M. Robinson misses 2-pt layup at rim,15-10, ,,1,10,15,-5,404.0
5:15.0, ,15-10,Defensive rebound by C. Capela,,1,10,15,-5,405.0
5:07.0, ,15-10,C. Capela misses 2-pt hook shot from 3 ft,,1,10,15,-5,413.0
5:04.0, ,15-10,Offensive rebound by D. Murray,,1,10,15,-5,416.0
5:02.0, ,15-13,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),,1,13,15,-2,418.0
4:44.0,R. Barrett makes 3-pt jump shot from 22 ft (assist by J. Brunson),18-13, ,,1,13,18,-5,436.0
4:29.0, ,18-15,D. Murray makes 2-pt layup from 2 ft,,1,15,18,-3,451.0
4:20.0,J. Brunson makes 3-pt jump shot from 26 ft,21-15, ,,1,15,21,-6,460.0
4:05.0, ,21-15,Personal foul by Q. Grimes (drawn by J. Johnson),,1,15,21,-6,475.0
4:05.0,I. Hartenstein enters the game for R. Barrett,21-15, ,,1,15,21,-6,475.0
4:05.0,J. Hart enters the game for Q. Grimes,21-15, ,,1,15,21,-6,475.0
4:05.0,I. Quickley enters the game for M. Robinson,21-15, ,,1,15,21,-6,475.0
4:05.0, ,21-15,A. Griffin enters the game for C. Capela,,1,15,21,-6,475.0
4:05.0, ,21-15,O. Okongwu enters the game for D. Hunter,,1,15,21,-6,475.0
3:57.0, ,21-15,B. Bogdanović misses 3-pt jump shot from 25 ft,,1,15,21,-6,483.0
3:55.0,Defensive rebound by I. Quickley,21-15, ,,1,15,21,-6,485.0
3:50.0,J. Brunson makes 2-pt jump shot from 10 ft (assist by I. Quickley),23-15, ,,1,15,23,-8,490.0
3:40.0, ,23-15,Shooting foul by I. Quickley (drawn by D. Murray),,1,15,23,-8,500.0
3:40.0, ,23-15,D. Murray misses free throw 1 of 2,,1,15,23,-8,500.0
3:40.0, ,23-15,Offensive rebound by Team,,1,15,23,-8,500.0
3:40.0, ,23-16,D. Murray makes free throw 2 of 2,,1,16,23,-7,500.0
3:30.0,I. Quickley misses 3-pt jump shot from 24 ft,23-16, ,,1,16,23,-7,510.0
3:30.0,Offensive rebound by Team,23-16, ,,1,16,23,-7,510.0
3:30.0, ,23-16,Loose ball foul by O. Okongwu (drawn by I. Hartenstein),,1,16,23,-7,510.0
3:30.0,I. Hartenstein misses free throw 1 of 2,23-16, ,,1,16,23,-7,510.0
3:30.0,I. Hartenstein makes free throw 2 of 2,24-16, ,,1,16,24,-8,510.0
3:16.0, ,24-16,Turnover by D. Murray (bad pass; steal by I. Hartenstein),,1,16,24,-8,524.0
3:13.0,I. Hartenstein makes 2-pt dunk from 2 ft,26-16, ,,1,16,26,-10,527.0
3:13.0, ,26-16,Atlanta full timeout,,1,16,26,-10,527.0
3:13.0, ,26-16,T. Young enters the game for D. Murray,,1,16,26,-10,527.0
3:02.0, ,26-18,J. Johnson makes 2-pt dunk at rim (assist by T. Young),,1,18,26,-8,538.0
3:02.0, ,26-18,Shooting foul by J. Hart (drawn by J. Johnson),,1,18,26,-8,538.0
3:02.0,D. DiVincenzo enters the game for J. Brunson,26-18, ,,1,18,26,-8,538.0
3:02.0, ,26-18,J. Johnson misses free throw 1 of 1,,1,18,26,-8,538.0
2:59.0,Defensive rebound by J. Randle,26-18, ,,1,18,26,-8,541.0
2:48.0,Personal foul by T. Young (drawn by J. Randle),26-18, ,,1,18,26,-8,552.0
2:48.0,J. Randle makes free throw 1 of 2,27-18, ,,1,18,27,-9,552.0
2:48.0,J. Randle makes free throw 2 of 2,28-18, ,,1,18,28,-10,552.0
2:37.0, ,28-18,Shooting foul by I. Hartenstein (drawn by O. Okongwu),,1,18,28,-10,563.0
2:37.0, ,28-19,O. Okongwu makes free throw 1 of 2,,1,19,28,-9,563.0
2:37.0, ,28-20,O. Okongwu makes free throw 2 of 2,,1,20,28,-8,563.0
2:20.0,J. Randle misses 2-pt jump shot from 12 ft,28-20, ,,1,20,28,-8,580.0
2:16.0, ,28-20,Defensive rebound by A. Griffin,,1,20,28,-8,584.0
2:07.0, ,28-23,A. Griffin makes 3-pt jump shot from 25 ft (assist by T. Young),,1,23,28,-5,593.0
1:50.0,I. Quickley misses 3-pt jump shot from 23 ft,28-23, ,,1,23,28,-5,610.0
1:47.0, ,28-23,Defensive rebound by O. Okongwu,,1,23,28,-5,613.0
1:37.0, ,28-26,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Young),,1,26,28,-2,623.0
1:26.0,D. DiVincenzo makes 2-pt layup from 1 ft (assist by I. Hartenstein),30-26, ,,1,26,30,-4,634.0
1:14.0, ,30-29,T. Young makes 3-pt jump shot from 26 ft,,1,29,30,-1,646.0
0:57.0,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by J. Randle),33-29, ,,1,29,33,-4,663.0
0:51.0, ,33-29,T. Young misses 2-pt layup from 3 ft,,1,29,33,-4,669.0
0:47.0,Defensive rebound by I. Quickley,33-29, ,,1,29,33,-4,673.0
0:43.0,I. Quickley misses 2-pt layup from 2 ft (block by O. Okongwu),33-29, ,,1,29,33,-4,677.0
0:42.0, ,33-29,Defensive rebound by Team,,1,29,33,-4,678.0
0:42.0,R. Barrett enters the game for J. Randle,33-29, ,,1,29,33,-4,678.0
0:28.0, ,33-29,Turnover by T. Young (out of bounds lost ball),,1,29,33,-4,692.0
0:05.0,J. Hart makes 2-pt jump shot from 10 ft,35-29, ,,1,29,35,-6,715.0
