Time,Indiana,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:33.0,B. Brown makes 2-pt jump shot from 12 ft (assist by I. Jackson),136-130, ,,4,130,136,-6,2487.0
6:16.0, ,136-130,D. Murray misses 3-pt jump shot from 25 ft,,4,130,136,-6,2504.0
6:14.0, ,136-130,Offensive rebound by J. Johnson,,4,130,136,-6,2506.0
6:13.0, ,136-132,J. Johnson makes 2-pt layup from 2 ft,,4,132,136,-4,2507.0
5:54.0,A. Nesmith makes 2-pt layup from 1 ft (assist by O. Toppin),138-132, ,,4,132,138,-6,2526.0
5:43.0, ,138-135,T. Young makes 3-pt jump shot from 28 ft,,4,135,138,-3,2537.0
5:26.0,B. Brown misses 3-pt jump shot from 25 ft,138-135, ,,4,135,138,-3,2554.0
5:23.0, ,138-135,Defensive rebound by S. Bey,,4,135,138,-3,2557.0
5:15.0, ,138-135,S. Bey misses 3-pt jump shot from 22 ft,,4,135,138,-3,2565.0
5:13.0,Defensive rebound by Team,138-135, ,,4,135,138,-3,2567.0
5:13.0,Indiana full timeout,138-135, ,,4,135,138,-3,2567.0
5:13.0,B. Hield enters the game for I. Jackson,138-135, ,,4,135,138,-3,2567.0
4:48.0,B. Hield makes 2-pt jump shot from 22 ft,140-135, ,,4,135,140,-5,2592.0
4:30.0, ,140-137,J. Johnson makes 2-pt layup from 1 ft (assist by T. Young),,4,137,140,-3,2610.0
4:11.0,O. Toppin makes 2-pt dunk at rim (assist by T. Haliburton),142-137, ,,4,137,142,-5,2629.0
4:00.0, ,142-139,T. Young makes 2-pt layup from 1 ft,,4,139,142,-3,2640.0
3:44.0,B. Hield makes 3-pt jump shot from 23 ft (assist by O. Toppin),145-139, ,,4,139,145,-6,2656.0
3:28.0, ,145-139,D. Hunter misses 3-pt jump shot from 23 ft,,4,139,145,-6,2672.0
3:26.0, ,145-139,Offensive rebound by S. Bey,,4,139,145,-6,2674.0
3:26.0, ,145-139,S. Bey misses 2-pt layup from 3 ft (block by O. Toppin),,4,139,145,-6,2674.0
3:25.0, ,145-139,Offensive rebound by D. Murray,,4,139,145,-6,2675.0
3:25.0, ,145-139,Shooting foul by B. Hield (drawn by D. Murray),,4,139,145,-6,2675.0
3:25.0, ,145-139,B. Bogdanović enters the game for D. Hunter,,4,139,145,-6,2675.0
3:25.0, ,145-140,D. Murray makes free throw 1 of 2,,4,140,145,-5,2675.0
3:25.0, ,145-141,D. Murray makes free throw 2 of 2,,4,141,145,-4,2675.0
3:16.0,Turnover by T. Haliburton (bad pass; steal by D. Murray),145-141, ,,4,141,145,-4,2684.0
3:10.0, ,145-141,Shooting foul by A. Nesmith (drawn by T. Young),,4,141,145,-4,2690.0
3:10.0, ,145-142,T. Young makes free throw 1 of 2,,4,142,145,-3,2690.0
3:10.0, ,145-143,T. Young makes free throw 2 of 2,,4,143,145,-2,2690.0
2:52.0,A. Nesmith makes 2-pt layup from 1 ft,147-143, ,,4,143,147,-4,2708.0
2:41.0, ,147-146,T. Young makes 3-pt jump shot from 26 ft,,4,146,147,-1,2719.0
2:25.0,O. Toppin makes 2-pt dunk from 1 ft (assist by B. Brown),149-146, ,,4,146,149,-3,2735.0
2:06.0, ,149-148,D. Murray makes 2-pt jump shot from 9 ft,,4,148,149,-1,2754.0
1:45.0,Turnover by T. Haliburton (bad pass),149-148, ,,4,148,149,-1,2775.0
1:32.0, ,149-150,T. Young makes 2-pt jump shot from 23 ft,Lead change,4,150,149,1,2788.0
1:20.0,B. Hield makes 3-pt jump shot from 25 ft (assist by T. Haliburton),152-150, ,Lead change,4,150,152,-2,2800.0
1:08.0, ,152-152,S. Bey makes 2-pt layup at rim,Tie,4,152,152,0,2812.0
0:52.0,B. Hield makes 3-pt jump shot from 25 ft,155-152, ,,4,152,155,-3,2828.0
0:34.0, ,155-152,Offensive foul by D. Murray (drawn by O. Toppin),,4,152,155,-3,2846.0
0:34.0, ,155-152,Turnover by D. Murray (offensive foul),,4,152,155,-3,2846.0
0:33.0, ,155-152,Atlanta full timeout,,4,152,155,-3,2847.0
0:33.0, ,155-152,Instant Replay (Challenge: Ruling Stands),,4,152,155,-3,2847.0
0:12.0,Turnover by T. Haliburton (lost ball; steal by T. Young),155-152, ,,4,152,155,-3,2868.0
0:08.0, ,155-152,D. Murray misses 2-pt layup from 1 ft,,4,152,155,-3,2872.0
0:04.0,Defensive rebound by T. Haliburton,155-152, ,,4,152,155,-3,2876.0
0:00.0,B. Hield makes 2-pt layup from 2 ft (assist by O. Toppin),157-152, ,,4,152,157,-5,2880.0
0:00.0,End of 4th quarter,157-152,,,4,152,157,-5,2880.0
