Time,Chicago,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:54.0,N. Vučević enters the game for A. Dosunmu,108-104, ,,4,104,108,-4,2406.0
7:54.0,C. White enters the game for A. Drummond,108-104, ,,4,104,108,-4,2406.0
7:54.0, ,108-104,S. Bey enters the game for B. Fernando,,4,104,108,-4,2406.0
7:54.0, ,108-104,D. Murray enters the game for J. Johnson,,4,104,108,-4,2406.0
7:54.0, ,108-104,O. Okongwu enters the game for T. Young,,4,104,108,-4,2406.0
7:54.0, ,108-105,D. Hunter makes free throw 2 of 2,,4,105,108,-3,2406.0
7:41.0,N. Vučević misses 2-pt layup from 2 ft,108-105, ,,4,105,108,-3,2419.0
7:39.0, ,108-105,Defensive rebound by D. Hunter,,4,105,108,-3,2421.0
7:33.0, ,108-107,D. Murray makes 2-pt jump shot from 17 ft,,4,107,108,-1,2427.0
7:18.0,C. White makes 2-pt jump shot from 7 ft,110-107, ,,4,107,110,-3,2442.0
7:02.0, ,110-107,Shooting foul by D. Terry (drawn by O. Okongwu),,4,107,110,-3,2458.0
7:02.0, ,110-107,O. Okongwu misses free throw 1 of 2,,4,107,110,-3,2458.0
7:02.0, ,110-107,Offensive rebound by Team,,4,107,110,-3,2458.0
7:02.0, ,110-108,O. Okongwu makes free throw 2 of 2,,4,108,110,-2,2458.0
6:53.0,C. White misses 2-pt jump shot from 9 ft,110-108, ,,4,108,110,-2,2467.0
6:49.0,Offensive rebound by N. Vučević,110-108, ,,4,108,110,-2,2471.0
6:49.0,N. Vučević makes 2-pt layup at rim,112-108, ,,4,108,112,-4,2471.0
6:42.0, ,112-108,Turnover by D. Murray (bad pass; steal by J. Carter),,4,108,112,-4,2478.0
6:25.0,Turnover by C. White (lost ball; steal by B. Bogdanović),112-108, ,,4,108,112,-4,2495.0
6:21.0, ,112-111,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,111,112,-1,2499.0
6:00.0,T. Craig makes 3-pt jump shot from 25 ft (assist by C. White),115-111, ,,4,111,115,-4,2520.0
5:40.0, ,115-111,D. Hunter misses 2-pt jump shot from 10 ft,,4,111,115,-4,2540.0
5:39.0, ,115-111,Offensive rebound by D. Hunter,,4,111,115,-4,2541.0
5:36.0, ,115-111,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,111,115,-4,2544.0
5:32.0,Defensive rebound by D. Terry,115-111, ,,4,111,115,-4,2548.0
5:11.0,N. Vučević misses 2-pt jump shot from 10 ft,115-111, ,,4,111,115,-4,2569.0
5:08.0, ,115-111,Defensive rebound by O. Okongwu,,4,111,115,-4,2572.0
4:58.0, ,115-111,D. Murray misses 2-pt jump shot from 7 ft,,4,111,115,-4,2582.0
4:56.0,Defensive rebound by J. Carter,115-111, ,,4,111,115,-4,2584.0
4:40.0,C. White makes 2-pt layup from 1 ft,117-111, ,,4,111,117,-6,2600.0
4:40.0, ,117-111,Atlanta full timeout,,4,111,117,-6,2600.0
4:40.0,D. DeRozan enters the game for J. Carter,117-111, ,,4,111,117,-6,2600.0
4:40.0,A. Dosunmu enters the game for D. Terry,117-111, ,,4,111,117,-6,2600.0
4:40.0, ,117-111,J. Johnson enters the game for B. Bogdanović,,4,111,117,-6,2600.0
4:40.0, ,117-111,T. Young enters the game for D. Hunter,,4,111,117,-6,2600.0
4:25.0, ,117-111,D. Murray misses 2-pt layup from 1 ft,,4,111,117,-6,2615.0
4:22.0,Defensive rebound by N. Vučević,117-111, ,,4,111,117,-6,2618.0
4:13.0,A. Dosunmu makes 3-pt jump shot from 26 ft,120-111, ,,4,111,120,-9,2627.0
4:00.0, ,120-111,T. Young misses 3-pt jump shot from 27 ft,,4,111,120,-9,2640.0
3:58.0, ,120-111,Offensive rebound by D. Murray,,4,111,120,-9,2642.0
3:58.0, ,120-111,Technical foul by T. Young,,4,111,120,-9,2642.0
3:58.0,D. DeRozan makes technical free throw,121-111, ,,4,111,121,-10,2642.0
3:58.0, ,121-111,D. Hunter enters the game for O. Okongwu,,4,111,121,-10,2642.0
3:46.0, ,121-114,D. Murray makes 3-pt jump shot from 24 ft (assist by T. Young),,4,114,121,-7,2654.0
3:33.0,N. Vučević makes 2-pt hook shot from 3 ft (assist by A. Dosunmu),123-114, ,,4,114,123,-9,2667.0
3:31.0, ,123-114,Atlanta full timeout,,4,114,123,-9,2669.0
3:20.0, ,123-116,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,4,116,123,-7,2680.0
2:58.0,D. DeRozan makes 2-pt layup from 1 ft,125-116, ,,4,116,125,-9,2702.0
2:44.0, ,125-116,D. Murray misses 3-pt jump shot from 24 ft,,4,116,125,-9,2716.0
2:41.0,Defensive rebound by N. Vučević,125-116, ,,4,116,125,-9,2719.0
2:29.0,C. White makes 3-pt jump shot from 24 ft (assist by D. DeRozan),128-116, ,,4,116,128,-12,2731.0
2:13.0, ,128-118,J. Johnson makes 2-pt jump shot from 9 ft (assist by T. Young),,4,118,128,-10,2747.0
1:55.0,Turnover by A. Dosunmu (lost ball; steal by D. Murray),128-118, ,,4,118,128,-10,2765.0
1:54.0, ,128-120,D. Murray makes 2-pt layup from 1 ft (assist by T. Young),,4,120,128,-8,2766.0
1:42.0,T. Craig misses 3-pt jump shot from 23 ft,128-120, ,,4,120,128,-8,2778.0
1:38.0, ,128-120,Defensive rebound by D. Hunter,,4,120,128,-8,2782.0
1:36.0, ,128-122,S. Bey makes 2-pt dunk from 1 ft (assist by T. Young),,4,122,128,-6,2784.0
1:16.0,D. DeRozan misses 2-pt jump shot from 16 ft,128-122, ,,4,122,128,-6,2804.0
1:13.0,Offensive rebound by T. Craig,128-122, ,,4,122,128,-6,2807.0
1:05.0,D. DeRozan makes 2-pt layup from 3 ft,130-122, ,,4,122,130,-8,2815.0
1:00.0, ,130-122,Shooting foul by N. Vučević (drawn by J. Johnson),,4,122,130,-8,2820.0
1:00.0, ,130-123,J. Johnson makes free throw 1 of 2,,4,123,130,-7,2820.0
1:00.0, ,130-124,J. Johnson makes free throw 2 of 2,,4,124,130,-6,2820.0
0:44.0,C. White makes 2-pt layup from 2 ft,132-124, ,,4,124,132,-8,2836.0
0:37.0, ,132-124,Shooting foul by N. Vučević (drawn by T. Young),,4,124,132,-8,2843.0
0:37.0, ,132-125,T. Young makes free throw 1 of 2,,4,125,132,-7,2843.0
0:37.0, ,132-126,T. Young makes free throw 2 of 2,,4,126,132,-6,2843.0
0:25.0,Personal take foul by D. Hunter (drawn by D. DeRozan),132-126, ,,4,126,132,-6,2855.0
0:25.0,Away from play foul by D. Murray (drawn by C. White),132-126, ,,4,126,132,-6,2855.0
0:25.0,C. White makes free throw 1 of 1,133-126, ,,4,126,133,-7,2855.0
0:24.0,Personal take foul by J. Johnson (drawn by N. Vučević),133-126, ,,4,126,133,-7,2856.0
0:24.0,N. Vučević makes free throw 1 of 2,134-126, ,,4,126,134,-8,2856.0
0:24.0,N. Vučević makes free throw 2 of 2,135-126, ,,4,126,135,-9,2856.0
0:24.0, ,135-126,Atlanta full timeout,,4,126,135,-9,2856.0
0:24.0, ,135-126,B. Bogdanović enters the game for S. Bey,,4,126,135,-9,2856.0
0:23.0, ,135-126,B. Bogdanović misses 3-pt jump shot from 27 ft,,4,126,135,-9,2857.0
0:20.0,Defensive rebound by T. Craig,135-126, ,,4,126,135,-9,2860.0
0:18.0,Personal take foul by D. Murray (drawn by T. Craig),135-126, ,,4,126,135,-9,2862.0
0:18.0,T. Craig misses free throw 1 of 2,135-126, ,,4,126,135,-9,2862.0
0:18.0,Offensive rebound by Team,135-126, ,,4,126,135,-9,2862.0
0:18.0,T. Craig makes free throw 2 of 2,136-126, ,,4,126,136,-10,2862.0
0:14.0, ,136-126,T. Young misses 3-pt jump shot from 29 ft,,4,126,136,-10,2866.0
0:11.0,Defensive rebound by T. Craig,136-126, ,,4,126,136,-10,2869.0
0:00.0,End of 4th quarter,136-126,,,4,126,136,-10,2880.0
