Time,Golden State,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:14.0, ,71-75,D. Murray misses 2-pt layup from 1 ft,,3,75,71,4,1666.0
8:12.0,Defensive rebound by T. Jackson-Davis,71-75, ,,3,75,71,4,1668.0
7:58.0,S. Curry misses 2-pt layup from 3 ft,71-75, ,,3,75,71,4,1682.0
7:55.0, ,71-75,Defensive rebound by C. Capela,,3,75,71,4,1685.0
7:47.0, ,71-78,T. Young makes 3-pt jump shot from 25 ft,,3,78,71,7,1693.0
7:21.0,J. Kuminga makes 3-pt jump shot from 25 ft (assist by S. Curry),74-78, ,,3,78,74,4,1719.0
7:08.0, ,74-78,Personal foul by J. Kuminga (drawn by T. Young),,3,78,74,4,1732.0
6:54.0, ,74-78,J. Johnson misses 2-pt jump shot from 10 ft (block by K. Thompson),,3,78,74,4,1746.0
6:50.0, ,74-78,Offensive rebound by J. Johnson,,3,78,74,4,1750.0
6:50.0, ,74-78,C. Capela misses 2-pt jump shot from 20 ft,,3,78,74,4,1750.0
6:50.0,Defensive rebound by T. Jackson-Davis,74-78, ,,3,78,74,4,1750.0
6:39.0,J. Kuminga misses 2-pt jump shot from 10 ft,74-78, ,,3,78,74,4,1761.0
6:35.0, ,74-78,Defensive rebound by C. Capela,,3,78,74,4,1765.0
6:23.0, ,74-78,T. Young misses 2-pt jump shot from 18 ft,,3,78,74,4,1777.0
6:20.0,Defensive rebound by T. Jackson-Davis,74-78, ,,3,78,74,4,1780.0
6:15.0,Personal foul by T. Young (drawn by K. Thompson),74-78, ,,3,78,74,4,1785.0
6:15.0,B. Podziemski enters the game for K. Thompson,74-78, ,,3,78,74,4,1785.0
6:15.0, ,74-78,B. Bogdanović enters the game for T. Young,,3,78,74,4,1785.0
6:00.0,B. Podziemski misses 3-pt jump shot from 24 ft,74-78, ,,3,78,74,4,1800.0
5:59.0, ,74-78,Defensive rebound by Team,,3,78,74,4,1801.0
5:59.0, ,74-78,D. Hunter enters the game for J. Johnson,,3,78,74,4,1801.0
5:44.0, ,74-78,D. Hunter misses 2-pt jump shot from 20 ft,,3,78,74,4,1816.0
5:43.0,Defensive rebound by Team,74-78, ,,3,78,74,4,1817.0
5:43.0, ,74-78,Loose ball foul by O. Okongwu (drawn by J. Kuminga),,3,78,74,4,1817.0
5:22.0,Turnover by J. Kuminga (bad pass; steal by D. Murray),74-78, ,,3,78,74,4,1838.0
5:18.0, ,74-80,D. Murray makes 2-pt layup from 2 ft,,3,80,74,6,1842.0
5:05.0,S. Curry misses 3-pt jump shot from 26 ft,74-80, ,,3,80,74,6,1855.0
5:03.0, ,74-80,Defensive rebound by D. Hunter,,3,80,74,6,1857.0
4:58.0, ,74-80,D. Hunter misses 3-pt jump shot from 26 ft,,3,80,74,6,1862.0
4:53.0, ,74-80,Offensive rebound by O. Okongwu,,3,80,74,6,1867.0
4:53.0, ,74-82,O. Okongwu makes 2-pt layup from 2 ft,,3,82,74,8,1867.0
4:45.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),76-82, ,,3,82,76,6,1875.0
4:33.0, ,76-82,B. Bogdanović misses 3-pt jump shot from 24 ft (block by T. Jackson-Davis),,3,82,76,6,1887.0
4:30.0,Defensive rebound by D. Green,76-82, ,,3,82,76,6,1890.0
4:30.0,Turnover by D. Green (bad pass),76-82, ,,3,82,76,6,1890.0
4:30.0,K. Looney enters the game for D. Green,76-82, ,,3,82,76,6,1890.0
4:30.0,G. Santos enters the game for T. Jackson-Davis,76-82, ,,3,82,76,6,1890.0
4:30.0, ,76-82,J. Johnson enters the game for C. Capela,,3,82,76,6,1890.0
4:22.0, ,76-82,D. Murray misses 3-pt jump shot from 25 ft,,3,82,76,6,1898.0
4:18.0,Defensive rebound by K. Looney,76-82, ,,3,82,76,6,1902.0
4:15.0,S. Curry misses 3-pt jump shot from 26 ft,76-82, ,,3,82,76,6,1905.0
4:10.0, ,76-82,Defensive rebound by B. Bogdanović,,3,82,76,6,1910.0
4:07.0, ,76-84,D. Hunter makes 2-pt layup from 2 ft (assist by D. Murray),,3,84,76,8,1913.0
4:07.0, ,76-84,Shooting foul by G. Santos (drawn by D. Hunter),,3,84,76,8,1913.0
4:07.0,L. Quinones enters the game for J. Kuminga,76-84, ,,3,84,76,8,1913.0
4:07.0, ,76-84,D. Hunter misses free throw 1 of 1,,3,84,76,8,1913.0
4:04.0,Defensive rebound by K. Looney,76-84, ,,3,84,76,8,1916.0
3:52.0,S. Curry misses 3-pt jump shot from 26 ft,76-84, ,,3,84,76,8,1928.0
3:50.0,Offensive rebound by L. Quinones,76-84, ,,3,84,76,8,1930.0
3:49.0,S. Curry misses 3-pt jump shot from 26 ft,76-84, ,,3,84,76,8,1931.0
3:49.0,Offensive rebound by B. Podziemski,76-84, ,,3,84,76,8,1931.0
3:44.0,B. Podziemski makes 2-pt layup at rim,78-84, ,,3,84,78,6,1936.0
3:31.0, ,78-84,D. Murray misses 2-pt jump shot from 5 ft,,3,84,78,6,1949.0
3:29.0,Defensive rebound by L. Quinones,78-84, ,,3,84,78,6,1951.0
3:24.0,S. Curry makes 3-pt jump shot from 26 ft (assist by G. Santos),81-84, ,,3,84,81,3,1956.0
3:24.0,Shooting foul by O. Okongwu (drawn by S. Curry),81-84, ,,3,84,81,3,1956.0
3:24.0,S. Curry makes free throw 1 of 1,82-84, ,,3,84,82,2,1956.0
3:12.0, ,82-86,O. Okongwu makes 2-pt hook shot from 6 ft (assist by J. Johnson),,3,86,82,4,1968.0
2:56.0,B. Podziemski misses 2-pt jump shot from 10 ft,82-86, ,,3,86,82,4,1984.0
2:54.0,Offensive rebound by B. Podziemski,82-86, ,,3,86,82,4,1986.0
2:54.0,B. Podziemski makes 2-pt layup at rim,84-86, ,,3,86,84,2,1986.0
2:54.0, ,84-86,Atlanta full timeout,,3,86,84,2,1986.0
2:54.0,K. Thompson enters the game for S. Curry,84-86, ,,3,86,84,2,1986.0
2:54.0, ,84-86,T. Young enters the game for D. Murray,,3,86,84,2,1986.0
2:39.0, ,84-88,D. Hunter makes 2-pt jump shot from 11 ft,,3,88,84,4,2001.0
2:18.0,Golden State full timeout,84-88, ,,3,88,84,4,2022.0
2:12.0,L. Quinones makes 2-pt jump shot from 15 ft,86-88, ,,3,88,86,2,2028.0
1:50.0, ,86-88,B. Bogdanović misses 3-pt jump shot from 23 ft,,3,88,86,2,2050.0
1:47.0,Defensive rebound by K. Looney,86-88, ,,3,88,86,2,2053.0
1:42.0,G. Santos misses 3-pt jump shot from 23 ft,86-88, ,,3,88,86,2,2058.0
1:39.0, ,86-88,Defensive rebound by O. Okongwu,,3,88,86,2,2061.0
1:33.0,Jump ball: O. Okongwu vs. G. Santos (B. Bogdanović gains possession),86-88,,,3,88,86,2,2067.0
1:17.0, ,86-88,Shooting foul by K. Looney (drawn by D. Hunter),,3,88,86,2,2083.0
1:17.0, ,86-88,D. Hunter misses free throw 1 of 2,,3,88,86,2,2083.0
1:17.0, ,86-88,Offensive rebound by Team,,3,88,86,2,2083.0
1:17.0, ,86-89,D. Hunter makes free throw 2 of 2,,3,89,86,3,2083.0
1:04.0,K. Thompson misses 3-pt jump shot from 25 ft,86-89, ,,3,89,86,3,2096.0
1:01.0, ,86-89,Defensive rebound by O. Okongwu,,3,89,86,3,2099.0
0:49.0, ,86-89,J. Johnson misses 2-pt jump shot from 10 ft,,3,89,86,3,2111.0
0:47.0,Defensive rebound by K. Looney,86-89, ,,3,89,86,3,2113.0
0:39.0,L. Quinones makes 3-pt jump shot from 27 ft (assist by B. Podziemski),89-89, ,Tie,3,89,89,0,2121.0
0:25.0, ,89-89,D. Hunter misses 3-pt jump shot from 26 ft,,3,89,89,0,2135.0
0:22.0,Defensive rebound by K. Thompson,89-89, ,,3,89,89,0,2138.0
0:05.0,K. Thompson misses 3-pt jump shot from 26 ft,89-89, ,,3,89,89,0,2155.0
0:01.0,Offensive rebound by L. Quinones,89-89, ,,3,89,89,0,2159.0
0:00.0,L. Quinones misses 3-pt jump shot from 25 ft,89-89, ,,3,89,89,0,2160.0
0:00.0,Offensive rebound by Team,89-89, ,,3,89,89,0,2160.0
0:00.0,End of 3rd quarter,89-89,,,3,89,89,0,2160.0
12:00.0,Start of 4th quarter,89-89,,,4,89,89,0,2160.0
11:48.0, ,89-92,O. Okongwu makes 3-pt jump shot from 23 ft (assist by T. Young),,4,92,89,3,2172.0
11:36.0,Offensive foul by K. Looney (drawn by G. Mathews),89-92, ,,4,92,89,3,2184.0
11:36.0,Turnover by K. Looney (offensive foul),89-92, ,,4,92,89,3,2184.0
11:19.0, ,89-92,O. Okongwu misses 3-pt jump shot from 23 ft,,4,92,89,3,2201.0
11:17.0,Defensive rebound by Team,89-92, ,,4,92,89,3,2203.0
11:02.0,S. Curry makes 2-pt jump shot from 15 ft,91-92, ,,4,92,91,1,2218.0
10:52.0, ,91-94,T. Young makes 2-pt jump shot from 1 ft,,4,94,91,3,2228.0
10:37.0,S. Curry makes 2-pt layup from 2 ft,93-94, ,,4,94,93,1,2243.0
10:37.0, ,93-94,Atlanta full timeout,,4,94,93,1,2243.0
10:37.0,T. Jackson-Davis enters the game for K. Looney,93-94, ,,4,94,93,1,2243.0
10:37.0, ,93-94,D. Murray enters the game for B. Bogdanović,,4,94,93,1,2243.0
10:20.0, ,93-97,T. Young makes 3-pt jump shot from 25 ft,,4,97,93,4,2260.0
10:09.0,Offensive foul by T. Jackson-Davis (drawn by G. Mathews),93-97, ,,4,97,93,4,2271.0
10:09.0,Turnover by T. Jackson-Davis (offensive foul),93-97, ,,4,97,93,4,2271.0
10:09.0, ,93-97,J. Johnson enters the game for D. Hunter,,4,97,93,4,2271.0
9:55.0, ,93-97,G. Mathews misses 3-pt jump shot from 24 ft,,4,97,93,4,2285.0
9:51.0,Defensive rebound by S. Curry,93-97, ,,4,97,93,4,2289.0
9:48.0,L. Quinones misses 3-pt jump shot from 26 ft (block by O. Okongwu),93-97, ,,4,97,93,4,2292.0
9:47.0,Offensive rebound by Team,93-97, ,,4,97,93,4,2293.0
9:42.0,L. Quinones misses 2-pt layup from 2 ft,93-97, ,,4,97,93,4,2298.0
9:40.0, ,93-97,Defensive rebound by O. Okongwu,,4,97,93,4,2300.0
9:28.0, ,93-97,Personal foul by L. Quinones (drawn by T. Young),,4,97,93,4,2312.0
9:19.0, ,93-97,D. Murray misses 2-pt jump shot from 13 ft,,4,97,93,4,2321.0
9:15.0,Defensive rebound by T. Jackson-Davis,93-97, ,,4,97,93,4,2325.0
9:07.0,B. Podziemski misses 2-pt jump shot from 4 ft,93-97, ,,4,97,93,4,2333.0
9:04.0, ,93-97,Defensive rebound by O. Okongwu,,4,97,93,4,2336.0
8:55.0, ,93-97,G. Mathews misses 3-pt jump shot from 26 ft,,4,97,93,4,2345.0
8:52.0,Defensive rebound by B. Podziemski,93-97, ,,4,97,93,4,2348.0
8:47.0,T. Jackson-Davis makes 2-pt dunk from 1 ft (assist by B. Podziemski),95-97, ,,4,97,95,2,2353.0
8:47.0,Shooting foul by O. Okongwu (drawn by T. Jackson-Davis),95-97, ,,4,97,95,2,2353.0
8:47.0,J. Kuminga enters the game for S. Curry,95-97, ,,4,97,95,2,2353.0
8:47.0,K. Thompson enters the game for G. Santos,95-97, ,,4,97,95,2,2353.0
8:47.0, ,95-97,B. Bogdanović enters the game for G. Mathews,,4,97,95,2,2353.0
8:47.0, ,95-97,C. Capela enters the game for T. Young,,4,97,95,2,2353.0
8:47.0,T. Jackson-Davis makes free throw 1 of 1,96-97, ,,4,97,96,1,2353.0
8:29.0, ,96-97,O. Okongwu misses 3-pt jump shot from 24 ft,,4,97,96,1,2371.0
8:26.0,Defensive rebound by B. Podziemski,96-97, ,,4,97,96,1,2374.0
8:24.0,Shooting foul by J. Johnson (drawn by J. Kuminga),96-97, ,,4,97,96,1,2376.0
8:24.0,J. Kuminga makes free throw 1 of 2,97-97, ,Tie,4,97,97,0,2376.0
8:24.0, ,97-97,T. Young enters the game for O. Okongwu,,4,97,97,0,2376.0
8:24.0,J. Kuminga makes free throw 2 of 2,98-97, ,Lead change,4,97,98,-1,2376.0
8:10.0, ,98-99,J. Johnson makes 2-pt layup from 3 ft (assist by D. Murray),Lead change,4,99,98,1,2390.0
7:56.0,K. Thompson misses 3-pt jump shot from 24 ft,98-99, ,,4,99,98,1,2404.0
7:53.0, ,98-99,Defensive rebound by C. Capela,,4,99,98,1,2407.0
7:47.0, ,98-99,T. Young misses 2-pt jump shot from 7 ft,,4,99,98,1,2413.0
7:46.0,Defensive rebound by B. Podziemski,98-99, ,,4,99,98,1,2414.0
7:37.0,K. Thompson misses 3-pt jump shot from 25 ft,98-99, ,,4,99,98,1,2423.0
7:35.0, ,98-99,Defensive rebound by J. Johnson,,4,99,98,1,2425.0
7:28.0, ,98-102,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Murray),,4,102,98,4,2432.0
7:16.0,Golden State full timeout,98-102, ,,4,102,98,4,2444.0
7:16.0,S. Curry enters the game for T. Jackson-Davis,98-102, ,,4,102,98,4,2444.0
7:16.0,D. Green enters the game for L. Quinones,98-102, ,,4,102,98,4,2444.0
7:08.0,J. Kuminga misses 2-pt layup from 3 ft,98-102, ,,4,102,98,4,2452.0
7:05.0, ,98-102,Defensive rebound by B. Bogdanović,,4,102,98,4,2455.0
6:56.0, ,98-102,T. Young misses 3-pt jump shot from 30 ft,,4,102,98,4,2464.0
6:53.0,Defensive rebound by B. Podziemski,98-102, ,,4,102,98,4,2467.0
6:48.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),100-102, ,,4,102,100,2,2472.0
6:35.0, ,100-102,Personal foul by J. Kuminga (drawn by T. Young),,4,102,100,2,2485.0
6:30.0, ,100-102,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,102,100,2,2490.0
6:25.0, ,100-102,Offensive rebound by J. Johnson,,4,102,100,2,2495.0
6:25.0, ,100-104,J. Johnson makes 2-pt dunk at rim,,4,104,100,4,2495.0
6:15.0,S. Curry makes 2-pt layup from 2 ft,102-104, ,,4,104,102,2,2505.0
6:05.0, ,102-104,D. Murray misses 2-pt jump shot from 19 ft,,4,104,102,2,2515.0
6:00.0,Defensive rebound by S. Curry,102-104, ,,4,104,102,2,2520.0
5:57.0,S. Curry makes 3-pt jump shot from 26 ft,105-104, ,Lead change,4,104,105,-1,2523.0
5:44.0, ,105-104,Turnover by C. Capela (bad pass; steal by K. Thompson),,4,104,105,-1,2536.0
5:41.0,J. Kuminga makes 2-pt dunk from 1 ft (assist by K. Thompson),107-104, ,,4,104,107,-3,2539.0
5:40.0, ,107-104,Atlanta full timeout,,4,104,107,-3,2540.0
5:23.0, ,107-104,Turnover by D. Murray (bad pass; steal by K. Thompson),,4,104,107,-3,2557.0
5:18.0,J. Kuminga makes 2-pt layup from 1 ft (assist by B. Podziemski),109-104, ,,4,104,109,-5,2562.0
5:01.0, ,109-107,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by C. Capela),,4,107,109,-2,2579.0
4:39.0,Turnover by S. Curry (lost ball; steal by B. Bogdanović),109-107, ,,4,107,109,-2,2601.0
4:36.0, ,109-109,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by T. Young),Tie,4,109,109,0,2604.0
4:36.0, ,109-109,Shooting foul by B. Podziemski (drawn by B. Bogdanović),,4,109,109,0,2604.0
4:36.0, ,109-109,O. Okongwu enters the game for C. Capela,,4,109,109,0,2604.0
4:36.0, ,109-110,B. Bogdanović makes free throw 1 of 1,Lead change,4,110,109,1,2604.0
4:20.0,Shooting foul by J. Johnson (drawn by J. Kuminga),109-110, ,,4,110,109,1,2620.0
4:20.0,J. Kuminga makes free throw 1 of 2,110-110, ,Tie,4,110,110,0,2620.0
4:20.0,J. Kuminga misses free throw 2 of 2,110-110, ,,4,110,110,0,2620.0
4:17.0, ,110-110,Defensive rebound by B. Bogdanović,,4,110,110,0,2623.0
4:08.0, ,110-113,T. Young makes 3-pt jump shot from 27 ft,,4,113,110,3,2632.0
3:51.0,S. Curry makes 3-pt jump shot from 27 ft,113-113, ,Tie,4,113,113,0,2649.0
3:32.0, ,113-115,T. Young makes 2-pt jump shot from 6 ft,,4,115,113,2,2668.0
3:22.0,S. Curry makes 3-pt jump shot from 26 ft,116-115, ,Lead change,4,115,116,-1,2678.0
3:04.0, ,116-115,J. Johnson misses 2-pt jump shot from 4 ft,,4,115,116,-1,2696.0
3:01.0,Defensive rebound by K. Thompson,116-115, ,,4,115,116,-1,2699.0
2:53.0,S. Curry makes 2-pt layup at rim,118-115, ,,4,115,118,-3,2707.0
2:35.0, ,118-115,Personal foul by J. Kuminga (drawn by T. Young),,4,115,118,-3,2725.0
2:27.0, ,118-117,B. Bogdanović makes 2-pt jump shot from 12 ft,,4,117,118,-1,2733.0
2:16.0,S. Curry misses 3-pt jump shot from 26 ft,118-117, ,,4,117,118,-1,2744.0
2:13.0, ,118-117,Defensive rebound by B. Bogdanović,,4,117,118,-1,2747.0
2:04.0, ,118-117,J. Johnson misses 2-pt jump shot from 16 ft,,4,117,118,-1,2756.0
1:58.0,Defensive rebound by S. Curry,118-117, ,,4,117,118,-1,2762.0
1:46.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),121-117, ,,4,117,121,-4,2774.0
1:35.0, ,121-117,Shooting foul by D. Green (drawn by O. Okongwu),,4,117,121,-4,2785.0
1:35.0, ,121-118,O. Okongwu makes free throw 1 of 2,,4,118,121,-3,2785.0
1:35.0, ,121-119,O. Okongwu makes free throw 2 of 2,,4,119,121,-2,2785.0
1:16.0,S. Curry misses 3-pt jump shot from 24 ft,121-119, ,,4,119,121,-2,2804.0
1:12.0, ,121-119,Defensive rebound by J. Johnson,,4,119,121,-2,2808.0
1:06.0, ,121-119,Personal foul by J. Kuminga (drawn by T. Young),,4,119,121,-2,2814.0
1:06.0,L. Quinones enters the game for J. Kuminga,121-119, ,,4,119,121,-2,2814.0
1:06.0, ,121-120,T. Young makes free throw 1 of 2,,4,120,121,-1,2814.0
1:06.0, ,121-121,T. Young makes free throw 2 of 2,Tie,4,121,121,0,2814.0
0:56.0,Turnover by D. Green (out of bounds lost ball),121-121, ,,4,121,121,0,2824.0
0:35.0, ,121-121,D. Murray misses 3-pt jump shot from 26 ft,,4,121,121,0,2845.0
0:31.0,Defensive rebound by D. Green,121-121, ,,4,121,121,0,2849.0
0:14.0,S. Curry makes 2-pt jump shot from 12 ft,123-121, ,,4,121,123,-2,2866.0
0:13.0, ,123-121,Atlanta full timeout,,4,121,123,-2,2867.0
0:04.0, ,123-123,D. Murray makes 2-pt jump shot from 14 ft (assist by J. Johnson),Tie,4,123,123,0,2876.0
0:04.0,Golden State full timeout,123-123, ,,4,123,123,0,2876.0
0:00.0,S. Curry misses 2-pt jump shot from 8 ft,123-123, ,,4,123,123,0,2880.0
0:00.0,Offensive rebound by Team,123-123, ,,4,123,123,0,2880.0
0:00.0,End of 4th quarter,123-123,,,4,123,123,0,2880.0
5:00.0,Start of 1st overtime,123-123,,,5,123,123,0,2880.0
5:00.0,Jump ball: D. Green vs. O. Okongwu (S. Curry gains possession),123-123,,,5,123,123,0,2880.0
4:51.0,Offensive foul by L. Quinones (drawn by T. Young),123-123, ,,5,123,123,0,2889.0
4:51.0,Turnover by L. Quinones (offensive foul),123-123, ,,5,123,123,0,2889.0
4:51.0,Golden State full timeout,123-123, ,,5,123,123,0,2889.0
4:51.0,Instant Replay (Challenge: Ruling Stands),123-123, ,,5,123,123,0,2889.0
4:38.0, ,123-125,O. Okongwu makes 2-pt layup from 1 ft (assist by J. Johnson),Lead change,5,125,123,2,2902.0
4:25.0,B. Podziemski misses 2-pt layup at rim,123-125, ,,5,125,123,2,2915.0
4:23.0, ,123-125,Defensive rebound by J. Johnson,,5,125,123,2,2917.0
4:11.0, ,123-125,B. Bogdanović misses 3-pt jump shot from 23 ft,,5,125,123,2,2929.0
4:10.0, ,123-125,Offensive rebound by O. Okongwu,,5,125,123,2,2930.0
3:57.0, ,123-127,J. Johnson makes 2-pt layup from 1 ft (assist by T. Young),,5,127,123,4,2943.0
3:47.0,K. Thompson misses 3-pt jump shot from 22 ft,123-127, ,,5,127,123,4,2953.0
3:44.0, ,123-127,Defensive rebound by O. Okongwu,,5,127,123,4,2956.0
3:30.0, ,123-129,D. Murray makes 2-pt jump shot from 12 ft,,5,129,123,6,2970.0
3:30.0, ,123-129,Shooting foul by B. Podziemski (drawn by D. Murray),,5,129,123,6,2970.0
3:30.0, ,123-130,D. Murray makes free throw 1 of 1,,5,130,123,7,2970.0
3:24.0,S. Curry misses 3-pt jump shot from 25 ft,123-130, ,,5,130,123,7,2976.0
3:21.0, ,123-130,Defensive rebound by O. Okongwu,,5,130,123,7,2979.0
3:05.0, ,123-130,T. Young misses 2-pt jump shot from 10 ft (block by B. Podziemski),,5,130,123,7,2995.0
3:03.0, ,123-130,Offensive rebound by O. Okongwu,,5,130,123,7,2997.0
2:56.0, ,123-132,D. Murray makes 2-pt jump shot from 14 ft,,5,132,123,9,3004.0
2:41.0,K. Thompson misses 3-pt jump shot from 25 ft,123-132, ,,5,132,123,9,3019.0
2:38.0, ,123-132,Defensive rebound by D. Murray,,5,132,123,9,3022.0
2:23.0, ,123-134,D. Murray makes 2-pt jump shot from 18 ft,,5,134,123,11,3037.0
2:22.0,Golden State full timeout,123-134, ,,5,134,123,11,3038.0
2:10.0,S. Curry makes 2-pt layup at rim (assist by D. Green),125-134, ,,5,134,125,9,3050.0
1:46.0, ,125-134,D. Murray misses 2-pt jump shot from 10 ft,,5,134,125,9,3074.0
1:44.0,Defensive rebound by D. Green,125-134, ,,5,134,125,9,3076.0
1:37.0,S. Curry makes 3-pt jump shot from 26 ft (assist by K. Thompson),128-134, ,,5,134,128,6,3083.0
1:12.0, ,128-136,O. Okongwu makes 2-pt dunk from 1 ft (assist by D. Murray),,5,136,128,8,3108.0
1:07.0,S. Curry makes 3-pt jump shot from 25 ft,131-136, ,,5,136,131,5,3113.0
0:58.0, ,131-138,T. Young makes 2-pt jump shot from 1 ft,,5,138,131,7,3122.0
0:57.0,Personal foul by T. Young (drawn by S. Curry),131-138, ,,5,138,131,7,3123.0
0:54.0,S. Curry misses 3-pt jump shot from 26 ft,131-138, ,,5,138,131,7,3126.0
0:50.0, ,131-138,Defensive rebound by O. Okongwu,,5,138,131,7,3130.0
0:28.0, ,131-138,Turnover by D. Murray (lost ball),,5,138,131,7,3152.0
0:28.0, ,131-138,Loose ball foul by D. Murray (drawn by L. Quinones),,5,138,131,7,3152.0
0:28.0,L. Quinones makes free throw 1 of 2,132-138, ,,5,138,132,6,3152.0
0:28.0,L. Quinones misses free throw 2 of 2,132-138, ,,5,138,132,6,3152.0
0:25.0, ,132-138,Defensive rebound by D. Murray,,5,138,132,6,3155.0
0:20.0, ,132-140,J. Johnson makes 2-pt layup from 6 ft (assist by T. Young),,5,140,132,8,3160.0
0:20.0, ,132-140,Shooting foul by B. Podziemski (drawn by J. Johnson),,5,140,132,8,3160.0
0:20.0, ,132-141,J. Johnson makes free throw 1 of 1,,5,141,132,9,3160.0
0:12.0,B. Podziemski makes 2-pt layup at rim,134-141, ,,5,141,134,7,3168.0
0:00.0,End of 1st overtime,134-141,,,5,141,134,7,3180.0
