Time,Golden State,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:29.0, ,15-12,C. Capela makes 2-pt layup from 2 ft (assist by B. Bogdanović),,1,12,15,-3,331.0
6:13.0,D. Green misses 2-pt layup from 1 ft,15-12, ,,1,12,15,-3,347.0
6:10.0, ,15-12,Defensive rebound by C. Capela,,1,12,15,-3,350.0
6:09.0, ,15-12,Atlanta full timeout,,1,12,15,-3,351.0
6:09.0,B. Podziemski enters the game for K. Thompson,15-12, ,,1,12,15,-3,351.0
6:09.0, ,15-12,D. Hunter enters the game for C. Capela,,1,12,15,-3,351.0
6:09.0, ,15-12,O. Okongwu enters the game for J. Johnson,,1,12,15,-3,351.0
5:53.0, ,15-12,B. Bogdanović misses 2-pt jump shot from 14 ft,,1,12,15,-3,367.0
5:50.0,Defensive rebound by A. Wiggins,15-12, ,,1,12,15,-3,370.0
5:37.0,Turnover by J. Kuminga (lost ball; steal by D. Hunter),15-12, ,,1,12,15,-3,383.0
5:28.0, ,15-12,O. Okongwu misses 2-pt layup from 3 ft,,1,12,15,-3,392.0
5:26.0,Defensive rebound by B. Podziemski,15-12, ,,1,12,15,-3,394.0
5:20.0,D. Green misses 3-pt jump shot from 26 ft,15-12, ,,1,12,15,-3,400.0
5:16.0, ,15-12,Defensive rebound by O. Okongwu,,1,12,15,-3,404.0
5:10.0, ,15-12,D. Murray misses 2-pt jump shot from 8 ft,,1,12,15,-3,410.0
5:09.0, ,15-12,Offensive rebound by O. Okongwu,,1,12,15,-3,411.0
5:08.0, ,15-12,O. Okongwu misses 2-pt layup from 1 ft,,1,12,15,-3,412.0
5:06.0, ,15-12,Offensive rebound by O. Okongwu,,1,12,15,-3,414.0
5:05.0, ,15-14,O. Okongwu makes 2-pt layup from 1 ft,,1,14,15,-1,415.0
4:52.0,B. Podziemski misses 3-pt jump shot from 23 ft,15-14, ,,1,14,15,-1,428.0
4:49.0,Offensive rebound by S. Curry,15-14, ,,1,14,15,-1,431.0
4:48.0,S. Curry makes 3-pt jump shot from 26 ft,18-14, ,,1,14,18,-4,432.0
4:33.0, ,18-14,Shooting foul by B. Podziemski (drawn by D. Hunter),,1,14,18,-4,447.0
4:33.0, ,18-15,D. Hunter makes free throw 1 of 2,,1,15,18,-3,447.0
4:33.0,K. Looney enters the game for D. Green,18-15, ,,1,15,18,-3,447.0
4:33.0,G. Santos enters the game for J. Kuminga,18-15, ,,1,15,18,-3,447.0
4:33.0, ,18-15,D. Hunter misses free throw 2 of 2,,1,15,18,-3,447.0
4:31.0,Defensive rebound by G. Santos,18-15, ,,1,15,18,-3,449.0
4:16.0,A. Wiggins misses 2-pt layup from 1 ft,18-15, ,,1,15,18,-3,464.0
4:15.0,Offensive rebound by Team,18-15, ,,1,15,18,-3,465.0
4:10.0,Personal foul by D. Murray (drawn by S. Curry),18-15, ,,1,15,18,-3,470.0
4:03.0,S. Curry makes 2-pt jump shot from 11 ft (assist by B. Podziemski),20-15, ,,1,15,20,-5,477.0
3:46.0, ,20-15,B. Bogdanović misses 3-pt jump shot from 23 ft,,1,15,20,-5,494.0
3:44.0,Defensive rebound by K. Looney,20-15, ,,1,15,20,-5,496.0
3:31.0,Turnover by S. Curry (out of bounds lost ball),20-15, ,,1,15,20,-5,509.0
3:31.0,L. Quinones enters the game for A. Wiggins,20-15, ,,1,15,20,-5,509.0
3:31.0, ,20-15,J. Johnson enters the game for P. Mills,,1,15,20,-5,509.0
3:31.0, ,20-15,T. Young enters the game for D. Murray,,1,15,20,-5,509.0
3:06.0, ,20-17,J. Johnson makes 2-pt jump shot from 11 ft,,1,17,20,-3,534.0
3:00.0,B. Podziemski makes 2-pt layup from 1 ft,22-17, ,,1,17,22,-5,540.0
3:00.0,Shooting foul by D. Hunter (drawn by B. Podziemski),22-17, ,,1,17,22,-5,540.0
3:00.0,K. Thompson enters the game for S. Curry,22-17, ,,1,17,22,-5,540.0
3:00.0,B. Podziemski makes free throw 1 of 1,23-17, ,,1,17,23,-6,540.0
2:54.0, ,23-17,Personal foul by G. Santos (drawn by D. Hunter),,1,17,23,-6,546.0
2:47.0, ,23-19,O. Okongwu makes 2-pt layup from 1 ft (assist by B. Bogdanović),,1,19,23,-4,553.0
2:33.0,Shooting foul by O. Okongwu (drawn by B. Podziemski),23-19, ,,1,19,23,-4,567.0
2:33.0,B. Podziemski makes free throw 1 of 2,24-19, ,,1,19,24,-5,567.0
2:33.0,B. Podziemski makes free throw 2 of 2,25-19, ,,1,19,25,-6,567.0
2:18.0, ,25-19,Turnover by B. Bogdanović (traveling),,1,19,25,-6,582.0
2:08.0,Turnover by K. Thompson (bad pass),25-19, ,,1,19,25,-6,592.0
2:03.0, ,25-22,T. Young makes 3-pt jump shot from 27 ft,,1,22,25,-3,597.0
2:01.0,Golden State full timeout,25-22, ,,1,22,25,-3,599.0
2:01.0,J. Kuminga enters the game for B. Podziemski,25-22, ,,1,22,25,-3,599.0
1:47.0,L. Quinones makes 3-pt jump shot from 26 ft (assist by J. Kuminga),28-22, ,,1,22,28,-6,613.0
1:32.0, ,28-22,Shooting foul by J. Kuminga (drawn by O. Okongwu),,1,22,28,-6,628.0
1:32.0, ,28-23,O. Okongwu makes free throw 1 of 2,,1,23,28,-5,628.0
1:32.0, ,28-24,O. Okongwu makes free throw 2 of 2,,1,24,28,-4,628.0
1:22.0,K. Thompson misses 3-pt jump shot from 26 ft,28-24, ,,1,24,28,-4,638.0
1:18.0,Offensive rebound by L. Quinones,28-24, ,,1,24,28,-4,642.0
1:15.0,G. Santos misses 3-pt jump shot from 26 ft,28-24, ,,1,24,28,-4,645.0
1:13.0,Offensive rebound by L. Quinones,28-24, ,,1,24,28,-4,647.0
1:12.0,L. Quinones makes 2-pt layup from 1 ft,30-24, ,,1,24,30,-6,648.0
0:54.0, ,30-24,J. Johnson misses 2-pt layup from 6 ft,,1,24,30,-6,666.0
0:51.0,Defensive rebound by K. Thompson,30-24, ,,1,24,30,-6,669.0
0:45.0,J. Kuminga misses 3-pt jump shot from 27 ft,30-24, ,,1,24,30,-6,675.0
0:43.0, ,30-24,Defensive rebound by Team,,1,24,30,-6,677.0
0:28.0, ,30-24,Shooting foul by G. Santos (drawn by T. Young),,1,24,30,-6,692.0
0:28.0, ,30-25,T. Young makes free throw 1 of 2,,1,25,30,-5,692.0
0:28.0, ,30-25,T. Young misses free throw 2 of 2,,1,25,30,-5,692.0
0:26.0,Defensive rebound by K. Looney,30-25, ,,1,25,30,-5,694.0
0:09.0,Turnover by J. Kuminga (lost ball; steal by B. Bogdanović),30-25, ,,1,25,30,-5,711.0
0:01.0, ,30-28,T. Young makes 3-pt jump shot from 27 ft,,1,28,30,-2,719.0
0:00.0,L. Quinones makes 3-pt jump shot from 46 ft (assist by G. Santos),33-28, ,,1,28,33,-5,720.0
0:00.0,Instant Replay (Request: Ruling Stands),33-28, ,,1,28,33,-5,720.0
0:00.0,End of 1st quarter,33-28,,,1,28,33,-5,720.0
12:00.0,Start of 2nd quarter,33-28,,,2,28,33,-5,720.0
11:47.0,K. Thompson misses 3-pt jump shot from 26 ft,33-28, ,,2,28,33,-5,733.0
11:44.0, ,33-28,Defensive rebound by Team,,2,28,33,-5,736.0
11:30.0, ,33-28,T. Young misses 3-pt jump shot from 32 ft,,2,28,33,-5,750.0
11:27.0,Defensive rebound by A. Wiggins,33-28, ,,2,28,33,-5,753.0
11:22.0,K. Thompson misses 3-pt jump shot from 26 ft,33-28, ,,2,28,33,-5,758.0
11:18.0,Offensive rebound by K. Looney,33-28, ,,2,28,33,-5,762.0
11:18.0,Turnover by G. Santos (dbl dribble),33-28, ,,2,28,33,-5,762.0
11:09.0, ,33-30,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by T. Young),,2,30,33,-3,771.0
10:54.0,A. Wiggins misses 3-pt jump shot from 26 ft,33-30, ,,2,30,33,-3,786.0
10:52.0,Offensive rebound by G. Santos,33-30, ,,2,30,33,-3,788.0
10:50.0,L. Quinones makes 3-pt jump shot from 26 ft (assist by G. Santos),36-30, ,,2,30,36,-6,790.0
10:36.0, ,36-30,J. Johnson misses 2-pt layup from 3 ft,,2,30,36,-6,804.0
10:33.0,Defensive rebound by K. Looney,36-30, ,,2,30,36,-6,807.0
10:26.0,L. Quinones misses 3-pt jump shot from 28 ft,36-30, ,,2,30,36,-6,814.0
10:25.0, ,36-30,Defensive rebound by Team,,2,30,36,-6,815.0
10:15.0, ,36-30,T. Young misses 2-pt layup from 2 ft,,2,30,36,-6,825.0
10:13.0, ,36-30,Offensive rebound by O. Okongwu,,2,30,36,-6,827.0
10:12.0, ,36-30,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,30,36,-6,828.0
10:07.0,Defensive rebound by K. Looney,36-30, ,,2,30,36,-6,833.0
9:58.0,Shooting foul by B. Bogdanović (drawn by G. Santos),36-30, ,,2,30,36,-6,842.0
9:58.0,G. Santos makes free throw 1 of 2,37-30, ,,2,30,37,-7,842.0
