Time,Atlanta,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:02.0,Defensive rebound by B. Bogdanović,75-94, ,,3,75,94,-19,2158.0
0:01.0,B. Bogdanović misses 3-pt jump shot from 41 ft,75-94, ,,3,75,94,-19,2159.0
0:00.0,Offensive rebound by Team,75-94, ,,3,75,94,-19,2160.0
0:00.0,End of 3rd quarter,75-94,,,3,75,94,-19,2160.0
12:00.0,Start of 4th quarter,75-94,,,4,75,94,-19,2160.0
11:41.0, ,75-94,L. Walker misses 3-pt jump shot from 24 ft,,4,75,94,-19,2179.0
11:40.0, ,75-94,Offensive rebound by Team,,4,75,94,-19,2180.0
11:35.0, ,75-94,D. Smith misses 3-pt jump shot from 23 ft,,4,75,94,-19,2185.0
11:32.0, ,75-94,Offensive rebound by M. Bridges,,4,75,94,-19,2188.0
11:26.0, ,75-94,L. Walker misses 2-pt layup from 6 ft (block by W. Matthews),,4,75,94,-19,2194.0
11:26.0, ,75-94,Offensive rebound by Team,,4,75,94,-19,2194.0
11:24.0, ,75-94,M. Bridges misses 3-pt jump shot from 23 ft,,4,75,94,-19,2196.0
11:21.0, ,75-94,Offensive rebound by N. Claxton,,4,75,94,-19,2199.0
11:09.0, ,75-96,D. Smith makes 2-pt jump shot from 5 ft,,4,75,96,-21,2211.0
10:54.0,J. Johnson misses 3-pt jump shot from 27 ft,75-96, ,,4,75,96,-21,2226.0
10:51.0, ,75-96,Defensive rebound by M. Bridges,,4,75,96,-21,2229.0
10:46.0, ,75-99,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Smith),,4,75,99,-24,2234.0
10:45.0,Atlanta full timeout,75-99, ,,4,75,99,-24,2235.0
10:34.0,Personal foul by L. Walker (drawn by W. Matthews),75-99, ,,4,75,99,-24,2246.0
10:26.0,D. Hunter misses 3-pt jump shot from 26 ft,75-99, ,,4,75,99,-24,2254.0
10:22.0, ,75-99,Defensive rebound by N. Claxton,,4,75,99,-24,2258.0
10:05.0, ,75-99,M. Bridges misses 3-pt jump shot from 23 ft,,4,75,99,-24,2275.0
10:00.0,Defensive rebound by W. Matthews,75-99, ,,4,75,99,-24,2280.0
9:54.0,D. Hunter makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),78-99, ,,4,78,99,-21,2286.0
9:37.0, ,78-99,J. Wilson misses 3-pt jump shot from 26 ft,,4,78,99,-21,2303.0
9:34.0,Defensive rebound by W. Matthews,78-99, ,,4,78,99,-21,2306.0
9:30.0,Turnover by K. Bufkin (step out of bounds),78-99, ,,4,78,99,-21,2310.0
9:30.0,C. Capela enters the game for K. Bufkin,78-99, ,,4,78,99,-21,2310.0
9:30.0,D. Murray enters the game for W. Matthews,78-99, ,,4,78,99,-21,2310.0
9:13.0, ,78-102,L. Walker makes 3-pt jump shot from 23 ft (assist by M. Bridges),,4,78,102,-24,2327.0
8:45.0,Shooting foul by L. Walker (drawn by J. Johnson),78-102, ,,4,78,102,-24,2355.0
8:45.0,J. Johnson makes free throw 1 of 2,79-102, ,,4,79,102,-23,2355.0
8:45.0, ,79-102,D. Finney-Smith enters the game for L. Walker,,4,79,102,-23,2355.0
8:45.0, ,79-102,C. Johnson enters the game for J. Wilson,,4,79,102,-23,2355.0
8:45.0,J. Johnson makes free throw 2 of 2,80-102, ,,4,80,102,-22,2355.0
8:36.0, ,80-102,Shooting foul by D. Murray (drawn by N. Claxton),,4,80,102,-22,2364.0
8:36.0, ,80-103,N. Claxton makes free throw 1 of 2,,4,80,103,-23,2364.0
8:36.0, ,80-104,N. Claxton makes free throw 2 of 2,,4,80,104,-24,2364.0
8:32.0,Turnover by D. Murray (lost ball; steal by D. Smith),80-104, ,,4,80,104,-24,2368.0
8:29.0, ,80-107,D. Smith makes 3-pt jump shot from 25 ft,,4,80,107,-27,2371.0
8:18.0,Offensive foul by J. Johnson (drawn by M. Bridges),80-107, ,,4,80,107,-27,2382.0
8:18.0,Turnover by J. Johnson (offensive foul),80-107, ,,4,80,107,-27,2382.0
8:18.0, ,80-107,D. Sharpe enters the game for N. Claxton,,4,80,107,-27,2382.0
8:00.0, ,80-109,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by D. Sharpe),,4,80,109,-29,2400.0
7:51.0,Personal foul by D. Smith (drawn by D. Murray),80-109, ,,4,80,109,-29,2409.0
7:43.0,Shooting foul by D. Sharpe (drawn by B. Bogdanović),80-109, ,,4,80,109,-29,2417.0
7:43.0,B. Bogdanović makes free throw 1 of 2,81-109, ,,4,81,109,-28,2417.0
7:43.0, ,81-109,J. Wilson enters the game for M. Bridges,,4,81,109,-28,2417.0
7:43.0,B. Bogdanović makes free throw 2 of 2,82-109, ,,4,82,109,-27,2417.0
7:32.0, ,82-112,D. Sharpe makes 3-pt jump shot from 25 ft (assist by D. Smith),,4,82,112,-30,2428.0
7:21.0,D. Murray makes 2-pt layup from 2 ft,84-112, ,,4,84,112,-28,2439.0
7:11.0, ,84-115,D. Sharpe makes 3-pt jump shot from 27 ft (assist by C. Johnson),,4,84,115,-31,2449.0
6:53.0,C. Capela misses 2-pt layup from 4 ft (block by D. Sharpe),84-115, ,,4,84,115,-31,2467.0
6:53.0,Offensive rebound by Team,84-115, ,,4,84,115,-31,2467.0
6:53.0,S. Bey enters the game for J. Johnson,84-115, ,,4,84,115,-31,2467.0
6:53.0, ,84-115,T. Watford enters the game for D. Finney-Smith,,4,84,115,-31,2467.0
6:43.0,C. Capela makes 2-pt hook shot from 6 ft (assist by D. Murray),86-115, ,,4,86,115,-29,2477.0
6:25.0, ,86-115,Turnover by C. Johnson (bad pass),,4,86,115,-29,2495.0
6:13.0,D. Murray misses 2-pt jump shot from 7 ft,86-115, ,,4,86,115,-29,2507.0
6:12.0,Offensive rebound by Team,86-115, ,,4,86,115,-29,2508.0
6:12.0,G. Mathews enters the game for B. Bogdanović,86-115, ,,4,86,115,-29,2508.0
6:12.0, ,86-115,K. Bates-Diop enters the game for C. Johnson,,4,86,115,-29,2508.0
6:10.0,Shooting foul by T. Watford (drawn by D. Hunter),86-115, ,,4,86,115,-29,2510.0
6:10.0,D. Hunter misses free throw 1 of 2,86-115, ,,4,86,115,-29,2510.0
6:10.0,Offensive rebound by Team,86-115, ,,4,86,115,-29,2510.0
6:10.0,D. Hunter makes free throw 2 of 2,87-115, ,,4,87,115,-28,2510.0
5:47.0, ,87-115,Turnover by J. Wilson (bad pass),,4,87,115,-28,2533.0
5:41.0,D. Murray makes 2-pt layup from 3 ft,89-115, ,,4,89,115,-26,2539.0
5:41.0,Shooting foul by D. Sharpe (drawn by D. Murray),89-115, ,,4,89,115,-26,2539.0
5:41.0,D. Murray makes free throw 1 of 1,90-115, ,,4,90,115,-25,2539.0
5:41.0, ,90-115,Brooklyn full timeout,,4,90,115,-25,2539.0
5:41.0,W. Matthews enters the game for D. Hunter,90-115, ,,4,90,115,-25,2539.0
5:27.0, ,90-115,D. Sharpe misses 2-pt layup from 2 ft (block by C. Capela),,4,90,115,-25,2553.0
5:27.0, ,90-115,Offensive rebound by Team,,4,90,115,-25,2553.0
5:25.0, ,90-115,Offensive foul by K. Bates-Diop (drawn by G. Mathews),,4,90,115,-25,2555.0
5:25.0, ,90-115,Turnover by K. Bates-Diop (offensive foul),,4,90,115,-25,2555.0
5:14.0,G. Mathews misses 3-pt jump shot from 26 ft,90-115, ,,4,90,115,-25,2566.0
5:11.0, ,90-115,Defensive rebound by J. Wilson,,4,90,115,-25,2569.0
5:11.0, ,90-115,Personal foul by S. Bey (drawn by J. Wilson),,4,90,115,-25,2569.0
5:11.0,K. Bufkin enters the game for S. Bey,90-115, ,,4,90,115,-25,2569.0
5:11.0,B. Fernando enters the game for C. Capela,90-115, ,,4,90,115,-25,2569.0
5:11.0,T. Forrest enters the game for D. Murray,90-115, ,,4,90,115,-25,2569.0
4:50.0, ,90-117,K. Bates-Diop makes 2-pt layup from 3 ft (assist by D. Smith),,4,90,117,-27,2590.0
4:28.0,K. Bufkin misses 3-pt jump shot from 27 ft,90-117, ,,4,90,117,-27,2612.0
4:25.0, ,90-117,Defensive rebound by D. Sharpe,,4,90,117,-27,2615.0
4:12.0, ,90-117,Shooting foul by W. Matthews (drawn by D. Smith),,4,90,117,-27,2628.0
4:12.0, ,90-118,D. Smith makes free throw 1 of 2,,4,90,118,-28,2628.0
4:12.0, ,90-118,D. Smith misses free throw 2 of 2,,4,90,118,-28,2628.0
4:07.0,Defensive rebound by K. Bufkin,90-118, ,,4,90,118,-28,2633.0
3:52.0,T. Forrest misses 2-pt jump shot from 9 ft,90-118, ,,4,90,118,-28,2648.0
3:49.0, ,90-118,Defensive rebound by D. Sharpe,,4,90,118,-28,2651.0
3:38.0, ,90-118,D. Smith misses 3-pt jump shot from 25 ft,,4,90,118,-28,2662.0
3:34.0,Defensive rebound by B. Fernando,90-118, ,,4,90,118,-28,2666.0
3:17.0,B. Fernando misses 2-pt layup from 4 ft (block by T. Watford),90-118, ,,4,90,118,-28,2683.0
3:17.0,Offensive rebound by Team,90-118, ,,4,90,118,-28,2683.0
3:13.0,Turnover by Team (shot clock),90-118, ,,4,90,118,-28,2687.0
2:50.0, ,90-118,J. Wilson misses 2-pt jump shot from 14 ft,,4,90,118,-28,2710.0
2:47.0,Defensive rebound by W. Matthews,90-118, ,,4,90,118,-28,2713.0
2:40.0,W. Matthews makes 2-pt jump shot from 8 ft (assist by B. Fernando),92-118, ,,4,92,118,-26,2720.0
2:40.0,Shooting foul by T. Watford (drawn by W. Matthews),92-118, ,,4,92,118,-26,2720.0
2:40.0,W. Matthews misses free throw 1 of 1,92-118, ,,4,92,118,-26,2720.0
2:38.0, ,92-118,Defensive rebound by D. Sharpe,,4,92,118,-26,2722.0
2:27.0, ,92-120,D. Sharpe makes 2-pt dunk from 1 ft (assist by D. Smith),,4,92,120,-28,2733.0
2:07.0,K. Bufkin makes 3-pt jump shot from 27 ft (assist by T. Forrest),95-120, ,,4,95,120,-25,2753.0
1:51.0, ,95-122,T. Watford makes 2-pt layup from 3 ft,,4,95,122,-27,2769.0
1:37.0,Turnover by K. Bufkin (bad pass; steal by D. Sharpe),95-122, ,,4,95,122,-27,2783.0
1:29.0, ,95-122,Shooting foul by K. Bufkin (drawn by K. Bates-Diop),,4,95,122,-27,2791.0
1:29.0, ,95-123,K. Bates-Diop makes free throw 1 of 2,,4,95,123,-28,2791.0
1:29.0, ,95-124,K. Bates-Diop makes free throw 2 of 2,,4,95,124,-29,2791.0
1:17.0,G. Mathews misses 3-pt jump shot from 28 ft,95-124, ,,4,95,124,-29,2803.0
1:14.0, ,95-124,Defensive rebound by T. Watford,,4,95,124,-29,2806.0
1:04.0, ,95-124,D. Smith misses 2-pt dunk from 1 ft,,4,95,124,-29,2816.0
1:00.0,Defensive rebound by W. Matthews,95-124, ,,4,95,124,-29,2820.0
0:48.0,B. Fernando makes 2-pt layup from 3 ft (assist by G. Mathews),97-124, ,,4,97,124,-27,2832.0
0:24.0, ,97-124,Turnover by Team (shot clock),,4,97,124,-27,2856.0
0:00.0,Turnover by Team (shot clock),97-124, ,,4,97,124,-27,2880.0
0:00.0,End of 4th quarter,97-124,,,4,97,124,-27,2880.0
